Date;Transactions;;;;
03/01/2009 00:00;1.0;;;;
05/01/2009 00:00;0.0;;;;
07/01/2009 00:00;0.0;;;;
09/01/2009 00:00;14.0;;;;
11/01/2009 00:00;106.0;;;;
13/01/2009 00:00;116.0;;;;
15/01/2009 00:00;136.0;;;;
17/01/2009 00:00;109.0;;;;
19/01/2009 00:00;120.0;;;;
21/01/2009 00:00;115.0;;;;
23/01/2009 00:00;68.0;;;;
25/01/2009 00:00;195.0;;;;
27/01/2009 00:00;105.0;;;;
29/01/2009 00:00;122.0;;;;
31/01/2009 00:00;129.0;;;;
02/02/2009 00:00;127.0;;;;
04/02/2009 00:00;126.0;;;;
06/02/2009 00:00;129.0;;;;
08/02/2009 00:00;135.0;;;;
10/02/2009 00:00;127.0;;;;
12/02/2009 00:00;119.0;;;;
14/02/2009 00:00;141.0;;;;
16/02/2009 00:00;123.0;;;;
18/02/2009 00:00;124.0;;;;
20/02/2009 00:00;129.0;;;;
22/02/2009 00:00;125.0;;;;
24/02/2009 00:00;111.0;;;;
26/02/2009 00:00;96.0;;;;
28/02/2009 00:00;103.0;;;;
02/03/2009 00:00;104.0;;;;
04/03/2009 00:00;106.0;;;;
06/03/2009 00:00;119.0;;;;
08/03/2009 00:00;115.0;;;;
10/03/2009 00:00;105.0;;;;
12/03/2009 00:00;119.0;;;;
14/03/2009 00:00;116.0;;;;
16/03/2009 00:00;131.0;;;;
18/03/2009 00:00;110.0;;;;
20/03/2009 00:00;119.0;;;;
22/03/2009 00:00;97.0;;;;
24/03/2009 00:00;105.0;;;;
26/03/2009 00:00;114.0;;;;
28/03/2009 00:00;122.0;;;;
30/03/2009 00:00;125.0;;;;
01/04/2009 00:00;107.0;;;;
03/04/2009 00:00;113.0;;;;
05/04/2009 00:00;129.0;;;;
07/04/2009 00:00;99.0;;;;
09/04/2009 00:00;99.0;;;;
11/04/2009 00:00;123.0;;;;
13/04/2009 00:00;118.0;;;;
15/04/2009 00:00;112.0;;;;
17/04/2009 00:00;115.0;;;;
19/04/2009 00:00;121.0;;;;
21/04/2009 00:00;125.0;;;;
23/04/2009 00:00;80.0;;;;
25/04/2009 00:00;122.0;;;;
27/04/2009 00:00;105.0;;;;
29/04/2009 00:00;123.0;;;;
01/05/2009 00:00;123.0;;;;
03/05/2009 00:00;115.0;;;;
05/05/2009 00:00;133.0;;;;
07/05/2009 00:00;121.0;;;;
09/05/2009 00:00;91.0;;;;
11/05/2009 00:00;120.0;;;;
13/05/2009 00:00;117.0;;;;
15/05/2009 00:00;145.0;;;;
17/05/2009 00:00;125.0;;;;
19/05/2009 00:00;100.0;;;;
21/05/2009 00:00;89.0;;;;
23/05/2009 00:00;7.0;;;;
25/05/2009 00:00;112.0;;;;
27/05/2009 00:00;125.0;;;;
