Date(UTC);UnixTimeStamp;Value;;;
7/30/2015;1438214400;7204930659375;;;
7/31/2015;1438300800;7208549831250;;;
08/01/2015;1438387200;7211320425000;;;
08/02/2015;1438473600;7214142768750;;;
08/03/2015;1438560000;7216940440625;;;
08/04/2015;1438646400;7219788284375;;;
08/05/2015;1438732800;7222541143750;;;
08/06/2015;1438819200;7225248690625;;;
08/07/2015;1438905600;7227992456250;;;
08/08/2015;1438992000;7230786800000;;;
08/09/2015;1439078400;7233504628125;;;
08/10/2015;1439164800;7236286362500;;;
08/11/2015;1439251200;7239089143750;;;
08/12/2015;1439337600;7241826237500;;;
8/13/2015;1439424000;7244653050000;;;
8/14/2015;1439510400;7247763721875;;;
8/15/2015;1439596800;7250614987500;;;
8/17/2015;1439769600;7253426878125;;;
8/16/2015;1439683200;7256136331250;;;
8/18/2015;1439856000;7258752612500;;;
8/19/2015;1439942400;7261480815625;;;
8/20/2015;1440028800;7263586518750;;;
8/21/2015;1440115200;7266255612500;;;
8/22/2015;1440201600;7269010659375;;;
8/23/2015;1440288000;7271636221875;;;
8/24/2015;1440374400;7274369550000;;;
8/25/2015;1440460800;7277043159375;;;
8/26/2015;1440547200;7279656956250;;;
8/27/2015;1440633600;7282110237500;;;
8/28/2015;1440720000;7284532753125;;;
8/29/2015;1440806400;7286785253125;;;
8/30/2015;1440892800;7288930612500;;;
8/31/2015;1440979200;7291059956250;;;
09/01/2015;1441065600;7293094253125;;;
09/02/2015;1441152000;7294932987500;;;
09/03/2015;1441238400;7296671081250;;;
09/04/2015;1441324800;7298979268750;;;
09/05/2015;1441411200;7301542175000;;;
09/06/2015;1441497600;7304159003125;;;
09/07/2015;1441584000;7306705050000;;;
09/08/2015;1441670400;7309294300000;;;
09/09/2015;1441756800;7311937065625;;;
09/10/2015;1441843200;7314581487500;;;
09/11/2015;1441929600;7317305471875;;;
09/12/2015;1442016000;7319945581250;;;
9/13/2015;1442102400;7322562721875;;;
