Date	Price	Open	High	Low	Vol.	Change %
May 19, 2010	9,047.81	9,106.26	9,191.26	8,929.31	-	-0.64%
May 20, 2010	8,924.33	9,047.81	9,143.00	8,905.52	-	-1.36%
May 21, 2010	9,026.51	8,924.33	9,030.58	8,686.36	-	1.14%
May 24, 2010	9,317.78	9,026.51	9,375.71	9,026.51	-	3.23%
May 25, 2010	9,077.53	9,317.78	9,317.78	9,050.91	-	-2.58%
May 26, 2010	9,086.82	9,077.53	9,168.69	9,043.21	-	0.10%
May 27, 2010	9,200.71	9,086.82	9,222.54	8,942.76	-	1.25%
May 28, 2010	9,161.50	9,200.71	9,302.41	9,114.93	-	-0.43%
May 31, 2010	8,942.28	9,161.50	9,167.19	8,936.69	-	-2.39%
Jun 01, 2010	8,881.09	8,942.28	8,998.67	8,816.06	-	-0.68%
Jun 02, 2010	8,851.37	8,881.09	8,881.28	8,706.23	-	-0.33%
Jun 03, 2010	8,797.88	8,851.37	8,944.46	8,793.90	-	-0.60%
Jun 04, 2010	8,806.41	8,797.88	8,820.78	8,725.98	-	0.10%
Jun 07, 2010	8,601.51	8,806.41	8,806.41	8,561.16	-	-2.33%
Jun 08, 2010	8,556.95	8,601.51	8,659.25	8,488.68	-	-0.52%
Jun 09, 2010	8,849.99	8,556.95	8,880.51	8,493.91	-	3.42%
Jun 10, 2010	8,701.65	8,849.99	8,849.99	8,690.21	-	-1.68%
Jun 11, 2010	8,741.54	8,701.65	8,830.11	8,701.65	-	0.46%
Jun 17, 2010	8,735.97	8,741.54	8,824.30	8,733.16	-	-0.06%
Jun 18, 2010	8,678.93	8,735.97	8,819.82	8,655.22	-	-0.65%
Jun 21, 2010	8,978.54	8,678.93	9,008.56	8,678.93	-	3.45%
Jun 22, 2010	8,977.90	8,978.54	9,014.38	8,930.08	-	-0.01%
Jun 23, 2010	8,908.01	8,977.90	8,994.81	8,832.10	-	-0.78%
Jun 24, 2010	8,902.42	8,908.01	8,997.13	8,832.80	-	-0.06%
Jun 25, 2010	8,900.66	8,902.42	8,956.70	8,832.11	-	-0.02%
Jun 28, 2010	8,872.84	8,900.66	8,978.81	8,855.93	-	-0.31%
Jun 29, 2010	8,532.43	8,872.84	8,893.92	8,529.51	-	-3.84%
Jun 30, 2010	8,466.91	8,532.43	8,532.43	8,433.89	-	-0.77%
Jul 01, 2010	8,374.75	8,466.91	8,501.94	8,368.14	-	-1.09%
Jul 02, 2010	8,440.21	8,374.75	8,456.30	8,251.87	-	0.78%
Jul 05, 2010	8,378.41	8,440.21	8,440.38	8,273.27	-	-0.73%
Jul 06, 2010	8,510.66	8,378.41	8,511.98	8,348.46	-	1.58%
Jul 07, 2010	8,533.87	8,510.66	8,533.87	8,448.69	-	0.27%
Jul 08, 2010	8,527.26	8,533.87	8,613.72	8,501.14	-	-0.08%
Jul 09, 2010	8,728.80	8,527.26	8,785.32	8,467.93	-	2.36%
