Date	Price	Open	High	Low	Change %
Jan 01, 2009	14.736	14.688	14.814	14.681	2.66%
Jan 02, 2009	14.380	14.734	14.767	14.380	-2.42%
Jan 05, 2009	14.719	14.529	14.741	14.433	2.36%
Jan 06, 2009	14.912	14.718	14.995	14.506	1.31%
Jan 07, 2009	15.076	14.913	15.284	14.807	1.10%
Jan 08, 2009	15.227	15.071	15.376	14.985	1.00%
Jan 09, 2009	15.129	15.227	15.351	15.129	-0.64%
Jan 12, 2009	14.819	15.081	15.117	14.805	-2.05%
Jan 13, 2009	14.517	14.819	14.821	14.474	-2.04%
Jan 14, 2009	14.620	14.518	14.710	14.494	0.71%
Jan 15, 2009	14.671	14.620	14.680	14.559	0.35%
Jan 16, 2009	14.658	14.671	14.982	14.658	-0.09%
Jan 19, 2009	14.426	14.879	14.911	14.360	-1.58%
Jan 20, 2009	13.878	14.426	14.430	13.815	-3.80%
Jan 21, 2009	13.879	13.877	14.028	13.623	0.01%
Jan 22, 2009	13.881	13.880	13.978	13.692	0.01%
Jan 23, 2009	13.506	13.881	13.885	13.506	-2.70%
Jan 26, 2009	13.974	13.854	14.063	13.782	3.47%
Jan 27, 2009	14.189	13.972	14.244	13.934	1.54%
Jan 28, 2009	14.229	14.187	14.352	14.128	0.28%
Jan 29, 2009	14.282	14.230	14.414	14.075	0.37%
Jan 30, 2009	14.545	14.280	14.545	14.190	1.84%
Feb 02, 2009	14.210	14.342	14.351	14.054	-2.30%
Feb 03, 2009	14.435	14.212	14.487	14.157	1.58%
Feb 04, 2009	14.459	14.435	14.580	14.326	0.17%
Feb 05, 2009	14.630	14.459	14.706	14.370	1.18%
Feb 06, 2009	14.845	14.629	14.845	14.592	1.47%
Feb 09, 2009	14.860	14.733	14.986	14.707	0.10%
Feb 10, 2009	14.462	14.861	14.896	14.462	-2.68%
Feb 11, 2009	14.362	14.560	14.813	14.319	-0.69%
Feb 12, 2009	14.288	14.362	14.417	14.140	-0.52%
Feb 13, 2009	14.605	14.293	14.605	14.280	2.22%
Feb 16, 2009	14.321	14.240	14.321	14.154	-1.94%
Feb 17, 2009	14.241	14.299	14.313	14.129	-0.56%
Feb 18, 2009	14.251	14.240	14.301	14.097	0.07%
Feb 19, 2009	14.265	14.249	14.449	14.241	0.10%
Feb 20, 2009	14.485	14.264	14.485	14.154	1.54%
Feb 23, 2009	14.457	14.375	14.663	14.367	-0.19%
Feb 24, 2009	14.527	14.459	14.581	14.376	0.48%
Feb 25, 2009	14.216	14.526	14.609	14.176	-2.14%
Feb 26, 2009	14.386	14.215	14.386	14.164	1.20%
Feb 27, 2009	14.365	14.298	14.365	14.113	-0.15%
Mar 02, 2009	14.039	14.224	14.291	13.960	-2.27%
Mar 03, 2009	14.029	14.042	14.159	13.986	-0.07%
Mar 04, 2009	14.178	14.030	14.202	13.988	1.06%
Mar 05, 2009	14.132	14.179	14.235	14.039	-0.32%
Mar 06, 2009	14.042	14.132	14.307	14.042	-0.64%
Mar 09, 2009	13.794	14.164	14.184	13.745	-1.77%
Mar 10, 2009	13.796	13.793	13.892	13.693	0.01%
Mar 11, 2009	13.840	13.794	13.891	13.657	0.32%
Mar 12, 2009	13.926	13.840	13.986	13.703	0.62%
Mar 13, 2009	14.072	13.925	14.072	13.866	1.05%
Mar 16, 2009	14.077	13.960	14.232	13.946	0.04%
Mar 17, 2009	14.062	14.076	14.141	13.967	-0.11%
Mar 18, 2009	14.287	14.060	14.337	13.847	1.60%
Mar 19, 2009	14.499	14.285	14.598	14.164	1.48%
Mar 20, 2009	14.396	14.499	14.592	14.396	-0.71%
Mar 23, 2009	14.569	14.478	14.650	14.452	1.20%
Mar 24, 2009	14.705	14.568	14.779	14.559	0.93%
Mar 25, 2009	14.556	14.705	14.746	14.517	-1.01%
Mar 26, 2009	14.465	14.556	14.639	14.425	-0.63%
Mar 27, 2009	14.270	14.465	14.497	14.270	-1.35%
Mar 30, 2009	14.260	14.280	14.297	14.113	-0.07%
Mar 31, 2009	14.360	14.260	14.378	14.242	0.70%
Apr 01, 2009	14.470	14.361	14.482	14.276	0.77%
Apr 02, 2009	14.744	14.471	14.750	14.459	1.89%
Apr 03, 2009	14.848	14.745	14.848	14.652	0.71%
Apr 06, 2009	14.657	14.888	14.960	14.657	-1.29%
Apr 07, 2009	14.737	14.657	14.778	14.583	0.55%
Apr 08, 2009	14.684	14.736	14.749	14.637	-0.36%
Apr 09, 2009	14.636	14.685	14.782	14.587	-0.33%
Apr 10, 2009	14.684	14.637	14.684	14.621	0.33%
Apr 13, 2009	14.865	14.620	14.871	14.608	1.23%
Apr 14, 2009	14.946	14.865	14.946	14.827	0.54%
Apr 15, 2009	15.000	14.910	15.039	14.825	0.36%
Apr 16, 2009	14.933	15.000	15.070	14.841	-0.45%
Apr 17, 2009	14.757	14.932	14.938	14.757	-1.18%
Apr 20, 2009	14.483	14.772	14.783	14.472	-1.86%
Apr 21, 2009	14.667	14.485	14.710	14.479	1.27%
Apr 22, 2009	14.499	14.668	14.676	14.400	-1.15%
Apr 23, 2009	14.676	14.499	14.746	14.445	1.22%
Apr 24, 2009	14.775	14.677	14.775	14.578	0.67%
Apr 27, 2009	14.619	14.644	14.694	14.517	-1.06%
Apr 28, 2009	14.639	14.619	14.691	14.515	0.14%
Apr 29, 2009	14.770	14.639	14.808	14.631	0.89%
Apr 30, 2009	14.702	14.770	14.947	14.702	-0.46%
May 01, 2009	14.933	14.802	14.933	14.753	1.57%
May 04, 2009	15.029	14.934	15.047	14.835	0.64%
May 05, 2009	15.162	15.032	15.162	14.982	0.88%
May 06, 2009	15.131	15.047	15.155	14.991	-0.20%
May 07, 2009	15.023	15.134	15.197	14.941	-0.71%
May 08, 2009	15.246	15.023	15.246	14.966	1.48%
May 11, 2009	15.120	15.214	15.243	15.067	-0.83%
May 12, 2009	15.291	15.120	15.351	15.073	1.13%
May 13, 2009	15.102	15.290	15.332	15.085	-1.24%
May 14, 2009	15.226	15.102	15.245	15.059	0.82%
May 15, 2009	15.287	15.225	15.287	15.133	0.40%
May 18, 2009	15.324	15.148	15.348	15.116	0.24%
May 19, 2009	15.492	15.324	15.522	15.294	1.10%
May 20, 2009	15.747	15.489	15.793	15.448	1.65%
