Date	Price	Open	High	Low	Vol.	Change %
Nov 04, 2014	176.98	177.44	178.46	176.04	28.89K	-0.26%
Nov 05, 2014	177.22	176.98	177.78	174.24	43.15K	0.14%
Nov 06, 2014	179.64	177.24	179.94	177.16	37.25K	1.37%
Nov 07, 2014	180.13	179.64	180.46	178.78	23.96K	0.27%
Nov 10, 2014	180.62	177.55	182.22	177.55	44.59K	0.27%
Nov 11, 2014	181.83	180.62	182.79	180.57	60.07K	0.67%
Nov 12, 2014	185.92	182.48	185.93	181.82	54.56K	2.25%
Nov 13, 2014	186.04	185.87	187.26	184.76	47.12K	0.06%
Nov 14, 2014	184.47	186.09	186.09	182.34	52.19K	-0.84%
Nov 17, 2014	185.11	184.53	185.85	184.53	47.85K	0.35%
Nov 18, 2014	182.85	185.06	185.33	182.85	43.71K	-1.22%
Nov 19, 2014	181.52	182.04	182.72	179.69	51.34K	-0.73%
Nov 20, 2014	183.06	179.33	183.67	178.90	40.48K	0.85%
Nov 21, 2014	180.28	182.24	183.62	180.11	47.91K	-1.52%
Nov 24, 2014	176.92	180.32	180.34	176.92	32.54K	-1.86%
Nov 25, 2014	180.09	176.94	180.33	176.67	26.13K	1.79%
Nov 26, 2014	175.26	179.55	180.89	175.25	50.76K	-2.68%
Nov 27, 2014	176.99	174.71	176.99	171.87	33.70K	0.99%
Nov 28, 2014	175.20	176.99	177.58	174.23	49.31K	-1.01%
Dec 01, 2014	174.46	173.40	177.73	173.27	30.97K	-0.42%
Dec 02, 2014	175.46	174.46	176.65	174.46	31.11K	0.57%
Dec 03, 2014	177.28	175.57	178.04	175.42	30.94K	1.04%
Dec 04, 2014	178.43	175.09	179.79	175.07	35.84K	0.65%
Dec 05, 2014	178.20	178.43	179.42	176.69	30.37K	-0.13%
Dec 08, 2014	174.32	178.14	178.47	174.32	44.45K	-2.18%
Dec 09, 2014	165.21	172.39	174.32	164.60	58.28K	-5.23%
Dec 10, 2014	169.29	163.47	169.66	162.17	32.52K	2.47%
Dec 11, 2014	166.90	167.48	169.91	165.98	23.81K	-1.41%
Dec 12, 2014	167.99	166.61	168.29	165.68	23.68K	0.65%
Dec 15, 2014	166.40	168.10	169.32	166.40	28.40K	-0.95%
Dec 16, 2014	161.70	165.76	166.40	161.12	37.58K	-2.82%
Dec 17, 2014	157.09	160.41	162.99	152.23	47.02K	-2.85%
Dec 18, 2014	161.65	156.74	162.44	156.53	32.99K	2.90%
