Date	Price	Open	High	Low	Change %
Sep 09, 2014	0.01640	0.01650	0.01660	0.01640	-0.61%
Sep 10, 2014	0.01640	0.01640	0.01650	0.01640	0.00%
Sep 11, 2014	0.01640	0.01640	0.01650	0.01640	0.00%
Sep 12, 2014	0.01640	0.01640	0.01650	0.01640	0.00%
Sep 14, 2014	0.01650	0.01650	0.01650	0.01650	0.61%
Sep 15, 2014	0.01640	0.01650	0.01650	0.01630	-0.61%
Sep 16, 2014	0.01640	0.01640	0.01640	0.01630	0.00%
Sep 17, 2014	0.01640	0.01640	0.01650	0.01640	0.00%
Sep 18, 2014	0.01650	0.01640	0.01650	0.01630	0.61%
Sep 19, 2014	0.01640	0.01650	0.01650	0.01640	-0.61%
Sep 21, 2014	0.01640	0.01640	0.01640	0.01640	0.00%
Sep 22, 2014	0.01640	0.01640	0.01650	0.01640	0.00%
Sep 23, 2014	0.01640	0.01640	0.01640	0.01640	0.00%
Sep 24, 2014	0.01640	0.01640	0.01650	0.01640	0.00%
Sep 25, 2014	0.01630	0.01640	0.01640	0.01630	-0.61%
Sep 26, 2014	0.01630	0.01630	0.01640	0.01620	0.00%
Sep 28, 2014	0.01640	0.01630	0.01640	0.01630	0.61%
Sep 29, 2014	0.01620	0.01640	0.01640	0.01610	-1.22%
Sep 30, 2014	0.01620	0.01620	0.01630	0.01610	0.00%
Oct 01, 2014	0.01620	0.01620	0.01620	0.01600	0.00%
Oct 02, 2014	0.01630	0.01620	0.01630	0.01620	0.62%
Oct 03, 2014	0.01620	0.01630	0.01630	0.01620	-0.61%
Oct 05, 2014	0.01620	0.01620	0.01620	0.01620	0.00%
Oct 06, 2014	0.01630	0.01620	0.01630	0.01620	0.62%
Oct 07, 2014	0.01630	0.01630	0.01630	0.01620	0.00%
Oct 08, 2014	0.01640	0.01630	0.01640	0.01620	0.61%
Oct 09, 2014	0.01640	0.01640	0.01640	0.01630	0.00%
Oct 10, 2014	0.01630	0.01640	0.01640	0.01630	-0.61%
Oct 12, 2014	0.01630	0.01630	0.01630	0.01630	0.00%
Oct 13, 2014	0.01640	0.01630	0.01640	0.01630	0.61%
Oct 14, 2014	0.01630	0.01640	0.01640	0.01630	-0.61%
Oct 15, 2014	0.01630	0.01630	0.01640	0.01620	0.00%
Oct 16, 2014	0.01620	0.01630	0.01630	0.01610	-0.61%
Oct 17, 2014	0.01630	0.01620	0.01630	0.01620	0.62%
Oct 19, 2014	0.01630	0.01630	0.01630	0.01630	0.00%
Oct 20, 2014	0.01630	0.01630	0.01640	0.01630	0.00%
Oct 21, 2014	0.01640	0.01630	0.01640	0.01630	0.61%
Oct 22, 2014	0.01630	0.01640	0.01640	0.01630	-0.61%
Oct 23, 2014	0.01640	0.01630	0.01640	0.01630	0.61%
Oct 24, 2014	0.01640	0.01640	0.01640	0.01630	0.00%
Oct 26, 2014	0.01630	0.01630	0.01630	0.01630	-0.61%
Oct 27, 2014	0.01630	0.01630	0.01640	0.01630	0.00%
Oct 28, 2014	0.01630	0.01630	0.01640	0.01630	0.00%
Oct 29, 2014	0.01630	0.01630	0.01630	0.01630	0.00%
Oct 30, 2014	0.01630	0.01630	0.01630	0.01620	0.00%
Oct 31, 2014	0.01630	0.01630	0.01630	0.01620	0.00%
Nov 02, 2014	0.01630	0.01630	0.01630	0.01630	0.00%
Nov 03, 2014	0.01630	0.01630	0.01630	0.01630	0.00%
Nov 04, 2014	0.01630	0.01630	0.01630	0.01630	0.00%
Nov 05, 2014	0.01630	0.01630	0.01630	0.01620	0.00%
Nov 06, 2014	0.01630	0.01630	0.01630	0.01620	0.00%
Nov 07, 2014	0.01630	0.01630	0.01630	0.01620	0.00%
Nov 09, 2014	0.01630	0.01630	0.01630	0.01630	0.00%
Nov 10, 2014	0.01620	0.01630	0.01630	0.01620	-0.61%
Nov 11, 2014	0.01630	0.01620	0.01630	0.01620	0.62%
Nov 12, 2014	0.01630	0.01630	0.01630	0.01620	0.00%
Nov 13, 2014	0.01620	0.01630	0.01630	0.01610	-0.61%
Nov 14, 2014	0.01620	0.01620	0.01620	0.01620	0.00%
Nov 16, 2014	0.01620	0.01620	0.01620	0.01620	0.00%
