Date	Price	Open	High	Low	Vol.	Change %
Jan 01, 2009	153.96	153.96	153.96	153.96	-	0.00%
Jan 02, 2009	157.45	157.45	157.45	157.45	-	2.27%
Jan 05, 2009	158.18	158.18	158.18	158.18	-	0.46%
Jan 06, 2009	161.10	161.10	161.10	161.10	-	1.85%
Jan 07, 2009	155.78	155.78	155.78	155.78	-	-3.30%
Jan 08, 2009	157.87	157.87	157.87	157.87	-	1.34%
Jan 09, 2009	155.35	155.35	155.35	155.35	-	-1.60%
Jan 12, 2009	150.78	150.78	150.78	150.78	-	-2.94%
Jan 13, 2009	153.41	153.41	153.41	153.41	-	1.74%
Jan 14, 2009	148.92	148.92	148.92	148.92	-	-2.93%
Jan 15, 2009	152.01	152.01	152.01	152.01	-	2.07%
Jan 16, 2009	152.30	152.30	152.30	152.30	-	0.19%
Jan 19, 2009	150.58	150.58	150.58	150.58	-	-1.13%
Jan 20, 2009	144.50	144.50	144.50	144.50	-	-4.04%
Jan 21, 2009	149.19	149.19	149.19	149.19	-	3.25%
Jan 22, 2009	143.82	143.82	143.82	143.82	-	-3.60%
Jan 23, 2009	145.68	145.68	145.68	145.68	-	1.29%
Jan 26, 2009	146.62	146.62	146.62	146.62	-	0.65%
Jan 27, 2009	148.90	148.90	148.90	148.90	-	1.56%
Jan 28, 2009	152.00	152.00	152.00	152.00	-	2.08%
Jan 29, 2009	148.93	148.93	148.93	148.93	-	-2.02%
Jan 30, 2009	147.95	147.95	147.95	147.95	-	-0.66%
Feb 02, 2009	146.90	146.90	146.90	146.90	-	-0.71%
Feb 03, 2009	147.06	147.06	147.06	147.06	-	0.11%
Feb 04, 2009	147.56	147.56	147.56	147.56	-	0.34%
Feb 05, 2009	150.53	150.53	150.53	150.53	-	2.01%
Feb 06, 2009	152.59	152.59	152.59	152.59	-	1.37%
Feb 09, 2009	153.42	153.42	153.42	153.42	-	0.54%
Feb 10, 2009	149.31	149.31	149.31	149.31	-	-2.68%
Feb 11, 2009	147.70	147.70	147.70	147.70	-	-1.08%
Feb 12, 2009	148.56	148.56	148.56	148.56	-	0.58%
Feb 13, 2009	146.35	146.35	146.35	146.35	-	-1.49%
Feb 16, 2009	146.35	146.35	146.35	146.35	-	0.00%
Feb 17, 2009	140.88	140.88	140.88	140.88	-	-3.74%
Feb 18, 2009	137.00	137.00	137.00	137.00	-	-2.75%
Feb 19, 2009	137.24	137.24	137.24	137.24	-	0.18%
Feb 20, 2009	133.26	133.26	133.26	133.26	-	-2.90%
Feb 23, 2009	128.17	128.17	128.17	128.17	-	-3.82%
Feb 24, 2009	132.45	132.45	132.45	132.45	-	3.34%
Feb 25, 2009	134.22	134.22	134.22	134.22	-	1.34%
Feb 26, 2009	139.13	139.13	139.13	139.13	-	3.66%
Feb 27, 2009	137.84	137.84	137.84	137.84	-	-0.93%
Mar 02, 2009	130.59	130.59	130.59	130.59	-	-5.26%
Mar 03, 2009	129.57	129.57	129.57	129.57	-	-0.78%
Mar 04, 2009	132.68	132.68	132.68	132.68	-	2.40%
Mar 05, 2009	129.76	129.76	129.76	129.76	-	-2.20%
Mar 06, 2009	129.42	129.42	129.42	129.42	-	-0.26%
Mar 09, 2009	128.67	128.67	128.67	128.67	-	-0.58%
Mar 10, 2009	135.20	135.20	135.20	135.20	-	5.07%
Mar 11, 2009	137.59	137.59	137.59	137.59	-	1.77%
Mar 12, 2009	142.34	142.34	142.34	142.34	-	3.45%
Mar 13, 2009	142.95	142.95	142.95	142.95	-	0.43%
Mar 16, 2009	144.19	144.19	144.19	144.19	-	0.87%
Mar 17, 2009	147.43	147.43	147.43	147.43	-	2.25%
Mar 18, 2009	148.72	148.72	148.72	148.72	-	0.87%
Mar 19, 2009	148.70	148.70	148.70	148.70	-	-0.01%
Mar 20, 2009	145.66	145.66	145.66	145.66	-	-2.04%
Mar 23, 2009	154.19	154.19	154.19	154.19	-	5.86%
Mar 24, 2009	151.94	151.94	151.94	151.94	-	-1.46%
Mar 25, 2009	150.81	150.81	150.81	150.81	-	-0.74%
Mar 26, 2009	154.03	154.03	154.03	154.03	-	2.14%
Mar 27, 2009	151.09	151.09	151.09	151.09	-	-1.91%
Mar 30, 2009	147.47	147.47	147.47	147.47	-	-2.40%
Mar 31, 2009	149.56	149.56	149.56	149.56	-	1.42%
Apr 01, 2009	153.64	153.64	153.64	153.64	-	2.73%
Apr 02, 2009	155.49	155.49	155.49	155.49	-	1.20%
Apr 03, 2009	155.01	155.01	155.01	155.01	-	-0.31%
Apr 06, 2009	154.33	154.33	154.33	154.33	-	-0.44%
Apr 07, 2009	151.09	151.09	151.09	151.09	-	-2.10%
Apr 08, 2009	153.47	153.47	153.47	153.47	-	1.58%
Apr 09, 2009	157.36	157.36	157.36	157.36	-	2.53%
Apr 10, 2009	157.36	157.36	157.36	157.36	-	0.00%
Apr 13, 2009	159.02	159.02	159.02	159.02	-	1.05%
Apr 14, 2009	158.00	158.00	158.00	158.00	-	-0.64%
Apr 15, 2009	158.55	158.55	158.55	158.55	-	0.35%
Apr 16, 2009	160.18	160.18	160.18	160.18	-	1.03%
Apr 17, 2009	162.07	162.07	162.07	162.07	-	1.18%
Apr 20, 2009	156.65	156.65	156.65	156.65	-	-3.34%
Apr 21, 2009	159.05	159.05	159.05	159.05	-	1.53%
Apr 22, 2009	159.03	159.03	159.03	159.03	-	-0.01%
Apr 23, 2009	161.74	161.74	161.74	161.74	-	1.70%
Apr 24, 2009	163.85	163.85	163.85	163.85	-	1.30%
Apr 27, 2009	161.14	161.14	161.14	161.14	-	-1.65%
Apr 28, 2009	160.59	160.59	160.59	160.59	-	-0.34%
Apr 29, 2009	161.50	161.50	161.50	161.50	-	0.57%
Apr 30, 2009	160.20	160.20	160.20	160.20	-	-0.80%
May 01, 2009	162.48	162.48	162.48	162.48	-	1.42%
May 04, 2009	169.27	169.27	169.27	169.27	-	4.18%
May 05, 2009	169.81	169.81	169.81	169.81	-	0.32%
May 06, 2009	174.52	174.52	174.52	174.52	-	2.77%
May 07, 2009	171.01	171.01	171.01	171.01	-	-2.01%
May 08, 2009	175.78	175.78	175.78	175.78	-	2.79%
May 11, 2009	173.37	173.37	173.37	173.37	-	-1.37%
May 12, 2009	172.97	172.97	172.97	172.97	-	-0.23%
May 13, 2009	166.42	166.42	166.42	166.42	-	-3.79%
May 14, 2009	169.05	169.05	169.05	169.05	-	1.58%
May 15, 2009	167.54	167.54	167.54	167.54	-	-0.89%
May 18, 2009	167.54	167.54	167.54	167.54	-	0.00%
May 19, 2009	172.97	172.97	172.97	172.97	-	3.24%
May 20, 2009	175.51	175.51	175.51	175.51	-	1.47%
May 21, 2009	170.62	170.62	170.62	170.62	-	-2.79%
May 22, 2009	171.13	171.13	171.13	171.13	-	0.30%
May 25, 2009	172.90	172.90	172.90	172.90	-	1.03%
May 26, 2009	177.67	177.67	177.67	177.67	-	2.76%
May 27, 2009	174.73	174.73	174.73	174.73	-	-1.65%
May 28, 2009	179.58	179.58	179.58	179.58	-	2.78%
May 29, 2009	179.14	179.14	179.14	179.14	-	-0.25%
Jun 01, 2009	182.90	182.90	182.90	182.90	-	2.10%
Jun 02, 2009	183.12	183.12	183.12	183.12	-	0.12%
Jun 03, 2009	178.01	178.01	178.01	178.01	-	-2.79%
Jun 04, 2009	181.23	181.23	181.23	181.23	-	1.81%
Jun 05, 2009	182.73	182.73	182.73	182.73	-	0.83%
Jun 08, 2009	182.55	182.55	182.55	182.55	-	-0.10%
Jun 09, 2009	181.75	181.75	181.75	181.75	-	-0.44%
Jun 10, 2009	182.21	182.21	182.21	182.21	-	0.25%
Jun 11, 2009	183.89	183.89	183.89	183.89	-	0.92%
