Date	Price	Open	High	Low	Vol.	Change %
Jan 05, 2009	1,877.44	1,851.42	1,877.44	1,847.06	-	4.90%
Jan 06, 2009	1,920.44	1,884.87	1,921.47	1,872.25	-	2.29%
Jan 07, 2009	1,887.85	1,910.46	1,919.41	1,878.06	-	-1.70%
Jan 08, 2009	1,863.25	1,854.83	1,886.69	1,853.66	-	-1.30%
Jan 09, 2009	1,817.37	1,871.42	1,879.77	1,816.95	-	-2.46%
Jan 12, 2009	1,791.71	1,812.07	1,823.51	1,783.41	-	-1.41%
Jan 13, 2009	1,766.12	1,766.62	1,777.19	1,735.90	-	-1.43%
Jan 14, 2009	1,701.23	1,784.18	1,785.03	1,690.65	-	-3.67%
Jan 15, 2009	1,684.35	1,696.77	1,712.49	1,650.18	-	-0.99%
Jan 16, 2009	1,705.23	1,721.24	1,723.94	1,681.57	-	1.24%
Jan 19, 2009	1,644.72	1,719.43	1,719.90	1,635.33	51.62M	-3.55%
Jan 20, 2009	1,642.78	1,632.31	1,653.19	1,608.07	23.35M	-0.12%
Jan 21, 2009	1,678.77	1,604.80	1,679.07	1,581.46	56.37M	2.19%
Jan 22, 2009	1,619.92	1,704.99	1,705.58	1,584.40	46.40M	-3.51%
Jan 23, 2009	1,611.48	1,605.90	1,611.48	1,545.25	31.96M	-0.52%
Jan 26, 2009	1,664.39	1,583.99	1,664.39	1,571.00	30.90M	3.28%
Jan 27, 2009	1,608.43	1,662.78	1,672.89	1,608.43	32.91M	-3.36%
Jan 28, 2009	1,627.89	1,639.24	1,660.13	1,627.89	14.47M	1.21%
Jan 29, 2009	1,611.22	1,640.84	1,642.68	1,593.36	19.42M	-1.02%
Jan 30, 2009	1,594.92	1,594.80	1,617.51	1,570.64	40.64M	-1.01%
Feb 02, 2009	1,532.55	1,574.51	1,580.45	1,520.61	18.74M	-3.91%
Feb 03, 2009	1,459.34	1,540.54	1,545.00	1,455.72	32.69M	-4.78%
Feb 04, 2009	1,479.86	1,473.47	1,486.08	1,439.67	44.09M	1.41%
Feb 05, 2009	1,487.29	1,464.47	1,515.54	1,453.75	40.34M	0.50%
Feb 06, 2009	1,531.73	1,518.28	1,536.54	1,504.39	70.94M	2.99%
Feb 09, 2009	1,578.37	1,548.37	1,578.37	1,507.57	42.08M	3.04%
Feb 10, 2009	1,584.14	1,565.90	1,594.84	1,554.09	90.07M	0.37%
Feb 11, 2009	1,543.58	1,535.52	1,568.37	1,531.89	51.85M	-2.56%
Feb 12, 2009	1,494.41	1,535.53	1,535.53	1,475.02	29.21M	-3.19%
Feb 13, 2009	1,492.21	1,509.00	1,519.04	1,487.90	20.48M	-0.15%
Feb 16, 2009	1,435.65	1,482.81	1,485.29	1,435.65	20.91M	-3.79%
Feb 17, 2009	1,327.64	1,411.83	1,416.71	1,327.64	62.16M	-7.52%
Feb 18, 2009	1,337.78	1,350.56	1,369.43	1,253.24	71.68M	0.76%
Feb 19, 2009	1,405.94	1,361.59	1,419.97	1,357.06	39.09M	5.10%
Feb 20, 2009	1,383.10	1,371.32	1,415.97	1,339.40	48.10M	-1.62%
Feb 23, 2009	1,365.16	1,428.15	1,437.71	1,365.03	29.64M	-1.30%
Feb 24, 2009	1,361.08	1,324.74	1,375.86	1,317.06	33.05M	-0.30%
Feb 25, 2009	1,345.15	1,396.34	1,415.49	1,341.59	25.75M	-1.17%
Feb 26, 2009	1,392.76	1,343.41	1,393.18	1,331.88	35.00M	3.54%
Feb 27, 2009	1,372.47	1,377.24	1,420.07	1,358.94	39.43M	-1.46%
Mar 02, 2009	1,380.24	1,346.52	1,392.21	1,337.32	47.68M	0.57%
Mar 03, 2009	1,401.92	1,373.86	1,414.95	1,370.07	40.43M	1.57%
Mar 04, 2009	1,461.22	1,425.10	1,469.46	1,412.59	37.23M	4.23%
Mar 05, 2009	1,444.88	1,466.00	1,467.58	1,432.19	25.38M	-1.12%
Mar 06, 2009	1,476.46	1,420.16	1,487.40	1,417.41	26.07M	2.19%
Mar 09, 2009	1,455.67	1,477.48	1,478.19	1,430.85	21.87M	-1.41%
Mar 10, 2009	1,481.42	1,453.14	1,498.35	1,451.69	27.84M	1.77%
Mar 11, 2009	1,500.95	1,507.22	1,524.81	1,486.38	27.58M	1.32%
Mar 12, 2009	1,494.19	1,478.73	1,499.47	1,464.05	68.67M	-0.45%
Mar 13, 2009	1,488.80	1,534.90	1,537.46	1,488.71	39.20M	-0.36%
Mar 16, 2009	1,513.70	1,504.67	1,523.63	1,496.89	22.60M	1.67%
Mar 17, 2009	1,481.61	1,512.34	1,512.34	1,471.38	53.07M	-2.12%
Mar 18, 2009	1,452.81	1,489.07	1,491.57	1,441.02	27.53M	-1.94%
Mar 19, 2009	1,487.71	1,467.31	1,494.80	1,453.24	28.03M	2.40%
Mar 20, 2009	1,506.50	1,483.30	1,506.50	1,479.11	33.85M	1.26%
Mar 23, 2009	1,550.43	1,526.93	1,555.53	1,524.44	79.70M	2.92%
Mar 24, 2009	1,552.71	1,585.57	1,586.21	1,546.91	38.39M	0.15%
Mar 25, 2009	1,633.30	1,546.55	1,633.30	1,543.43	50.67M	5.19%
Mar 26, 2009	1,623.91	1,633.10	1,650.38	1,620.13	37.88M	-0.57%
Mar 27, 2009	1,574.81	1,621.33	1,621.33	1,566.25	34.66M	-3.02%
Mar 30, 2009	1,517.45	1,537.78	1,550.62	1,503.50	26.99M	-3.64%
Mar 31, 2009	1,511.85	1,537.63	1,557.74	1,511.85	44.29M	-0.37%
Apr 01, 2009	1,523.80	1,534.18	1,540.33	1,480.94	35.09M	0.79%
Apr 02, 2009	1,629.76	1,574.15	1,629.76	1,568.95	257.33M	6.95%
Apr 03, 2009	1,668.10	1,614.87	1,708.20	1,612.88	175.77M	2.35%
Apr 06, 2009	1,684.30	1,698.32	1,727.70	1,653.69	112.76M	0.97%
Apr 07, 2009	1,653.63	1,677.52	1,683.22	1,651.90	71.59M	-1.82%
Apr 08, 2009	1,740.83	1,631.22	1,741.77	1,627.74	55.94M	5.27%
Apr 09, 2009	1,784.94	1,762.27	1,785.10	1,709.83	79.67M	2.53%
Apr 14, 2009	1,770.40	1,752.32	1,814.00	1,749.37	63.49M	-0.81%
Apr 15, 2009	1,784.55	1,765.13	1,784.55	1,748.52	136.99M	0.80%
Apr 16, 2009	1,763.40	1,801.16	1,805.09	1,757.61	91.28M	-1.19%
Apr 17, 2009	1,698.31	1,765.48	1,769.62	1,698.31	74.74M	-3.69%
Apr 20, 2009	1,657.28	1,705.96	1,708.69	1,657.28	55.41M	-2.42%
Apr 21, 2009	1,660.91	1,654.76	1,686.80	1,640.90	58.34M	0.22%
Apr 22, 2009	1,695.32	1,664.02	1,706.34	1,649.81	47.56M	2.07%
Apr 23, 2009	1,712.65	1,700.43	1,735.98	1,684.45	29.89M	1.02%
Apr 24, 2009	1,767.44	1,714.18	1,769.68	1,711.93	70.20M	3.20%
Apr 27, 2009	1,739.79	1,738.83	1,759.19	1,724.83	28.47M	-1.56%
Apr 28, 2009	1,686.54	1,702.27	1,708.42	1,673.54	49.54M	-3.06%
Apr 29, 2009	1,749.82	1,706.79	1,759.09	1,706.79	57.34M	3.75%
Apr 30, 2009	1,798.51	1,776.10	1,802.60	1,776.10	69.02M	2.78%
May 04, 2009	1,874.53	1,830.85	1,880.45	1,823.80	69.70M	4.23%
May 05, 2009	1,858.27	1,865.17	1,893.56	1,841.18	53.85M	-0.87%
May 06, 2009	1,854.31	1,837.52	1,895.84	1,830.81	225.05M	-0.21%
May 07, 2009	1,841.33	1,884.55	1,904.18	1,832.96	95.54M	-0.70%
May 08, 2009	1,847.06	1,864.52	1,865.80	1,820.93	81.43M	0.31%
May 11, 2009	1,824.55	1,849.56	1,857.36	1,803.16	39.97M	-1.22%
May 12, 2009	1,865.18	1,844.36	1,877.29	1,830.09	39.60M	2.23%
May 13, 2009	1,814.78	1,880.29	1,885.12	1,814.73	77.03M	-2.70%
May 14, 2009	1,807.35	1,787.20	1,817.89	1,781.63	35.44M	-0.41%
May 15, 2009	1,810.08	1,833.08	1,836.72	1,800.92	41.63M	0.15%
May 18, 2009	1,846.99	1,806.88	1,846.99	1,801.66	58.24M	2.04%
May 19, 2009	1,883.03	1,879.90	1,904.65	1,859.72	78.78M	1.95%
May 20, 2009	1,879.35	1,883.46	1,920.39	1,875.51	94.95M	-0.20%
May 21, 2009	1,830.43	1,853.44	1,866.73	1,829.79	54.91M	-2.60%
May 22, 2009	1,814.62	1,833.94	1,836.13	1,800.99	34.75M	-0.86%
May 25, 2009	1,801.03	1,828.21	1,830.04	1,788.45	40.01M	-0.75%
May 26, 2009	1,808.68	1,805.33	1,815.27	1,774.89	57.93M	0.42%
May 27, 2009	1,845.56	1,835.44	1,867.33	1,833.89	63.70M	2.04%
May 28, 2009	1,814.29	1,840.82	1,848.08	1,814.29	50.07M	-1.69%
May 29, 2009	1,802.37	1,833.86	1,851.43	1,801.06	74.44M	-0.66%
Jun 01, 2009	1,916.76	1,849.59	1,916.76	1,843.56	39.59M	6.35%
Jun 02, 2009	1,968.71	1,909.06	1,984.43	1,900.18	46.15M	2.71%
Jun 03, 2009	1,937.89	1,979.02	1,987.04	1,937.89	55.35M	-1.57%
Jun 04, 2009	1,969.00	1,954.13	1,977.09	1,943.28	56.18M	1.61%
Jun 05, 2009	1,962.39	1,995.47	2,013.41	1,962.39	35.50M	-0.34%
Jun 08, 2009	1,920.28	1,948.83	1,950.15	1,916.43	29.70M	-2.15%
Jun 09, 2009	1,959.86	1,931.47	1,959.86	1,926.42	52.10M	2.06%
Jun 10, 2009	2,002.85	2,007.42	2,014.92	1,989.52	45.53M	2.19%
Jun 12, 2009	2,041.32	1,996.87	2,041.32	1,980.74	39.47M	1.92%
