project,article,granularity,timestamp,access,agent,views
en.wikipedia,Ethereum,daily,2015070100,all-access,all-agents,263
en.wikipedia,Ethereum,daily,2015070200,all-access,all-agents,233
en.wikipedia,Ethereum,daily,2015070300,all-access,all-agents,256
en.wikipedia,Ethereum,daily,2015070400,all-access,all-agents,301
en.wikipedia,Ethereum,daily,2015070500,all-access,all-agents,219
en.wikipedia,Ethereum,daily,2015070600,all-access,all-agents,276
en.wikipedia,Ethereum,daily,2015070700,all-access,all-agents,333
en.wikipedia,Ethereum,daily,2015070800,all-access,all-agents,294
en.wikipedia,Ethereum,daily,2015070900,all-access,all-agents,259
en.wikipedia,Ethereum,daily,2015071000,all-access,all-agents,207
en.wikipedia,Ethereum,daily,2015071100,all-access,all-agents,177
en.wikipedia,Ethereum,daily,2015071200,all-access,all-agents,196
en.wikipedia,Ethereum,daily,2015071300,all-access,all-agents,313
en.wikipedia,Ethereum,daily,2015071400,all-access,all-agents,357
en.wikipedia,Ethereum,daily,2015071500,all-access,all-agents,303
en.wikipedia,Ethereum,daily,2015071600,all-access,all-agents,240
en.wikipedia,Ethereum,daily,2015071700,all-access,all-agents,233
en.wikipedia,Ethereum,daily,2015071800,all-access,all-agents,214
en.wikipedia,Ethereum,daily,2015071900,all-access,all-agents,201
en.wikipedia,Ethereum,daily,2015072000,all-access,all-agents,216
en.wikipedia,Ethereum,daily,2015072100,all-access,all-agents,312
en.wikipedia,Ethereum,daily,2015072200,all-access,all-agents,487
en.wikipedia,Ethereum,daily,2015072300,all-access,all-agents,419
en.wikipedia,Ethereum,daily,2015072400,all-access,all-agents,301
en.wikipedia,Ethereum,daily,2015072500,all-access,all-agents,258
en.wikipedia,Ethereum,daily,2015072600,all-access,all-agents,335
en.wikipedia,Ethereum,daily,2015072700,all-access,all-agents,643
en.wikipedia,Ethereum,daily,2015072800,all-access,all-agents,633
en.wikipedia,Ethereum,daily,2015072900,all-access,all-agents,567
en.wikipedia,Ethereum,daily,2015073000,all-access,all-agents,1210
en.wikipedia,Ethereum,daily,2015073100,all-access,all-agents,1346
en.wikipedia,Ethereum,daily,2015080100,all-access,all-agents,945
en.wikipedia,Ethereum,daily,2015080200,all-access,all-agents,941
en.wikipedia,Ethereum,daily,2015080300,all-access,all-agents,945
en.wikipedia,Ethereum,daily,2015080400,all-access,all-agents,847
en.wikipedia,Ethereum,daily,2015080500,all-access,all-agents,863
en.wikipedia,Ethereum,daily,2015080600,all-access,all-agents,932
en.wikipedia,Ethereum,daily,2015080700,all-access,all-agents,941
en.wikipedia,Ethereum,daily,2015080800,all-access,all-agents,798
en.wikipedia,Ethereum,daily,2015080900,all-access,all-agents,763
en.wikipedia,Ethereum,daily,2015081000,all-access,all-agents,750
en.wikipedia,Ethereum,daily,2015081100,all-access,all-agents,702
