Date	Price	Open	High	Low	Change %
Jan 01, 2009	0.1466	0.1466	0.1466	0.1466	0.00%
Jan 02, 2009	0.1466	0.1466	0.1466	0.1466	0.00%
Jan 05, 2009	0.1464	0.1464	0.1466	0.1463	-0.14%
Jan 06, 2009	0.1463	0.1464	0.1464	0.1462	-0.07%
Jan 07, 2009	0.1463	0.1463	0.1465	0.1462	0.00%
Jan 08, 2009	0.1463	0.1464	0.1464	0.1463	0.00%
Jan 09, 2009	0.1463	0.1464	0.1464	0.1463	0.00%
Jan 12, 2009	0.1463	0.1463	0.1464	0.1460	0.00%
Jan 13, 2009	0.1463	0.1463	0.1464	0.1462	0.00%
Jan 14, 2009	0.1463	0.1464	0.1465	0.1462	0.00%
Jan 15, 2009	0.1463	0.1464	0.1464	0.1462	0.00%
Jan 16, 2009	0.1463	0.1463	0.1464	0.1462	0.00%
Jan 19, 2009	0.1463	0.1463	0.1464	0.1462	0.00%
Jan 20, 2009	0.1462	0.1463	0.1464	0.1462	-0.07%
Jan 21, 2009	0.1462	0.1462	0.1464	0.1462	0.00%
Jan 22, 2009	0.1463	0.1463	0.1463	0.1462	0.07%
Jan 23, 2009	0.1462	0.1463	0.1464	0.1459	-0.07%
Jan 26, 2009	0.1462	0.1462	0.1462	0.1462	0.00%
Jan 27, 2009	0.1462	0.1462	0.1462	0.1462	0.00%
Jan 28, 2009	0.1462	0.1462	0.1462	0.1462	0.00%
Jan 29, 2009	0.1462	0.1462	0.1462	0.1462	0.00%
Jan 30, 2009	0.1463	0.1463	0.1463	0.1463	0.07%
Feb 02, 2009	0.1460	0.1461	0.1462	0.1459	-0.21%
Feb 03, 2009	0.1462	0.1461	0.1463	0.1461	0.14%
Feb 04, 2009	0.1463	0.1462	0.1465	0.1462	0.07%
Feb 05, 2009	0.1463	0.1464	0.1465	0.1462	0.00%
Feb 06, 2009	0.1463	0.1463	0.1464	0.1463	0.00%
Feb 09, 2009	0.1462	0.1464	0.1465	0.1462	-0.07%
Feb 10, 2009	0.1465	0.1463	0.1466	0.1463	0.21%
Feb 11, 2009	0.1463	0.1464	0.1464	0.1462	-0.14%
Feb 12, 2009	0.1463	0.1464	0.1465	0.1463	0.00%
Feb 13, 2009	0.1462	0.1464	0.1465	0.1462	-0.07%
Feb 16, 2009	0.1465	0.1463	0.1465	0.1462	0.21%
Feb 17, 2009	0.1463	0.1463	0.1465	0.1461	-0.14%
Feb 18, 2009	0.1462	0.1462	0.1465	0.1462	-0.07%
Feb 19, 2009	0.1463	0.1463	0.1464	0.1463	0.07%
Feb 20, 2009	0.1463	0.1463	0.1463	0.1462	0.00%
Feb 23, 2009	0.1463	0.1463	0.1465	0.1462	0.00%
Feb 24, 2009	0.1463	0.1463	0.1463	0.1462	0.00%
Feb 25, 2009	0.1463	0.1463	0.1464	0.1462	0.00%
Feb 26, 2009	0.1463	0.1463	0.1464	0.1462	0.00%
Feb 27, 2009	0.1462	0.1462	0.1464	0.1462	-0.07%
Mar 02, 2009	0.1461	0.1462	0.1464	0.1461	-0.07%
Mar 03, 2009	0.1462	0.1462	0.1464	0.1461	0.07%
Mar 04, 2009	0.1461	0.1462	0.1463	0.1461	-0.07%
Mar 05, 2009	0.1462	0.1462	0.1464	0.1462	0.07%
Mar 06, 2009	0.1462	0.1462	0.1464	0.1462	0.00%
Mar 09, 2009	0.1462	0.1463	0.1464	0.1462	0.00%
Mar 10, 2009	0.1462	0.1462	0.1464	0.1462	0.00%
Mar 11, 2009	0.1462	0.1463	0.1463	0.1461	0.00%
Mar 12, 2009	0.1462	0.1462	0.1463	0.1461	0.00%
Mar 13, 2009	0.1462	0.1463	0.1463	0.1462	0.00%
Mar 16, 2009	0.1462	0.1463	0.1463	0.1462	0.00%
Mar 17, 2009	0.1463	0.1463	0.1464	0.1462	0.07%
Mar 18, 2009	0.1463	0.1463	0.1464	0.1462	0.00%
Mar 19, 2009	0.1465	0.1463	0.1466	0.1462	0.14%
Mar 20, 2009	0.1465	0.1465	0.1466	0.1464	0.00%
Mar 23, 2009	0.1463	0.1465	0.1465	0.1462	-0.14%
Mar 24, 2009	0.1464	0.1464	0.1465	0.1464	0.07%
Mar 25, 2009	0.1464	0.1465	0.1465	0.1463	0.00%
Mar 26, 2009	0.1464	0.1464	0.1465	0.1464	0.00%
Mar 27, 2009	0.1464	0.1464	0.1464	0.1464	0.00%
Mar 30, 2009	0.1463	0.1464	0.1465	0.1462	-0.07%
Mar 31, 2009	0.1463	0.1463	0.1464	0.1462	0.00%
Apr 01, 2009	0.1463	0.1464	0.1465	0.1463	0.00%
Apr 02, 2009	0.1463	0.1463	0.1465	0.1463	0.00%
Apr 03, 2009	0.1463	0.1464	0.1465	0.1463	0.00%
Apr 06, 2009	0.1463	0.1463	0.1463	0.1463	0.00%
Apr 07, 2009	0.1463	0.1463	0.1464	0.1462	0.00%
Apr 08, 2009	0.1463	0.1463	0.1465	0.1462	0.00%
Apr 09, 2009	0.1463	0.1463	0.1465	0.1463	0.00%
Apr 10, 2009	0.1463	0.1464	0.1465	0.1462	0.00%
Apr 13, 2009	0.1463	0.1463	0.1464	0.1463	0.00%
Apr 14, 2009	0.1464	0.1463	0.1466	0.1463	0.07%
Apr 15, 2009	0.1464	0.1464	0.1465	0.1463	0.00%
Apr 16, 2009	0.1464	0.1464	0.1465	0.1464	0.00%
Apr 17, 2009	0.1464	0.1464	0.1465	0.1463	0.00%
Apr 20, 2009	0.1463	0.1464	0.1465	0.1463	-0.07%
Apr 21, 2009	0.1465	0.1464	0.1465	0.1463	0.14%
Apr 22, 2009	0.1464	0.1464	0.1466	0.1463	-0.07%
Apr 23, 2009	0.1465	0.1465	0.1465	0.1464	0.07%
Apr 24, 2009	0.1465	0.1465	0.1467	0.1464	0.00%
Apr 27, 2009	0.1465	0.1465	0.1466	0.1464	0.00%
Apr 28, 2009	0.1465	0.1465	0.1466	0.1465	0.00%
Apr 29, 2009	0.1465	0.1465	0.1467	0.1465	0.00%
Apr 30, 2009	0.1467	0.1466	0.1467	0.1464	0.14%
May 01, 2009	0.1467	0.1466	0.1467	0.1466	0.00%
May 04, 2009	0.1466	0.1466	0.1468	0.1465	-0.07%
May 05, 2009	0.1466	0.1466	0.1469	0.1466	0.00%
May 06, 2009	0.1467	0.1467	0.1467	0.1465	0.07%
May 07, 2009	0.1466	0.1466	0.1467	0.1466	-0.07%
May 08, 2009	0.1466	0.1466	0.1467	0.1466	0.00%
May 11, 2009	0.1466	0.1466	0.1468	0.1465	0.00%
May 12, 2009	0.1466	0.1466	0.1467	0.1465	0.00%
May 13, 2009	0.1466	0.1466	0.1467	0.1466	0.00%
May 14, 2009	0.1465	0.1466	0.1467	0.1465	-0.07%
May 15, 2009	0.1465	0.1466	0.1466	0.1465	0.00%
May 18, 2009	0.1465	0.1465	0.1466	0.1465	0.00%
May 19, 2009	0.1465	0.1465	0.1466	0.1465	0.00%
May 20, 2009	0.1465	0.1465	0.1466	0.1465	0.00%
May 21, 2009	0.1465	0.1466	0.1466	0.1465	0.00%
May 22, 2009	0.1466	0.1466	0.1466	0.1465	0.07%
May 25, 2009	0.1465	0.1466	0.1466	0.1465	-0.07%
May 26, 2009	0.1464	0.1465	0.1465	0.1464	-0.07%
May 27, 2009	0.1465	0.1466	0.1466	0.1463	0.07%
May 28, 2009	0.1465	0.1464	0.1465	0.1464	0.00%
May 29, 2009	0.1465	0.1464	0.1465	0.1464	0.00%
Jun 01, 2009	0.1465	0.1465	0.1465	0.1464	0.00%
Jun 02, 2009	0.1464	0.1465	0.1465	0.1464	-0.07%
Jun 03, 2009	0.1464	0.1465	0.1465	0.1464	0.00%
Jun 04, 2009	0.1463	0.1464	0.1464	0.1463	-0.07%
Jun 05, 2009	0.1463	0.1464	0.1464	0.1463	0.00%
Jun 08, 2009	0.1463	0.1464	0.1464	0.1463	0.00%
