Date	Price	Open	High	Low	Change %
Jan 01, 2009	13.990	13.967	14.002	13.948	0.07%
Jan 02, 2009	13.879	13.993	14.058	13.840	-0.79%
Jan 05, 2009	13.605	13.902	13.965	13.546	-1.97%
Jan 06, 2009	13.510	13.611	13.659	13.312	-0.70%
Jan 07, 2009	13.634	13.529	13.748	13.430	0.92%
Jan 08, 2009	13.727	13.651	13.800	13.533	0.68%
Jan 09, 2009	13.440	13.710	13.752	13.415	-2.09%
Jan 12, 2009	13.371	13.474	13.476	13.287	-0.51%
Jan 13, 2009	13.196	13.361	13.375	13.142	-1.31%
Jan 14, 2009	13.162	13.190	13.336	13.092	-0.26%
Jan 15, 2009	13.154	13.184	13.242	13.026	-0.06%
Jan 16, 2009	13.304	13.127	13.344	13.110	1.14%
Jan 19, 2009	13.112	13.327	13.386	13.100	-1.44%
Jan 20, 2009	12.889	13.090	13.105	12.856	-1.70%
Jan 21, 2009	13.041	12.907	13.070	12.826	1.18%
Jan 22, 2009	12.986	13.051	13.085	12.908	-0.42%
Jan 23, 2009	12.992	13.004	13.036	12.766	0.05%
Jan 26, 2009	13.166	12.969	13.207	12.860	1.34%
Jan 27, 2009	13.178	13.181	13.330	13.118	0.09%
Jan 28, 2009	13.138	13.164	13.327	13.103	-0.30%
Jan 29, 2009	12.959	13.154	13.180	12.933	-1.36%
Jan 30, 2009	12.782	12.954	12.961	12.778	-1.37%
Feb 02, 2009	12.851	12.769	12.900	12.706	0.54%
Feb 03, 2009	13.037	12.849	13.058	12.801	1.45%
Feb 04, 2009	12.830	13.028	13.070	12.812	-1.59%
Feb 05, 2009	12.786	12.854	12.906	12.759	-0.34%
Feb 06, 2009	12.933	12.797	12.994	12.749	1.15%
Feb 09, 2009	13.010	12.961	13.094	12.872	0.60%
Feb 10, 2009	12.898	13.012	13.075	12.809	-0.86%
Feb 11, 2009	12.896	12.916	13.000	12.832	-0.02%
Feb 12, 2009	12.864	12.902	12.944	12.723	-0.25%
Feb 13, 2009	12.862	12.870	12.944	12.818	-0.02%
Feb 16, 2009	12.778	12.788	12.826	12.727	-0.65%
Feb 17, 2009	12.591	12.792	12.811	12.563	-1.46%
Feb 18, 2009	12.539	12.583	12.641	12.513	-0.41%
Feb 19, 2009	12.663	12.534	12.760	12.525	0.99%
Feb 20, 2009	12.843	12.671	12.885	12.558	1.42%
Feb 23, 2009	12.708	12.797	12.992	12.691	-1.05%
Feb 24, 2009	12.840	12.694	12.877	12.661	1.04%
Feb 25, 2009	12.710	12.843	12.904	12.692	-1.01%
Feb 26, 2009	12.731	12.718	12.810	12.682	0.17%
Feb 27, 2009	12.669	12.744	12.752	12.603	-0.49%
Mar 02, 2009	12.584	12.626	12.636	12.545	-0.67%
Mar 03, 2009	12.567	12.578	12.679	12.521	-0.14%
Mar 04, 2009	12.637	12.557	12.658	12.456	0.56%
Mar 05, 2009	12.561	12.660	12.664	12.479	-0.60%
Mar 06, 2009	12.641	12.546	12.755	12.530	0.64%
Mar 09, 2009	12.611	12.668	12.729	12.553	-0.24%
Mar 10, 2009	12.671	12.603	12.822	12.577	0.48%
Mar 11, 2009	12.829	12.683	12.866	12.617	1.25%
Mar 12, 2009	12.912	12.842	12.948	12.732	0.65%
Mar 13, 2009	12.925	12.916	12.959	12.864	0.10%
Mar 16, 2009	12.966	12.884	13.071	12.835	0.32%
Mar 17, 2009	13.013	12.982	13.033	12.929	0.36%
Mar 18, 2009	13.508	13.015	13.520	12.987	3.80%
Mar 19, 2009	13.666	13.519	13.739	13.418	1.17%
Mar 20, 2009	13.583	13.662	13.730	13.517	-0.61%
Mar 23, 2009	13.630	13.632	13.737	13.487	0.35%
Mar 24, 2009	13.460	13.622	13.678	13.432	-1.25%
Mar 25, 2009	13.586	13.474	13.653	13.419	0.94%
Mar 26, 2009	13.534	13.588	13.640	13.494	-0.38%
Mar 27, 2009	13.301	13.527	13.594	13.258	-1.72%
Mar 30, 2009	13.207	13.225	13.286	13.112	-0.71%
Mar 31, 2009	13.251	13.202	13.343	13.173	0.33%
Apr 01, 2009	13.232	13.247	13.287	13.167	-0.14%
Apr 02, 2009	13.463	13.227	13.518	13.222	1.75%
Apr 03, 2009	13.483	13.460	13.498	13.365	0.15%
Apr 06, 2009	13.407	13.510	13.582	13.357	-0.56%
Apr 07, 2009	13.268	13.395	13.408	13.226	-1.04%
Apr 08, 2009	13.260	13.267	13.311	13.146	-0.06%
Apr 09, 2009	13.165	13.265	13.336	13.125	-0.72%
Apr 10, 2009	13.188	13.167	13.190	13.091	0.17%
Apr 13, 2009	13.365	13.189	13.393	13.127	1.34%
Apr 14, 2009	13.255	13.369	13.383	13.228	-0.82%
Apr 15, 2009	13.220	13.259	13.297	13.146	-0.26%
Apr 16, 2009	13.179	13.211	13.268	13.126	-0.31%
Apr 17, 2009	13.041	13.185	13.200	13.019	-1.05%
Apr 20, 2009	12.916	13.046	13.049	12.884	-0.96%
Apr 21, 2009	12.935	12.922	12.995	12.898	0.15%
Apr 22, 2009	12.999	12.948	13.038	12.885	0.49%
Apr 23, 2009	13.147	12.994	13.161	12.979	1.14%
Apr 24, 2009	13.255	13.139	13.304	13.114	0.82%
Apr 27, 2009	13.019	13.241	13.246	12.998	-1.78%
Apr 28, 2009	13.146	13.020	13.168	12.964	0.98%
Apr 29, 2009	13.266	13.140	13.342	13.121	0.91%
Apr 30, 2009	13.226	13.251	13.384	13.190	-0.30%
