"","BRL_USD_history.csv Date","BRL_USD_history.csv Price","BRL_USD_history.csv Open","BRL_USD_history.csv High","BRL_USD_history.csv Low"
"1",2009-01-01,0.429,0.429,0.429,0.429
"2",2009-01-02,0.4307,0.429,0.4325,0.4264
"3",2009-01-05,0.4471,0.429,0.4475,0.4283
"4",2009-01-06,0.4609,0.4471,0.4635,0.4471
"5",2009-01-07,0.44,0.4602,0.4602,0.4384
"6",2009-01-08,0.4356,0.44,0.4453,0.4328
"7",2009-01-09,0.4441,0.4355,0.4441,0.4332
"8",2009-01-12,0.4318,0.4439,0.4441,0.4294
"9",2009-01-13,0.431,0.4316,0.4364,0.4276
"10",2009-01-14,0.4227,0.4321,0.4347,0.4203
"11",2009-01-15,0.4246,0.4225,0.426,0.4163
"12",2009-01-16,0.427,0.4244,0.4337,0.4244
"13",2009-01-19,0.4247,0.4268,0.4328,0.4241
"14",2009-01-20,0.4209,0.4246,0.4292,0.4202
"15",2009-01-21,0.4279,0.4211,0.4285,0.4207
"16",2009-01-22,0.4309,0.4277,0.4333,0.4247
"17",2009-01-23,0.4292,0.4293,0.432,0.4224
"18",2009-01-26,0.4329,0.4293,0.4348,0.4285
"19",2009-01-27,0.4269,0.4331,0.4348,0.4264
"20",2009-01-28,0.4415,0.4274,0.443,0.4274
"21",2009-01-29,0.4359,0.4394,0.445,0.435
"22",2009-01-30,0.431,0.4355,0.4406,0.4289
"23",2009-02-02,0.4301,0.4307,0.4322,0.4214
"24",2009-02-03,0.4333,0.4299,0.4339,0.429
"25",2009-02-04,0.4336,0.4331,0.4403,0.4307
"26",2009-02-05,0.4374,0.433,0.4392,0.4305
"27",2009-02-06,0.4431,0.4373,0.4462,0.4361
"28",2009-02-09,0.4412,0.4431,0.4487,0.441
"29",2009-02-10,0.4398,0.443,0.447,0.4318
"30",2009-02-11,0.442,0.4316,0.4425,0.4316
"31",2009-02-12,0.4356,0.4415,0.4425,0.4325
"32",2009-02-13,0.4434,0.4331,0.4445,0.433
"33",2009-02-16,0.4395,0.4432,0.4433,0.4384
"34",2009-02-17,0.427,0.4391,0.4427,0.4269
"35",2009-02-18,0.4254,0.4267,0.4309,0.4227
"36",2009-02-19,0.4215,0.4267,0.4318,0.4207
"37",2009-02-20,0.4186,0.4214,0.4225,0.4163
"38",2009-02-23,0.4202,0.4203,0.4205,0.4163
"39",2009-02-24,0.4195,0.42,0.4202,0.4168
"40",2009-02-25,0.4224,0.4193,0.423,0.4148
"41",2009-02-26,0.4251,0.421,0.427,0.4209
"42",2009-02-27,0.4182,0.4251,0.4252,0.4176
"43",2009-03-02,0.4081,0.418,0.418,0.4079
"44",2009-03-03,0.4136,0.4081,0.4166,0.4081
"45",2009-03-04,0.4223,0.413,0.4247,0.413
"46",2009-03-05,0.4183,0.4227,0.4227,0.4158
"47",2009-03-06,0.4209,0.417,0.4231,0.4167
"48",2009-03-09,0.4191,0.4202,0.423,0.4175
"49",2009-03-10,0.4289,0.419,0.4294,0.419
"50",2009-03-11,0.4269,0.427,0.4322,0.4246
"51",2009-03-12,0.4357,0.4253,0.4365,0.4253
"52",2009-03-13,0.434,0.4346,0.4398,0.4316
"53",2009-03-16,0.4383,0.4351,0.4432,0.4334
"54",2009-03-17,0.4376,0.4404,0.4409,0.4357
"55",2009-03-18,0.4449,0.4375,0.4454,0.4331
"56",2009-03-19,0.4433,0.4447,0.4496,0.4418
"57",2009-03-20,0.4403,0.4441,0.4463,0.4402
"58",2009-03-23,0.4454,0.4413,0.4469,0.4385
"59",2009-03-24,0.4448,0.443,0.4468,0.4405
"60",2009-03-25,0.447,0.4456,0.4478,0.4409
"61",2009-03-26,0.4471,0.4461,0.4508,0.4438
"62",2009-03-27,0.4367,0.4461,0.447,0.4344
"63",2009-03-30,0.429,0.4364,0.4368,0.427
"64",2009-03-31,0.4316,0.4295,0.4355,0.4288
"65",2009-04-01,0.44,0.4313,0.4402,0.4306
"66",2009-04-02,0.4481,0.44,0.4492,0.4383
"67",2009-04-03,0.4527,0.4487,0.4561,0.446
"68",2009-04-06,0.4507,0.4524,0.4541,0.4474
"69",2009-04-07,0.452,0.4502,0.452,0.444
"70",2009-04-08,0.4538,0.4489,0.4564,0.4489
"71",2009-04-09,0.4607,0.4542,0.4616,0.453
"72",2009-04-10,0.4606,0.4606,0.461,0.4604
"73",2009-04-13,0.4607,0.4604,0.4625,0.4583
"74",2009-04-14,0.4528,0.46,0.4611,0.4521
"75",2009-04-15,0.4579,0.4526,0.4585,0.4498
"76",2009-04-16,0.4595,0.4576,0.4616,0.4562
"77",2009-04-17,0.4561,0.4585,0.4612,0.4541
"78",2009-04-20,0.4447,0.456,0.4561,0.444
"79",2009-04-21,0.449,0.4473,0.4507,0.4462
"80",2009-04-22,0.4521,0.4488,0.4549,0.446
"81",2009-04-23,0.4534,0.4519,0.4565,0.4484
"82",2009-04-24,0.4581,0.4532,0.4593,0.4516
"83",2009-04-27,0.4506,0.458,0.4581,0.448
"84",2009-04-28,0.4549,0.4492,0.4564,0.4454
"85",2009-04-29,0.4592,0.4546,0.4632,0.4535
"86",2009-04-30,0.4567,0.4591,0.4627,0.4555
"87",2009-05-01,0.46,0.4566,0.46,0.4564
"88",2009-05-04,0.4729,0.4598,0.473,0.4598
"89",2009-05-05,0.4681,0.4729,0.4752,0.4629
"90",2009-05-06,0.473,0.4677,0.4748,0.4653
"91",2009-05-07,0.4746,0.4728,0.4791,0.4713
"92",2009-05-08,0.4849,0.4746,0.4856,0.4708
"93",2009-05-11,0.4837,0.4816,0.4876,0.4808
"94",2009-05-12,0.4831,0.4836,0.4889,0.4809
"95",2009-05-13,0.4728,0.4827,0.4839,0.4726
"96",2009-05-14,0.4794,0.4727,0.4812,0.4704
"97",2009-05-15,0.4733,0.4793,0.4841,0.4723
"98",2009-05-18,0.483,0.473,0.4839,0.473
