"","CNY_USD_history.csv Date","CNY_USD_history.csv Price","CNY_USD_history.csv Open","CNY_USD_history.csv High","CNY_USD_history.csv Low"
"1",2009-01-01,0.1466,0.1466,0.1466,0.1466
"2",2009-01-02,0.1466,0.1466,0.1466,0.1466
"3",2009-01-05,0.1464,0.1464,0.1466,0.1463
"4",2009-01-06,0.1463,0.1464,0.1464,0.1462
"5",2009-01-07,0.1463,0.1463,0.1465,0.1462
"6",2009-01-08,0.1463,0.1464,0.1464,0.1463
"7",2009-01-09,0.1463,0.1464,0.1464,0.1463
"8",2009-01-12,0.1463,0.1463,0.1464,0.146
"9",2009-01-13,0.1463,0.1463,0.1464,0.1462
"10",2009-01-14,0.1463,0.1464,0.1465,0.1462
"11",2009-01-15,0.1463,0.1464,0.1464,0.1462
"12",2009-01-16,0.1463,0.1463,0.1464,0.1462
"13",2009-01-19,0.1463,0.1463,0.1464,0.1462
"14",2009-01-20,0.1462,0.1463,0.1464,0.1462
"15",2009-01-21,0.1462,0.1462,0.1464,0.1462
"16",2009-01-22,0.1463,0.1463,0.1463,0.1462
"17",2009-01-23,0.1462,0.1463,0.1464,0.1459
"18",2009-01-26,0.1462,0.1462,0.1462,0.1462
"19",2009-01-27,0.1462,0.1462,0.1462,0.1462
"20",2009-01-28,0.1462,0.1462,0.1462,0.1462
"21",2009-01-29,0.1462,0.1462,0.1462,0.1462
"22",2009-01-30,0.1463,0.1463,0.1463,0.1463
"23",2009-02-02,0.146,0.1461,0.1462,0.1459
"24",2009-02-03,0.1462,0.1461,0.1463,0.1461
"25",2009-02-04,0.1463,0.1462,0.1465,0.1462
"26",2009-02-05,0.1463,0.1464,0.1465,0.1462
"27",2009-02-06,0.1463,0.1463,0.1464,0.1463
"28",2009-02-09,0.1462,0.1464,0.1465,0.1462
"29",2009-02-10,0.1465,0.1463,0.1466,0.1463
"30",2009-02-11,0.1463,0.1464,0.1464,0.1462
"31",2009-02-12,0.1463,0.1464,0.1465,0.1463
"32",2009-02-13,0.1462,0.1464,0.1465,0.1462
"33",2009-02-16,0.1465,0.1463,0.1465,0.1462
"34",2009-02-17,0.1463,0.1463,0.1465,0.1461
"35",2009-02-18,0.1462,0.1462,0.1465,0.1462
"36",2009-02-19,0.1463,0.1463,0.1464,0.1463
"37",2009-02-20,0.1463,0.1463,0.1463,0.1462
"38",2009-02-23,0.1463,0.1463,0.1465,0.1462
"39",2009-02-24,0.1463,0.1463,0.1463,0.1462
"40",2009-02-25,0.1463,0.1463,0.1464,0.1462
"41",2009-02-26,0.1463,0.1463,0.1464,0.1462
"42",2009-02-27,0.1462,0.1462,0.1464,0.1462
"43",2009-03-02,0.1461,0.1462,0.1464,0.1461
"44",2009-03-03,0.1462,0.1462,0.1464,0.1461
"45",2009-03-04,0.1461,0.1462,0.1463,0.1461
"46",2009-03-05,0.1462,0.1462,0.1464,0.1462
"47",2009-03-06,0.1462,0.1462,0.1464,0.1462
"48",2009-03-09,0.1462,0.1463,0.1464,0.1462
"49",2009-03-10,0.1462,0.1462,0.1464,0.1462
"50",2009-03-11,0.1462,0.1463,0.1463,0.1461
"51",2009-03-12,0.1462,0.1462,0.1463,0.1461
"52",2009-03-13,0.1462,0.1463,0.1463,0.1462
"53",2009-03-16,0.1462,0.1463,0.1463,0.1462
"54",2009-03-17,0.1463,0.1463,0.1464,0.1462
"55",2009-03-18,0.1463,0.1463,0.1464,0.1462
"56",2009-03-19,0.1465,0.1463,0.1466,0.1462
"57",2009-03-20,0.1465,0.1465,0.1466,0.1464
"58",2009-03-23,0.1463,0.1465,0.1465,0.1462
"59",2009-03-24,0.1464,0.1464,0.1465,0.1464
"60",2009-03-25,0.1464,0.1465,0.1465,0.1463
"61",2009-03-26,0.1464,0.1464,0.1465,0.1464
"62",2009-03-27,0.1464,0.1464,0.1464,0.1464
"63",2009-03-30,0.1463,0.1464,0.1465,0.1462
"64",2009-03-31,0.1463,0.1463,0.1464,0.1462
"65",2009-04-01,0.1463,0.1464,0.1465,0.1463
"66",2009-04-02,0.1463,0.1463,0.1465,0.1463
"67",2009-04-03,0.1463,0.1464,0.1465,0.1463
