"","GBP_USD_history.csv Date","GBP_USD_history.csv Price","GBP_USD_history.csv Open","GBP_USD_history.csv High","GBP_USD_history.csv Low"
"1",2009-01-01,1.4736,1.4688,1.4814,1.4681
"2",2009-01-02,1.438,1.4734,1.4767,1.438
"3",2009-01-05,1.4719,1.4529,1.4741,1.4433
"4",2009-01-06,1.4912,1.4718,1.4995,1.4506
"5",2009-01-07,1.5076,1.4913,1.5284,1.4807
"6",2009-01-08,1.5227,1.5071,1.5376,1.4985
"7",2009-01-09,1.5129,1.5227,1.5351,1.5129
"8",2009-01-12,1.4819,1.5081,1.5117,1.4805
"9",2009-01-13,1.4517,1.4819,1.4821,1.4474
"10",2009-01-14,1.462,1.4518,1.471,1.4494
"11",2009-01-15,1.4671,1.462,1.468,1.4559
"12",2009-01-16,1.4658,1.4671,1.4982,1.4658
"13",2009-01-19,1.4426,1.4879,1.4911,1.436
"14",2009-01-20,1.3878,1.4426,1.443,1.3815
"15",2009-01-21,1.3879,1.3877,1.4028,1.3623
"16",2009-01-22,1.3881,1.388,1.3978,1.3692
"17",2009-01-23,1.3506,1.3881,1.3885,1.3506
"18",2009-01-26,1.3974,1.3854,1.4063,1.3782
"19",2009-01-27,1.4189,1.3972,1.4244,1.3934
"20",2009-01-28,1.4229,1.4187,1.4352,1.4128
"21",2009-01-29,1.4282,1.423,1.4414,1.4075
"22",2009-01-30,1.4545,1.428,1.4545,1.419
"23",2009-02-02,1.421,1.4342,1.4351,1.4054
"24",2009-02-03,1.4435,1.4212,1.4487,1.4157
"25",2009-02-04,1.4459,1.4435,1.458,1.4326
"26",2009-02-05,1.463,1.4459,1.4706,1.437
"27",2009-02-06,1.4845,1.4629,1.4845,1.4592
"28",2009-02-09,1.486,1.4733,1.4986,1.4707
"29",2009-02-10,1.4462,1.4861,1.4896,1.4462
"30",2009-02-11,1.4362,1.456,1.4813,1.4319
"31",2009-02-12,1.4288,1.4362,1.4417,1.414
"32",2009-02-13,1.4605,1.4293,1.4605,1.428
"33",2009-02-16,1.4321,1.424,1.4321,1.4154
"34",2009-02-17,1.4241,1.4299,1.4313,1.4129
"35",2009-02-18,1.4251,1.424,1.4301,1.4097
"36",2009-02-19,1.4265,1.4249,1.4449,1.4241
"37",2009-02-20,1.4485,1.4264,1.4485,1.4154
"38",2009-02-23,1.4457,1.4375,1.4663,1.4367
"39",2009-02-24,1.4527,1.4459,1.4581,1.4376
"40",2009-02-25,1.4216,1.4526,1.4609,1.4176
"41",2009-02-26,1.4386,1.4215,1.4386,1.4164
