Date	Price	Open	High	Low	Vol.	Change %
Jan 02, 2009	27,005.63	26,864.07	27,332.12	26,864.07	-	0.53%
Jan 05, 2009	27,988.65	27,005.63	28,096.34	27,005.63	-	3.64%
Jan 06, 2009	28,709.41	27,988.65	28,732.54	27,988.65	-	2.58%
Jan 07, 2009	27,892.65	28,709.41	28,709.41	27,727.37	-	-2.84%
Jan 08, 2009	26,210.37	27,892.65	27,892.65	26,120.63	-	-6.03%
Jan 09, 2009	26,470.08	26,210.37	27,088.83	26,210.37	-	0.99%
Jan 12, 2009	25,708.56	26,470.08	26,470.08	25,582.54	-	-2.88%
Jan 13, 2009	26,108.72	25,708.56	26,166.08	25,196.82	-	1.56%
Jan 14, 2009	25,055.71	26,108.72	26,400.82	25,012.33	-	-4.03%
Jan 15, 2009	25,072.30	25,055.71	25,556.11	24,833.88	-	0.07%
Jan 16, 2009	25,630.96	25,072.30	25,992.08	25,072.30	-	2.23%
Jan 19, 2009	25,055.88	25,630.96	25,882.81	24,883.87	-	-2.24%
Jan 20, 2009	24,714.74	25,055.88	25,428.04	24,649.84	-	-1.36%
Jan 21, 2009	24,736.12	24,714.74	24,736.12	24,035.25	-	0.09%
Jan 22, 2009	24,641.93	24,736.12	25,305.27	24,489.94	-	-0.38%
Jan 23, 2009	24,781.83	24,641.93	24,836.64	24,332.58	-	0.57%
Jan 26, 2009	25,970.00	24,781.83	25,970.00	24,781.83	-	4.79%
Jan 27, 2009	25,798.26	25,970.00	26,259.62	25,479.97	-	-0.66%
Jan 28, 2009	26,705.62	25,798.26	26,772.48	25,798.26	-	3.52%
Jan 29, 2009	26,162.99	26,705.62	26,705.62	26,011.12	-	-2.03%
Jan 30, 2009	25,934.37	26,162.99	26,162.99	25,567.40	-	-0.87%
Feb 02, 2009	25,270.81	25,934.37	25,934.37	25,234.77	-	-2.56%
Feb 03, 2009	25,659.90	25,270.81	25,874.04	25,270.81	-	1.54%
Feb 04, 2009	26,141.06	25,659.90	26,307.99	25,659.90	-	1.88%
Feb 05, 2009	25,774.21	26,141.06	26,141.06	25,669.31	-	-1.40%
Feb 06, 2009	26,735.21	25,774.21	26,783.85	25,774.21	-	3.73%
Feb 09, 2009	27,040.47	26,735.21	27,131.87	26,735.21	-	1.14%
Feb 10, 2009	25,966.12	27,040.47	27,040.47	25,904.60	-	-3.97%
Feb 11, 2009	25,398.42	25,966.12	25,966.12	24,974.76	-	-2.19%
Feb 12, 2009	25,023.08	25,398.42	25,674.78	24,899.20	-	-1.48%
Feb 13, 2009	25,199.53	25,023.08	25,562.26	24,961.38	-	0.71%
Feb 16, 2009	24,911.52	25,199.53	25,199.53	24,720.70	-	-1.14%
Feb 17, 2009	23,907.55	24,911.52	24,911.52	23,754.50	-	-4.03%
Feb 18, 2009	23,844.72	23,907.55	24,182.75	23,160.00	-	-0.26%
Feb 19, 2009	24,439.91	23,844.72	24,527.99	23,844.72	-	2.50%
Feb 20, 2009	23,579.48	24,439.91	24,439.91	23,453.10	-	-3.52%
Feb 23, 2009	23,991.03	23,579.48	24,196.58	23,579.48	-	1.75%
Feb 24, 2009	24,032.46	23,991.03	24,068.71	23,436.60	-	0.17%
Feb 25, 2009	24,152.34	24,032.46	24,554.43	24,032.46	-	0.50%
Feb 26, 2009	24,168.57	24,152.34	24,343.56	24,034.66	-	0.07%
