Date	Price	Open	High	Low	Vol.	Change %
Jan 02, 2009	1,578.46	1,503.02	1,596.41	1,500.46	7.49M	5.02%
Jan 05, 2009	1,560.97	1,578.46	1,624.23	1,555.64	6.36M	-1.11%
Jan 06, 2009	1,549.47	1,560.97	1,568.31	1,539.68	1.80M	-0.74%
Jan 07, 2009	1,550.07	1,549.47	1,556.57	1,545.29	2.22M	0.04%
Jan 08, 2009	1,542.40	1,550.07	1,559.52	1,536.50	1.71M	-0.49%
Jan 09, 2009	1,532.25	1,542.40	1,545.11	1,524.86	1.14M	-0.66%
Jan 12, 2009	1,533.79	1,532.25	1,555.06	1,529.00	3.37M	0.10%
Jan 13, 2009	1,576.25	1,533.79	1,588.93	1,532.40	8.59M	2.77%
Jan 15, 2009	1,628.87	1,576.25	1,644.46	1,576.25	9.45M	3.34%
Jan 16, 2009	1,649.95	1,628.87	1,663.18	1,620.10	8.07M	1.29%
Jan 19, 2009	1,740.41	1,649.95	1,764.87	1,649.95	11.07M	5.48%
Jan 20, 2009	1,810.27	1,740.41	1,816.22	1,740.41	11.05M	4.01%
Jan 21, 2009	1,720.13	1,810.27	1,821.81	1,715.00	9.29M	-4.98%
Jan 22, 2009	1,750.14	1,720.13	1,753.23	1,719.45	3.52M	1.74%
Jan 23, 2009	1,761.81	1,750.10	1,771.63	1,750.07	3.25M	0.67%
Jan 26, 2009	1,818.06	1,761.00	1,827.15	1,761.00	9.33M	3.19%
Jan 27, 2009	1,800.99	1,818.00	1,826.78	1,792.52	4.09M	-0.94%
Jan 28, 2009	1,812.21	1,800.99	1,817.41	1,799.68	5.41M	0.62%
Jan 29, 2009	1,834.94	1,812.00	1,840.49	1,808.25	10.77M	1.25%
Jan 30, 2009	1,821.24	1,834.94	1,844.61	1,821.24	28.25M	-0.75%
Feb 02, 2009	1,803.89	1,821.24	1,842.77	1,803.40	6.16M	-0.95%
Feb 03, 2009	1,801.59	1,803.89	1,808.89	1,790.45	4.51M	-0.13%
Feb 05, 2009	1,755.47	1,801.59	1,807.58	1,751.95	4.08M	-2.56%
Feb 06, 2009	1,762.11	1,755.47	1,770.16	1,755.43	5.99M	0.38%
Feb 10, 2009	1,765.88	1,762.11	1,771.74	1,757.38	4.76M	0.21%
Feb 11, 2009	1,761.93	1,765.88	1,774.09	1,754.18	3.85M	-0.22%
Feb 12, 2009	1,749.39	1,761.93	1,774.06	1,749.39	2.92M	-0.71%
Feb 13, 2009	1,748.14	1,749.39	1,761.40	1,747.75	3.34M	-0.07%
Feb 16, 2009	1,751.98	1,748.10	1,764.82	1,748.10	5.72M	0.22%
Feb 17, 2009	1,744.93	1,751.98	1,756.04	1,743.05	12.74M	-0.40%
Feb 18, 2009	1,737.94	1,744.93	1,753.67	1,735.09	67.35M	-0.40%
Feb 19, 2009	1,724.42	1,737.94	1,740.37	1,724.42	11.49M	-0.78%
Feb 20, 2009	1,734.41	1,724.42	1,743.78	1,723.49	22.75M	0.58%
Feb 24, 2009	1,726.91	1,734.41	1,744.42	1,725.84	2.85M	-0.43%
Feb 25, 2009	1,706.30	1,726.91	1,728.68	1,703.80	4.44M	-1.19%
Feb 26, 2009	1,698.60	1,706.30	1,713.16	1,696.86	6.13M	-0.45%
Feb 27, 2009	1,694.14	1,698.60	1,708.40	1,690.94	3.95M	-0.26%
Mar 02, 2009	1,671.69	1,694.14	1,703.90	1,670.55	3.47M	-1.33%
Mar 03, 2009	1,639.47	1,671.69	1,671.74	1,638.53	3.09M	-1.93%
Mar 04, 2009	1,628.83	1,639.47	1,671.69	1,624.94	2.61M	-0.65%
Mar 05, 2009	1,616.06	1,628.83	1,629.69	1,608.00	6.69M	-0.78%
Mar 06, 2009	1,627.70	1,616.06	1,637.94	1,616.03	30.21M	0.72%
Mar 09, 2009	1,630.70	1,627.70	1,641.88	1,627.70	2.73M	0.18%
Mar 11, 2009	1,637.92	1,630.70	1,645.17	1,630.70	2.22M	0.44%
Mar 12, 2009	1,634.25	1,637.92	1,646.12	1,630.27	2.55M	-0.22%
Mar 13, 2009	1,632.87	1,634.25	1,642.40	1,631.09	6.87M	-0.08%
Mar 16, 2009	1,619.82	1,632.87	1,637.82	1,619.82	2.58M	-0.80%
Mar 17, 2009	1,612.33	1,619.82	1,620.21	1,609.17	3.22M	-0.46%
Mar 18, 2009	1,618.84	1,612.33	1,631.85	1,612.33	20.10M	0.40%
Mar 19, 2009	1,626.05	1,618.84	1,633.59	1,618.76	5.22M	0.45%
Mar 20, 2009	1,621.81	1,626.05	1,629.78	1,619.64	2.47M	-0.26%
Mar 23, 2009	1,627.91	1,621.81	1,635.40	1,621.52	16.78M	0.38%
Mar 24, 2009	1,625.48	1,627.91	1,644.43	1,625.48	5.21M	-0.15%
Mar 25, 2009	1,637.23	1,625.48	1,647.13	1,625.36	38.10M	0.72%
Mar 26, 2009	1,636.96	1,637.23	1,645.42	1,635.85	10.11M	-0.02%
Mar 27, 2009	1,648.44	1,636.96	1,653.28	1,636.63	4.21M	0.70%
Mar 30, 2009	1,644.59	1,648.44	1,648.62	1,637.49	6.36M	-0.23%
Mar 31, 2009	1,638.06	1,644.59	1,644.59	1,632.65	3.85M	-0.40%
Apr 01, 2009	1,639.76	1,638.06	1,646.13	1,637.42	5.72M	0.10%
Apr 02, 2009	1,636.33	1,639.76	1,650.48	1,634.83	6.78M	-0.21%
Apr 03, 2009	1,637.19	1,636.33	1,640.67	1,633.10	2.08M	0.05%
Apr 06, 2009	1,652.80	1,637.19	1,660.62	1,637.19	2.07M	0.95%
Apr 07, 2009	1,675.21	1,652.80	1,685.94	1,648.38	10.72M	1.36%
Apr 08, 2009	1,676.18	1,675.21	1,684.60	1,671.51	3.50M	0.06%
Apr 15, 2009	1,683.44	1,676.18	1,694.11	1,676.18	2.99M	0.43%
Apr 16, 2009	1,691.98	1,683.44	1,700.66	1,683.44	2.37M	0.51%
Apr 17, 2009	1,725.29	1,691.98	1,728.39	1,691.98	3.75M	1.97%
Apr 20, 2009	1,744.14	1,725.29	1,758.83	1,722.85	6.96M	1.09%
Apr 21, 2009	1,753.94	1,744.14	1,767.55	1,744.14	7.95M	0.56%
Apr 22, 2009	1,777.58	1,753.94	1,782.04	1,753.94	10.05M	1.35%
Apr 23, 2009	1,810.00	1,777.58	1,816.22	1,777.58	17.46M	1.82%
Apr 24, 2009	1,845.03	1,810.00	1,855.58	1,810.00	12.46M	1.94%
Apr 27, 2009	1,812.35	1,845.03	1,856.48	1,807.40	7.25M	-1.77%
Apr 28, 2009	1,797.85	1,812.35	1,820.71	1,791.58	3.20M	-0.80%
Apr 29, 2009	1,826.37	1,797.85	1,833.86	1,797.82	4.83M	1.59%
Apr 30, 2009	1,838.45	1,826.37	1,842.41	1,816.55	2.85M	0.66%
May 04, 2009	1,841.91	1,838.45	1,849.85	1,838.45	4.41M	0.19%
May 05, 2009	1,868.65	1,841.91	1,876.17	1,841.63	7.35M	1.45%
May 06, 2009	1,893.32	1,868.65	1,898.68	1,868.65	10.61M	1.32%
May 07, 2009	1,896.01	1,893.32	1,903.69	1,889.92	8.80M	0.14%
May 11, 2009	1,900.09	1,896.01	1,910.93	1,896.01	5.81M	0.22%
May 12, 2009	1,888.62	1,900.09	1,900.71	1,875.90	5.76M	-0.60%
May 13, 2009	1,870.45	1,888.62	1,888.62	1,867.88	3.80M	-0.96%
May 14, 2009	1,884.42	1,870.45	1,888.04	1,869.44	4.42M	0.75%
May 15, 2009	1,907.67	1,884.42	1,918.88	1,884.36	37.21M	1.23%
May 18, 2009	2,030.90	1,907.67	2,046.88	1,907.67	34.23M	6.46%
May 19, 2009	2,035.59	2,030.90	2,077.48	2,014.65	28.66M	0.23%
May 21, 2009	2,142.52	2,035.59	2,164.53	2,035.59	66.55M	5.25%
May 22, 2009	2,146.73	2,142.52	2,178.11	2,131.63	64.37M	0.20%
May 25, 2009	2,120.63	2,146.73	2,166.55	2,109.92	63.10M	-1.22%
May 26, 2009	2,142.46	2,120.63	2,147.58	2,120.63	46.44M	1.03%
May 27, 2009	2,156.04	2,142.46	2,166.45	2,142.46	72.34M	0.63%
May 28, 2009	2,210.79	2,156.04	2,218.13	2,156.04	43.54M	2.54%
May 29, 2009	2,215.96	2,210.79	2,231.52	2,209.59	29.24M	0.23%
Jun 01, 2009	2,209.52	2,215.96	2,225.04	2,201.13	13.44M	-0.29%
Jun 02, 2009	2,184.04	2,209.52	2,214.26	2,180.84	9.30M	-1.15%
Jun 03, 2009	2,183.47	2,184.04	2,203.37	2,173.47	8.90M	-0.03%
Jun 04, 2009	2,139.34	2,183.47	2,183.69	2,138.20	27.14M	-2.02%
Jun 05, 2009	2,178.11	2,139.34	2,185.76	2,128.38	31.72M	1.81%
Jun 08, 2009	2,200.47	2,178.11	2,214.30	2,178.11	16.52M	1.03%
Jun 09, 2009	2,192.79	2,200.47	2,212.81	2,187.14	9.27M	-0.35%
Jun 10, 2009	2,202.43	2,192.79	2,209.14	2,188.71	7.79M	0.44%
Jun 11, 2009	2,220.11	2,202.43	2,225.05	2,201.99	10.37M	0.80%
Jun 12, 2009	2,254.62	2,220.11	2,264.92	2,220.11	19.38M	1.55%
Jun 15, 2009	2,286.12	2,254.62	2,291.09	2,254.57	28.93M	1.40%
Jun 16, 2009	2,292.41	2,286.12	2,295.72	2,270.40	25.70M	0.28%
Jun 17, 2009	2,342.92	2,292.41	2,348.21	2,292.41	26.59M	2.20%
Jun 18, 2009	2,403.97	2,342.92	2,417.75	2,342.92	46.81M	2.61%
Jun 19, 2009	2,456.86	2,403.97	2,468.88	2,403.97	55.64M	2.20%
Jun 22, 2009	2,447.20	2,456.86	2,493.85	2,440.49	18.88M	-0.39%
Jun 23, 2009	2,439.71	2,447.20	2,450.21	2,409.06	14.52M	-0.31%
Jun 24, 2009	2,439.94	2,439.71	2,454.88	2,435.93	19.74M	0.01%
Jun 25, 2009	2,419.01	2,439.94	2,446.78	2,419.01	31.73M	-0.86%
Jun 26, 2009	2,452.01	2,419.01	2,469.08	2,419.01	40.30M	1.36%
Jun 29, 2009	2,439.87	2,452.01	2,466.81	2,437.29	18.48M	-0.50%
Jun 30, 2009	2,432.15	2,439.87	2,446.14	2,430.92	20.03M	-0.32%
Jul 01, 2009	2,418.73	2,432.15	2,436.70	2,418.55	16.01M	-0.55%
Jul 02, 2009	2,408.91	2,418.73	2,425.58	2,407.92	9.52M	-0.41%
Jul 03, 2009	2,399.89	2,408.91	2,415.12	2,386.50	8.39M	-0.37%
Jul 07, 2009	2,392.11	2,399.89	2,409.06	2,391.52	4.66M	-0.32%
Jul 08, 2009	2,376.22	2,392.28	2,407.20	2,370.99	7.63M	-0.66%
Jul 09, 2009	2,348.26	2,376.22	2,380.19	2,340.67	10.01M	-1.18%
Jul 10, 2009	2,363.09	2,348.26	2,376.30	2,346.61	5.32M	0.63%
Jul 13, 2009	2,368.87	2,363.09	2,395.34	2,362.50	8.29M	0.24%
Jul 14, 2009	2,369.11	2,368.87	2,375.28	2,366.61	5.05M	0.01%
Jul 15, 2009	2,373.04	2,369.11	2,377.58	2,364.76	12.09M	0.17%
Jul 16, 2009	2,370.55	2,373.04	2,383.50	2,369.62	10.62M	-0.10%
Jul 17, 2009	2,395.02	2,370.55	2,403.93	2,370.55	11.92M	1.03%
Jul 20, 2009	2,422.92	2,395.02	2,428.89	2,395.02	10.72M	1.16%
Jul 21, 2009	2,473.57	2,422.92	2,485.71	2,422.92	36.80M	2.09%
Jul 22, 2009	2,485.28	2,473.57	2,505.18	2,473.57	16.48M	0.47%
Jul 23, 2009	2,480.56	2,485.28	2,492.65	2,475.91	19.02M	-0.19%
Jul 24, 2009	2,491.75	2,480.56	2,501.07	2,480.04	31.91M	0.45%
Jul 27, 2009	2,520.14	2,491.75	2,540.09	2,491.75	39.00M	1.14%
Jul 28, 2009	2,520.11	2,520.14	2,537.74	2,518.47	14.19M	-0.00%
Jul 29, 2009	2,510.01	2,520.11	2,535.01	2,504.94	20.26M	-0.40%
Jul 30, 2009	2,511.85	2,510.01	2,524.50	2,509.00	22.30M	0.07%
Jul 31, 2009	2,525.70	2,511.85	2,533.76	2,504.93	21.56M	0.55%
Aug 03, 2009	2,512.15	2,525.70	2,535.13	2,512.15	6.52M	-0.54%
Aug 04, 2009	2,517.51	2,512.15	2,522.05	2,500.66	6.40M	0.21%
Aug 06, 2009	2,527.62	2,517.51	2,534.99	2,517.51	9.65M	0.40%
Aug 07, 2009	2,529.53	2,527.62	2,548.65	2,525.02	17.67M	0.08%
Aug 10, 2009	2,522.77	2,529.53	2,552.35	2,517.67	10.77M	-0.27%
Aug 11, 2009	2,524.92	2,522.77	2,527.83	2,501.58	9.87M	0.09%
Aug 12, 2009	2,508.86	2,524.92	2,525.80	2,501.91	10.61M	-0.64%
Aug 13, 2009	2,510.81	2,508.86	2,523.83	2,508.86	9.04M	0.08%
Aug 14, 2009	2,501.19	2,510.81	2,512.53	2,498.81	10.73M	-0.38%
