Date	Price	Open	High	Low	Vol.	Change %
May 06, 2013	287.13	285.21	287.80	284.31	-	1.36%
May 07, 2013	287.64	286.41	288.33	285.26	-	0.18%
May 08, 2013	289.01	288.96	290.33	287.43	-	0.48%
May 09, 2013	287.35	288.80	288.97	285.26	-	-0.57%
May 10, 2013	289.38	286.47	289.39	286.15	-	0.71%
May 13, 2013	288.88	289.68	289.87	287.14	-	-0.17%
May 14, 2013	285.42	288.19	288.22	283.83	-	-1.20%
May 15, 2013	287.05	285.62	287.05	285.13	-	0.57%
May 16, 2013	291.47	286.27	291.51	284.98	-	1.54%
May 17, 2013	295.47	291.07	296.13	290.97	-	1.37%
May 20, 2013	297.79	296.00	299.05	295.03	-	0.79%
May 21, 2013	298.58	297.15	298.58	296.07	-	0.27%
May 22, 2013	298.58	298.34	300.06	297.10	-	0.00%
May 23, 2013	294.74	296.93	299.13	294.44	-	-1.29%
May 24, 2013	296.84	295.87	297.21	294.00	-	0.71%
May 27, 2013	297.93	296.42	298.66	296.35	-	0.37%
May 28, 2013	302.19	297.94	302.20	296.02	-	1.43%
May 29, 2013	302.50	302.63	303.96	302.25	-	0.10%
May 30, 2013	302.03	301.19	302.94	300.65	-	-0.16%
May 31, 2013	299.45	302.75	303.14	299.28	-	-0.85%
Jun 03, 2013	299.01	299.46	301.41	298.32	-	-0.15%
Jun 04, 2013	294.64	298.26	298.44	293.37	-	-1.46%
Jun 05, 2013	294.15	294.54	295.18	292.30	-	-0.17%
Jun 06, 2013	290.01	292.99	293.41	289.75	-	-1.41%
Jun 07, 2013	285.31	290.43	291.24	284.31	-	-1.62%
Jun 13, 2013	276.26	280.76	280.76	273.05	-	-3.17%
Jun 14, 2013	278.52	277.00	278.79	275.95	-	0.82%
Jun 17, 2013	277.65	279.47	279.57	276.45	-	-0.31%
Jun 18, 2013	279.23	278.75	279.63	276.36	-	0.57%
Jun 19, 2013	277.19	277.49	277.49	273.30	-	-0.73%
Jun 20, 2013	268.61	275.20	275.27	268.50	-	-3.10%
Jun 21, 2013	267.80	263.84	269.36	262.20	-	-0.30%
Jun 24, 2013	251.39	266.57	266.57	250.46	-	-6.13%
Jun 25, 2013	250.69	248.14	251.08	234.28	-	-0.28%
Jun 26, 2013	251.29	250.63	252.43	247.07	-	0.24%
Jun 27, 2013	249.93	252.14	254.91	249.30	-	-0.54%
Jun 28, 2013	253.41	247.77	256.23	247.07	-	1.39%
Jul 01, 2013	255.47	251.85	255.47	250.18	-	0.81%
Jul 02, 2013	256.98	255.45	257.10	253.46	-	0.59%
Jul 03, 2013	255.25	255.20	255.77	251.03	-	-0.67%
Jul 04, 2013	257.19	253.15	259.65	252.36	-	0.76%
Jul 05, 2013	257.24	257.78	259.98	257.04	-	0.02%
Jul 08, 2013	249.63	253.43	254.12	249.50	-	-2.96%
Jul 09, 2013	250.02	249.34	250.78	248.14	-	0.16%
Jul 10, 2013	256.95	250.22	256.95	249.64	-	2.77%
Jul 11, 2013	267.70	258.01	270.16	258.01	-	4.18%
Jul 12, 2013	262.64	266.55	268.50	262.48	-	-1.89%
Jul 15, 2013	266.38	264.40	268.73	262.76	-	1.42%
Jul 16, 2013	267.92	265.51	267.92	263.67	-	0.58%
Jul 17, 2013	264.20	266.97	268.92	263.92	-	-1.39%
Jul 18, 2013	261.01	263.00	264.09	260.01	-	-1.21%
Jul 19, 2013	255.01	261.57	262.37	254.82	-	-2.30%
Jul 22, 2013	257.19	252.36	257.30	251.68	-	0.85%
Jul 23, 2013	263.66	258.19	264.61	257.58	-	2.52%
Jul 24, 2013	262.33	262.04	263.37	258.54	-	-0.50%
Jul 25, 2013	260.31	263.11	264.01	259.56	-	-0.77%
Jul 26, 2013	259.12	258.89	260.60	257.25	-	-0.46%
Jul 29, 2013	253.97	256.71	256.71	253.26	-	-1.99%
Jul 30, 2013	255.03	255.27	257.99	251.79	-	0.42%
Jul 31, 2013	255.56	257.75	259.14	254.78	-	0.21%
