Date	Price	Open	High	Low	Vol.	Change %
Aug 15, 2011	125.41	124.89	125.72	124.87	15.04M	1.30%
Aug 16, 2011	126.59	125.47	126.94	125.47	18.60M	0.94%
Aug 17, 2011	127.27	126.65	127.97	126.65	19.64M	0.54%
Aug 18, 2011	127.29	127.33	127.61	126.82	13.98M	0.02%
Aug 19, 2011	127.16	126.67	127.36	125.60	27.22M	-0.10%
Aug 22, 2011	127.47	126.68	127.77	126.60	17.65M	0.24%
Aug 23, 2011	127.09	127.51	127.72	127.08	23.54M	-0.30%
Aug 24, 2011	127.82	127.48	128.93	127.48	26.75M	0.57%
Aug 25, 2011	128.39	127.91	128.86	127.79	25.10M	0.45%
Aug 26, 2011	127.82	128.23	128.24	127.37	22.68M	-0.44%
Aug 29, 2011	128.08	127.99	128.59	127.94	21.06M	0.20%
Aug 30, 2011	128.50	128.70	129.48	128.35	16.57M	0.33%
Aug 31, 2011	127.73	128.51	128.53	126.19	27.45M	-0.60%
Sep 01, 2011	127.64	128.16	128.63	127.43	35.97M	-0.07%
Sep 02, 2011	126.51	127.64	127.64	126.24	20.63M	-0.89%
Sep 05, 2011	126.19	126.04	126.10	125.24	29.35M	-0.25%
Sep 06, 2011	125.62	125.48	125.92	125.04	22.60M	-0.45%
Sep 07, 2011	126.62	126.34	126.68	126.03	21.24M	0.80%
Sep 08, 2011	126.84	126.65	127.63	126.65	16.74M	0.17%
Sep 09, 2011	127.59	126.89	127.89	126.88	15.60M	0.59%
Sep 12, 2011	125.48	126.83	126.83	125.40	18.92M	-1.65%
Sep 13, 2011	126.61	125.46	126.63	125.46	14.48M	0.90%
Sep 14, 2011	125.72	126.95	126.95	125.58	24.47M	-0.70%
Sep 15, 2011	125.99	125.85	126.61	125.85	22.49M	0.21%
Sep 16, 2011	126.82	125.93	127.19	125.93	28.87M	0.66%
Sep 19, 2011	126.70	126.82	126.91	125.94	18.48M	-0.09%
Sep 20, 2011	126.79	126.28	127.08	126.13	16.06M	0.07%
Sep 21, 2011	127.57	127.08	127.57	126.88	15.50M	0.62%
Sep 22, 2011	128.12	127.27	128.12	127.01	20.79M	0.43%
Sep 23, 2011	127.06	128.10	128.10	125.74	17.38M	-0.83%
Sep 26, 2011	125.75	126.95	127.01	125.44	15.94M	-1.03%
Sep 27, 2011	127.34	125.76	127.61	125.74	15.82M	1.26%
Sep 28, 2011	126.71	127.38	127.47	126.43	18.75M	-0.49%
Sep 29, 2011	126.89	126.52	126.89	126.00	24.24M	0.14%
Sep 30, 2011	128.97	126.95	128.97	126.95	24.88M	1.64%
Oct 03, 2011	127.82	128.15	128.62	127.27	13.05M	-0.89%
Oct 04, 2011	128.07	127.82	128.19	127.07	22.32M	0.20%
Oct 05, 2011	128.12	128.29	128.31	127.74	15.22M	0.04%
Oct 06, 2011	128.61	128.14	128.69	128.12	23.57M	0.38%
Oct 07, 2011	129.80	128.65	130.02	128.65	28.59M	0.93%
Oct 10, 2011	129.15	129.08	129.25	128.76	15.67M	-0.50%
Oct 11, 2011	129.81	129.37	129.98	129.37	19.72M	0.51%
Oct 12, 2011	126.26	127.24	127.28	126.07	25.74M	-2.73%
Oct 13, 2011	125.14	126.26	126.26	124.94	30.22M	-0.89%
Oct 14, 2011	125.12	125.44	125.48	124.85	15.07M	-0.02%
Oct 17, 2011	125.33	125.63	125.71	125.05	10.31M	0.17%
Oct 18, 2011	123.76	125.30	125.30	123.21	16.31M	-1.25%
Oct 19, 2011	124.70	123.78	125.21	123.77	20.34M	0.76%
Oct 20, 2011	124.45	124.80	124.96	124.24	19.54M	-0.20%
Oct 21, 2011	124.24	124.45	124.93	124.24	19.19M	-0.17%
Oct 25, 2011	124.46	124.63	125.57	124.23	24.79M	0.18%
Oct 26, 2011	124.30	124.35	124.35	122.86	25.73M	-0.13%
Oct 27, 2011	124.53	124.34	125.09	124.13	14.67M	0.19%
Oct 28, 2011	125.44	124.56	126.15	124.56	23.85M	0.73%
Oct 31, 2011	125.41	125.65	126.05	125.53	14.18M	-0.02%
Nov 01, 2011	125.79	125.30	125.80	125.16	14.89M	0.30%
Nov 02, 2011	125.05	125.30	125.80	124.28	21.82M	-0.59%
Nov 03, 2011	125.10	125.02	125.53	124.81	13.39M	0.04%
Nov 04, 2011	125.80	125.53	126.15	125.49	24.49M	0.56%
Nov 07, 2011	126.18	126.24	126.42	125.92	14.05M	0.30%
Nov 08, 2011	126.69	126.24	126.72	126.20	15.83M	0.40%
Nov 09, 2011	126.49	126.63	127.09	126.49	27.53M	-0.16%
Nov 10, 2011	125.47	125.87	125.88	125.06	24.63M	-0.81%
Nov 11, 2011	125.77	125.56	126.26	125.47	22.95M	0.24%
Nov 14, 2011	124.98	126.48	126.58	124.83	18.52M	-0.63%
Nov 15, 2011	125.32	124.97	125.32	124.49	15.12M	0.27%
Nov 16, 2011	123.64	125.22	125.22	123.57	19.77M	-1.34%
Nov 17, 2011	123.48	123.58	123.96	123.35	11.76M	-0.13%
Nov 18, 2011	122.38	123.42	123.42	122.38	23.82M	-0.89%
Nov 21, 2011	122.61	123.46	123.48	122.57	23.04M	0.19%
Nov 22, 2011	122.67	122.53	122.91	122.22	28.74M	0.05%
Nov 23, 2011	123.56	119.29	123.56	118.91	27.40M	0.73%
Nov 24, 2011	122.58	123.65	123.68	122.30	48.83M	-0.79%
Nov 25, 2011	121.55	122.60	122.70	121.55	20.95M	-0.84%
Nov 28, 2011	121.84	121.73	122.56	121.73	12.71M	0.24%
Nov 29, 2011	122.30	121.97	122.71	121.96	26.67M	0.38%
Nov 30, 2011	123.25	122.30	123.25	121.98	29.13M	0.78%
Dec 01, 2011	123.21	123.30	123.99	122.61	40.43M	-0.03%
Dec 02, 2011	123.41	123.09	123.43	122.68	43.33M	0.16%
Dec 05, 2011	123.99	123.47	124.16	123.39	42.16M	0.47%
Dec 06, 2011	123.82	123.88	124.03	123.11	36.92M	-0.14%
Dec 07, 2011	123.67	123.84	124.43	123.67	48.19M	-0.12%
Dec 08, 2011	123.24	123.68	124.03	122.85	30.31M	-0.35%
Dec 09, 2011	123.46	123.33	123.54	122.84	33.20M	0.18%
Dec 12, 2011	124.50	123.51	124.50	123.37	20.81M	0.84%
Dec 13, 2011	124.41	124.45	124.66	124.06	28.76M	-0.07%
Dec 14, 2011	124.04	124.47	124.47	123.72	31.62M	-0.30%
Dec 15, 2011	123.57	124.09	124.09	123.35	34.12M	-0.38%
Dec 16, 2011	123.24	123.57	123.82	123.22	22.77M	-0.27%
Dec 19, 2011	122.07	123.34	123.34	122.07	23.35M	-0.95%
Dec 20, 2011	121.34	121.91	122.33	121.27	22.53M	-0.60%
Dec 21, 2011	122.07	121.40	122.28	121.40	27.23M	0.60%
Dec 22, 2011	121.76	121.82	121.96	121.53	21.46M	-0.25%
Dec 23, 2011	122.21	122.02	122.88	121.96	12.15M	0.37%
Dec 28, 2011	123.22	122.05	123.37	122.05	9.80M	0.83%
Dec 29, 2011	123.76	123.11	123.76	122.58	10.45M	0.44%
Dec 30, 2011	124.87	123.86	124.87	123.70	7.64M	0.90%
Jan 04, 2012	125.02	124.88	125.33	124.63	14.96M	0.12%
Jan 05, 2012	124.72	125.02	125.27	124.25	20.31M	-0.24%
Jan 06, 2012	123.61	124.70	124.73	123.41	11.63M	-0.89%
Jan 09, 2012	123.43	123.77	123.93	123.16	8.87M	-0.15%
Jan 10, 2012	122.85	123.30	123.39	122.77	12.69M	-0.47%
Jan 11, 2012	122.89	122.74	123.01	122.66	16.29M	0.03%
Jan 12, 2012	122.12	122.62	122.62	121.91	14.36M	-0.63%
Jan 13, 2012	122.44	122.20	122.74	122.20	16.96M	0.26%
Jan 16, 2012	121.97	122.16	122.26	121.96	10.73M	-0.38%
Jan 17, 2012	123.00	121.98	123.00	121.98	14.93M	0.84%
Jan 18, 2012	123.77	123.28	123.78	123.25	15.76M	0.63%
Jan 19, 2012	124.44	123.82	125.04	123.81	18.82M	0.54%
