Date	Price	Open	High	Low	Vol.	Change %
Nov 02, 2011	4,260.41	4,332.93	4,332.93	4,254.44	193.42K	-1.69%
Nov 03, 2011	4,210.25	4,264.20	4,286.26	4,207.44	346.35K	-1.18%
Nov 04, 2011	4,271.72	4,229.72	4,275.70	4,229.72	196.73K	1.46%
Nov 08, 2011	4,314.67	4,277.70	4,322.26	4,277.70	146.90K	1.01%
Nov 09, 2011	4,346.20	4,324.38	4,346.20	4,308.07	135.24K	0.73%
Nov 10, 2011	4,285.06	4,338.58	4,338.58	4,269.67	168.26K	-1.41%
Nov 11, 2011	4,312.96	4,285.35	4,315.78	4,285.35	175.80K	0.65%
Nov 14, 2011	4,356.87	4,312.96	4,362.38	4,312.96	196.51K	1.02%
Nov 15, 2011	4,363.73	4,350.82	4,363.73	4,337.92	383.58K	0.16%
Nov 16, 2011	4,341.62	4,362.23	4,394.90	4,337.56	471.61K	-0.51%
Nov 17, 2011	4,334.66	4,339.46	4,354.46	4,323.16	667.18K	-0.16%
Nov 18, 2011	4,302.43	4,323.05	4,323.05	4,302.43	544.55K	-0.74%
Nov 21, 2011	4,299.47	4,301.25	4,301.25	4,286.76	555.35K	-0.07%
Nov 22, 2011	4,289.75	4,283.70	4,289.75	4,259.97	662.52K	-0.23%
Nov 23, 2011	4,271.59	4,284.70	4,293.04	4,268.70	628.26K	-0.42%
Nov 24, 2011	4,237.65	4,269.89	4,269.89	4,212.43	724.81K	-0.79%
Nov 25, 2011	4,261.59	4,240.65	4,261.59	4,227.82	351.14K	0.56%
Nov 28, 2011	4,227.88	4,261.59	4,274.84	4,227.88	232.63K	-0.79%
Nov 29, 2011	4,211.04	4,228.12	4,255.50	4,211.04	454.40K	-0.40%
Dec 01, 2011	4,290.59	4,288.15	4,296.87	4,276.45	763.60K	1.89%
Dec 02, 2011	4,290.92	4,288.90	4,299.50	4,278.37	743.89K	0.01%
Dec 05, 2011	4,291.72	4,293.79	4,293.79	4,271.50	160.49K	0.02%
Dec 06, 2011	4,282.77	4,288.47	4,288.47	4,269.96	136.28K	-0.21%
Dec 07, 2011	4,315.17	4,284.42	4,315.17	4,282.57	104.42K	0.76%
Dec 08, 2011	4,312.89	4,319.85	4,320.08	4,291.20	151.67K	-0.05%
Dec 09, 2011	4,292.50	4,284.60	4,304.80	4,266.24	117.88K	-0.47%
Dec 12, 2011	4,276.34	4,302.43	4,318.19	4,276.34	259.87K	-0.38%
Dec 13, 2011	4,282.62	4,276.34	4,298.27	4,267.33	211.96K	0.15%
Dec 14, 2011	4,285.93	4,283.85	4,295.75	4,282.98	206.22K	0.08%
Dec 15, 2011	4,282.67	4,286.48	4,295.85	4,273.95	116.47K	-0.08%
Dec 16, 2011	4,304.94	4,283.26	4,311.78	4,283.26	217.48K	0.52%
Dec 19, 2011	4,318.12	4,304.94	4,326.66	4,304.94	112.89K	0.31%
Dec 20, 2011	4,342.18	4,319.66	4,342.18	4,301.13	722.21K	0.56%
Dec 21, 2011	4,368.88	4,362.76	4,383.79	4,362.76	170.56K	0.61%
Dec 22, 2011	4,370.46	4,365.84	4,385.31	4,352.10	98.87K	0.04%
Dec 23, 2011	4,372.24	4,374.20	4,388.85	4,372.24	114.93K	0.04%
Dec 26, 2011	4,387.06	4,375.50	4,387.06	4,372.08	52.65K	0.34%
Dec 27, 2011	4,361.43	4,386.89	4,386.89	4,340.19	83.76K	-0.58%
Dec 28, 2011	4,336.63	4,359.54	4,366.56	4,335.07	70.42K	-0.57%
Dec 29, 2011	4,371.96	4,336.63	4,371.96	4,336.63	86.20K	0.81%
Jan 02, 2012	4,397.08	4,371.96	4,397.08	4,370.83	16.62K	0.57%
Jan 03, 2012	4,422.22	4,398.86	4,422.22	4,398.86	52.00K	0.57%
Jan 04, 2012	4,487.77	4,422.95	4,487.77	4,422.95	82.52K	1.48%
Jan 05, 2012	4,518.91	4,487.77	4,527.21	4,480.06	118.46K	0.69%
Jan 06, 2012	4,483.36	4,517.66	4,520.33	4,476.04	52.42K	-0.79%
Jan 09, 2012	4,541.60	4,483.43	4,541.60	4,476.79	50.33K	1.30%
Jan 10, 2012	4,561.08	4,542.87	4,591.26	4,533.81	141.70K	0.43%
Jan 11, 2012	4,645.86	4,576.32	4,656.27	4,576.32	196.24K	1.86%
Jan 12, 2012	4,648.11	4,644.17	4,654.65	4,629.60	216.95K	0.05%
Jan 13, 2012	4,613.83	4,649.00	4,663.35	4,602.02	158.88K	-0.74%
Jan 16, 2012	4,578.92	4,606.97	4,610.57	4,578.92	52.12K	-0.76%
Jan 17, 2012	4,642.76	4,581.70	4,642.76	4,581.70	96.55K	1.39%
Jan 18, 2012	4,677.62	4,642.98	4,692.18	4,642.34	99.31K	0.75%
Jan 19, 2012	4,700.37	4,678.80	4,713.57	4,675.52	89.63K	0.49%
Jan 20, 2012	4,747.90	4,704.63	4,747.90	4,704.63	109.29K	1.01%
Jan 24, 2012	4,714.35	4,748.04	4,756.78	4,707.73	67.78K	-0.71%
Jan 25, 2012	4,670.49	4,715.57	4,715.57	4,668.68	56.86K	-0.93%
Jan 26, 2012	4,611.68	4,673.06	4,673.06	4,587.77	160.77K	-1.26%
Jan 27, 2012	4,679.89	4,615.79	4,679.89	4,615.38	150.01K	1.48%
Jan 30, 2012	4,644.49	4,680.63	4,680.63	4,612.12	188.28K	-0.76%
Jan 31, 2012	4,682.44	4,645.18	4,682.44	4,635.91	160.28K	0.82%
Feb 01, 2012	4,715.64	4,676.58	4,721.95	4,673.00	184.08K	0.71%
Feb 02, 2012	4,822.08	4,716.20	4,822.08	4,716.20	157.28K	2.26%
Feb 03, 2012	4,758.57	4,800.47	4,804.81	4,739.87	205.11K	-1.32%
Feb 06, 2012	4,816.33	4,782.93	4,855.00	4,782.21	156.19K	1.21%
Feb 07, 2012	4,755.98	4,816.04	4,818.80	4,755.98	87.35K	-1.25%
Feb 08, 2012	4,805.80	4,757.44	4,806.97	4,757.44	127.04K	1.05%
Feb 09, 2012	4,769.62	4,807.32	4,811.97	4,745.14	216.02K	-0.75%
Feb 10, 2012	4,783.52	4,769.30	4,796.47	4,746.62	93.31K	0.29%
Feb 13, 2012	4,802.03	4,796.17	4,812.50	4,779.36	72.51K	0.39%
Feb 14, 2012	4,775.93	4,806.23	4,806.23	4,770.21	112.43K	-0.54%
Feb 15, 2012	4,772.47	4,780.04	4,780.17	4,752.32	83.07K	-0.07%
Feb 16, 2012	4,766.57	4,772.47	4,795.33	4,757.05	52.49K	-0.12%
Feb 17, 2012	4,880.71	4,831.98	4,886.99	4,825.34	95.96K	2.39%
Feb 20, 2012	4,943.84	4,894.36	4,966.94	4,894.36	161.54K	1.29%
Feb 21, 2012	4,900.94	4,943.11	4,943.11	4,898.03	88.15K	-0.87%
Feb 22, 2012	4,934.29	4,899.92	4,955.61	4,897.99	244.17K	0.68%
Feb 23, 2012	4,893.48	4,934.65	4,997.04	4,893.48	122.86K	-0.83%
Feb 24, 2012	4,893.00	4,923.02	4,961.02	4,864.33	93.11K	-0.01%
Feb 27, 2012	4,799.29	4,893.50	4,908.12	4,794.24	82.18K	-1.92%
Feb 28, 2012	4,820.43	4,797.04	4,837.45	4,790.83	72.76K	0.44%
Feb 29, 2012	4,897.65	4,827.10	4,897.65	4,827.10	115.36K	1.60%
Mar 01, 2012	4,938.61	4,900.83	5,011.09	4,896.21	274.11K	0.84%
Mar 02, 2012	5,016.30	4,962.38	5,016.30	4,962.38	144.58K	1.57%
Mar 05, 2012	5,030.58	5,016.13	5,030.58	4,995.70	101.80K	0.28%
Mar 06, 2012	4,967.39	5,039.29	5,039.29	4,941.43	127.05K	-1.26%
Mar 07, 2012	4,921.36	4,961.97	4,961.97	4,899.20	90.48K	-0.93%
Mar 08, 2012	4,956.19	4,925.85	4,969.80	4,925.85	154.84K	0.71%
Mar 09, 2012	4,980.71	4,955.75	4,983.01	4,955.75	72.29K	0.49%
Mar 12, 2012	4,975.17	4,983.22	4,986.13	4,965.39	146.56K	-0.11%
Mar 13, 2012	5,005.75	4,977.04	5,005.75	4,964.84	80.86K	0.61%
Mar 14, 2012	5,050.99	5,006.24	5,070.20	5,006.24	136.80K	0.90%
Mar 15, 2012	5,031.78	5,030.98	5,061.01	5,030.98	230.66K	-0.38%
Mar 16, 2012	5,145.89	5,040.22	5,145.89	5,040.22	179.71K	2.27%
Mar 19, 2012	5,127.00	5,146.17	5,146.17	5,117.55	213.98K	-0.37%
Mar 20, 2012	5,102.24	5,130.16	5,131.98	5,100.47	194.42K	-0.48%
