Date	Price	Open	High	Low	Vol.	Change %
Mar 18, 2011	1,003.29	1,007.96	1,010.65	1,003.29	2.72M	0.09%
Mar 21, 2011	1,019.93	1,009.94	1,020.01	1,009.83	2.88M	1.66%
Mar 22, 2011	1,019.14	1,022.47	1,025.48	1,019.14	3.29M	-0.08%
Mar 23, 2011	1,027.54	1,020.65	1,028.00	1,020.65	3.03M	0.82%
Mar 24, 2011	1,034.39	1,033.03	1,035.20	1,029.86	5.81M	0.67%
Mar 25, 2011	1,037.73	1,038.40	1,039.28	1,033.39	8.42M	0.32%
Mar 28, 2011	1,032.94	1,038.34	1,038.98	1,032.59	4.03M	-0.46%
Mar 29, 2011	1,036.36	1,032.92	1,039.16	1,032.23	4.01M	0.33%
Mar 30, 2011	1,050.67	1,041.70	1,050.67	1,041.49	4.50M	1.38%
Mar 31, 2011	1,047.48	1,054.88	1,056.52	1,046.47	5.13M	-0.30%
Apr 01, 2011	1,064.35	1,052.49	1,068.33	1,052.49	8.31M	1.61%
Apr 04, 2011	1,078.66	1,074.39	1,080.49	1,073.92	6.19M	1.34%
Apr 05, 2011	1,076.13	1,076.92	1,080.11	1,074.59	4.86M	-0.23%
Apr 07, 2011	1,089.21	1,083.59	1,089.21	1,081.95	5.41M	1.22%
Apr 08, 2011	1,082.69	1,092.34	1,092.34	1,080.63	4.77M	-0.60%
Apr 11, 2011	1,076.33	1,086.72	1,090.38	1,075.29	3.80M	-0.59%
Apr 12, 2011	1,084.91	1,068.23	1,084.91	1,064.61	2.74M	0.80%
Apr 18, 2011	1,090.67	1,087.92	1,092.14	1,084.78	3.60M	0.53%
Apr 19, 2011	1,095.88	1,084.43	1,096.73	1,083.73	4.31M	0.48%
Apr 20, 2011	1,107.36	1,104.14	1,107.36	1,100.87	5.41M	1.05%
Apr 21, 2011	1,109.92	1,113.42	1,113.63	1,103.79	5.36M	0.23%
Apr 22, 2011	1,105.29	1,107.93	1,109.08	1,100.81	4.52M	-0.42%
Apr 25, 2011	1,105.43	1,106.62	1,108.53	1,101.07	3.29M	0.01%
Apr 26, 2011	1,096.95	1,099.74	1,101.04	1,091.29	3.99M	-0.77%
Apr 27, 2011	1,101.35	1,102.80	1,107.90	1,097.52	4.59M	0.40%
Apr 28, 2011	1,092.31	1,104.62	1,106.07	1,092.31	6.13M	-0.82%
Apr 29, 2011	1,093.56	1,090.93	1,094.48	1,082.20	5.18M	0.11%
May 03, 2011	1,070.43	1,092.53	1,094.81	1,065.94	5.81M	-2.12%
May 04, 2011	1,073.87	1,070.05	1,074.90	1,063.09	5.13M	0.32%
May 06, 2011	1,050.85	1,057.50	1,064.10	1,048.63	7.60M	-2.14%
May 09, 2011	1,072.47	1,054.67	1,074.20	1,054.67	4.84M	2.06%
May 10, 2011	1,085.56	1,076.47	1,085.56	1,070.88	7.82M	1.22%
May 11, 2011	1,100.48	1,092.40	1,102.44	1,091.19	6.01M	1.37%
May 12, 2011	1,086.27	1,094.24	1,099.10	1,086.27	5.25M	-1.29%
May 13, 2011	1,084.96	1,091.39	1,092.84	1,078.52	4.07M	-0.12%
May 18, 2011	1,075.91	1,080.44	1,081.30	1,069.12	4.00M	-0.83%
May 19, 2011	1,077.50	1,080.74	1,082.48	1,072.53	3.99M	0.15%
May 20, 2011	1,072.94	1,078.51	1,080.27	1,069.19	4.82M	-0.42%
May 23, 2011	1,053.97	1,062.74	1,065.32	1,053.02	5.28M	-1.77%
May 24, 2011	1,064.24	1,053.79	1,064.24	1,052.18	4.32M	0.97%
