Date;Price;Open;High;Low;Vol.;Change %
Jan 02, 2009;258.23;248.97;258.23;247.83;-;5.00%
Jan 05, 2009;261.78;261.25;262.20;256.71;-;1.37%
Jan 06, 2009;269.27;262.71;271.91;259.42;-;2.86%
Jan 07, 2009;265.04;268.24;269.52;262.87;-;-1.57%
Jan 08, 2009;264.59;261.04;266.10;260.26;-;-0.17%
Jan 09, 2009;266.18;265.26;269.74;263.31;-;0.60%
Jan 12, 2009;261.80;264.95;266.80;260.54;-;-1.65%
Jan 13, 2009;260.74;259.89;262.06;256.21;-;-0.40%
Jan 14, 2009;247.32;262.49;263.01;245.08;-;-5.15%
Jan 15, 2009;243.60;246.84;248.96;241.56;-;-1.50%
Jan 16, 2009;248.55;249.63;254.02;248.07;-;2.03%
Jan 19, 2009;245.22;252.31;255.30;241.87;-;-1.34%
Jan 20, 2009;240.11;244.34;246.69;238.97;-;-2.08%
Jan 21, 2009;237.71;237.27;240.50;232.91;-;-1.00%
Jan 22, 2009;235.46;243.04;243.21;234.01;-;-0.95%
Jan 23, 2009;234.14;234.23;235.51;227.53;-;-0.56%
Jan 26, 2009;247.88;234.69;248.42;234.00;-;5.87%
Jan 27, 2009;248.59;248.75;248.77;242.79;-;0.29%
Jan 28, 2009;257.16;252.69;258.37;252.69;-;3.45%
Jan 29, 2009;252.35;255.41;256.01;249.76;-;-1.87%
Jan 30, 2009;248.60;252.35;253.20;247.04;-;-1.49%
Feb 02, 2009;245.96;245.42;247.28;241.71;-;-1.06%
Feb 03, 2009;250.83;247.56;251.49;242.81;-;1.98%
Feb 04, 2009;254.79;251.60;257.78;250.29;-;1.58%
Feb 05, 2009;252.51;249.49;253.15;246.19;-;-0.89%
Feb 06, 2009;261.35;255.00;262.56;253.92;-;3.50%
Feb 09, 2009;262.72;259.40;263.95;257.92;-;0.52%
Feb 10, 2009;251.37;259.45;260.22;251.37;-;-4.32%
Feb 11, 2009;253.28;250.19;253.94;249.67;-;0.76%
Feb 12, 2009;248.27;249.33;249.47;244.96;-;-1.98%
Feb 13, 2009;251.12;251.25;254.19;249.33;-;1.15%
Feb 16, 2009;247.15;249.22;250.40;246.44;-;-1.58%
Feb 17, 2009;238.17;244.33;244.44;236.94;-;-3.63%
Feb 18, 2009;238.30;239.21;239.77;234.37;-;0.05%
Feb 19, 2009;237.67;240.36;241.70;237.26;-;-0.26%
Feb 20, 2009;229.13;234.13;234.20;228.48;-;-3.59%
Feb 23, 2009;223.98;232.88;233.34;223.33;-;-2.25%
Feb 24, 2009;222.55;221.86;223.08;218.01;-;-0.64%
Feb 25, 2009;220.69;226.97;227.67;218.34;-;-0.84%
Feb 26, 2009;223.67;222.86;225.60;220.37;-;1.35%
Feb 27, 2009;219.81;220.42;220.86;214.96;-;-1.73%
Mar 02, 2009;208.84;214.45;214.45;208.53;-;-4.99%
Mar 03, 2009;202.57;209.76;211.17;202.41;-;-3.00%
Mar 04, 2009;211.58;205.45;211.71;205.29;-;4.45%
Mar 05, 2009;200.58;208.58;209.67;200.58;-;-5.20%
Mar 06, 2009;199.50;199.94;204.32;198.22;-;-0.54%
Mar 09, 2009;199.25;200.74;200.74;194.99;-;-0.13%
Mar 10, 2009;210.44;199.34;211.55;198.72;-;5.62%
Mar 11, 2009;210.33;211.01;214.37;205.77;-;-0.05%
Mar 12, 2009;211.31;208.16;211.98;204.21;-;0.47%
Mar 13, 2009;211.74;214.95;216.28;210.71;-;0.20%
Mar 16, 2009;215.79;215.96;216.98;212.01;-;1.91%
Mar 17, 2009;210.87;212.95;213.63;209.05;-;-2.28%
Mar 18, 2009;209.34;213.07;214.03;206.93;-;-0.73%
Mar 19, 2009;210.38;211.00;214.97;208.94;-;0.50%
Mar 20, 2009;212.71;209.15;213.33;208.44;-;1.11%
Mar 23, 2009;220.90;217.70;221.30;215.79;-;3.85%
Mar 24, 2009;221.47;224.83;225.21;218.60;-;0.26%
Mar 25, 2009;225.55;220.50;226.18;220.35;-;1.84%
Mar 26, 2009;224.80;226.69;226.77;222.45;-;-0.33%
Mar 27, 2009;221.73;224.83;225.17;220.37;-;-1.37%
Mar 30, 2009;211.11;216.18;216.51;211.11;-;-4.79%
Mar 31, 2009;216.98;213.26;217.06;213.25;-;2.78%
Apr 01, 2009;220.70;216.27;220.76;212.77;-;1.71%
Apr 02, 2009;232.05;226.17;232.59;225.87;-;5.14%
Apr 03, 2009;230.76;231.08;235.28;229.32;-;-0.56%
Apr 06, 2009;228.85;233.65;235.96;227.41;-;-0.83%
Apr 07, 2009;227.39;229.85;230.50;224.60;-;-0.64%
Apr 08, 2009;228.24;222.78;229.87;222.25;-;0.37%
Apr 09, 2009;232.84;230.76;233.72;228.47;-;2.02%
Apr 14, 2009;235.45;234.54;238.47;232.98;-;1.12%
Apr 15, 2009;235.90;231.84;237.55;231.72;-;0.19%
Apr 16, 2009;238.49;238.06;240.02;234.99;-;1.10%
Apr 17, 2009;243.81;240.56;244.98;239.44;-;2.23%
Apr 20, 2009;233.77;242.29;242.92;232.91;-;-4.12%
Apr 21, 2009;234.72;232.89;236.32;228.19;-;0.41%
