"","AEX (AEX)_history.csv Date","AEX (AEX)_history.csv Price","AEX (AEX)_history.csv Open","AEX (AEX)_history.csv High","AEX (AEX)_history.csv Low","AEX (AEX)_history.csv Volume"
"1",2009-01-02,258.23,248.97,258.23,247.83,
"2",2009-01-05,261.78,261.25,262.2,256.71,
"3",2009-01-06,269.27,262.71,271.91,259.42,
"4",2009-01-07,265.04,268.24,269.52,262.87,
"5",2009-01-08,264.59,261.04,266.1,260.26,
"6",2009-01-09,266.18,265.26,269.74,263.31,
"7",2009-01-12,261.8,264.95,266.8,260.54,
"8",2009-01-13,260.74,259.89,262.06,256.21,
"9",2009-01-14,247.32,262.49,263.01,245.08,
"10",2009-01-15,243.6,246.84,248.96,241.56,
"11",2009-01-16,248.55,249.63,254.02,248.07,
"12",2009-01-19,245.22,252.31,255.3,241.87,
"13",2009-01-20,240.11,244.34,246.69,238.97,
"14",2009-01-21,237.71,237.27,240.5,232.91,
"15",2009-01-22,235.46,243.04,243.21,234.01,
"16",2009-01-23,234.14,234.23,235.51,227.53,
"17",2009-01-26,247.88,234.69,248.42,234,
"18",2009-01-27,248.59,248.75,248.77,242.79,
"19",2009-01-28,257.16,252.69,258.37,252.69,
"20",2009-01-29,252.35,255.41,256.01,249.76,
"21",2009-01-30,248.6,252.35,253.2,247.04,
"22",2009-02-02,245.96,245.42,247.28,241.71,
"23",2009-02-03,250.83,247.56,251.49,242.81,
"24",2009-02-04,254.79,251.6,257.78,250.29,
"25",2009-02-05,252.51,249.49,253.15,246.19,
"26",2009-02-06,261.35,255,262.56,253.92,
"27",2009-02-09,262.72,259.4,263.95,257.92,
"28",2009-02-10,251.37,259.45,260.22,251.37,
"29",2009-02-11,253.28,250.19,253.94,249.67,
"30",2009-02-12,248.27,249.33,249.47,244.96,
"31",2009-02-13,251.12,251.25,254.19,249.33,
"32",2009-02-16,247.15,249.22,250.4,246.44,
"33",2009-02-17,238.17,244.33,244.44,236.94,
"34",2009-02-18,238.3,239.21,239.77,234.37,
"35",2009-02-19,237.67,240.36,241.7,237.26,
"36",2009-02-20,229.13,234.13,234.2,228.48,
"37",2009-02-23,223.98,232.88,233.34,223.33,
"38",2009-02-24,222.55,221.86,223.08,218.01,
"39",2009-02-25,220.69,226.97,227.67,218.34,
"40",2009-02-26,223.67,222.86,225.6,220.37,
"41",2009-02-27,219.81,220.42,220.86,214.96,
"42",2009-03-02,208.84,214.45,214.45,208.53,
"43",2009-03-03,202.57,209.76,211.17,202.41,
"44",2009-03-04,211.58,205.45,211.71,205.29,
"45",2009-03-05,200.58,208.58,209.67,200.58,
"46",2009-03-06,199.5,199.94,204.32,198.22,
"47",2009-03-09,199.25,200.74,200.74,194.99,
"48",2009-03-10,210.44,199.34,211.55,198.72,
"49",2009-03-11,210.33,211.01,214.37,205.77,
"50",2009-03-12,211.31,208.16,211.98,204.21,
"51",2009-03-13,211.74,214.95,216.28,210.71,
"52",2009-03-16,215.79,215.96,216.98,212.01,
"53",2009-03-17,210.87,212.95,213.63,209.05,
"54",2009-03-18,209.34,213.07,214.03,206.93,
"55",2009-03-19,210.38,211,214.97,208.94,
"56",2009-03-20,212.71,209.15,213.33,208.44,
"57",2009-03-23,220.9,217.7,221.3,215.79,
"58",2009-03-24,221.47,224.83,225.21,218.6,
"59",2009-03-25,225.55,220.5,226.18,220.35,
"60",2009-03-26,224.8,226.69,226.77,222.45,
"61",2009-03-27,221.73,224.83,225.17,220.37,
"62",2009-03-30,211.11,216.18,216.51,211.11,
"63",2009-03-31,216.98,213.26,217.06,213.25,
"64",2009-04-01,220.7,216.27,220.76,212.77,
"65",2009-04-02,232.05,226.17,232.59,225.87,
"66",2009-04-03,230.76,231.08,235.28,229.32,
"67",2009-04-06,228.85,233.65,235.96,227.41,
"68",2009-04-07,227.39,229.85,230.5,224.6,
"69",2009-04-08,228.24,222.78,229.87,222.25,
"70",2009-04-09,232.84,230.76,233.72,228.47,
"71",2009-04-14,235.45,234.54,238.47,232.98,
"72",2009-04-15,235.9,231.84,237.55,231.72,
"73",2009-04-16,238.49,238.06,240.02,234.99,
"74",2009-04-17,243.81,240.56,244.98,239.44,
"75",2009-04-20,233.77,242.29,242.92,232.91,
"76",2009-04-21,234.72,232.89,236.32,228.19,
"77",2009-04-22,236.88,235.55,237.63,230.57,
"78",2009-04-23,235.3,235.37,240.15,234.82,
"79",2009-04-24,239.34,235.67,239.49,235.04,
"80",2009-04-27,238.14,235.16,238.85,233.51,
"81",2009-04-28,234.83,233.7,236.45,231.23,
"82",2009-04-29,238.07,235.15,238.72,234.38,
"83",2009-04-30,240.76,240.9,243.94,240.72,
"84",2009-05-04,251.47,244.99,251.6,244.62,
"85",2009-05-05,252.16,253.03,254.32,250.28,
"86",2009-05-06,255.28,251.44,257.59,251.03,
"87",2009-05-07,256.69,257.58,263.25,255.27,
"88",2009-05-08,261.35,259.97,263.75,258.98,
"89",2009-05-11,256.47,260.87,260.87,254.95,
"90",2009-05-12,255.33,254.43,259.27,254.26,
"91",2009-05-13,250.19,256.15,257.61,249.5,
"92",2009-05-14,249.02,250.65,251.35,247.46,
"93",2009-05-15,252.92,251.85,253.82,249.24,
"94",2009-05-18,259.17,249.59,259.49,248.82,
"95",2009-05-19,262.23,262.41,263.63,259.62,
"96",2009-05-20,266.3,261.56,267.15,261.56,
"97",2009-05-21,259.02,262.46,263.61,258.39,
"98",2009-05-22,260.14,260.55,262.48,258.21,
"99",2009-05-25,260.66,261.11,261.48,257.28,
"100",2009-05-26,263.43,259.36,263.62,255.06,
"101",2009-05-27,264.2,265.29,265.67,262.12,
"102",2009-05-28,260.9,260.42,262.98,258.11,
"103",2009-05-29,259.45,265.17,265.17,258.62,
"104",2009-06-01,268.42,265.24,268.91,265.03,
"105",2009-06-02,268.99,267.15,270.09,266.17,
"106",2009-06-03,264.37,271.12,271.12,263.25,
"107",2009-06-04,263.8,264.27,266.11,262.24,
"108",2009-06-05,266.93,266.26,270.05,265.35,
"109",2009-06-08,262.39,266.1,266.12,261.45,
"110",2009-06-09,263.03,264.73,266.18,261.62,
"111",2009-06-10,266.96,267.11,269.83,266.14,
"112",2009-06-11,268.11,266.87,268.64,266.19,
"113",2009-06-12,265.48,267.62,268.12,264.28,
"114",2009-06-15,258.26,262.95,263.14,257.93,
"115",2009-06-16,257.01,258.81,259.71,256.45,
"116",2009-06-17,251.23,255.65,256.11,248.93,
"117",2009-06-18,253.52,253.17,254.43,249.47,
"118",2009-06-19,257.16,254.21,257.81,253.17,
"119",2009-06-22,249.09,257.47,257.69,249.09,
"120",2009-06-23,248.69,247.1,250.43,247.03,
"121",2009-06-24,254.63,250.22,255.2,248.11,
"122",2009-06-25,254.12,254.62,254.62,249.09,
"123",2009-06-26,254.43,256.48,257.84,253.11,
"124",2009-06-29,258.24,253.92,258.76,253.41,
"125",2009-06-30,254.71,258.89,258.89,253.34,
"126",2009-07-01,260.29,256.33,261.44,256.2,
"127",2009-07-02,252.69,258.45,258.45,252.69,
"128",2009-07-03,253.7,253.28,253.87,251.08,
"129",2009-07-06,249.64,251.59,251.59,247.81,
"130",2009-07-07,249.04,251.27,252.71,248.53,
"131",2009-07-08,244.63,247.44,248.19,244.21,
"132",2009-07-09,247.11,246.36,248.91,245.66,
"133",2009-07-10,243.2,245.64,246.19,243.2,
"134",2009-07-13,249.79,242.61,249.79,241.36,
"135",2009-07-14,251.91,250.8,252.51,249.92,
"136",2009-07-15,260.82,253.68,260.82,253.68,
"137",2009-07-16,263.48,260.88,265.54,259.76,
"138",2009-07-17,266.4,265.32,267.69,264.47,
"139",2009-07-20,269.48,268.74,270.46,267.53,
"140",2009-07-21,270.68,269.5,273.32,269.06,
"141",2009-07-22,271.19,270.89,271.3,267.85,
"142",2009-07-23,276.15,271.85,276.56,269.21,
"143",2009-07-24,276.15,275.34,278.7,274.2,
"144",2009-07-27,278.14,279.14,279.68,276.17,
"145",2009-07-28,274.24,278.36,279.52,273.57,
"146",2009-07-29,277.32,272.99,278.81,272.67,
"147",2009-07-30,283.82,278.95,284.69,277.48,
"148",2009-07-31,283.17,282.63,285.24,281.48,
"149",2009-08-03,287.49,283.63,289.34,283.19,
"150",2009-08-04,286.91,287.51,287.51,283.45,
"151",2009-08-05,285.24,285.63,289.11,283.92,
"152",2009-08-06,288.11,288.18,290.15,287.17,
"153",2009-08-07,290.5,286.67,291.84,284.81,
"154",2009-08-10,288.61,289.57,289.91,287.03,
"155",2009-08-11,284.17,288.9,290.05,283.24,
"156",2009-08-12,288.95,283.72,288.95,280.79,
"157",2009-08-13,290.02,288.19,293.25,288.19,
"158",2009-08-14,288.02,290.6,292.39,286.78,
"159",2009-08-17,282.01,286.09,286.09,281.11,
"160",2009-08-18,284.46,283.33,284.46,282.05,
"161",2009-08-19,284.05,282.63,284.96,280.15,
"162",2009-08-20,288.12,287.72,288.87,285.65,
"163",2009-08-21,294.49,287.02,295.71,286.79,
"164",2009-08-24,297.88,297.1,298.81,295.92,
"165",2009-08-25,300.03,294.82,300.54,294.67,
"166",2009-08-26,298.64,299.41,302.26,297.82,
"167",2009-08-27,296.9,298,300.82,295.89,
"168",2009-08-28,300.2,299.29,302.76,298.73,
"169",2009-08-31,296.27,297.48,298.29,295.76,
"170",2009-09-01,291,298.03,298.93,291,
"171",2009-09-02,289.05,289.84,289.84,286.24,
"172",2009-09-03,289.01,290.12,291.99,288.23,
"173",2009-09-04,293.16,291.33,293.64,290.58,
"174",2009-09-07,298.41,295.33,298.47,295.16,
"175",2009-09-08,300.81,299.24,301.32,298.2,
"176",2009-09-09,304.25,299.48,304.25,299.38,
"177",2009-09-10,305.97,306.37,307.1,302.85,
"178",2009-09-11,308,307.09,309.2,306.65,
"179",2009-09-14,306.9,304.17,307.03,303.03,
"180",2009-09-15,308.37,307.56,309.66,305.71,
"181",2009-09-16,312.76,310.17,313.3,310.17,
"182",2009-09-17,313.88,315.26,315.26,311.82,
"183",2009-09-18,313.63,312.09,315.48,311.83,
"184",2009-09-21,311.34,313.54,313.74,309.67,
"185",2009-09-22,312.72,312.12,314.67,312.12,
"186",2009-09-23,313.36,313,314.55,312.08,
"187",2009-09-24,308.52,311.54,314.8,308.06,
"188",2009-09-25,305.63,309.21,309.57,305.63,
"189",2009-09-28,311.9,304.94,311.9,302.17,
"190",2009-09-29,312.12,312.82,313.97,310.22,
"191",2009-09-30,311.35,312.69,314.39,308.95,
"192",2009-10-01,305.74,312.31,313.67,305.5,
"193",2009-10-02,299.3,302.45,303.08,296.5,
"194",2009-10-05,301.22,300.25,301.73,298.31,
"195",2009-10-06,309.28,303.19,309.63,302.92,
"196",2009-10-07,309.21,309.03,312.21,308.16,
"197",2009-10-08,314.76,314.29,314.8,312.03,
"198",2009-10-09,315.55,313.38,316.74,313.33,
"199",2009-10-12,320.71,318.18,321.75,318.18,
"200",2009-10-13,319.53,320.74,322.03,318.64,
"201",2009-10-14,325.47,324,326.54,323.8,
"202",2009-10-15,325.19,326.64,326.84,323.78,
"203",2009-10-16,322.31,326.61,328.51,321.65,
"204",2009-10-19,327.03,323.75,327.28,323.75,
"205",2009-10-20,324.92,328.29,328.47,324.47,
"206",2009-10-21,325.5,326.42,327.15,320.85,
"207",2009-10-22,320.69,321.06,321.79,318.71,
"208",2009-10-23,320.14,323.97,325.37,319.61,
"209",2009-10-26,312.65,321.21,321.9,312.15,
"210",2009-10-27,311.13,312.48,314.73,310.13,
"211",2009-10-28,303.29,309.72,310,303.15,
"212",2009-10-29,309.65,301.86,309.83,301.25,
