"","BEL 20 (BFX)_history.csv Date","BEL 20 (BFX)_history.csv Price","BEL 20 (BFX)_history.csv Open","BEL 20 (BFX)_history.csv High","BEL 20 (BFX)_history.csv Low","BEL 20 (BFX)_history.csv Volume"
"1",2009-01-02,1980.77,1941.03,1980.77,1924.31,"13990000"
"2",2009-01-05,2004.32,2003.17,2016.78,1969.69,"22550000"
"3",2009-01-06,1997.28,2007.54,2008.06,1978.99,"20960000"
"4",2009-01-07,1997.91,1991.29,1998.86,1974.82,"30740000"
"5",2009-01-08,1976.57,1975.29,1982.79,1950.39,"20600000"
"6",2009-01-09,1973.95,1979.56,1996.48,1959.68,"18190000"
"7",2009-01-12,1970.54,1973.5,1993.13,1966.01,"31560000"
"8",2009-01-13,1963.02,1973.31,1975.53,1951.09,"44090000"
"9",2009-01-14,1890.27,1981.72,1981.8,1880.3,"68520000"
"10",2009-01-15,1856.11,1885.58,1892.83,1839.58,"57430000"
"11",2009-01-16,1851.65,1883.9,1898.59,1851.65,"45800000"
"12",2009-01-19,1839.94,1883.96,1899.33,1821.68,"38970000"
"13",2009-01-20,1802.74,1847.62,1851.24,1796.05,"38960000"
"14",2009-01-21,1794.97,1782.48,1806.36,1750.03,"63270000"
"15",2009-01-22,1805.38,1837.67,1853.57,1802.04,"43370000"
"16",2009-01-23,1834.19,1813.95,1840.32,1794.97,"38660000"
"17",2009-01-26,1884.03,1846.32,1892.11,1839.2,"45020000"
"18",2009-01-27,1870.39,1892.64,1892.64,1853.9,"45710000"
"19",2009-01-28,1925.48,1894.35,1925.48,1884.18,"69260000"
"20",2009-01-29,1893.94,1928.9,1928.9,1888.91,"43160000"
"21",2009-01-30,1900.09,1887.48,1909.95,1881.9,"23150000"
"22",2009-02-02,1858.77,1895.63,1895.63,1845.9,"82860000"
"23",2009-02-03,1883.81,1869.09,1883.87,1859.58,"53810000"
"24",2009-02-04,1906.49,1896.81,1916.22,1877.55,"63510000"
"25",2009-02-05,1907.22,1879.07,1910.43,1872.81,"41360000"
"26",2009-02-06,1916.88,1918.86,1927.11,1895.25,"58710000"
"27",2009-02-09,1927.25,1909.88,1928.97,1897,"69130000"
"28",2009-02-10,1884.26,1916.48,1930.75,1884.26,"59860000"
"29",2009-02-11,1884.02,1869.66,1884.74,1858.34,"15260000"
"30",2009-02-12,1843,1859.21,1859.21,1829.9,"91700000"
"31",2009-02-13,1832.24,1860.42,1871.43,1827.28,"41750000"
"32",2009-02-16,1823.78,1826.31,1840.38,1816.52,"28650000"
"33",2009-02-17,1783.23,1816.04,1816.04,1778.53,"35070000"
"34",2009-02-18,1756.19,1786.65,1790.94,1738.85,"43320000"
"35",2009-02-19,1783.2,1768.04,1790.28,1756.62,"44870000"
"36",2009-02-20,1740.36,1760.97,1771.88,1736.88,"42730000"
"37",2009-02-23,1725.58,1753.75,1760.96,1719.8,"31140000"
"38",2009-02-24,1697.6,1711.6,1715.53,1681.39,"32580000"
"39",2009-02-25,1681.13,1724.39,1726.34,1665.24,"36870000"
"40",2009-02-26,1688.15,1699.67,1699.67,1667.38,"45690000"
"41",2009-02-27,1696.58,1678.64,1696.58,1659.05,"67970000"
"42",2009-03-02,1610.56,1670.19,1674.52,1609.18,"83860000"
"43",2009-03-03,1566.27,1606.79,1620.95,1566.27,"64660000"
"44",2009-03-04,1584.19,1585.89,1593.38,1562.46,"52820000"
"45",2009-03-05,1552.18,1600.67,1602.43,1551.17,"57410000"
"46",2009-03-06,1527.27,1566.02,1583.89,1523.47,"78890000"
"47",2009-03-09,1553.05,1567.41,1571.81,1534.19,"88380000"
"48",2009-03-10,1616.51,1564.31,1620.91,1562.32,"50440000"
"49",2009-03-11,1647.25,1625.27,1662.68,1616.68,"56220000"
"50",2009-03-12,1671.04,1657.86,1671.04,1642.47,"46980000"
"51",2009-03-13,1661.76,1697.95,1716.94,1657.65,"48940000"
"52",2009-03-16,1707.74,1701.87,1718.58,1692.66,"44780000"
"53",2009-03-17,1700.97,1701.96,1716.6,1687.64,"29010000"
"54",2009-03-18,1698.43,1724.94,1727.91,1681.48,"37260000"
"55",2009-03-19,1689.64,1714.89,1725.83,1684.53,"58250000"
"56",2009-03-20,1708.66,1683.24,1714.1,1678.91,"70310000"
"57",2009-03-23,1754.02,1743.5,1754.02,1717.27,"48180000"
"58",2009-03-24,1749.29,1777.3,1780.88,1737.16,"46730000"
"59",2009-03-25,1756.96,1744.87,1787.13,1735.79,"38140000"
"60",2009-03-26,1783.16,1777.28,1784.21,1760.99,"32900000"
"61",2009-03-27,1751.56,1781.88,1788.62,1749.15,"29510000"
"62",2009-03-30,1700.44,1732.27,1734.62,1700.44,"31260000"
"63",2009-03-31,1748.74,1713.55,1748.74,1706.15,"45150000"
"64",2009-04-01,1772.84,1750.79,1774.87,1724.88,"38120000"
"65",2009-04-02,1831.13,1800.83,1832.39,1795.04,"47980000"
"66",2009-04-03,1808.37,1822.63,1838.35,1806.99,"37800000"
"67",2009-04-06,1800.15,1832.86,1849.51,1797.04,"40380000"
"68",2009-04-07,1765.51,1804.54,1815.95,1765.51,"31120000"
"69",2009-04-08,1770.66,1754.48,1788.54,1747.26,"30830000"
"70",2009-04-09,1807.14,1799.83,1820.7,1790.24,"35030000"
"71",2009-04-14,1822.32,1839.27,1842.97,1808.75,"61580000"
"72",2009-04-15,1848.33,1815.82,1850.07,1815.32,"30730000"
"73",2009-04-16,1873.87,1856.43,1885.82,1845.36,"39540000"
"74",2009-04-17,1923.46,1905.91,1934.98,1901.92,"61160000"
"75",2009-04-20,1856.69,1929.39,1935.69,1850.42,"45610000"
"76",2009-04-21,1884.15,1852.39,1908.24,1834.25,"48690000"
"77",2009-04-22,1903.89,1891.9,1906.81,1866.57,"48160000"
"78",2009-04-23,1905.37,1904.06,1923.88,1890.06,"46740000"
"79",2009-04-24,1955.82,1920.46,1955.82,1913.27,"46940000"
"80",2009-04-27,1934.02,1931.62,1936.61,1910.37,"47100000"
"81",2009-04-28,1920.82,1907.11,1931,1889.51,"20150000"
"82",2009-04-29,1950.98,1924.47,1956.26,1924.47,"16750000"
"83",2009-04-30,1953.35,1969.34,1997.08,1948.54,"84980000"
"84",2009-05-04,1993.47,1982.46,1996.84,1974.34,"36370000"
"85",2009-05-05,1969.62,2010.62,2014.67,1969.62,"48600000"
"86",2009-05-06,2024.9,1989.53,2030.95,1986.72,"55940000"
"87",2009-05-07,2073.54,2083.11,2119.79,2062.37,"110300000"
"88",2009-05-08,2126.23,2102.48,2127.55,2094.57,"91310000"
"89",2009-05-11,2085.68,2138.67,2139.46,2062.35,"60170000"
"90",2009-05-12,2049.45,2065.1,2092.41,2039.16,"47120000"
"91",2009-05-13,2016.37,2064.61,2067.13,2008.69,"65830000"
"92",2009-05-14,1978.37,2020.75,2040.8,1970.88,"61800000"
"93",2009-05-15,2005.33,2007.4,2010.14,1979.99,"62420000"
"94",2009-05-18,2049.67,1999.83,2052.4,1986.7,"43750000"
"95",2009-05-19,2078.75,2070.31,2094.72,2068.72,"78630000"
"96",2009-05-20,2107.98,2087.23,2122.64,2085.41,"67730000"
"97",2009-05-21,2056.37,2093.75,2098.27,2051.38,"34010000"
"98",2009-05-22,2064.64,2061.05,2084.57,2056.54,"28760000"
"99",2009-05-25,2074.97,2070.11,2087.73,2054.16,"21840000"
"100",2009-05-26,2065.59,2074.32,2075.3,2029.58,"40840000"
"101",2009-05-27,2084.52,2084.03,2085.43,2058.98,"32360000"
"102",2009-05-28,2063.65,2066.74,2075.86,2053.76,"28060000"
"103",2009-05-29,2071.37,2080.02,2087.99,2057.88,"42270000"
"104",2009-06-01,2091.61,2094.57,2100.43,2071.85,"25900000"
"105",2009-06-02,2084.9,2084.48,2098.41,2080.13,"34610000"
"106",2009-06-03,2066.54,2101.57,2104.31,2053.09,"36490000"
"107",2009-06-04,2063.02,2065.48,2068.2,2049.63,"42530000"
"108",2009-06-05,2071.39,2080.16,2092.01,2059.06,"47390000"
"109",2009-06-08,2046.17,2067.46,2068.88,2027.61,"50450000"
"110",2009-06-09,2056.61,2057.05,2065.73,2048.79,"45550000"
"111",2009-06-10,2064.32,2079.23,2084.26,2060.65,"37440000"
"112",2009-06-11,2059.75,2052.04,2064.68,2044.3,"34940000"
"113",2009-06-12,2070.19,2064.65,2078.33,2062.83,"26270000"
"114",2009-06-15,2008.98,2067.98,2068.78,2006.64,"3.2e+07"
"115",2009-06-16,1995.59,2008.07,2017.33,1986.23,"39420000"
"116",2009-06-17,1964.64,1992.37,1992.37,1954.44,"41620000"
"117",2009-06-18,1980.83,1965.07,1987.41,1954.19,"37160000"
"118",2009-06-19,1997.71,1993.29,2014.06,1980.87,"53760000"
"119",2009-06-22,1948.42,2003.07,2007.61,1948.42,"34720000"
"120",2009-06-23,1966.43,1934.64,1974.64,1933.42,"26420000"
"121",2009-06-24,2016.35,1972.34,2024.92,1962.01,"27370000"
"122",2009-06-25,2015.68,2026.13,2026.13,1987.8,"22880000"
"123",2009-06-26,2013.32,2028.38,2038.79,2006.53,"29140000"
"124",2009-06-29,2037.74,2012.97,2038.32,2008.17,"19250000"
"125",2009-06-30,2030.98,2046.64,2047.13,2019.92,"22630000"
"126",2009-07-01,2073.98,2035.69,2073.98,2031.57,"25870000"
