"","BIST 100 (XU100)_history.csv Date","BIST 100 (XU100)_history.csv Price","BIST 100 (XU100)_history.csv Open","BIST 100 (XU100)_history.csv High","BIST 100 (XU100)_history.csv Low","BIST 100 (XU100)_history.csv Volume"
"1",2009-01-02,27005.63,26864.07,27332.12,26864.07,
"2",2009-01-05,27988.65,27005.63,28096.34,27005.63,
"3",2009-01-06,28709.41,27988.65,28732.54,27988.65,
"4",2009-01-07,27892.65,28709.41,28709.41,27727.37,
"5",2009-01-08,26210.37,27892.65,27892.65,26120.63,
"6",2009-01-09,26470.08,26210.37,27088.83,26210.37,
"7",2009-01-12,25708.56,26470.08,26470.08,25582.54,
"8",2009-01-13,26108.72,25708.56,26166.08,25196.82,
"9",2009-01-14,25055.71,26108.72,26400.82,25012.33,
"10",2009-01-15,25072.3,25055.71,25556.11,24833.88,
"11",2009-01-16,25630.96,25072.3,25992.08,25072.3,
"12",2009-01-19,25055.88,25630.96,25882.81,24883.87,
"13",2009-01-20,24714.74,25055.88,25428.04,24649.84,
"14",2009-01-21,24736.12,24714.74,24736.12,24035.25,
"15",2009-01-22,24641.93,24736.12,25305.27,24489.94,
"16",2009-01-23,24781.83,24641.93,24836.64,24332.58,
"17",2009-01-26,25970,24781.83,25970,24781.83,
"18",2009-01-27,25798.26,25970,26259.62,25479.97,
"19",2009-01-28,26705.62,25798.26,26772.48,25798.26,
"20",2009-01-29,26162.99,26705.62,26705.62,26011.12,
"21",2009-01-30,25934.37,26162.99,26162.99,25567.4,
"22",2009-02-02,25270.81,25934.37,25934.37,25234.77,
"23",2009-02-03,25659.9,25270.81,25874.04,25270.81,
"24",2009-02-04,26141.06,25659.9,26307.99,25659.9,
"25",2009-02-05,25774.21,26141.06,26141.06,25669.31,
"26",2009-02-06,26735.21,25774.21,26783.85,25774.21,
"27",2009-02-09,27040.47,26735.21,27131.87,26735.21,
"28",2009-02-10,25966.12,27040.47,27040.47,25904.6,
"29",2009-02-11,25398.42,25966.12,25966.12,24974.76,
"30",2009-02-12,25023.08,25398.42,25674.78,24899.2,
"31",2009-02-13,25199.53,25023.08,25562.26,24961.38,
"32",2009-02-16,24911.52,25199.53,25199.53,24720.7,
"33",2009-02-17,23907.55,24911.52,24911.52,23754.5,
"34",2009-02-18,23844.72,23907.55,24182.75,23160,
"35",2009-02-19,24439.91,23844.72,24527.99,23844.72,
"36",2009-02-20,23579.48,24439.91,24439.91,23453.1,
"37",2009-02-23,23991.03,23579.48,24196.58,23579.48,
"38",2009-02-24,24032.46,23991.03,24068.71,23436.6,
"39",2009-02-25,24152.34,24032.46,24554.43,24032.46,
"40",2009-02-26,24168.57,24152.34,24343.56,24034.66,
"41",2009-02-27,24026.59,24168.57,24168.57,23637.82,
"42",2009-03-02,23699.93,24026.59,24026.59,23424.85,
"43",2009-03-03,23751.96,23699.93,23774.32,23485.55,
"44",2009-03-04,23940.66,23751.96,24020.24,23679.65,
"45",2009-03-05,23035.95,23940.66,23993.67,22896.03,
"46",2009-03-06,23220.02,23035.95,23220.02,22721.34,
