"","Bovespa (BVSP)_history.csv Date","Bovespa (BVSP)_history.csv Price","Bovespa (BVSP)_history.csv Open","Bovespa (BVSP)_history.csv High","Bovespa (BVSP)_history.csv Low","Bovespa (BVSP)_history.csv Volume"
"1",2009-01-02,40244.22,37550.31,40264.72,37550.31,"1060000"
"2",2009-01-05,41518.66,40243.4,41889.34,39525.7,"1910000"
"3",2009-01-06,42312.28,41520.07,42363.19,41520.07,"1790000"
"4",2009-01-07,40820.25,42308.27,42308.27,40563.43,"1380000"
"5",2009-01-08,41990.55,40819.37,41990.55,40250.57,"1560000"
"6",2009-01-09,41582.94,41991.77,42525.21,41181.49,"1570000"
"7",2009-01-12,39403.47,41584.89,41584.89,39345.4,"1550000"
"8",2009-01-13,39544.23,39397.15,40322.58,38623.25,"1800000"
"9",2009-01-14,37981.77,39537.37,39569.88,37658.34,"2200000"
"10",2009-01-15,39151.08,37992.56,39196.9,36805.84,"2030000"
"11",2009-01-16,39341.54,39149.4,39904.1,38578.43,"1730000"
"12",2009-01-19,38828.32,39351.36,39570.02,38700.11,"791080"
"13",2009-01-20,37272.07,38828.32,39174.26,37272.07,"1420000"
"14",2009-01-21,38542.9,37279.25,38542.9,37279.25,"1670000"
"15",2009-01-22,37894.33,38542.57,38844.76,37255.49,"1740000"
"16",2009-01-23,38132.35,37891.3,38660.44,36743.71,"1430000"
"17",2009-01-26,38509.45,38130.01,39065.32,37830.58,"1490000"
"18",2009-01-27,38698.92,38511.3,39024.99,38421.71,"1420000"
"19",2009-01-28,40227.45,38704.49,40438.46,38704.49,"2130000"
"20",2009-01-29,39638.42,40228.99,40228.99,39368.57,"1330000"
"21",2009-01-30,39300.79,39636.91,40273.15,39185.48,"1480000"
"22",2009-02-02,38666.44,39296.48,39363.85,38452.88,"1330000"
"23",2009-02-03,39746.76,38665.33,39765.46,38654.75,"1550000"
"24",2009-02-04,40129.04,39745.77,41490.17,39745.77,"2410000"
"25",2009-02-05,41108.65,40119.98,41373.47,39790.86,"1930000"
"26",2009-02-06,42755.5,41109.68,42872.88,41109.68,"2180000"
"27",2009-02-09,42100.12,42754.84,43441.48,41977.06,"1750000"
"28",2009-02-10,41207.43,42100.7,42819.27,40960.37,"2280000"
"29",2009-02-11,40845.62,41207.43,42032.3,40285.93,"1670000"
"30",2009-02-12,40500.79,40826.53,41082.13,39992.36,"1780000"
"31",2009-02-13,41673.62,40512.44,41833.48,40512.44,"1450000"
"32",2009-02-16,41841.32,41672.45,41841.32,41026,"1090000"
"33",2009-02-17,39846.97,41837.8,41837.8,39817.34,"1730000"
"34",2009-02-18,39674.39,39848.18,40434.45,39209.14,"1650000"
"35",2009-02-19,39730.33,39675.16,40433.34,39630.25,"1160000"
"36",2009-02-20,38714.64,39724.59,39724.59,38102.61,"1710000"
"37",2009-02-25,38231.58,38712.23,38933.4,37693.81,"1220000"
"38",2009-02-26,38180.18,38233.52,39218.78,38180.18,"1520000"
"39",2009-02-27,38183.31,38177.64,38800.86,37324.44,"1650000"
"40",2009-03-02,36234.69,38179.79,38179.79,36195.86,"1730000"
"41",2009-03-03,36467.56,36235.89,37084.97,35721.83,"1730000"
"42",2009-03-04,38402.24,36467.54,38554.19,36467.54,"1800000"
"43",2009-03-05,37368.93,38391.36,38391.36,36973.25,"1350000"
"44",2009-03-06,37105.09,37367.24,38308.58,36475.86,"1480000"
"45",2009-03-09,36741.35,37102.89,37464.11,36392.06,"1070000"
"46",2009-03-10,38794.55,36744.85,38803.6,36744.85,"1790000"
"47",2009-03-11,38804.8,38794.77,39310.29,38238.3,"1400000"
"48",2009-03-12,39151.86,38805.91,39304.13,38286.31,"1630000"
"49",2009-03-13,39015.37,39151.89,39707.23,38579.84,"1600000"
"50",2009-03-16,38607.2,39018.26,39712.57,38466.72,"1530000"
"51",2009-03-17,39510.72,38607.54,39510.72,38080.47,"1460000"
"52",2009-03-18,40142.29,39507.82,40551.18,38849.71,"1730000"
"53",2009-03-19,40453.43,40146.17,41136.61,40146.17,"1900000"
"54",2009-03-20,40076.41,40453.43,41053.15,40075.7,"1390000"
"55",2009-03-23,42438.55,40077.02,42508.96,40077.02,"1880000"
"56",2009-03-24,41475.83,42438.69,42438.69,41475.83,"1830000"
"57",2009-03-25,41799.3,41477.77,42622.91,41113.69,"1960000"
"58",2009-03-26,42588.66,41801.32,42679.98,41801.32,"1640000"
"59",2009-03-27,41907.29,42588.66,42588.66,41585.67,"1340000"
"60",2009-03-30,40653.13,41908.97,41908.97,40351.06,"1510000"
"61",2009-03-31,40925.87,40661.18,41609.59,40661.18,"1590000"
"62",2009-04-01,41976.33,40917.9,42004.63,40256.17,"1670000"
"63",2009-04-02,43736.45,41977.44,44286.02,41977.44,"2360000"
"64",2009-04-03,44390.98,43737.77,44610.12,43519.92,"1880000"
"65",2009-04-06,44167.26,44385.11,44385.11,43429.3,"1470000"
"66",2009-04-07,43824.53,44162.84,44471.1,43593.06,"1710000"
"67",2009-04-08,44181.98,43827.93,44389.5,43706.36,"1780000"
"68",2009-04-09,45538.71,44182.76,45702.19,44182.76,"1920000"
"69",2009-04-13,45991.89,45536.36,46178.86,45225.81,"1550000"
"70",2009-04-14,45418.18,45988.79,46591.44,45284.36,"2130000"
"71",2009-04-15,45272.65,45419.65,45453.34,44810.9,"1760000"
"72",2009-04-16,46024.78,45277.22,46211.47,45277.22,"1770000"
"73",2009-04-17,45778.28,46017.55,46187.43,45722.69,"1470000"
"74",2009-04-20,44433.15,45778.28,45778.28,44274.88,"1270000"
"75",2009-04-22,44888.2,44433.8,45369.13,44433.8,"1360000"
