"","CSE All-Share (CSE)_history.csv Date","CSE All-Share (CSE)_history.csv Price","CSE All-Share (CSE)_history.csv Open","CSE All-Share (CSE)_history.csv High","CSE All-Share (CSE)_history.csv Low","CSE All-Share (CSE)_history.csv Volume"
"1",2009-01-02,1578.46,1503.02,1596.41,1500.46,"7490000"
"2",2009-01-05,1560.97,1578.46,1624.23,1555.64,"6360000"
"3",2009-01-06,1549.47,1560.97,1568.31,1539.68,"1800000"
"4",2009-01-07,1550.07,1549.47,1556.57,1545.29,"2220000"
"5",2009-01-08,1542.4,1550.07,1559.52,1536.5,"1710000"
"6",2009-01-09,1532.25,1542.4,1545.11,1524.86,"1140000"
"7",2009-01-12,1533.79,1532.25,1555.06,1529,"3370000"
"8",2009-01-13,1576.25,1533.79,1588.93,1532.4,"8590000"
"9",2009-01-15,1628.87,1576.25,1644.46,1576.25,"9450000"
"10",2009-01-16,1649.95,1628.87,1663.18,1620.1,"8070000"
"11",2009-01-19,1740.41,1649.95,1764.87,1649.95,"11070000"
"12",2009-01-20,1810.27,1740.41,1816.22,1740.41,"11050000"
"13",2009-01-21,1720.13,1810.27,1821.81,1715,"9290000"
"14",2009-01-22,1750.14,1720.13,1753.23,1719.45,"3520000"
"15",2009-01-23,1761.81,1750.1,1771.63,1750.07,"3250000"
"16",2009-01-26,1818.06,1761,1827.15,1761,"9330000"
"17",2009-01-27,1800.99,1818,1826.78,1792.52,"4090000"
"18",2009-01-28,1812.21,1800.99,1817.41,1799.68,"5410000"
"19",2009-01-29,1834.94,1812,1840.49,1808.25,"10770000"
"20",2009-01-30,1821.24,1834.94,1844.61,1821.24,"28250000"
"21",2009-02-02,1803.89,1821.24,1842.77,1803.4,"6160000"
"22",2009-02-03,1801.59,1803.89,1808.89,1790.45,"4510000"
"23",2009-02-05,1755.47,1801.59,1807.58,1751.95,"4080000"
"24",2009-02-06,1762.11,1755.47,1770.16,1755.43,"5990000"
"25",2009-02-10,1765.88,1762.11,1771.74,1757.38,"4760000"
"26",2009-02-11,1761.93,1765.88,1774.09,1754.18,"3850000"
"27",2009-02-12,1749.39,1761.93,1774.06,1749.39,"2920000"
"28",2009-02-13,1748.14,1749.39,1761.4,1747.75,"3340000"
"29",2009-02-16,1751.98,1748.1,1764.82,1748.1,"5720000"
"30",2009-02-17,1744.93,1751.98,1756.04,1743.05,"12740000"
"31",2009-02-18,1737.94,1744.93,1753.67,1735.09,"67350000"
"32",2009-02-19,1724.42,1737.94,1740.37,1724.42,"11490000"
"33",2009-02-20,1734.41,1724.42,1743.78,1723.49,"22750000"
"34",2009-02-24,1726.91,1734.41,1744.42,1725.84,"2850000"
"35",2009-02-25,1706.3,1726.91,1728.68,1703.8,"4440000"
"36",2009-02-26,1698.6,1706.3,1713.16,1696.86,"6130000"
"37",2009-02-27,1694.14,1698.6,1708.4,1690.94,"3950000"
"38",2009-03-02,1671.69,1694.14,1703.9,1670.55,"3470000"
"39",2009-03-03,1639.47,1671.69,1671.74,1638.53,"3090000"
"40",2009-03-04,1628.83,1639.47,1671.69,1624.94,"2610000"
"41",2009-03-05,1616.06,1628.83,1629.69,1608,"6690000"
"42",2009-03-06,1627.7,1616.06,1637.94,1616.03,"30210000"
"43",2009-03-09,1630.7,1627.7,1641.88,1627.7,"2730000"
"44",2009-03-11,1637.92,1630.7,1645.17,1630.7,"2220000"
