"","DAX (GDAXI)_history.csv Date","DAX (GDAXI)_history.csv Price","DAX (GDAXI)_history.csv Open","DAX (GDAXI)_history.csv High","DAX (GDAXI)_history.csv Low","DAX (GDAXI)_history.csv Volume"
"1",2009-01-02,4973.07,4856.85,4974.73,4838.49,"-"
"2",2009-01-05,4983.99,5010.18,5034.85,4949.36,"-"
"3",2009-01-06,5026.31,4992.67,5111.02,4960.21,"-"
"4",2009-01-07,4937.47,5008.62,5010.97,4914.22,"-"
"5",2009-01-08,4879.91,4897.16,4917.62,4820.08,"-"
"6",2009-01-09,4783.89,4891.58,4932.66,4743.97,"-"
"7",2009-01-12,4719.62,4765.38,4791.96,4708.5,"-"
"8",2009-01-13,4636.94,4704.51,4704.51,4596.49,"-"
"9",2009-01-14,4422.35,4661.84,4670.84,4379.88,"-"
"10",2009-01-15,4336.73,4434.22,4451.32,4295.76,"-"
"11",2009-01-16,4366.28,4395.79,4474.86,4357.82,"-"
"12",2009-01-19,4316.14,4409.88,4452.57,4249.91,"-"
"13",2009-01-20,4239.85,4297.42,4382.11,4222.76,"-"
"14",2009-01-21,4261.15,4208.19,4313.69,4140.26,"-"
"15",2009-01-22,4219.42,4313.36,4368.47,4197.02,"-"
"16",2009-01-23,4178.94,4204,4222.01,4067.43,"-"
"17",2009-01-26,4326.87,4165.71,4371.52,4145.12,"-"
"18",2009-01-27,4323.42,4322.99,4360.79,4264.97,"-"
"19",2009-01-28,4518.72,4347.78,4533.7,4347.78,"-"
"20",2009-01-29,4428.11,4495.74,4501.44,4393.98,"-"
"21",2009-01-30,4338.35,4420.33,4454.39,4312.17,"-"
"22",2009-02-02,4271.04,4309.17,4309.19,4198.15,"-"
"23",2009-02-03,4374.96,4302.52,4385.44,4224.53,"-"
"24",2009-02-04,4492.79,4388.26,4545.52,4372.01,"-"
"25",2009-02-05,4510.49,4443.95,4519.44,4387.78,"-"
"26",2009-02-06,4644.63,4524.8,4657.06,4506.45,"-"
"27",2009-02-09,4666.82,4627.83,4688.59,4596.74,"-"
"28",2009-02-10,4505.54,4636.64,4649.23,4505.54,"-"
"29",2009-02-11,4530.09,4491.72,4539.22,4466.06,"-"
"30",2009-02-12,4407.56,4518.68,4518.68,4371.47,"-"
"31",2009-02-13,4413.39,4458.74,4508.72,4397.6,"-"
"32",2009-02-16,4366.64,4386.46,4421.78,4359.29,"86110000"
"33",2009-02-17,4216.6,4329.35,4329.7,4195.22,"-"
"34",2009-02-18,4204.96,4229.53,4255.39,4124.11,"-"
"35",2009-02-19,4215.21,4212.71,4275.09,4189.16,"-"
"36",2009-02-20,4014.66,4164.51,4167.05,4014.66,"-"
"37",2009-02-23,3936.45,4057.25,4111.52,3912.71,"-"
"38",2009-02-24,3895.75,3922.02,3932.59,3816.88,"-"
"39",2009-02-25,3846.21,3937.93,3977.77,3790.79,"-"
"40",2009-02-26,3942.62,3882.88,3989.63,3849.76,"-"
"41",2009-02-27,3843.74,3907.85,3907.85,3764.69,"-"
"42",2009-03-02,3710.07,3817.51,3821.97,3692.78,"-"
"43",2009-03-03,3690.72,3724.53,3755.88,3667.86,"-"
"44",2009-03-04,3890.94,3724.74,3891.71,3721.91,"-"
"45",2009-03-05,3695.49,3864.18,3864.18,3695.49,"-"
"46",2009-03-06,3666.41,3699.33,3769.13,3638,"-"
"47",2009-03-09,3692.03,3677.07,3706.32,3588.89,"-"
"48",2009-03-10,3886.98,3716.29,3908.14,3681.33,"-"
"49",2009-03-11,3914.1,3866.74,3994.77,3829.13,"-"
"50",2009-03-12,3956.22,3890.23,3971.25,3802.2,"-"
"51",2009-03-13,3953.6,3988.05,4053.84,3936.81,"-"
"52",2009-03-16,4044.54,3990.83,4063.02,3983.4,"-"
"53",2009-03-17,3987.77,4040.83,4046.42,3947.28,"-"
"54",2009-03-18,3996.32,4024.18,4066.69,3948.59,"-"
"55",2009-03-19,4043.46,4013.69,4137.8,4002.33,"-"
"56",2009-03-20,4068.74,4006.47,4081.73,3995.09,"-"
"57",2009-03-23,4176.37,4109.28,4184.77,4102.34,"-"
"58",2009-03-24,4187.36,4201.49,4239.74,4150.97,"-"
"59",2009-03-25,4223.29,4175.33,4262.23,4139.59,"-"
"60",2009-03-26,4259.37,4226.97,4262.96,4210.98,"-"
"61",2009-03-27,4203.55,4251.86,4272.12,4155.54,"-"
"62",2009-03-30,3989.23,4175.41,4175.45,3987.39,"-"
"63",2009-03-31,4084.76,4007.66,4091.66,4007.22,"-"
"64",2009-04-01,4131.07,4074.79,4148.66,3997.46,"-"
"65",2009-04-02,4381.92,4173.62,4404.62,4173.09,"-"
"66",2009-04-03,4384.99,4353.46,4456.3,4335.09,"-"
"67",2009-04-06,4349.81,4421.71,4457.19,4306.48,"-"
"68",2009-04-07,4322.5,4359.21,4379.33,4276.29,"-"
"69",2009-04-08,4357.92,4286.47,4377.35,4228.89,"-"
"70",2009-04-09,4491.12,4397.06,4510.74,4377.98,"-"
"71",2009-04-13,4491.12,4491.12,4491.12,4491.12,"-"
"72",2009-04-14,4557.01,4489.02,4583.91,4461.48,"-"
"73",2009-04-15,4549.79,4527.66,4559.28,4488.26,"-"
"74",2009-04-16,4609.46,4570.34,4644.84,4531.94,"-"
"75",2009-04-17,4676.84,4622.28,4686.29,4590.72,"-"
"76",2009-04-20,4486.3,4655.84,4667.65,4470.84,"-"
"77",2009-04-21,4501.63,4488.63,4542.92,4390.7,"-"
"78",2009-04-22,4594.42,4508.78,4594.88,4456.5,"-"
"79",2009-04-23,4538.21,4565.44,4609.17,4524.48,"-"
"80",2009-04-24,4674.32,4545.25,4674.73,4542.89,"-"
"81",2009-04-27,4694.07,4625.41,4712.97,4571.54,"-"
"82",2009-04-28,4607.42,4659.81,4661.2,4547.9,"-"
"83",2009-04-29,4704.56,4617.01,4722.11,4611.54,"-"
"84",2009-04-30,4769.45,4732.9,4837.22,4710.09,"-"
"85",2009-05-01,4769.45,4769.45,4769.45,4769.45,"-"
"86",2009-05-04,4902.45,4790.03,4908.88,4781.97,"-"
"87",2009-05-05,4853.03,4897.4,4928.03,4843.6,"-"
"88",2009-05-06,4880.71,4848.94,4945.54,4827.88,"-"
"89",2009-05-07,4804.1,4898.54,4980.3,4792.17,"-"
"90",2009-05-08,4913.9,4851.52,4965.88,4846.85,"-"
"91",2009-05-11,4866.91,4907.29,4917.73,4832.37,"-"
"92",2009-05-12,4854.11,4836.99,4926.69,4821.53,"-"
"93",2009-05-13,4727.61,4864.67,4881.25,4714.18,"-"
"94",2009-05-14,4738.47,4727.68,4744.62,4653.25,"-"
"95",2009-05-15,4737.5,4757.32,4776.64,4685.18,"-"
"96",2009-05-18,4851.96,4702.81,4858.65,4655.53,"-"
"97",2009-05-19,4959.62,4874.84,5005.45,4874.84,"-"
"98",2009-05-20,5038.94,4954.35,5060.76,4949.85,"-"
"99",2009-05-21,4900.67,4997.49,4997.49,4874.97,"-"
"100",2009-05-22,4918.75,4904.67,4964.68,4868.56,"-"
"101",2009-05-25,4918.45,4936.04,4942.14,4829.9,"-"
"102",2009-05-26,4985.6,4891.29,4994.05,4802.8,"-"
"103",2009-05-27,5000.77,5002.34,5035.51,4962.76,"-"
"104",2009-05-28,4932.88,4958.65,4986.96,4884.92,"-"
"105",2009-05-29,4940.82,4964.91,5009.6,4927.67,"-"
"106",2009-06-01,5142.56,4992.1,5156.62,4991.21,"-"
"107",2009-06-02,5144.06,5116.38,5177.59,5096,"-"
"108",2009-06-03,5054.53,5150.02,5158.33,5036.54,"-"
"109",2009-06-04,5064.8,5059.8,5121,5044.17,"-"
"110",2009-06-05,5077.03,5092.62,5165.27,5047.83,"-"
"111",2009-06-08,5004.72,5060.72,5060.72,4969.96,"-"
"112",2009-06-09,4997.86,5018.41,5064.36,4982.12,"-"
"113",2009-06-10,5051.18,5047.53,5133.4,5034.81,"-"
"114",2009-06-11,5107.26,5039.97,5120.87,5038.03,"-"
