"","Dow Jones Industrial Average (DJI)_history.csv Date","Dow Jones Industrial Average (DJI)_history.csv Price","Dow Jones Industrial Average (DJI)_history.csv Open","Dow Jones Industrial Average (DJI)_history.csv High","Dow Jones Industrial Average (DJI)_history.csv Low","Dow Jones Industrial Average (DJI)_history.csv Volume"
"1",2009-01-02,9034.69,8772.25,9080.57,8725.1,"-"
"2",2009-01-05,8952.89,9027.13,9093.47,8841.7,"-"
"3",2009-01-06,9015.1,8954.57,9175.19,8868.07,"-"
"4",2009-01-07,8769.7,8996.94,8996.94,8690.45,"-"
"5",2009-01-08,8742.46,8769.94,8807.14,8593.52,"-"
"6",2009-01-09,8599.18,8738.8,8800.45,8541.75,"-"
"7",2009-01-12,8473.97,8599.26,8653.97,8391.85,"-"
"8",2009-01-13,8448.56,8474.61,8584.68,8325.59,"-"
"9",2009-01-14,8200.14,8446.01,8446.01,8097.95,"-"
"10",2009-01-15,8212.49,8196.24,8326.06,7949.65,"-"
"11",2009-01-16,8281.22,8215.67,8424.59,8086.01,"-"
"12",2009-01-20,7949.09,8279.63,8309.02,7920.66,"-"
"13",2009-01-21,8228.1,7949.17,8286.4,7890.63,"-"
"14",2009-01-22,8122.8,8224.43,8239.33,7925.75,"-"
"15",2009-01-23,8077.56,8108.79,8187.88,7856.86,"-"
"16",2009-01-26,8116.03,8078.04,8278.12,7971.15,"-"
"17",2009-01-27,8174.73,8117.39,8264.1,8042.6,"-"
"18",2009-01-28,8375.45,8175.93,8446.33,8175.93,"-"
"19",2009-01-29,8149.01,8373.06,8373.06,8092.14,"-"
"20",2009-01-30,8000.86,8149.01,8243.95,7924.88,"-"
"21",2009-02-02,7936.83,8000.62,8053.43,7796.17,"-"
"22",2009-02-03,8078.36,7936.99,8157.13,7855.19,"-"
"23",2009-02-04,7956.66,8070.32,8197.04,7899.79,"-"
"24",2009-02-05,8063.07,7954.83,8138.65,7811.7,"-"
"25",2009-02-06,8280.59,8056.38,8360.07,8044.03,"-"
"26",2009-02-09,8270.87,8281.38,8376.56,8137.7,"-"
"27",2009-02-10,7888.88,8269.36,8293.17,7835.83,"-"
"28",2009-02-11,7939.53,7887.05,8042.36,7820.14,"-"
"29",2009-02-12,7932.76,7931.97,7956.02,7662.04,"-"
"30",2009-02-13,7850.41,7933,8005.96,7811.38,"-"
"31",2009-02-17,7552.6,7845.63,7845.63,7502.59,"-"
"32",2009-02-18,7555.63,7546.35,7661.56,7451.37,"-"
"33",2009-02-19,7465.95,7555.23,7679.01,7420.63,"-"
"34",2009-02-20,7365.67,7461.49,7500.44,7226.29,"-"
"35",2009-02-23,7114.78,7365.99,7477.1,7092.64,"-"
"36",2009-02-24,7350.94,7115.34,7396.34,7077.35,"-"
"37",2009-02-25,7270.89,7349.58,7442.13,7123.94,"-"
"38",2009-02-26,7182.08,7269.06,7451.13,7135.25,"-"
"39",2009-02-27,7062.93,7180.97,7244.61,6952.06,"-"
"40",2009-03-02,6763.29,7056.48,7056.48,6736.69,"-"
"41",2009-03-03,6726.02,6764.81,6922.59,6661.74,"-"
"42",2009-03-04,6875.84,6726.5,7012.19,6715.11,"-"
