"","FTSE 100 (FTSE)_history.csv Date","FTSE 100 (FTSE)_history.csv Price","FTSE 100 (FTSE)_history.csv Open","FTSE 100 (FTSE)_history.csv High","FTSE 100 (FTSE)_history.csv Low","FTSE 100 (FTSE)_history.csv Volume"
"1",2009-01-02,4561.8,4434.2,4561.8,4430,
"2",2009-01-05,4579.6,4561.8,4618.1,4520.8,
"3",2009-01-06,4638.9,4579.6,4675.7,4562,
"4",2009-01-07,4507.5,4638.9,4638.9,4478,
"5",2009-01-08,4505.4,4507.5,4514.7,4410.5,
"6",2009-01-09,4448.5,4505.4,4534.8,4431.9,
"7",2009-01-12,4426.2,4448.5,4471.3,4402.3,
"8",2009-01-13,4399.1,4426.2,4426.2,4321.3,
"9",2009-01-14,4180.6,4399.1,4426.5,4115.4,
"10",2009-01-15,4121.1,4180.6,4199.4,4090.9,
"11",2009-01-16,4147.1,4121.1,4251.7,4121.1,
"12",2009-01-19,4108.5,4147.1,4251.9,4032.4,
"13",2009-01-20,4091.4,4108.5,4184.3,4060.6,
"14",2009-01-21,4059.9,4091.4,4112.8,4001.4,
"15",2009-01-22,4052.2,4059.9,4153.9,4046.4,
"16",2009-01-23,4052.5,4052.2,4070.8,3956.7,
"17",2009-01-26,4209,4052.5,4225.2,4039.4,
"18",2009-01-27,4194.4,4209,4211,4130.8,
"19",2009-01-28,4295.2,4194.4,4317.6,4194.4,
"20",2009-01-29,4190.1,4295.2,4295.2,4147.7,
"21",2009-01-30,4149.6,4190.1,4228,4125.2,
"22",2009-02-02,4077.8,4149.6,4149.6,4036.9,
"23",2009-02-03,4164.5,4077.8,4173.2,4043.4,
"24",2009-02-04,4228.6,4164.5,4262.7,4160.4,
"25",2009-02-05,4228.9,4228.6,4235.3,4133.5,
"26",2009-02-06,4291.9,4228.9,4330.7,4225.6,
"27",2009-02-09,4307.6,4291.9,4334,4244,
"28",2009-02-10,4213.1,4307.6,4309.5,4210.5,
"29",2009-02-11,4234.3,4213.1,4244.5,4182.1,
"30",2009-02-12,4202.2,4234.3,4234.3,4135.1,
"31",2009-02-13,4189.6,4202.2,4291.6,4168,
"32",2009-02-16,4134.8,4189.6,4189.6,4127.3,
"33",2009-02-17,4034.1,4134.8,4134.8,3995.4,
"34",2009-02-18,4006.8,4034.1,4056.5,3938.1,
"35",2009-02-19,4018.4,4006.8,4045.2,3983.9,
"36",2009-02-20,3889.1,4018.4,4018.4,3877.8,
"37",2009-02-23,3850.7,3889.1,3960,3844.9,
"38",2009-02-24,3816.4,3850.7,3852.3,3772.4,
"39",2009-02-25,3849,3816.4,3884.1,3803.9,
"40",2009-02-26,3915.6,3849,3948.2,3849,
"41",2009-02-27,3830.1,3915.6,3915.6,3760.7,
"42",2009-03-02,3625.8,3830.1,3830.1,3625.8,
"43",2009-03-03,3512.1,3625.8,3676.9,3497.3,
"44",2009-03-04,3645.9,3512.1,3649.5,3512.1,
"45",2009-03-05,3529.9,3645.9,3645.9,3526.4,
"46",2009-03-06,3530.7,3529.9,3590.2,3492.1,
"47",2009-03-09,3542.4,3530.7,3564.8,3460.7,
"48",2009-03-10,3715.2,3542.4,3726.3,3516.3,
"49",2009-03-11,3693.8,3715.2,3763.2,3652,
"50",2009-03-12,3712.1,3693.8,3725.6,3616.5,
"51",2009-03-13,3753.7,3712.1,3816,3712.1,
"52",2009-03-16,3864,3753.7,3864,3753.7,
"53",2009-03-17,3857.1,3864,3864,3793.1,
"54",2009-03-18,3805,3857.1,3901.6,3768.5,
"55",2009-03-19,3816.9,3805,3912.6,3793.7,
"56",2009-03-20,3842.9,3816.9,3854.9,3777.7,
"57",2009-03-23,3952.8,3842.9,3978.6,3842.9,
"58",2009-03-24,3911.5,3952.8,3992.4,3878.4,
"59",2009-03-25,3900.3,3911.5,3939.2,3853,
"60",2009-03-26,3925.2,3900.3,3929.5,3877.8,
"61",2009-03-27,3898.9,3925.2,3950.3,3877.6,
"62",2009-03-30,3762.9,3898.9,3898.9,3762.9,
"63",2009-03-31,3926.1,3762.9,3930.6,3762.9,
"64",2009-04-01,3955.6,3926.1,3972.7,3838.2,
"65",2009-04-02,4125,3955.6,4137.9,3955.6,
"66",2009-04-03,4029.7,4125,4132.9,4015.6,
"67",2009-04-06,3993.5,4029.7,4097.2,3959.6,
"68",2009-04-07,3930.5,3993.5,4039.5,3909.9,
"69",2009-04-08,3925.5,3930.5,3940.4,3876.1,
"70",2009-04-09,3983.7,3925.5,3986.3,3912,
"71",2009-04-14,3989,3983.7,4039.7,3939.6,
"72",2009-04-15,3968.4,3989,4023.4,3941.6,
"73",2009-04-16,4053,3968.4,4053,3963.6,
"74",2009-04-17,4092.8,4053,4114.3,4043.2,
"75",2009-04-20,3990.9,4092.8,4112.8,3962.9,
"76",2009-04-21,3987.5,3990.9,4019.2,3897.3,
"77",2009-04-22,4030.7,3987.5,4036,3948.2,
"78",2009-04-23,4018.2,4030.7,4082.3,3999.1,
"79",2009-04-24,4156,4018.2,4156,4018.2,
"80",2009-04-27,4167,4156,4179.2,4088.7,
"81",2009-04-28,4096.4,4167,4167,4058.7,
"82",2009-04-29,4189.6,4096.4,4193.3,4089.5,
"83",2009-04-30,4243.7,4189.6,4293.6,4189.6,
"84",2009-05-01,4243.2,4243.7,4251.6,4210.8,
"85",2009-05-05,4336.9,4243.2,4375.4,4243.2,
"86",2009-05-06,4396.5,4336.9,4437.6,4317,
"87",2009-05-07,4398.7,4396.5,4520.8,4380.3,
"88",2009-05-08,4462.1,4398.7,4487.5,4398.7,
"89",2009-05-11,4435.5,4462.1,4470,4401.5,
"90",2009-05-12,4425.5,4435.5,4457.5,4397.4,
"91",2009-05-13,4331.4,4425.5,4448,4328.2,
"92",2009-05-14,4362.6,4331.4,4371.3,4295.2,
"93",2009-05-15,4348.1,4362.6,4400.7,4317.2,
"94",2009-05-18,4446.5,4348.1,4446.5,4307.7,
"95",2009-05-19,4482.3,4446.5,4512.7,4445.5,
"96",2009-05-20,4468.4,4482.3,4504.2,4445.1,
"97",2009-05-21,4345.5,4468.4,4468.4,4325.8,
"98",2009-05-22,4365.3,4345.5,4393.1,4335,
"99",2009-05-26,4411.7,4365.3,4423.6,4295,
"100",2009-05-27,4416.2,4411.7,4439.8,4390.2,
"101",2009-05-28,4387.5,4416.2,4416.2,4341.1,
"102",2009-05-29,4417.9,4387.5,4469.4,4387.5,
"103",2009-06-01,4506.2,4417.9,4517.6,4417.9,
"104",2009-06-02,4477,4506.2,4506.2,4435.9,
"105",2009-06-03,4383.4,4477,4477.2,4359.3,
"106",2009-06-04,4386.9,4383.4,4436.3,4359.7,
"107",2009-06-05,4438.6,4386.9,4495.9,4386.9,
"108",2009-06-08,4405.2,4438.6,4438.6,4370.5,
"109",2009-06-09,4404.8,4405.2,4445.5,4387.3,
"110",2009-06-10,4436.8,4404.8,4505.9,4404.8,
