"","FTSE China A50 (FTXIN9)_history.csv Date","FTSE China A50 (FTXIN9)_history.csv Price","FTSE China A50 (FTXIN9)_history.csv Open","FTSE China A50 (FTXIN9)_history.csv High","FTSE China A50 (FTXIN9)_history.csv Low","FTSE China A50 (FTXIN9)_history.csv Volume"
"1",2010-05-19,9047.81,9106.26,9191.26,8929.31,
"2",2010-05-20,8924.33,9047.81,9143,8905.52,
"3",2010-05-21,9026.51,8924.33,9030.58,8686.36,
"4",2010-05-24,9317.78,9026.51,9375.71,9026.51,
"5",2010-05-25,9077.53,9317.78,9317.78,9050.91,
"6",2010-05-26,9086.82,9077.53,9168.69,9043.21,
"7",2010-05-27,9200.71,9086.82,9222.54,8942.76,
"8",2010-05-28,9161.5,9200.71,9302.41,9114.93,
"9",2010-05-31,8942.28,9161.5,9167.19,8936.69,
"10",2010-06-01,8881.09,8942.28,8998.67,8816.06,
"11",2010-06-02,8851.37,8881.09,8881.28,8706.23,
"12",2010-06-03,8797.88,8851.37,8944.46,8793.9,
"13",2010-06-04,8806.41,8797.88,8820.78,8725.98,
"14",2010-06-07,8601.51,8806.41,8806.41,8561.16,
"15",2010-06-08,8556.95,8601.51,8659.25,8488.68,
"16",2010-06-09,8849.99,8556.95,8880.51,8493.91,
"17",2010-06-10,8701.65,8849.99,8849.99,8690.21,
"18",2010-06-11,8741.54,8701.65,8830.11,8701.65,
"19",2010-06-17,8735.97,8741.54,8824.3,8733.16,
"20",2010-06-18,8678.93,8735.97,8819.82,8655.22,
"21",2010-06-21,8978.54,8678.93,9008.56,8678.93,
"22",2010-06-22,8977.9,8978.54,9014.38,8930.08,
"23",2010-06-23,8908.01,8977.9,8994.81,8832.1,
"24",2010-06-24,8902.42,8908.01,8997.13,8832.8,
"25",2010-06-25,8900.66,8902.42,8956.7,8832.11,
"26",2010-06-28,8872.84,8900.66,8978.81,8855.93,
"27",2010-06-29,8532.43,8872.84,8893.92,8529.51,
"28",2010-06-30,8466.91,8532.43,8532.43,8433.89,
"29",2010-07-01,8374.75,8466.91,8501.94,8368.14,
"30",2010-07-02,8440.21,8374.75,8456.3,8251.87,
"31",2010-07-05,8378.41,8440.21,8440.38,8273.27,
"32",2010-07-06,8510.66,8378.41,8511.98,8348.46,
"33",2010-07-07,8533.87,8510.66,8533.87,8448.69,
"34",2010-07-08,8527.26,8533.87,8613.72,8501.14,
"35",2010-07-09,8728.8,8527.26,8785.32,8467.93,
"36",2010-07-12,8808.78,8728.8,8851.64,8680.34,
"37",2010-07-13,8689.29,8808.78,8808.78,8641.82,
"38",2010-07-14,8742.88,8689.29,8837.02,8689.29,
"39",2010-07-15,8609.99,8742.88,8830.65,8607.14,
"40",2010-07-16,8610.82,8609.99,8635.24,8501.43,
"41",2010-07-19,8790.56,8610.82,8821.73,8520.06,
"42",2010-07-20,8925.94,8790.56,8953.37,8789.32,
"43",2010-07-21,8942.12,8925.94,8992.61,8891.28,
"44",2010-07-22,9023.72,8942.12,9033.66,8898.34,
"45",2010-07-23,9080.22,9023.72,9125.78,9019.66,
"46",2010-07-26,9093.15,9080.22,9121.97,9007.05,
