Date;Price;Open;High;Low;Vol.;Change %
Jan 02, 2009;19,953.00;19,704.00;19,953.00;19,436.00;-;2.53%
Jan 05, 2009;20,262.00;20,160.00;20,262.00;19,953.00;-;1.55%
Jan 06, 2009;20,729.00;20,327.00;20,996.00;20,262.00;-;2.30%
Jan 07, 2009;20,606.00;20,729.00;20,858.00;20,471.00;-;-0.59%
Jan 08, 2009;20,630.00;20,371.00;20,671.00;20,282.00;-;0.12%
Jan 09, 2009;20,093.00;20,700.00;20,700.00;20,055.00;-;-2.60%
Jan 12, 2009;19,911.00;19,992.00;20,204.00;19,856.00;-;-0.91%
Jan 13, 2009;19,455.00;19,819.00;19,911.00;19,289.00;-;-2.29%
Jan 14, 2009;18,763.00;19,652.00;19,652.00;18,562.00;-;-3.56%
Jan 15, 2009;18,402.00;18,745.00;18,900.00;18,306.00;-;-1.92%
Jan 16, 2009;18,703.00;18,833.00;18,908.00;18,402.00;-;1.64%
Jan 19, 2009;18,367.00;18,886.00;19,027.00;18,165.00;-;-1.80%
Jan 20, 2009;18,024.00;18,384.00;18,526.00;17,952.00;-;-1.87%
Jan 21, 2009;17,684.00;17,956.00;18,026.00;17,473.00;-;-1.89%
Jan 22, 2009;17,369.00;18,018.00;18,110.00;17,253.00;-;-1.78%
Jan 23, 2009;17,283.00;17,254.00;17,378.00;16,716.00;-;-0.50%
Jan 26, 2009;17,797.00;17,195.00;17,865.00;17,139.00;-;2.97%
Jan 27, 2009;17,739.00;17,845.00;17,845.00;17,482.00;-;-0.33%
Jan 28, 2009;18,341.00;17,939.00;18,453.00;17,739.00;-;3.39%
Jan 29, 2009;18,092.00;18,241.00;18,354.00;17,863.00;-;-1.36%
Jan 30, 2009;17,934.00;18,039.00;18,264.00;17,800.00;-;-0.87%
Feb 02, 2009;17,467.00;17,758.00;17,934.00;17,325.00;-;-2.60%
Feb 03, 2009;17,669.00;17,614.00;17,670.00;17,275.00;-;1.16%
Feb 04, 2009;18,015.00;17,786.00;18,211.00;17,652.00;-;1.96%
Feb 05, 2009;18,013.00;17,723.00;18,056.00;17,579.00;-;-0.01%
Feb 06, 2009;18,434.00;18,160.00;18,473.00;18,013.00;-;2.34%
Feb 09, 2009;18,663.00;18,305.00;18,726.00;18,264.00;-;1.24%
Feb 10, 2009;18,252.00;18,488.00;18,744.00;18,153.00;-;-2.20%
Feb 11, 2009;18,074.00;18,030.00;18,252.00;17,924.00;-;-0.98%
Feb 12, 2009;17,669.00;17,988.00;18,074.00;17,487.00;-;-2.24%
Feb 13, 2009;17,731.00;17,890.00;18,073.00;17,648.00;-;0.35%
Feb 16, 2009;17,410.00;17,604.00;17,731.00;17,396.00;-;-1.81%
Feb 17, 2009;16,726.00;17,279.00;17,410.00;16,712.00;-;-3.93%
Feb 18, 2009;16,580.00;16,824.00;16,824.00;16,267.00;-;-0.87%
