"","FTSE MIB (FTMIB)_history.csv Date","FTSE MIB (FTMIB)_history.csv Price","FTSE MIB (FTMIB)_history.csv Open","FTSE MIB (FTMIB)_history.csv High","FTSE MIB (FTMIB)_history.csv Low","FTSE MIB (FTMIB)_history.csv Volume"
"1",2009-01-02,19953,19704,19953,19436,
"2",2009-01-05,20262,20160,20262,19953,
"3",2009-01-06,20729,20327,20996,20262,
"4",2009-01-07,20606,20729,20858,20471,
"5",2009-01-08,20630,20371,20671,20282,
"6",2009-01-09,20093,20700,20700,20055,
"7",2009-01-12,19911,19992,20204,19856,
"8",2009-01-13,19455,19819,19911,19289,
"9",2009-01-14,18763,19652,19652,18562,
"10",2009-01-15,18402,18745,18900,18306,
"11",2009-01-16,18703,18833,18908,18402,
"12",2009-01-19,18367,18886,19027,18165,
"13",2009-01-20,18024,18384,18526,17952,
"14",2009-01-21,17684,17956,18026,17473,
"15",2009-01-22,17369,18018,18110,17253,
"16",2009-01-23,17283,17254,17378,16716,
"17",2009-01-26,17797,17195,17865,17139,
"18",2009-01-27,17739,17845,17845,17482,
"19",2009-01-28,18341,17939,18453,17739,
"20",2009-01-29,18092,18241,18354,17863,
"21",2009-01-30,17934,18039,18264,17800,
"22",2009-02-02,17467,17758,17934,17325,
"23",2009-02-03,17669,17614,17670,17275,
"24",2009-02-04,18015,17786,18211,17652,
"25",2009-02-05,18013,17723,18056,17579,
"26",2009-02-06,18434,18160,18473,18013,
"27",2009-02-09,18663,18305,18726,18264,
"28",2009-02-10,18252,18488,18744,18153,
"29",2009-02-11,18074,18030,18252,17924,
"30",2009-02-12,17669,17988,18074,17487,
"31",2009-02-13,17731,17890,18073,17648,
"32",2009-02-16,17410,17604,17731,17396,
"33",2009-02-17,16726,17279,17410,16712,
"34",2009-02-18,16580,16824,16824,16267,
"35",2009-02-19,16501,16630,16671,16371,
"36",2009-02-20,15530,16193,16501,15530,
"37",2009-02-23,15391,15860,16010,15284,
"38",2009-02-24,15436,15130,15540,15018,
"39",2009-02-25,15218,15757,15757,15079,
"40",2009-02-26,15664,15390,15726,15218,
"41",2009-02-27,15282,15407,15664,15047,
"42",2009-03-02,14362,14902,15282,14362,
"43",2009-03-03,14017,14414,14419,13941,
"44",2009-03-04,14363,14192,14377,14017,
"45",2009-03-05,13523,14234,14363,13501,
"46",2009-03-06,12895,13447,13523,12844,
"47",2009-03-09,12621,13032,13032,12332,
"48",2009-03-10,13503,12639,13503,12611,
"49",2009-03-11,13568,13481,14025,13326,
"50",2009-03-12,13921,13486,13935,13290,
"51",2009-03-13,13804,14198,14303,13741,
"52",2009-03-16,14158,14162,14297,13804,
"53",2009-03-17,14082,14162,14162,13818,
"54",2009-03-18,14473,14380,14532,14082,
"55",2009-03-19,14749,14629,15252,14473,
"56",2009-03-20,14948,14646,15031,14509,
"57",2009-03-23,15811,15278,15811,14948,
"58",2009-03-24,15837,16135,16177,15642,
"59",2009-03-25,16263,15779,16340,15779,
"60",2009-03-26,16483,16335,16483,16175,
"61",2009-03-27,16343,16555,16614,16188,
"62",2009-03-30,15269,16039,16343,15269,
"63",2009-03-31,15875,15368,15875,15269,
"64",2009-04-01,16047,15785,16105,15470,
"65",2009-04-02,16811,16483,16811,16047,
"66",2009-04-03,16900,16683,17051,16528,
"67",2009-04-06,16690,17098,17302,16471,
"68",2009-04-07,16561,16778,16784,16283,
"69",2009-04-08,16939,16209,17003,16197,
"70",2009-04-09,17408,17217,17475,16939,
"71",2009-04-14,17816,17588,17962,17408,
"72",2009-04-15,17811,17583,17965,17568,
"73",2009-04-16,18154,18044,18307,17799,
"74",2009-04-17,18510,18382,18569,18154,
"75",2009-04-20,17731,18442,18684,17681,
"76",2009-04-21,17688,17790,17970,17133,
"77",2009-04-22,18086,17775,18128,17581,
"78",2009-04-23,18145,17993,18366,17939,
"79",2009-04-24,18651,18243,18656,18145,
"80",2009-04-27,18823,18426,18823,18352,
"81",2009-04-28,18498,18534,18823,18152,
"82",2009-04-29,18904,18735,18939,18498,
"83",2009-04-30,19177,19098,19375,18904,
"84",2009-05-04,19792,19371,19809,19177,
"85",2009-05-05,19685,19868,19993,19640,
"86",2009-05-06,20104,19661,20238,19661,
"87",2009-05-07,19814,20356,20676,19671,
"88",2009-05-08,20509,20076,20509,19814,
"89",2009-05-11,20200,20702,20702,19980,
"90",2009-05-12,20337,20041,20535,20014,
"91",2009-05-13,19381,20562,20580,19306,
