"","Hang Seng (HSI)_history.csv Date","Hang Seng (HSI)_history.csv Price","Hang Seng (HSI)_history.csv Open","Hang Seng (HSI)_history.csv High","Hang Seng (HSI)_history.csv Low","Hang Seng (HSI)_history.csv Volume"
"1",2009-01-02,15042.81,14448.22,15042.81,14412.12,
"2",2009-01-05,15563.31,15349.33,15563.31,15128.32,
"3",2009-01-06,15509.51,15612.47,15651.61,15367.93,
"4",2009-01-07,14987.46,15759.53,15763.55,14976.74,
"5",2009-01-08,14415.91,14755.81,14755.81,14334.15,
"6",2009-01-09,14377.44,14530.83,14673.6,14297.41,
"7",2009-01-12,13971,14312.26,14312.26,13895.04,
"8",2009-01-13,13668.05,13930.27,14118.93,13644.54,
"9",2009-01-14,13704.61,13807.03,14019.03,13674.96,
"10",2009-01-15,13242.96,13136.23,13300.75,12904.05,
"11",2009-01-16,13255.51,13278.97,13423.24,13113.45,
"12",2009-01-19,13339.99,13414.09,13519.18,13097.5,
"13",2009-01-20,12959.77,12854.4,13160.87,12816.25,
"14",2009-01-21,12583.63,12534.6,12762.54,12439.13,
"15",2009-01-22,12657.99,12844.37,12895.25,12657.1,
"16",2009-01-23,12578.6,12542.01,12734.8,12469.84,
"17",2009-01-29,13154.43,13560.07,13560.07,13109.27,
"18",2009-01-30,13278.21,12958.08,13390.12,12899.57,
"19",2009-02-02,12861.49,13194,13239.5,12733.35,
"20",2009-02-03,12776.89,12991.49,13065.97,12729.04,
"21",2009-02-04,13063.89,13029.42,13108.74,12975.3,
"22",2009-02-05,13178.9,13084.79,13492.53,13018.64,
"23",2009-02-06,13655.04,13535.76,13660.24,13322.62,
"24",2009-02-09,13769.06,13865.59,13865.59,13561.54,
"25",2009-02-10,13880.64,13787.12,13976.31,13663.41,
"26",2009-02-11,13539.21,13546.14,13600.02,13363.06,
"27",2009-02-12,13228.3,13439.58,13478.66,13174.01,
"28",2009-02-13,13554.67,13314.81,13576.32,13314.02,
"29",2009-02-16,13455.88,13559.82,13559.82,13257.35,
"30",2009-02-17,12945.4,13195.51,13195.51,12933.91,
"31",2009-02-18,13016,12783.79,13031.28,12712.33,
"32",2009-02-19,13023.36,12873.1,13055.72,12788.08,
"33",2009-02-20,12699.17,12719.14,12816.79,12669.57,
"34",2009-02-23,13175.1,12777.96,13207.98,12777.96,
"35",2009-02-24,12798.52,12789.29,12814.37,12634.84,
"36",2009-02-25,13005.08,12979.86,13148.31,12858.28,
"37",2009-02-26,12894.94,13070.41,13071.58,12691.96,
"38",2009-02-27,12811.57,12929.99,13032.3,12799.81,
"39",2009-03-02,12317.46,12522.61,12576.45,12296.86,
"40",2009-03-03,12033.88,11967.07,12192.35,11849.17,
"41",2009-03-04,12331.15,11880.17,12423.69,11880.17,
"42",2009-03-05,12211.24,12488.33,12488.33,12163.55,
"43",2009-03-06,11921.52,12041.82,12146.16,11921.52,
"44",2009-03-09,11344.58,11872.46,11927.89,11344.58,
"45",2009-03-10,11694.05,11542.88,11747.11,11542.88,
"46",2009-03-11,11930.66,12228.22,12228.22,11904.61,
"47",2009-03-12,12001.53,11905.47,12040.84,11848.5,
"48",2009-03-13,12525.8,12395.18,12525.8,12303.7,
"49",2009-03-16,12976.71,12657.87,12976.71,12615.45,
"50",2009-03-17,12878.09,12948.85,13226.31,12854.05,
"51",2009-03-18,13117.17,13052.95,13167.2,13020.8,
"52",2009-03-19,13130.92,13205.17,13205.17,12947.9,
"53",2009-03-20,12833.51,13157.9,13157.9,12797.1,
"54",2009-03-23,13447.42,13001.55,13451.02,13001.55,
"55",2009-03-24,13910.34,13773.17,13952.98,13538.16,
"56",2009-03-25,13622.11,13754.77,13892.88,13567.45,
"57",2009-03-26,14108.98,13821.28,14132.09,13819.1,
"58",2009-03-27,14119.5,14257.56,14257.56,13955.66,
"59",2009-03-30,13456.33,13893.15,13893.15,13413.48,
"60",2009-03-31,13576.02,13545.36,13696.69,13428.31,
"61",2009-04-01,13519.54,13746.18,13788.41,13411.79,
"62",2009-04-02,14521.97,13963.34,14533.34,13953.56,
"63",2009-04-03,14545.69,14547.52,14644.82,14392.19,
"64",2009-04-06,14998.04,14920.84,15147.06,14778.51,
"65",2009-04-07,14928.97,14922.09,14994.76,14743.71,
"66",2009-04-08,14474.86,14715.7,14715.7,14276.35,
"67",2009-04-09,14901.41,14686.48,14987.41,14656.16,
"68",2009-04-13,14901.41,14901.41,14901.41,14901.41,
"69",2009-04-14,15580.16,15302.14,15596.34,15140.39,
"70",2009-04-15,15669.62,15344.59,15669.85,15213.39,
"71",2009-04-16,15582.99,15928.82,15977.13,15517.39,
"72",2009-04-17,15601.27,15956.46,15956.46,15541.31,
"73",2009-04-20,15750.91,15574.32,15878.4,15382.96,
"74",2009-04-21,15285.89,15065.59,15332.27,15065.59,
"75",2009-04-22,14878.45,15328.83,15396.28,14830.59,
"76",2009-04-23,15214.46,14958.24,15222.2,14867.59,
"77",2009-04-24,15258.85,15217.37,15367.48,15062.29,
"78",2009-04-27,14840.42,15160.69,15160.69,14798.9,
"79",2009-04-28,14555.11,15057.25,15078.63,14457.99,
"80",2009-04-29,14956.95,14767.92,14983.66,14714.51,
"81",2009-04-30,15520.99,15369.11,15587.29,15204.1,
"82",2009-05-01,15520.99,15520.99,15520.99,15520.99,
"83",2009-05-04,16381.05,15869.28,16387.12,15855.24,
"84",2009-05-05,16430.08,16572,16580.54,16295.86,
"85",2009-05-06,16834.57,16348.76,16885.92,16268.03,
"86",2009-05-07,17217.89,17278.31,17327.52,16880.6,
"87",2009-05-08,17389.87,17149.31,17442.96,16970.2,
