"","IBEX 35 (IBEX)_history.csv Date","IBEX 35 (IBEX)_history.csv Price","IBEX 35 (IBEX)_history.csv Open","IBEX 35 (IBEX)_history.csv High","IBEX 35 (IBEX)_history.csv Low","IBEX 35 (IBEX)_history.csv Volume"
"1",2009-01-02,9486.3,9262,9486.3,9219.1,
"2",2009-01-05,9644.1,9543.4,9644.1,9506.3,
"3",2009-01-06,9724,9677.1,9800,9617.8,
"4",2009-01-07,9570,9726.2,9726.2,9503.8,
"5",2009-01-08,9469.5,9452.7,9576.1,9357.7,
"6",2009-01-09,9378.5,9527.7,9529,9309.5,
"7",2009-01-12,9199.9,9329.5,9350.6,9179.2,
"8",2009-01-13,9057.3,9098.8,9111.6,8920.2,
"9",2009-01-14,8692.7,9132.1,9138.3,8594.2,
"10",2009-01-15,8611.1,8685.9,8735.8,8500.4,
"11",2009-01-16,8620.1,8778.3,8884,8620.1,
"12",2009-01-19,8494.8,8739.1,8788.3,8389.9,
"13",2009-01-20,8276.5,8462.5,8617.3,8223.7,
"14",2009-01-21,8230.7,8212.4,8388.9,8077.1,
"15",2009-01-22,8159.3,8381,8451.2,8117.1,
"16",2009-01-23,8172.8,8152.6,8208.3,7981.7,
"17",2009-01-26,8375.2,8106.5,8420.5,8091.5,
"18",2009-01-27,8349.5,8408.2,8410.6,8169,
"19",2009-01-28,8701.5,8413.5,8733.3,8396.3,
"20",2009-01-29,8477.4,8650.3,8665,8403.1,
"21",2009-01-30,8450.4,8456.7,8511.9,8326.4,
"22",2009-02-02,8233.4,8275.4,8316.1,8118.3,
"23",2009-02-03,8361.9,8294.8,8365.9,8180.3,
"24",2009-02-04,8495.4,8413.2,8547.6,8285.9,
"25",2009-02-05,8440.2,8333.1,8452.9,8209.2,
"26",2009-02-06,8544.7,8498.3,8608.7,8411.4,
"27",2009-02-09,8584.8,8495,8601,8462.6,
"28",2009-02-10,8397.3,8523.4,8653.8,8390.4,
"29",2009-02-11,8355.8,8330.2,8388.3,8246.3,
"30",2009-02-12,8200.9,8302.3,8327.4,8116.6,
"31",2009-02-13,8265.5,8291.3,8393.8,8254.9,
"32",2009-02-16,8075,8206,8228.9,8075,
"33",2009-02-17,7843.2,7988,8006.1,7783.8,
"34",2009-02-18,7861.4,7890,7910.4,7707,
