"","IPC (MXX)_history.csv Date","IPC (MXX)_history.csv Price","IPC (MXX)_history.csv Open","IPC (MXX)_history.csv High","IPC (MXX)_history.csv Low","IPC (MXX)_history.csv Volume"
"1",2009-01-02,23250.96,22380.32,23302.06,22331.4,"107070000"
"2",2009-01-05,23238.86,23250.96,23483.54,23190.26,"190380000"
"3",2009-01-06,23005.41,23238.86,23489.77,22886.21,"213100000"
"4",2009-01-07,22117.51,22992.71,22992.71,22107.6,"144400000"
"5",2009-01-08,21955.4,22116.8,22116.8,21660.11,"168760000"
"6",2009-01-09,21741.29,21962.12,22040.2,21654.9,"127100000"
"7",2009-01-12,21162.27,21741.29,21744.48,21019.23,"143960000"
"8",2009-01-13,21047.3,21161.7,21285.59,20866.06,"133310000"
"9",2009-01-14,20369.23,21047.3,21047.3,20303.29,"159750000"
"10",2009-01-15,20280.49,20369.23,20494.03,19716.77,"224770000"
"11",2009-01-16,20325.39,20280.98,20683.17,19860.81,"154480000"
"12",2009-01-19,20393.41,20325.19,20473.88,20281.71,"23760000"
"13",2009-01-20,19213.02,20386.68,20391.47,19212.89,"171800000"
"14",2009-01-21,19497.1,19221.27,19580.83,18997.11,"176710000"
"15",2009-01-22,19306.73,19469.96,19616.3,19038.85,"173300000"
"16",2009-01-23,19348.81,19211.94,19572.65,18963.7,"167630000"
"17",2009-01-26,19583.08,19348.81,19764.71,19291.76,"115350000"
"18",2009-01-27,19616.15,19586.82,19864.4,19540.15,"111630000"
"19",2009-01-28,20145.22,19613.99,20148.64,19613.99,"222970000"
"20",2009-01-29,19537.05,20112.29,20120.32,19537.05,"163290000"
"21",2009-01-30,19565.14,19501.11,19752.61,19320.98,"223410000"
"22",2009-02-03,19630.46,19563.97,19777.87,19519.36,"172960000"
"23",2009-02-04,19622.6,19630.46,19958.42,19543.15,"181940000"
"24",2009-02-05,19736.96,19622.6,19771.86,19328.74,"147150000"
"25",2009-02-06,20438.13,19736.96,20459.16,19736.96,"211930000"
"26",2009-02-09,20537.1,20437.8,20537.1,20327.94,"124180000"
"27",2009-02-10,19825.72,20537.1,20708.05,19678.94,"199240000"
"28",2009-02-11,19446.65,19825.23,20053.16,19364.43,"129680000"
"29",2009-02-12,19358.25,19438.55,19485.24,19165.37,"162650000"
"30",2009-02-13,19368.1,19362.65,19515.02,19214.99,"124480000"
"31",2009-02-16,19520.87,19376.68,19520.87,19306.66,"20540000"
"32",2009-02-17,18853.93,19489.5,19489.5,18785.52,"149580000"
"33",2009-02-18,18741.27,18853.93,18913.57,18531.41,"137640000"
"34",2009-02-19,18682.47,18741.27,18975.39,18593.38,"127620000"
"35",2009-02-20,18324.23,18686.55,18686.55,18283.53,"149970000"
"36",2009-02-23,17956.4,18323.74,18457.41,17956.23,"117140000"
"37",2009-02-24,18296.11,17958.28,18334.18,17708.18,"180860000"
"38",2009-02-25,18200.7,18300.94,18300.94,17858.85,"210140000"
"39",2009-02-26,18047.16,18200.06,18399.68,17924.61,"178990000"
"40",2009-02-27,17752.18,18062.18,18066.53,17620.7,"226390000"
"41",2009-03-02,16929.8,17748.18,17748.18,16875.6,"152330000"
"42",2009-03-03,17093.25,16929.8,17203.45,16756.65,"163130000"
"43",2009-03-04,17824.96,17113.6,17840.39,17113.6,"163350000"
"44",2009-03-05,17365.02,17806.11,17806.11,17210.05,"211650000"
"45",2009-03-06,17043.44,17378.38,17439.53,16922.31,"136830000"
"46",2009-03-09,16964.36,17039.41,17277.14,16802.14,"127060000"
"47",2009-03-10,17543.52,16964.36,17657.19,16964.36,"216460000"
"48",2009-03-11,17790.69,17543.52,17839.21,17522.82,"172720000"
"49",2009-03-12,18864.87,17789.88,18883.02,17703.8,"235870000"
"50",2009-03-13,19437.01,18864.87,19683.04,18847.37,"215410000"
"51",2009-03-17,19325.05,19437.01,19450.93,19030.52,"186390000"
"52",2009-03-18,19620.48,19325.05,19781,19066.38,"228630000"
"53",2009-03-19,19596.51,19620.23,19839.16,19576.45,"228220000"
"54",2009-03-20,19363.3,19596.51,19669.29,19304.73,"230960000"
"55",2009-03-23,20346.43,19369.98,20349.56,19369.98,"224080000"
"56",2009-03-24,20242.61,20336.76,20469.64,20052.38,"211900000"
"57",2009-03-25,20272.77,20242.61,20693.41,20084.87,"214070000"
"58",2009-03-26,20542.25,20288.07,20730.94,20223.67,"189580000"
"59",2009-03-27,20315.17,20541.28,20541.28,20253.42,"188350000"
"60",2009-03-30,19530.15,20314.42,20314.42,19461.49,"217470000"
"61",2009-03-31,19626.75,19531.75,19955.55,19459.13,"241770000"
"62",2009-04-01,19880.37,19626.98,19980.51,19288.39,"167140000"
