Date;Price;Open;High;Low;Vol.;Change %
Jan 05, 2009;1,437.34;1,377.45;1,438.20;1,377.45;2.45B;6.04%
Jan 06, 2009;1,435.54;1,438.42;1,462.63;1,430.10;4.48B;-0.13%
Jan 07, 2009;1,421.47;1,440.25;1,472.46;1,414.15;3.95B;-0.98%
Jan 08, 2009;1,402.66;1,401.09;1,410.93;1,388.09;1.31B;-1.32%
Jan 09, 2009;1,416.67;1,400.70;1,416.67;1,395.32;1.49B;1.00%
Jan 12, 2009;1,406.55;1,406.78;1,411.23;1,392.22;1.05B;-0.71%
Jan 13, 2009;1,399.73;1,395.45;1,412.68;1,392.36;1.26B;-0.48%
Jan 14, 2009;1,386.91;1,406.51;1,416.06;1,383.26;2.99B;-0.92%
Jan 15, 2009;1,343.49;1,358.70;1,358.70;1,329.30;863.41M;-3.13%
Jan 16, 2009;1,363.88;1,349.82;1,363.88;1,345.40;1.95B;1.52%
Jan 19, 2009;1,350.69;1,370.90;1,375.37;1,342.08;1.38B;-0.97%
Jan 20, 2009;1,344.15;1,335.72;1,344.15;1,320.69;1.07B;-0.48%
Jan 21, 2009;1,321.45;1,326.68;1,334.91;1,311.39;951.68M;-1.69%
Jan 22, 2009;1,327.32;1,332.33;1,336.78;1,314.74;664.57M;0.44%
Jan 23, 2009;1,315.58;1,321.43;1,321.43;1,307.53;544.86M;-0.88%
Jan 27, 2009;1,336.63;1,320.14;1,340.94;1,320.14;592.65M;1.60%
Jan 28, 2009;1,321.45;1,339.94;1,339.94;1,320.79;776.78M;-1.14%
Jan 29, 2009;1,324.65;1,333.62;1,336.63;1,319.66;869.71M;0.24%
Jan 30, 2009;1,332.67;1,324.52;1,332.67;1,315.24;556.77M;0.61%
Feb 02, 2009;1,310.64;1,330.02;1,330.02;1,298.02;540.91M;-1.65%
Feb 03, 2009;1,304.33;1,311.20;1,313.49;1,300.07;476.38M;-0.48%
Feb 04, 2009;1,320.36;1,311.88;1,320.36;1,307.64;581.74M;1.23%
Feb 05, 2009;1,328.07;1,319.52;1,331.51;1,318.79;1.35B;0.58%
Feb 06, 2009;1,350.64;1,337.58;1,351.91;1,336.52;2.76B;1.70%
Feb 09, 2009;1,342.23;1,360.94;1,360.94;1,332.28;1.79B;-0.62%
Feb 10, 2009;1,332.13;1,342.27;1,342.27;1,326.66;1.95B;-0.75%
Feb 11, 2009;1,324.82;1,327.40;1,327.40;1,302.04;3.07B;-0.55%
Feb 12, 2009;1,325.42;1,322.10;1,325.65;1,315.39;3.14B;0.05%
Feb 13, 2009;1,338.74;1,326.87;1,342.76;1,325.56;1.73B;1.01%
Feb 16, 2009;1,342.00;1,338.81;1,346.17;1,336.52;1.12B;0.24%
Feb 17, 2009;1,318.04;1,338.82;1,338.82;1,311.47;1.54B;-1.79%
Feb 18, 2009;1,330.61;1,312.48;1,331.64;1,304.35;1.44B;0.95%
Feb 19, 2009;1,323.70;1,330.81;1,330.81;1,313.72;2.36B;-0.52%
Feb 20, 2009;1,296.94;1,320.62;1,320.62;1,291.41;1.88B;-2.02%
Feb 23, 2009;1,312.44;1,298.29;1,312.44;1,294.38;1.18B;1.19%
Feb 24, 2009;1,295.87;1,305.70;1,305.70;1,286.73;943.03M;-1.26%
Feb 25, 2009;1,300.11;1,301.08;1,312.34;1,290.17;2.04B;0.33%
Feb 26, 2009;1,290.32;1,303.75;1,303.75;1,281.77;1.96B;-0.75%
Feb 27, 2009;1,285.48;1,292.28;1,293.95;1,281.07;1.04B;-0.38%
Mar 02, 2009;1,256.11;1,285.48;1,285.31;1,252.87;1.07B;-2.28%
Mar 03, 2009;1,264.82;1,256.11;1,270.95;1,244.87;1.22B;0.69%
Mar 04, 2009;1,289.38;1,264.82;1,289.80;1,261.50;1.32B;1.94%
Mar 05, 2009;1,288.07;1,289.38;1,300.20;1,282.22;1.35B;-0.10%
Mar 06, 2009;1,286.69;1,288.07;1,290.62;1,278.86;583.87M;-0.11%
Mar 10, 2009;1,300.21;1,286.69;1,300.54;1,282.63;729.60M;1.05%
Mar 11, 2009;1,314.52;1,300.21;1,319.51;1,300.52;1.37B;1.10%
Mar 12, 2009;1,310.41;1,314.52;1,318.15;1,305.26;727.31M;-0.31%
Mar 13, 2009;1,327.44;1,310.41;1,333.22;1,310.67;1.20B;1.30%
Mar 16, 2009;1,324.85;1,327.44;1,340.99;1,322.48;1.02B;-0.20%
Mar 17, 2009;1,312.09;1,324.85;1,326.11;1,308.39;1.04B;-0.96%
Mar 18, 2009;1,322.84;1,312.09;1,324.08;1,312.40;1.18B;0.82%
Mar 19, 2009;1,341.60;1,322.84;1,347.12;1,322.87;1.28B;1.42%
Mar 20, 2009;1,360.89;1,341.60;1,364.31;1,341.15;1.63B;1.44%
Mar 23, 2009;1,406.65;1,360.89;1,407.59;1,361.15;2.66B;3.36%
Mar 24, 2009;1,436.12;1,406.65;1,449.95;1,408.16;3.67B;2.09%
Mar 25, 2009;1,419.97;1,436.12;1,448.47;1,418.26;2.81B;-1.12%
Mar 27, 2009;1,462.74;1,419.97;1,467.52;1,422.63;2.83B;3.01%
Mar 30, 2009;1,419.09;1,462.74;1,463.59;1,404.38;1.76B;-2.98%
Mar 31, 2009;1,434.07;1,419.09;1,453.77;1,417.34;1.56B;1.06%
Apr 01, 2009;1,461.75;1,434.07;1,464.39;1,434.09;2.51B;1.93%
Apr 02, 2009;1,499.73;1,461.75;1,500.00;1,461.81;3.22B;2.60%
Apr 03, 2009;1,500.36;1,499.73;1,511.33;1,494.12;3.03B;0.04%
Apr 06, 2009;1,516.64;1,500.36;1,527.18;1,500.45;2.85B;1.09%
Apr 07, 2009;1,490.86;1,516.64;1,516.57;1,483.72;2.93B;-1.70%
Apr 08, 2009;1,465.75;1,490.86;1,491.11;1,460.04;3.10B;-1.68%
Apr 13, 2009;1,540.40;1,465.75;1,540.52;1,473.73;4.72B;5.09%
Apr 14, 2009;1,570.26;1,540.40;1,573.40;1,536.67;8.15B;1.94%
Apr 15, 2009;1,593.66;1,570.26;1,603.31;1,564.94;9.59B;1.49%
Apr 16, 2009;1,625.09;1,593.66;1,641.80;1,593.78;18.19B;1.97%
Apr 17, 2009;1,634.79;1,625.09;1,659.34;1,619.34;10.63B;0.60%
Apr 20, 2009;1,661.84;1,634.79;1,661.84;1,618.88;19.74B;1.65%
Apr 21, 2009;1,628.85;1,661.84;1,661.78;1,606.32;22.08B;-1.99%
Apr 22, 2009;1,615.23;1,628.85;1,674.92;1,610.46;14.54B;-0.84%
Apr 23, 2009;1,592.70;1,615.23;1,615.25;1,585.92;7.34B;-1.39%
Apr 24, 2009;1,591.34;1,592.70;1,609.97;1,576.29;8.67B;-0.09%
Apr 27, 2009;1,576.08;1,591.34;1,598.96;1,574.23;5.93B;-0.96%
Apr 28, 2009;1,595.92;1,576.08;1,618.06;1,576.11;6.89B;1.26%
Apr 29, 2009;1,644.19;1,595.92;1,648.63;1,595.97;6.96B;3.02%
Apr 30, 2009;1,722.77;1,644.19;1,728.07;1,644.24;16.29B;4.78%
May 01, 2009;1,729.58;1,722.77;1,738.71;1,701.99;11.32B;0.40%
May 04, 2009;1,788.15;1,729.58;1,796.71;1,729.60;10.66B;3.39%
May 05, 2009;1,772.07;1,788.15;1,823.38;1,759.48;11.30B;-0.90%
May 06, 2009;1,798.34;1,772.07;1,799.62;1,761.11;9.01B;1.48%
May 07, 2009;1,828.85;1,798.34;1,840.48;1,800.38;16.89B;1.70%
May 08, 2009;1,862.53;1,828.85;1,863.63;1,821.14;17.77B;1.84%
May 11, 2009;1,830.74;1,862.53;1,891.77;1,827.16;22.57B;-1.71%
May 12, 2009;1,842.02;1,830.74;1,842.73;1,796.94;13.85B;0.62%
May 13, 2009;1,851.33;1,842.02;1,871.82;1,834.30;28.76B;0.51%
May 14, 2009;1,785.00;1,851.33;1,851.20;1,776.94;27.09B;-3.58%
May 15, 2009;1,750.91;1,785.00;1,820.85;1,708.39;18.16B;-1.91%
May 18, 2009;1,803.57;1,750.49;1,804.87;1,712.64;13.73B;3.01%
May 19, 2009;1,886.02;1,805.43;1,888.22;1,805.43;15.84B;4.57%
May 20, 2009;1,885.72;1,886.22;1,907.49;1,872.26;6.69B;-0.02%
May 22, 2009;1,881.71;1,885.41;1,889.88;1,858.08;6.33B;-0.21%
May 25, 2009;1,890.97;1,881.40;1,898.05;1,878.65;7.11B;0.49%
May 26, 2009;1,857.59;1,891.18;1,905.91;1,852.02;9.10B;-1.77%
May 27, 2009;1,892.84;1,858.41;1,902.08;1,858.41;7.32B;1.90%
May 28, 2009;1,902.88;1,892.74;1,904.62;1,878.47;6.20B;0.53%
May 29, 2009;1,916.83;1,903.19;1,941.79;1,903.19;12.84B;0.73%
Jun 01, 2009;1,998.58;1,917.45;1,998.58;1,917.45;9.06B;4.26%
Jun 02, 2009;1,998.64;1,999.20;2,043.95;1,991.96;11.75B;0.00%
Jun 03, 2009;2,010.91;1,999.16;2,027.69;1,993.08;5.63B;0.61%
Jun 04, 2009;2,032.72;2,010.81;2,033.05;1,989.79;5.78B;1.08%
Jun 05, 2009;2,078.93;2,033.03;2,078.93;2,033.03;7.55B;2.27%
Jun 08, 2009;2,056.65;2,079.77;2,099.08;2,052.03;8.57B;-1.07%
Jun 09, 2009;2,093.29;2,057.07;2,096.93;2,057.03;6.59B;1.78%
Jun 10, 2009;2,108.81;2,094.14;2,116.17;2,094.14;12.47B;0.74%
Jun 11, 2009;2,089.58;2,108.50;2,112.84;2,077.45;14.80B;-0.91%
Jun 12, 2009;2,090.94;2,089.79;2,106.98;2,073.34;8.46B;0.06%
Jun 15, 2009;2,069.88;2,090.74;2,100.77;2,060.62;6.05B;-1.01%
Jun 16, 2009;2,030.37;2,069.46;2,069.46;1,995.57;7.63B;-1.91%
Jun 17, 2009;2,024.96;2,029.95;2,034.32;2,009.43;5.82B;-0.27%
Jun 18, 2009;1,950.99;2,024.65;2,025.12;1,940.32;8.36B;-3.65%
Jun 19, 2009;1,990.47;1,951.83;1,993.24;1,922.86;7.39B;2.02%
Jun 22, 2009;1,975.03;1,990.68;2,011.70;1,965.39;8.41B;-0.78%
Jun 23, 2009;1,914.39;1,973.99;1,973.99;1,888.82;6.86B;-3.07%
Jun 24, 2009;1,995.67;1,913.96;1,995.67;1,913.96;7.08B;4.25%
Jun 25, 2009;2,044.17;1,996.09;2,045.67;1,996.09;7.59B;2.43%
Jun 26, 2009;2,040.19;2,044.38;2,066.31;2,026.74;3.75B;-0.19%
Jun 29, 2009;2,033.72;2,040.46;2,049.85;2,021.36;2.74B;-0.32%
Jun 30, 2009;2,026.78;2,034.98;2,060.73;2,020.69;3.82B;-0.34%
Jul 01, 2009;2,059.88;2,026.88;2,059.89;2,023.85;3.86B;1.63%
Jul 02, 2009;2,065.75;2,060.09;2,085.45;2,056.75;4.62B;0.28%
Jul 03, 2009;2,075.30;2,065.55;2,078.05;2,039.08;3.02B;0.46%
Jul 06, 2009;2,035.01;2,074.88;2,074.88;2,023.97;2.90B;-1.94%
Jul 07, 2009;2,083.25;2,034.89;2,083.25;2,034.89;4.89B;2.37%
Jul 09, 2009;2,083.97;2,083.45;2,116.86;2,060.48;7.11B;0.03%
Jul 10, 2009;2,063.09;2,084.81;2,090.58;2,058.32;4.13B;-1.00%
Jul 13, 2009;2,020.14;2,062.68;2,063.95;1,992.38;3.75B;-2.08%
Jul 14, 2009;2,056.58;2,020.64;2,059.84;2,020.64;3.94B;1.80%
Jul 15, 2009;2,123.28;2,056.99;2,123.46;2,056.99;4.93B;3.24%
Jul 16, 2009;2,117.95;2,123.79;2,154.88;2,112.93;5.14B;-0.25%
Jul 17, 2009;2,106.35;2,117.13;2,126.51;2,060.62;4.35B;-0.55%
Jul 21, 2009;2,146.55;2,107.07;2,157.49;2,107.07;4.10B;1.91%
Jul 22, 2009;2,125.61;2,146.86;2,156.42;2,119.51;6.89B;-0.98%
Jul 23, 2009;2,160.72;2,125.72;2,162.75;2,125.72;3.95B;1.65%
Jul 24, 2009;2,185.65;2,161.13;2,199.22;2,161.13;3.96B;1.15%
