"","Jakarta Stock Exchange Composite Index (JKSE)_history.csv Date","Jakarta Stock Exchange Composite Index (JKSE)_history.csv Price","Jakarta Stock Exchange Composite Index (JKSE)_history.csv Open","Jakarta Stock Exchange Composite Index (JKSE)_history.csv High","Jakarta Stock Exchange Composite Index (JKSE)_history.csv Low","Jakarta Stock Exchange Composite Index (JKSE)_history.csv Volume"
"1",2009-01-05,1437.34,1377.45,1438.2,1377.45,"2.45e+09"
"2",2009-01-06,1435.54,1438.42,1462.63,1430.1,"4.48e+09"
"3",2009-01-07,1421.47,1440.25,1472.46,1414.15,"3.95e+09"
"4",2009-01-08,1402.66,1401.09,1410.93,1388.09,"1.31e+09"
"5",2009-01-09,1416.67,1400.7,1416.67,1395.32,"1.49e+09"
"6",2009-01-12,1406.55,1406.78,1411.23,1392.22,"1.05e+09"
"7",2009-01-13,1399.73,1395.45,1412.68,1392.36,"1.26e+09"
"8",2009-01-14,1386.91,1406.51,1416.06,1383.26,"2.99e+09"
"9",2009-01-15,1343.49,1358.7,1358.7,1329.3,"863410000"
"10",2009-01-16,1363.88,1349.82,1363.88,1345.4,"1.95e+09"
"11",2009-01-19,1350.69,1370.9,1375.37,1342.08,"1.38e+09"
"12",2009-01-20,1344.15,1335.72,1344.15,1320.69,"1.07e+09"
"13",2009-01-21,1321.45,1326.68,1334.91,1311.39,"951680000"
"14",2009-01-22,1327.32,1332.33,1336.78,1314.74,"664570000"
"15",2009-01-23,1315.58,1321.43,1321.43,1307.53,"544860000"
"16",2009-01-27,1336.63,1320.14,1340.94,1320.14,"592650000"
"17",2009-01-28,1321.45,1339.94,1339.94,1320.79,"776780000"
"18",2009-01-29,1324.65,1333.62,1336.63,1319.66,"869710000"
"19",2009-01-30,1332.67,1324.52,1332.67,1315.24,"556770000"
"20",2009-02-02,1310.64,1330.02,1330.02,1298.02,"540910000"
"21",2009-02-03,1304.33,1311.2,1313.49,1300.07,"476380000"
"22",2009-02-04,1320.36,1311.88,1320.36,1307.64,"581740000"
"23",2009-02-05,1328.07,1319.52,1331.51,1318.79,"1.35e+09"
"24",2009-02-06,1350.64,1337.58,1351.91,1336.52,"2.76e+09"
"25",2009-02-09,1342.23,1360.94,1360.94,1332.28,"1.79e+09"
"26",2009-02-10,1332.13,1342.27,1342.27,1326.66,"1.95e+09"
"27",2009-02-11,1324.82,1327.4,1327.4,1302.04,"3.07e+09"
"28",2009-02-12,1325.42,1322.1,1325.65,1315.39,"3.14e+09"
