"","KOSPI (KS11)_history.csv Date","KOSPI (KS11)_history.csv Price","KOSPI (KS11)_history.csv Open","KOSPI (KS11)_history.csv High","KOSPI (KS11)_history.csv Low","KOSPI (KS11)_history.csv Volume"
"1",2009-01-02,1157.4,1132.87,1157.4,1118.84,"340540000"
"2",2009-01-05,1173.57,1180.98,1185.22,1166.66,"414530000"
"3",2009-01-06,1194.28,1183.52,1203.59,1179.94,"443950000"
"4",2009-01-07,1228.17,1198.85,1228.56,1195.2,"568340000"
"5",2009-01-08,1205.7,1212.7,1218.43,1195.15,"472200000"
"6",2009-01-09,1180.96,1214.5,1220.59,1179.06,"443280000"
"7",2009-01-12,1156.75,1170.69,1177.19,1150.41,"352580000"
"8",2009-01-13,1167.71,1147.99,1168.04,1133.94,"381230000"
"9",2009-01-14,1182.68,1161.01,1184.52,1151.8,"358680000"
"10",2009-01-15,1111.34,1138.47,1145.41,1108.15,"366210000"
"11",2009-01-16,1135.2,1120.69,1135.79,1109.69,"335550000"
"12",2009-01-19,1150.65,1146.09,1159.88,1141.31,"370040000"
"13",2009-01-20,1126.81,1136.16,1136.48,1115.07,"319210000"
"14",2009-01-21,1103.61,1087.43,1118.4,1085.72,"334380000"
"15",2009-01-22,1116.23,1125.22,1127.35,1106.74,"346700000"
"16",2009-01-23,1093.4,1105.43,1105.43,1087.66,"268030000"
"17",2009-01-28,1157.98,1123.23,1160.19,1122.33,"345130000"
"18",2009-01-29,1166.56,1165.82,1179.15,1160.75,"384620000"
"19",2009-01-30,1162.11,1147.57,1163.76,1144.52,"376960000"
"20",2009-02-02,1146.95,1145.87,1170.7,1136.37,"374460000"
"21",2009-02-03,1163.2,1152.94,1174.28,1137.83,"347600000"
"22",2009-02-04,1195.37,1183.22,1195.52,1176.1,"449970000"
"23",2009-02-05,1177.88,1187.05,1206.73,1177.88,"463380000"
"24",2009-02-06,1210.26,1199.17,1210.26,1190.67,"570680000"
"25",2009-02-09,1202.69,1224.44,1227.73,1199.93,"475570000"
"26",2009-02-10,1198.87,1215.05,1219.76,1186.33,"468390000"
"27",2009-02-11,1190.18,1168.42,1193.55,1162.57,"469610000"
"28",2009-02-12,1179.84,1183.68,1187.35,1162.58,"487950000"
"29",2009-02-13,1192.44,1179.63,1192.48,1165.25,"574720000"
"30",2009-02-16,1175.47,1183.52,1199.5,1174.73,"509330000"
"31",2009-02-17,1127.19,1167.22,1167.22,1121.41,"546290000"
"32",2009-02-18,1113.19,1111.35,1120.65,1096,"598130000"
"33",2009-02-19,1107.1,1109.99,1121.27,1092.96,"641430000"
"34",2009-02-20,1065.95,1095.25,1102.44,1056.34,"587330000"
