Date;Price;Open;High;Low;Vol.;Change %
Jan 01, 2009;5,753.18;5,786.98;5,786.98;5,726.03;-;-1.91%
Jan 02, 2009;5,793.57;5,753.16;5,852.10;5,673.31;-;0.70%
Jan 05, 2009;5,917.90;5,784.29;5,955.03;5,784.29;-;2.15%
Jan 06, 2009;6,074.87;5,914.63;6,093.14;5,914.63;-;2.65%
Jan 09, 2009;6,143.81;6,070.91;6,244.11;6,055.05;-;1.13%
Jan 12, 2009;6,041.44;6,148.96;6,239.49;5,913.41;-;-1.67%
Jan 13, 2009;6,059.09;6,039.48;6,140.36;5,929.20;-;0.29%
Jan 14, 2009;6,051.10;6,055.58;6,113.25;6,020.64;-;-0.13%
Jan 15, 2009;5,778.58;6,039.60;6,045.55;5,774.00;-;-4.50%
Jan 16, 2009;5,511.93;5,750.81;5,750.81;5,508.46;-;-4.61%
Jan 19, 2009;5,280.75;5,429.72;5,429.72;5,264.67;-;-4.19%
Jan 20, 2009;5,258.28;5,228.63;5,394.46;5,170.76;-;-0.43%
Jan 21, 2009;5,136.48;5,250.15;5,342.44;5,105.48;-;-2.32%
Jan 22, 2009;5,020.71;5,132.16;5,132.16;4,953.01;-;-2.25%
Jan 23, 2009;4,929.55;4,985.80;4,985.80;4,883.08;-;-1.82%
Jan 26, 2009;4,815.34;4,909.47;4,957.66;4,797.83;-;-2.32%
Jan 27, 2009;4,972.55;4,796.75;4,992.20;4,781.78;-;3.26%
Jan 28, 2009;5,139.93;4,975.35;5,179.93;4,975.35;-;3.37%
Jan 29, 2009;5,183.22;5,139.99;5,234.80;5,104.97;-;0.84%
Jan 30, 2009;5,377.42;5,181.35;5,390.83;5,181.35;-;3.75%
Feb 02, 2009;5,333.95;5,373.38;5,433.13;5,315.97;-;-0.81%
Feb 03, 2009;5,384.87;5,335.59;5,401.15;5,258.44;-;0.95%
Feb 04, 2009;5,534.25;5,403.83;5,543.47;5,403.83;-;2.77%
Feb 06, 2009;5,597.44;5,533.76;5,672.54;5,528.76;-;1.14%
Feb 09, 2009;5,573.48;5,597.56;5,678.05;5,487.01;-;-0.43%
Feb 10, 2009;5,455.66;5,596.52;5,598.91;5,425.12;-;-2.11%
Feb 11, 2009;5,429.43;5,452.51;5,563.57;5,325.42;-;-0.48%
Feb 12, 2009;5,399.36;5,420.57;5,471.08;5,390.85;-;-0.55%
Feb 13, 2009;5,625.90;5,414.66;5,630.14;5,414.66;-;4.20%
Feb 16, 2009;5,796.21;5,627.89;5,821.31;5,627.89;-;3.03%
Feb 17, 2009;5,839.63;5,778.68;5,890.90;5,756.29;-;0.75%
Feb 18, 2009;5,880.13;5,844.58;5,917.36;5,810.49;-;0.69%
Feb 19, 2009;6,022.44;5,904.75;6,079.30;5,904.75;-;2.42%
Feb 20, 2009;5,969.09;6,022.74;6,117.82;5,929.14;-;-0.89%
Feb 23, 2009;5,850.26;5,965.45;5,965.45;5,787.16;-;-1.99%
Feb 24, 2009;5,874.83;5,821.83;5,974.09;5,818.15;-;0.42%
Feb 25, 2009;5,580.78;5,870.11;5,951.23;5,571.38;-;-5.01%
Feb 26, 2009;5,649.49;5,568.42;5,694.72;5,407.61;-;1.23%
Feb 27, 2009;5,727.46;5,649.63;5,764.50;5,649.63;-;1.38%
Mar 02, 2009;5,681.29;5,730.21;5,755.15;5,661.39;-;-0.81%
Mar 03, 2009;5,596.49;5,673.90;5,673.90;5,504.90;-;-1.49%
Mar 04, 2009;5,815.43;5,601.68;5,826.15;5,601.68;-;3.91%
Mar 05, 2009;5,788.27;5,820.33;5,924.28;5,765.84;-;-0.47%
Mar 06, 2009;5,748.10;5,790.72;5,813.59;5,726.38;-;-0.69%
Mar 09, 2009;5,662.01;5,738.29;5,738.29;5,662.01;-;-1.50%
Mar 11, 2009;5,557.92;5,638.14;5,718.85;5,552.90;-;-1.84%
Mar 12, 2009;5,707.09;5,566.51;5,733.14;5,563.49;-;2.68%
Mar 13, 2009;5,750.47;5,709.54;5,763.70;5,696.41;-;0.76%
Mar 16, 2009;6,063.54;5,763.30;6,072.29;5,763.30;-;5.44%
Mar 17, 2009;6,138.53;6,067.37;6,194.27;6,067.37;-;1.24%
Mar 18, 2009;6,266.00;6,167.88;6,286.38;6,113.03;-;2.08%
Mar 19, 2009;6,441.00;6,277.21;6,460.31;6,277.21;-;2.79%
Mar 20, 2009;6,340.36;6,444.47;6,546.45;6,313.16;-;-1.56%
