"","Karachi 100 (KSE)_history.csv Date","Karachi 100 (KSE)_history.csv Price","Karachi 100 (KSE)_history.csv Open","Karachi 100 (KSE)_history.csv High","Karachi 100 (KSE)_history.csv Low","Karachi 100 (KSE)_history.csv Volume"
"1",2009-01-01,5753.18,5786.98,5786.98,5726.03,"-"
"2",2009-01-02,5793.57,5753.16,5852.1,5673.31,"-"
"3",2009-01-05,5917.9,5784.29,5955.03,5784.29,"-"
"4",2009-01-06,6074.87,5914.63,6093.14,5914.63,"-"
"5",2009-01-09,6143.81,6070.91,6244.11,6055.05,"-"
"6",2009-01-12,6041.44,6148.96,6239.49,5913.41,"-"
"7",2009-01-13,6059.09,6039.48,6140.36,5929.2,"-"
"8",2009-01-14,6051.1,6055.58,6113.25,6020.64,"-"
"9",2009-01-15,5778.58,6039.6,6045.55,5774,"-"
"10",2009-01-16,5511.93,5750.81,5750.81,5508.46,"-"
"11",2009-01-19,5280.75,5429.72,5429.72,5264.67,"-"
"12",2009-01-20,5258.28,5228.63,5394.46,5170.76,"-"
"13",2009-01-21,5136.48,5250.15,5342.44,5105.48,"-"
"14",2009-01-22,5020.71,5132.16,5132.16,4953.01,"-"
"15",2009-01-23,4929.55,4985.8,4985.8,4883.08,"-"
"16",2009-01-26,4815.34,4909.47,4957.66,4797.83,"-"
"17",2009-01-27,4972.55,4796.75,4992.2,4781.78,"-"
"18",2009-01-28,5139.93,4975.35,5179.93,4975.35,"-"
"19",2009-01-29,5183.22,5139.99,5234.8,5104.97,"-"
"20",2009-01-30,5377.42,5181.35,5390.83,5181.35,"-"
"21",2009-02-02,5333.95,5373.38,5433.13,5315.97,"-"
"22",2009-02-03,5384.87,5335.59,5401.15,5258.44,"-"
"23",2009-02-04,5534.25,5403.83,5543.47,5403.83,"-"
"24",2009-02-06,5597.44,5533.76,5672.54,5528.76,"-"
"25",2009-02-09,5573.48,5597.56,5678.05,5487.01,"-"
"26",2009-02-10,5455.66,5596.52,5598.91,5425.12,"-"
