Date;Price;Open;High;Low;Vol.;Change %
Jan 11, 2009;635.40;619.53;642.05;619.53;-;2.56%
Jan 12, 2009;653.28;635.40;661.52;633.23;-;2.81%
Jan 13, 2009;655.16;653.28;662.38;642.04;-;0.29%
Jan 14, 2009;610.36;655.16;671.61;610.28;-;-6.84%
Jan 15, 2009;605.69;610.36;627.58;600.70;-;-0.77%
Jan 16, 2009;608.63;605.69;624.22;603.74;-;0.49%
Jan 19, 2009;586.97;608.63;617.56;580.52;-;-3.56%
Jan 20, 2009;569.82;586.97;586.97;557.03;-;-2.92%
Jan 21, 2009;583.39;569.82;592.02;548.87;-;2.38%
Jan 22, 2009;557.57;583.39;596.46;556.58;-;-4.43%
Jan 23, 2009;553.62;557.57;564.82;534.79;-;-0.71%
Jan 26, 2009;613.56;553.62;615.21;552.30;-;10.83%
Jan 27, 2009;602.90;613.56;624.82;595.71;-;-1.74%
Jan 28, 2009;622.54;602.90;627.64;602.90;-;3.26%
Jan 29, 2009;619.25;622.54;626.20;608.12;-;-0.53%
Jan 30, 2009;624.90;619.25;648.70;612.70;-;0.91%
Feb 02, 2009;626.41;624.90;629.38;605.69;-;0.24%
Feb 03, 2009;626.02;626.41;635.38;623.57;-;-0.06%
Feb 04, 2009;635.89;626.02;639.65;624.76;-;1.58%
Feb 05, 2009;623.19;635.89;641.66;618.84;-;-2.00%
Feb 06, 2009;656.09;623.19;656.37;623.19;-;5.28%
Feb 09, 2009;698.68;656.09;698.68;654.41;-;6.49%
Feb 10, 2009;728.01;698.68;736.64;684.59;-;4.20%
Feb 11, 2009;726.70;728.01;743.31;698.37;-;-0.18%
Feb 12, 2009;690.34;726.70;737.72;689.11;-;-5.00%
Feb 13, 2009;732.21;690.34;733.97;690.34;-;6.07%
Feb 16, 2009;711.99;732.21;742.68;707.01;-;-2.76%
Feb 17, 2009;645.18;711.99;711.99;642.58;-;-9.38%
Feb 18, 2009;627.95;645.18;652.51;602.72;-;-2.67%
Feb 19, 2009;646.52;627.95;664.01;627.95;-;2.96%
Feb 20, 2009;631.66;646.52;646.52;620.27;-;-2.30%
Feb 24, 2009;629.31;631.66;635.80;610.01;-;-0.37%
Feb 25, 2009;632.78;629.31;649.24;629.31;-;0.55%
Feb 26, 2009;672.30;632.78;672.82;632.78;-;6.25%
Feb 27, 2009;666.05;672.30;675.22;650.34;-;-0.93%
Mar 02, 2009;646.79;666.05;666.05;643.64;-;-2.89%
Mar 03, 2009;654.14;646.79;659.38;638.66;-;1.14%
Mar 04, 2009;685.65;654.14;685.85;654.14;-;4.82%
Mar 05, 2009;671.91;685.65;691.54;663.53;-;-2.00%
Mar 06, 2009;688.87;671.91;694.46;665.15;-;2.52%
Mar 10, 2009;750.19;688.87;755.31;688.87;-;8.90%
Mar 11, 2009;738.95;750.19;758.90;732.48;-;-1.50%
Mar 12, 2009;728.23;738.95;741.15;706.20;-;-1.45%
Mar 13, 2009;749.29;728.23;762.59;728.23;-;2.89%
Mar 16, 2009;762.75;749.29;762.87;737.61;-;1.80%
Mar 17, 2009;772.44;762.75;779.06;760.15;-;1.27%
Mar 18, 2009;743.05;772.44;791.04;741.22;-;-3.80%
Mar 19, 2009;784.94;743.05;794.24;743.05;-;5.64%
Mar 20, 2009;792.05;784.94;802.01;769.16;-;0.91%
Mar 23, 2009;849.82;792.05;851.15;792.05;-;7.29%
Mar 24, 2009;815.79;849.82;869.81;809.10;-;-4.00%
Mar 25, 2009;851.35;815.79;856.31;808.70;-;4.36%
Mar 26, 2009;849.53;851.35;861.70;839.85;-;-0.21%
Mar 27, 2009;815.27;849.53;858.96;807.27;-;-4.03%
Mar 30, 2009;763.36;815.27;815.27;763.21;-;-6.37%
Mar 31, 2009;772.93;763.36;792.41;763.36;-;1.25%
Apr 01, 2009;787.22;772.93;787.78;758.09;-;1.85%
Apr 02, 2009;837.91;787.22;838.15;787.22;-;6.44%
Apr 03, 2009;837.94;837.91;850.38;821.09;-;0.00%
Apr 06, 2009;836.09;837.94;877.90;829.24;-;-0.22%
Apr 07, 2009;843.34;836.09;857.43;815.96;-;0.87%
Apr 08, 2009;872.74;843.34;872.74;821.08;-;3.49%
Apr 09, 2009;922.68;872.74;926.39;872.74;-;5.72%
Apr 10, 2009;927.38;922.68;933.19;905.60;-;0.51%
Apr 13, 2009;904.86;927.38;929.36;902.84;-;-2.43%
Apr 14, 2009;918.61;907.06;942.58;892.76;-;1.52%
Apr 15, 2009;906.00;912.73;917.12;892.80;-;-1.37%
Apr 16, 2009;917.10;912.16;924.04;902.75;-;1.23%
Apr 17, 2009;932.90;923.55;937.79;923.05;-;1.72%
Apr 20, 2009;882.50;930.91;935.22;881.73;-;-5.40%
Apr 21, 2009;877.21;875.35;898.20;862.07;-;-0.60%
Apr 22, 2009;904.95;885.45;905.73;879.38;-;3.16%
Apr 23, 2009;928.14;905.02;932.07;897.27;-;2.56%
Apr 24, 2009;922.99;928.43;935.41;915.98;-;-0.55%
Apr 27, 2009;902.45;915.41;915.92;891.05;-;-2.23%
Apr 28, 2009;887.48;901.31;901.31;865.11;-;-1.66%
Apr 29, 2009;922.01;889.81;922.16;881.21;-;3.89%
Apr 30, 2009;920.35;928.65;941.02;919.78;-;-0.18%
May 04, 2009;957.77;935.16;959.23;935.16;-;4.07%
May 05, 2009;957.05;957.87;966.40;949.36;-;-0.08%
May 06, 2009;986.12;952.69;993.28;945.63;-;3.04%
May 07, 2009;1,011.67;989.50;1,044.60;989.50;-;2.59%
May 08, 2009;1,028.91;1,013.53;1,030.81;1,013.53;-;1.70%
May 12, 2009;1,059.54;1,011.21;1,067.10;1,009.17;-;2.98%
May 13, 2009;1,007.88;1,074.13;1,097.09;996.71;-;-4.88%
May 14, 2009;1,000.62;1,003.43;1,003.48;976.91;-;-0.72%
May 15, 2009;1,002.19;1,012.62;1,021.85;982.08;-;0.16%
May 18, 2009;1,012.89;984.14;1,013.85;969.21;-;1.07%
May 19, 2009;1,041.84;1,032.78;1,045.86;1,019.15;-;2.86%
May 20, 2009;1,094.73;1,045.41;1,094.73;1,035.07;-;5.08%
May 21, 2009;1,034.37;1,083.66;1,083.66;1,033.17;-;-5.51%
May 22, 2009;1,054.03;1,035.97;1,066.36;1,035.97;-;1.90%
May 25, 2009;1,050.95;1,056.86;1,062.85;1,034.70;-;-0.29%
May 26, 2009;1,040.90;1,050.11;1,050.11;1,012.30;-;-0.96%
May 27, 2009;1,059.60;1,051.23;1,070.38;1,051.23;-;1.80%
May 28, 2009;1,075.02;1,057.06;1,086.09;1,048.07;-;1.46%
May 29, 2009;1,123.38;1,087.20;1,125.59;1,087.20;-;4.50%
Jun 01, 2009;1,206.20;1,142.63;1,207.08;1,142.63;-;7.37%
Jun 02, 2009;1,198.58;1,208.65;1,226.62;1,168.35;-;-0.63%
Jun 03, 2009;1,109.21;1,204.36;1,213.54;1,106.97;-;-7.46%
Jun 04, 2009;1,120.46;1,108.86;1,149.80;1,082.07;-;1.01%
Jun 05, 2009;1,144.27;1,138.75;1,168.04;1,120.38;-;2.13%
Jun 08, 2009;1,120.32;1,128.15;1,131.56;1,098.57;-;-2.09%
Jun 09, 2009;1,113.83;1,129.94;1,143.04;1,107.42;-;-0.58%
Jun 10, 2009;1,133.69;1,131.27;1,147.25;1,123.52;-;1.78%
Jun 11, 2009;1,138.52;1,136.06;1,141.22;1,112.53;-;0.43%
Jun 15, 2009;1,078.10;1,127.89;1,127.89;1,077.48;-;-5.31%
Jun 16, 2009;1,099.42;1,073.00;1,108.87;1,069.41;-;1.98%
Jun 17, 2009;1,039.43;1,092.40;1,099.03;1,036.07;-;-5.46%
Jun 18, 2009;1,020.95;1,041.35;1,054.91;983.73;-;-1.78%
Jun 19, 2009;1,017.29;1,022.62;1,034.37;1,006.51;-;-0.36%
Jun 22, 2009;937.98;1,014.60;1,014.60;937.74;-;-7.80%
Jun 23, 2009;917.30;924.81;951.55;881.79;-;-2.20%
Jun 24, 2009;984.86;936.52;984.86;935.16;-;7.37%
Jun 25, 2009;961.15;986.99;986.99;950.05;-;-2.41%
Jun 26, 2009;960.16;977.23;994.11;959.52;-;-0.10%
Jun 29, 2009;989.30;951.45;989.56;945.39;-;3.03%
Jun 30, 2009;971.55;1,003.91;1,014.61;971.37;-;-1.79%
Jul 01, 2009;1,012.48;974.23;1,013.40;974.23;-;4.21%
Jul 02, 2009;977.09;1,012.34;1,012.34;973.13;-;-3.50%
Jul 03, 2009;974.07;976.22;985.81;956.11;-;-0.31%
Jul 06, 2009;925.21;963.15;963.15;924.00;-;-5.02%
Jul 07, 2009;927.01;928.20;955.32;921.45;-;0.19%
Jul 08, 2009;904.58;916.76;916.76;896.13;-;-2.42%
Jul 09, 2009;896.20;905.72;920.02;892.63;-;-0.93%
Jul 10, 2009;871.33;896.72;899.68;869.79;-;-2.78%
Jul 13, 2009;881.15;862.70;893.87;852.12;-;1.13%
Jul 14, 2009;891.41;899.66;917.63;891.36;-;1.16%
Jul 15, 2009;941.21;902.17;941.21;902.17;-;5.59%
Jul 16, 2009;938.73;949.32;952.51;928.23;-;-0.26%
Jul 17, 2009;966.18;941.36;968.90;935.39;-;2.92%
Jul 20, 2009;985.81;971.22;1,000.60;971.22;-;2.03%
Jul 21, 2009;1,002.88;986.45;1,018.32;977.32;-;1.73%
Jul 22, 2009;980.71;1,002.67;1,013.48;974.95;-;-2.21%
Jul 23, 2009;1,031.37;988.88;1,032.12;988.58;-;5.17%
Jul 24, 2009;1,026.95;1,032.95;1,044.84;1,022.46;-;-0.43%
Jul 27, 2009;1,036.27;1,042.07;1,057.41;1,032.18;-;0.91%
Jul 28, 2009;1,002.27;1,039.35;1,054.53;997.73;-;-3.28%
Jul 29, 2009;986.80;998.88;1,005.99;976.92;-;-1.54%
Jul 30, 2009;1,046.46;990.96;1,048.61;990.96;-;6.05%
Jul 31, 2009;1,053.30;1,049.31;1,055.24;1,024.15;-;0.65%
Aug 03, 2009;1,098.95;1,059.29;1,099.49;1,059.29;-;4.33%
Aug 04, 2009;1,102.10;1,093.79;1,102.36;1,078.29;-;0.29%
Aug 05, 2009;1,084.16;1,099.10;1,130.47;1,082.35;-;-1.63%
Aug 06, 2009;1,092.00;1,094.64;1,120.82;1,081.32;-;0.72%
Aug 07, 2009;1,115.41;1,088.91;1,120.96;1,065.91;-;2.14%
Aug 10, 2009;1,101.19;1,114.91;1,118.52;1,089.76;-;-1.27%
Aug 11, 2009;1,069.31;1,104.22;1,115.94;1,067.22;-;-2.90%
Aug 12, 2009;1,086.41;1,064.60;1,089.10;1,044.03;-;1.60%
Aug 13, 2009;1,100.57;1,093.85;1,118.96;1,079.57;-;1.30%
Aug 14, 2009;1,072.74;1,100.12;1,107.31;1,068.82;-;-2.53%
Aug 17, 2009;1,035.40;1,053.99;1,057.45;1,030.94;-;-3.48%
Aug 18, 2009;1,035.45;1,041.98;1,059.30;1,023.06;-;0.00%
Aug 19, 2009;1,034.08;1,037.65;1,038.88;1,013.82;-;-0.13%
Aug 20, 2009;1,062.87;1,039.94;1,063.28;1,039.75;-;2.78%
Aug 21, 2009;1,106.05;1,058.93;1,106.13;1,046.69;-;4.06%
Aug 24, 2009;1,120.54;1,108.72;1,129.19;1,098.35;-;1.31%
Aug 25, 2009;1,115.85;1,113.14;1,135.76;1,096.79;-;-0.42%
Aug 26, 2009;1,099.77;1,114.64;1,123.30;1,083.50;-;-1.44%
Aug 27, 2009;1,080.05;1,096.53;1,105.14;1,075.48;-;-1.79%
Aug 28, 2009;1,111.33;1,080.48;1,120.01;1,080.48;-;2.90%
Aug 31, 2009;1,091.98;1,103.05;1,103.05;1,086.21;-;-1.74%
Sep 01, 2009;1,104.98;1,094.65;1,112.35;1,089.84;-;1.19%
Sep 02, 2009;1,076.69;1,091.53;1,091.53;1,069.83;-;-2.56%
Sep 03, 2009;1,093.72;1,077.35;1,099.50;1,077.35;-;1.58%
Sep 04, 2009;1,085.58;1,097.56;1,112.72;1,077.24;-;-0.74%
Sep 07, 2009;1,111.92;1,094.44;1,112.17;1,091.09;-;2.43%
Sep 08, 2009;1,149.81;1,112.47;1,150.32;1,112.47;-;3.41%
Sep 09, 2009;1,159.95;1,149.00;1,163.41;1,141.46;-;0.88%
Sep 10, 2009;1,154.12;1,162.83;1,179.02;1,143.92;-;-0.50%
Sep 11, 2009;1,175.15;1,160.14;1,182.90;1,153.76;-;1.82%
Sep 14, 2009;1,174.95;1,171.29;1,177.45;1,148.00;-;-0.02%
Sep 15, 2009;1,203.97;1,178.27;1,211.06;1,175.19;-;2.47%
Sep 16, 2009;1,217.67;1,209.76;1,234.59;1,209.46;-;1.14%
Sep 17, 2009;1,205.12;1,228.37;1,241.05;1,199.37;-;-1.03%
Sep 18, 2009;1,208.35;1,196.90;1,218.99;1,187.16;-;0.27%
Sep 21, 2009;1,165.11;1,207.76;1,207.76;1,165.08;-;-3.58%
Sep 22, 2009;1,202.92;1,169.65;1,209.96;1,169.65;-;3.25%
Sep 23, 2009;1,198.83;1,203.24;1,228.91;1,194.76;-;-0.34%
Sep 24, 2009;1,177.26;1,194.10;1,220.33;1,176.31;-;-1.80%
Sep 25, 2009;1,187.86;1,180.24;1,199.09;1,171.64;-;0.90%
Sep 28, 2009;1,208.19;1,187.03;1,208.89;1,168.48;-;1.71%
Sep 29, 2009;1,212.75;1,213.62;1,218.07;1,200.62;-;0.38%
Sep 30, 2009;1,197.20;1,212.83;1,223.32;1,193.30;-;-1.28%
Oct 01, 2009;1,211.44;1,200.69;1,222.74;1,200.69;-;1.19%
Oct 02, 2009;1,175.83;1,205.09;1,205.09;1,144.84;-;-2.94%
Oct 05, 2009;1,178.17;1,176.89;1,186.99;1,167.77;-;0.20%
Oct 06, 2009;1,220.45;1,178.22;1,220.69;1,178.22;-;3.59%
Oct 07, 2009;1,226.17;1,220.48;1,245.81;1,220.48;-;0.47%
Oct 08, 2009;1,278.53;1,234.41;1,278.53;1,234.41;-;4.27%
Oct 09, 2009;1,308.14;1,280.76;1,318.56;1,264.78;-;2.32%
Oct 12, 2009;1,357.44;1,316.41;1,357.88;1,316.41;-;3.77%
Oct 13, 2009;1,320.70;1,355.74;1,366.43;1,310.13;-;-2.71%
Oct 14, 2009;1,362.86;1,330.61;1,376.07;1,330.61;-;3.19%
Oct 15, 2009;1,341.64;1,372.43;1,382.72;1,335.51;-;-1.56%
Oct 16, 2009;1,317.07;1,347.15;1,366.05;1,314.27;-;-1.83%
Oct 19, 2009;1,365.24;1,321.93;1,365.61;1,321.38;-;3.66%
Oct 20, 2009;1,361.75;1,365.67;1,388.73;1,352.54;-;-0.26%
Oct 21, 2009;1,373.20;1,354.27;1,373.69;1,327.44;-;0.84%
Oct 22, 2009;1,359.06;1,360.39;1,366.40;1,339.67;-;-1.03%
Oct 23, 2009;1,365.09;1,362.08;1,380.40;1,357.83;-;0.44%
Oct 26, 2009;1,358.31;1,360.45;1,378.73;1,354.02;-;-0.50%
Oct 27, 2009;1,333.32;1,353.91;1,354.36;1,310.17;-;-1.84%
Oct 28, 2009;1,253.35;1,331.82;1,331.82;1,253.34;-;-6.00%
Oct 29, 2009;1,291.99;1,243.96;1,293.90;1,222.13;-;3.08%
Oct 30, 2009;1,237.18;1,297.13;1,300.30;1,233.96;-;-4.24%
Nov 02, 2009;1,266.30;1,237.04;1,266.62;1,214.00;-;2.35%
Nov 03, 2009;1,218.42;1,266.30;1,266.30;1,214.90;-;-3.78%
Nov 05, 2009;1,258.50;1,218.43;1,258.66;1,217.64;-;3.29%
Nov 06, 2009;1,241.92;1,258.50;1,268.76;1,230.78;-;-1.32%
Nov 09, 2009;1,304.62;1,241.92;1,304.63;1,241.92;-;5.05%
Nov 10, 2009;1,322.80;1,304.63;1,329.47;1,290.07;-;1.39%
Nov 11, 2009;1,316.19;1,322.80;1,338.10;1,316.19;-;-0.50%
Nov 12, 2009;1,315.78;1,316.17;1,318.59;1,294.33;-;-0.03%
Nov 13, 2009;1,310.27;1,315.86;1,315.86;1,296.95;-;-0.42%
Nov 16, 2009;1,365.18;1,311.10;1,365.84;1,311.10;-;4.19%
Nov 17, 2009;1,353.61;1,365.18;1,365.18;1,343.20;-;-0.85%
Nov 18, 2009;1,371.82;1,353.90;1,391.79;1,353.90;-;1.35%
Nov 19, 2009;1,335.52;1,371.82;1,371.82;1,334.90;-;-2.65%
Nov 20, 2009;1,334.15;1,335.54;1,355.67;1,315.36;-;-0.10%
Nov 23, 2009;1,355.05;1,334.16;1,365.42;1,334.16;-;1.57%
Nov 24, 2009;1,331.12;1,353.50;1,353.50;1,315.42;-;-1.77%
Nov 25, 2009;1,312.07;1,331.17;1,342.46;1,300.21;-;-1.43%
Nov 26, 2009;1,268.92;1,311.95;1,311.95;1,255.07;-;-3.29%
Nov 27, 2009;1,286.04;1,268.87;1,288.33;1,206.82;-;1.35%
Nov 30, 2009;1,284.95;1,286.11;1,304.80;1,263.32;-;-0.08%
Dec 01, 2009;1,319.35;1,284.99;1,321.21;1,284.99;-;2.68%
Dec 02, 2009;1,325.76;1,319.36;1,337.18;1,309.94;-;0.49%
Dec 03, 2009;1,311.08;1,325.76;1,349.61;1,310.83;-;-1.11%
Dec 04, 2009;1,342.58;1,310.62;1,344.74;1,296.10;-;2.40%
Dec 07, 2009;1,322.09;1,342.58;1,342.58;1,308.36;-;-1.53%
Dec 08, 2009;1,310.97;1,322.09;1,331.22;1,302.80;-;-0.84%
Dec 09, 2009;1,302.37;1,310.96;1,320.26;1,293.90;-;-0.66%
Dec 10, 2009;1,304.61;1,302.36;1,311.75;1,285.05;-;0.17%
Dec 11, 2009;1,301.33;1,304.61;1,316.85;1,296.74;-;-0.25%
Dec 14, 2009;1,317.33;1,301.51;1,324.34;1,301.51;-;1.23%
Dec 15, 2009;1,332.29;1,317.76;1,412.27;1,312.44;-;1.14%
Dec 16, 2009;1,388.59;1,332.29;1,389.44;1,329.07;-;4.23%
Dec 17, 2009;1,360.48;1,388.59;1,401.22;1,358.49;-;-2.02%
Dec 18, 2009;1,368.43;1,360.48;1,392.65;1,360.48;-;0.58%
Dec 21, 2009;1,377.93;1,368.72;1,384.34;1,363.26;-;0.69%
Dec 22, 2009;1,366.18;1,377.93;1,377.96;1,358.46;-;-0.85%
Dec 23, 2009;1,366.78;1,366.21;1,376.19;1,359.43;-;0.04%
Dec 24, 2009;1,351.19;1,366.78;1,375.09;1,340.25;-;-1.14%
Dec 25, 2009;1,357.11;1,351.24;1,358.19;1,341.22;-;0.44%
Dec 28, 2009;1,361.58;1,357.11;1,372.03;1,357.11;-;0.33%
Dec 29, 2009;1,368.51;1,361.64;1,369.04;1,360.32;-;0.51%
Dec 30, 2009;1,362.01;1,368.51;1,369.80;1,356.54;-;-0.47%
Dec 31, 2009;1,370.01;1,362.01;1,370.67;1,362.01;-;0.59%
Jan 11, 2010;1,444.78;1,370.30;1,456.76;1,370.30;-;5.46%
Jan 12, 2010;1,427.67;1,444.78;1,445.67;1,424.87;-;-1.18%
Jan 13, 2010;1,435.01;1,427.62;1,444.77;1,412.90;-;0.51%
Jan 14, 2010;1,455.65;1,435.01;1,456.30;1,435.01;-;1.44%
Jan 15, 2010;1,452.67;1,455.47;1,469.55;1,448.70;-;-0.20%
Jan 18, 2010;1,479.53;1,452.67;1,479.74;1,444.96;-;1.85%
Jan 19, 2010;1,484.03;1,479.52;1,485.73;1,454.91;-;0.30%
Jan 20, 2010;1,461.23;1,484.03;1,491.36;1,458.22;-;-1.54%
Jan 21, 2010;1,435.90;1,461.23;1,470.54;1,435.45;-;-1.73%
Jan 22, 2010;1,410.38;1,435.90;1,435.90;1,394.91;-;-1.78%
Jan 25, 2010;1,415.86;1,410.37;1,423.24;1,396.82;-;0.39%
Jan 26, 2010;1,384.79;1,415.81;1,415.81;1,370.47;-;-2.19%
Jan 27, 2010;1,391.25;1,384.79;1,405.24;1,363.03;-;0.47%
Jan 28, 2010;1,406.55;1,391.25;1,425.56;1,391.25;-;1.10%
Jan 29, 2010;1,419.42;1,406.46;1,419.50;1,390.32;-;0.92%
Feb 01, 2010;1,417.00;1,419.42;1,419.51;1,395.93;-;-0.17%
Feb 02, 2010;1,436.63;1,417.00;1,436.75;1,417.00;-;1.39%
Feb 03, 2010;1,431.08;1,436.63;1,455.51;1,430.01;-;-0.39%
Feb 04, 2010;1,395.87;1,431.08;1,437.03;1,390.58;-;-2.46%
Feb 05, 2010;1,355.64;1,395.86;1,395.86;1,344.77;-;-2.88%
Feb 08, 2010;1,322.15;1,355.64;1,370.51;1,319.09;-;-2.47%
Feb 09, 2010;1,338.16;1,322.24;1,343.69;1,320.97;-;1.21%
Feb 10, 2010;1,327.24;1,338.16;1,359.12;1,319.69;-;-0.82%
Feb 11, 2010;1,329.35;1,327.24;1,348.20;1,320.56;-;0.16%
Feb 12, 2010;1,304.86;1,329.37;1,346.19;1,294.24;-;-1.84%
Feb 15, 2010;1,319.22;1,304.88;1,319.37;1,301.81;-;1.10%
Feb 16, 2010;1,361.49;1,319.22;1,361.80;1,319.22;-;3.20%
Feb 17, 2010;1,354.09;1,361.49;1,373.22;1,350.18;-;-0.54%
Feb 18, 2010;1,338.77;1,354.07;1,354.07;1,324.95;-;-1.13%
Feb 19, 2010;1,353.75;1,338.77;1,353.99;1,310.69;-;1.12%
Feb 24, 2010;1,334.53;1,353.75;1,353.75;1,324.53;-;-1.42%
Feb 25, 2010;1,306.46;1,334.33;1,334.42;1,297.16;-;-2.10%
Feb 26, 2010;1,323.72;1,306.50;1,324.41;1,306.50;-;1.32%
Feb 27, 2010;1,332.64;1,323.72;1,333.55;1,322.36;-;0.67%
Mar 01, 2010;1,356.27;1,332.97;1,357.92;1,332.97;-;1.77%
