"","MICEX (MCX)_history.csv Date","MICEX (MCX)_history.csv Price","MICEX (MCX)_history.csv Open","MICEX (MCX)_history.csv High","MICEX (MCX)_history.csv Low","MICEX (MCX)_history.csv Volume"
"1",2009-01-11,635.4,619.53,642.05,619.53,
"2",2009-01-12,653.28,635.4,661.52,633.23,
"3",2009-01-13,655.16,653.28,662.38,642.04,
"4",2009-01-14,610.36,655.16,671.61,610.28,
"5",2009-01-15,605.69,610.36,627.58,600.7,
"6",2009-01-16,608.63,605.69,624.22,603.74,
"7",2009-01-19,586.97,608.63,617.56,580.52,
"8",2009-01-20,569.82,586.97,586.97,557.03,
"9",2009-01-21,583.39,569.82,592.02,548.87,
"10",2009-01-22,557.57,583.39,596.46,556.58,
"11",2009-01-23,553.62,557.57,564.82,534.79,
"12",2009-01-26,613.56,553.62,615.21,552.3,
"13",2009-01-27,602.9,613.56,624.82,595.71,
"14",2009-01-28,622.54,602.9,627.64,602.9,
"15",2009-01-29,619.25,622.54,626.2,608.12,
"16",2009-01-30,624.9,619.25,648.7,612.7,
"17",2009-02-02,626.41,624.9,629.38,605.69,
"18",2009-02-03,626.02,626.41,635.38,623.57,
"19",2009-02-04,635.89,626.02,639.65,624.76,
"20",2009-02-05,623.19,635.89,641.66,618.84,
"21",2009-02-06,656.09,623.19,656.37,623.19,
"22",2009-02-09,698.68,656.09,698.68,654.41,
"23",2009-02-10,728.01,698.68,736.64,684.59,
"24",2009-02-11,726.7,728.01,743.31,698.37,
"25",2009-02-12,690.34,726.7,737.72,689.11,
"26",2009-02-13,732.21,690.34,733.97,690.34,
"27",2009-02-16,711.99,732.21,742.68,707.01,
"28",2009-02-17,645.18,711.99,711.99,642.58,
"29",2009-02-18,627.95,645.18,652.51,602.72,
"30",2009-02-19,646.52,627.95,664.01,627.95,
"31",2009-02-20,631.66,646.52,646.52,620.27,
"32",2009-02-24,629.31,631.66,635.8,610.01,
"33",2009-02-25,632.78,629.31,649.24,629.31,
"34",2009-02-26,672.3,632.78,672.82,632.78,
"35",2009-02-27,666.05,672.3,675.22,650.34,
"36",2009-03-02,646.79,666.05,666.05,643.64,
"37",2009-03-03,654.14,646.79,659.38,638.66,
"38",2009-03-04,685.65,654.14,685.85,654.14,
"39",2009-03-05,671.91,685.65,691.54,663.53,
"40",2009-03-06,688.87,671.91,694.46,665.15,
"41",2009-03-10,750.19,688.87,755.31,688.87,
"42",2009-03-11,738.95,750.19,758.9,732.48,
"43",2009-03-12,728.23,738.95,741.15,706.2,
"44",2009-03-13,749.29,728.23,762.59,728.23,
"45",2009-03-16,762.75,749.29,762.87,737.61,
"46",2009-03-17,772.44,762.75,779.06,760.15,
"47",2009-03-18,743.05,772.44,791.04,741.22,
"48",2009-03-19,784.94,743.05,794.24,743.05,
"49",2009-03-20,792.05,784.94,802.01,769.16,
"50",2009-03-23,849.82,792.05,851.15,792.05,
"51",2009-03-24,815.79,849.82,869.81,809.1,
"52",2009-03-25,851.35,815.79,856.31,808.7,
"53",2009-03-26,849.53,851.35,861.7,839.85,
"54",2009-03-27,815.27,849.53,858.96,807.27,
"55",2009-03-30,763.36,815.27,815.27,763.21,
"56",2009-03-31,772.93,763.36,792.41,763.36,
"57",2009-04-01,787.22,772.93,787.78,758.09,
"58",2009-04-02,837.91,787.22,838.15,787.22,
"59",2009-04-03,837.94,837.91,850.38,821.09,
"60",2009-04-06,836.09,837.94,877.9,829.24,
"61",2009-04-07,843.34,836.09,857.43,815.96,
"62",2009-04-08,872.74,843.34,872.74,821.08,
"63",2009-04-09,922.68,872.74,926.39,872.74,
"64",2009-04-10,927.38,922.68,933.19,905.6,
"65",2009-04-13,904.86,927.38,929.36,902.84,
"66",2009-04-14,918.61,907.06,942.58,892.76,
"67",2009-04-15,906,912.73,917.12,892.8,
"68",2009-04-16,917.1,912.16,924.04,902.75,
"69",2009-04-17,932.9,923.55,937.79,923.05,
"70",2009-04-20,882.5,930.91,935.22,881.73,
"71",2009-04-21,877.21,875.35,898.2,862.07,
"72",2009-04-22,904.95,885.45,905.73,879.38,
"73",2009-04-23,928.14,905.02,932.07,897.27,
"74",2009-04-24,922.99,928.43,935.41,915.98,
"75",2009-04-27,902.45,915.41,915.92,891.05,
"76",2009-04-28,887.48,901.31,901.31,865.11,
"77",2009-04-29,922.01,889.81,922.16,881.21,
"78",2009-04-30,920.35,928.65,941.02,919.78,
"79",2009-05-04,957.77,935.16,959.23,935.16,
"80",2009-05-05,957.05,957.87,966.4,949.36,
"81",2009-05-06,986.12,952.69,993.28,945.63,
"82",2009-05-07,1011.67,989.5,1044.6,989.5,
"83",2009-05-08,1028.91,1013.53,1030.81,1013.53,
"84",2009-05-12,1059.54,1011.21,1067.1,1009.17,
"85",2009-05-13,1007.88,1074.13,1097.09,996.71,
"86",2009-05-14,1000.62,1003.43,1003.48,976.91,
"87",2009-05-15,1002.19,1012.62,1021.85,982.08,
"88",2009-05-18,1012.89,984.14,1013.85,969.21,
"89",2009-05-19,1041.84,1032.78,1045.86,1019.15,
"90",2009-05-20,1094.73,1045.41,1094.73,1035.07,
"91",2009-05-21,1034.37,1083.66,1083.66,1033.17,
"92",2009-05-22,1054.03,1035.97,1066.36,1035.97,
"93",2009-05-25,1050.95,1056.86,1062.85,1034.7,
"94",2009-05-26,1040.9,1050.11,1050.11,1012.3,
"95",2009-05-27,1059.6,1051.23,1070.38,1051.23,
"96",2009-05-28,1075.02,1057.06,1086.09,1048.07,
"97",2009-05-29,1123.38,1087.2,1125.59,1087.2,
"98",2009-06-01,1206.2,1142.63,1207.08,1142.63,
"99",2009-06-02,1198.58,1208.65,1226.62,1168.35,
"100",2009-06-03,1109.21,1204.36,1213.54,1106.97,
"101",2009-06-04,1120.46,1108.86,1149.8,1082.07,
"102",2009-06-05,1144.27,1138.75,1168.04,1120.38,
"103",2009-06-08,1120.32,1128.15,1131.56,1098.57,
"104",2009-06-09,1113.83,1129.94,1143.04,1107.42,
"105",2009-06-10,1133.69,1131.27,1147.25,1123.52,
"106",2009-06-11,1138.52,1136.06,1141.22,1112.53,
"107",2009-06-15,1078.1,1127.89,1127.89,1077.48,
"108",2009-06-16,1099.42,1073,1108.87,1069.41,
"109",2009-06-17,1039.43,1092.4,1099.03,1036.07,
"110",2009-06-18,1020.95,1041.35,1054.91,983.73,
"111",2009-06-19,1017.29,1022.62,1034.37,1006.51,
"112",2009-06-22,937.98,1014.6,1014.6,937.74,
"113",2009-06-23,917.3,924.81,951.55,881.79,
"114",2009-06-24,984.86,936.52,984.86,935.16,
"115",2009-06-25,961.15,986.99,986.99,950.05,
"116",2009-06-26,960.16,977.23,994.11,959.52,
"117",2009-06-29,989.3,951.45,989.56,945.39,
"118",2009-06-30,971.55,1003.91,1014.61,971.37,
"119",2009-07-01,1012.48,974.23,1013.4,974.23,
"120",2009-07-02,977.09,1012.34,1012.34,973.13,
"121",2009-07-03,974.07,976.22,985.81,956.11,
"122",2009-07-06,925.21,963.15,963.15,924,
"123",2009-07-07,927.01,928.2,955.32,921.45,
"124",2009-07-08,904.58,916.76,916.76,896.13,
"125",2009-07-09,896.2,905.72,920.02,892.63,
"126",2009-07-10,871.33,896.72,899.68,869.79,
"127",2009-07-13,881.15,862.7,893.87,852.12,
"128",2009-07-14,891.41,899.66,917.63,891.36,
"129",2009-07-15,941.21,902.17,941.21,902.17,
"130",2009-07-16,938.73,949.32,952.51,928.23,
"131",2009-07-17,966.18,941.36,968.9,935.39,
"132",2009-07-20,985.81,971.22,1000.6,971.22,
"133",2009-07-21,1002.88,986.45,1018.32,977.32,
"134",2009-07-22,980.71,1002.67,1013.48,974.95,
"135",2009-07-23,1031.37,988.88,1032.12,988.58,
"136",2009-07-24,1026.95,1032.95,1044.84,1022.46,
"137",2009-07-27,1036.27,1042.07,1057.41,1032.18,
"138",2009-07-28,1002.27,1039.35,1054.53,997.73,
"139",2009-07-29,986.8,998.88,1005.99,976.92,
"140",2009-07-30,1046.46,990.96,1048.61,990.96,
"141",2009-07-31,1053.3,1049.31,1055.24,1024.15,
"142",2009-08-03,1098.95,1059.29,1099.49,1059.29,
"143",2009-08-04,1102.1,1093.79,1102.36,1078.29,
