Date;Price;Open;High;Low;Vol.;Change %
Jan 02, 2009;1,632.21;1,578.87;1,636.03;1,571.98;502.72M;3.50%
Jan 05, 2009;1,628.03;1,621.48;1,640.46;1,604.63;632.99M;-0.26%
Jan 06, 2009;1,652.38;1,642.37;1,665.63;1,636.25;728.25M;1.50%
Jan 07, 2009;1,599.06;1,621.63;1,625.37;1,588.20;758.20M;-3.23%
Jan 08, 2009;1,617.01;1,590.25;1,617.01;1,584.28;702.64M;1.12%
Jan 09, 2009;1,571.59;1,617.05;1,617.26;1,569.87;724.59M;-2.81%
Jan 12, 2009;1,538.79;1,573.45;1,573.46;1,528.00;645.32M;-2.09%
Jan 13, 2009;1,546.46;1,537.42;1,557.95;1,527.47;726.89M;0.50%
Jan 14, 2009;1,489.64;1,521.71;1,528.65;1,485.26;740.74M;-3.67%
Jan 15, 2009;1,511.84;1,489.46;1,521.58;1,456.72;917.95M;1.49%
Jan 16, 2009;1,529.33;1,532.47;1,538.82;1,490.35;930.84M;1.16%
Jan 20, 2009;1,440.86;1,520.76;1,521.85;1,440.86;813.22M;-5.78%
Jan 21, 2009;1,507.07;1,466.40;1,507.52;1,444.90;821.53M;4.60%
Jan 22, 2009;1,465.49;1,470.85;1,492.47;1,444.08;906.30M;-2.76%
Jan 23, 2009;1,477.29;1,440.78;1,495.27;1,434.08;814.86M;0.81%
Jan 26, 2009;1,489.46;1,479.98;1,514.38;1,470.81;704.64M;0.82%
Jan 27, 2009;1,504.90;1,494.12;1,513.21;1,488.81;675.54M;1.04%
Jan 28, 2009;1,558.34;1,530.48;1,568.33;1,530.03;793.64M;3.55%
Jan 29, 2009;1,507.84;1,537.47;1,537.84;1,505.70;734.12M;-3.24%
Jan 30, 2009;1,476.42;1,519.46;1,523.45;1,472.51;811.95M;-2.08%
Feb 02, 2009;1,494.43;1,460.85;1,502.72;1,460.51;763.51M;1.22%
Feb 03, 2009;1,516.30;1,499.59;1,521.21;1,479.42;778.32M;1.46%
Feb 04, 2009;1,515.05;1,517.19;1,549.64;1,508.87;818.41M;-0.08%
Feb 05, 2009;1,546.24;1,498.59;1,554.37;1,495.52;930.49M;2.06%
Feb 06, 2009;1,591.71;1,547.00;1,594.26;1,545.85;847.82M;2.94%
Feb 09, 2009;1,591.56;1,590.74;1,598.23;1,576.10;662.39M;-0.01%
Feb 10, 2009;1,524.73;1,578.02;1,598.50;1,520.56;910.35M;-4.20%
Feb 11, 2009;1,530.50;1,531.58;1,542.84;1,509.35;813.70M;0.38%
Feb 12, 2009;1,541.71;1,510.17;1,542.51;1,495.34;886.95M;0.73%
Feb 13, 2009;1,534.36;1,539.72;1,552.57;1,530.05;704.95M;-0.48%
Feb 17, 2009;1,470.66;1,489.12;1,492.82;1,467.79;903.97M;-4.15%
Feb 18, 2009;1,467.97;1,480.65;1,487.92;1,454.46;745.32M;-0.18%
Feb 19, 2009;1,442.82;1,478.55;1,485.14;1,442.53;724.51M;-1.71%
Feb 20, 2009;1,441.23;1,427.03;1,454.39;1,416.96;960.29M;-0.11%
Feb 23, 2009;1,387.72;1,452.58;1,452.58;1,386.68;735.18M;-3.71%
Feb 24, 2009;1,441.83;1,399.37;1,445.07;1,395.11;879.57M;3.90%
Feb 25, 2009;1,425.43;1,428.76;1,453.66;1,404.54;853.99M;-1.14%
Feb 26, 2009;1,391.47;1,436.85;1,444.83;1,391.47;820.32M;-2.38%
Feb 27, 2009;1,377.84;1,376.56;1,401.97;1,372.42;967.62M;-0.98%
Mar 02, 2009;1,322.85;1,356.13;1,372.00;1,322.13;833.16M;-3.99%
Mar 03, 2009;1,321.01;1,341.42;1,346.88;1,312.98;939.20M;-0.14%
Mar 04, 2009;1,353.74;1,340.38;1,370.29;1,333.88;835.26M;2.48%
Mar 05, 2009;1,299.59;1,332.38;1,342.86;1,298.33;823.34M;-4.00%
Mar 06, 2009;1,293.85;1,310.59;1,320.51;1,268.54;876.18M;-0.44%
Mar 09, 2009;1,268.64;1,284.84;1,316.15;1,265.52;700.22M;-1.95%
Mar 10, 2009;1,358.28;1,288.95;1,358.28;1,288.95;847.81M;7.07%
Mar 11, 2009;1,371.64;1,364.80;1,385.29;1,352.60;742.71M;0.98%
Mar 12, 2009;1,426.10;1,367.78;1,427.55;1,355.05;826.96M;3.97%
Mar 13, 2009;1,431.50;1,427.03;1,433.98;1,408.26;712.79M;0.38%
Mar 16, 2009;1,404.02;1,445.27;1,445.27;1,402.48;700.55M;-1.92%
Mar 17, 2009;1,462.11;1,409.67;1,462.11;1,405.32;707.64M;4.14%
Mar 18, 2009;1,491.22;1,454.44;1,507.40;1,448.67;897.80M;1.99%
Mar 19, 2009;1,483.48;1,509.06;1,509.06;1,475.49;758.05M;-0.52%
Mar 20, 2009;1,457.27;1,488.15;1,501.78;1,448.78;1.03B;-1.77%
Mar 23, 2009;1,555.77;1,491.26;1,555.77;1,482.15;758.81M;6.76%
Mar 24, 2009;1,516.52;1,535.68;1,546.21;1,515.63;626.35M;-2.52%
Mar 25, 2009;1,528.95;1,527.59;1,554.25;1,487.94;787.64M;0.82%
Mar 26, 2009;1,587.00;1,549.40;1,587.00;1,545.21;867.63M;3.80%
Mar 27, 2009;1,545.20;1,564.12;1,569.21;1,543.43;642.82M;-2.63%
