"","NASDAQ Composite (IXIC)_history.csv Date","NASDAQ Composite (IXIC)_history.csv Price","NASDAQ Composite (IXIC)_history.csv Open","NASDAQ Composite (IXIC)_history.csv High","NASDAQ Composite (IXIC)_history.csv Low","NASDAQ Composite (IXIC)_history.csv Volume"
"1",2009-01-02,1632.21,1578.87,1636.03,1571.98,"502720000"
"2",2009-01-05,1628.03,1621.48,1640.46,1604.63,"632990000"
"3",2009-01-06,1652.38,1642.37,1665.63,1636.25,"728250000"
"4",2009-01-07,1599.06,1621.63,1625.37,1588.2,"758200000"
"5",2009-01-08,1617.01,1590.25,1617.01,1584.28,"702640000"
"6",2009-01-09,1571.59,1617.05,1617.26,1569.87,"724590000"
"7",2009-01-12,1538.79,1573.45,1573.46,1528,"645320000"
"8",2009-01-13,1546.46,1537.42,1557.95,1527.47,"726890000"
"9",2009-01-14,1489.64,1521.71,1528.65,1485.26,"740740000"
"10",2009-01-15,1511.84,1489.46,1521.58,1456.72,"917950000"
"11",2009-01-16,1529.33,1532.47,1538.82,1490.35,"930840000"
"12",2009-01-20,1440.86,1520.76,1521.85,1440.86,"813220000"
"13",2009-01-21,1507.07,1466.4,1507.52,1444.9,"821530000"
"14",2009-01-22,1465.49,1470.85,1492.47,1444.08,"906300000"
"15",2009-01-23,1477.29,1440.78,1495.27,1434.08,"814860000"
"16",2009-01-26,1489.46,1479.98,1514.38,1470.81,"704640000"
"17",2009-01-27,1504.9,1494.12,1513.21,1488.81,"675540000"
"18",2009-01-28,1558.34,1530.48,1568.33,1530.03,"793640000"
"19",2009-01-29,1507.84,1537.47,1537.84,1505.7,"734120000"
"20",2009-01-30,1476.42,1519.46,1523.45,1472.51,"811950000"
"21",2009-02-02,1494.43,1460.85,1502.72,1460.51,"763510000"
"22",2009-02-03,1516.3,1499.59,1521.21,1479.42,"778320000"
"23",2009-02-04,1515.05,1517.19,1549.64,1508.87,"818410000"
"24",2009-02-05,1546.24,1498.59,1554.37,1495.52,"930490000"
"25",2009-02-06,1591.71,1547,1594.26,1545.85,"847820000"
"26",2009-02-09,1591.56,1590.74,1598.23,1576.1,"662390000"
"27",2009-02-10,1524.73,1578.02,1598.5,1520.56,"910350000"
"28",2009-02-11,1530.5,1531.58,1542.84,1509.35,"813700000"
"29",2009-02-12,1541.71,1510.17,1542.51,1495.34,"886950000"
"30",2009-02-13,1534.36,1539.72,1552.57,1530.05,"704950000"
"31",2009-02-17,1470.66,1489.12,1492.82,1467.79,"903970000"
"32",2009-02-18,1467.97,1480.65,1487.92,1454.46,"745320000"
"33",2009-02-19,1442.82,1478.55,1485.14,1442.53,"724510000"
"34",2009-02-20,1441.23,1427.03,1454.39,1416.96,"960290000"
"35",2009-02-23,1387.72,1452.58,1452.58,1386.68,"735180000"
"36",2009-02-24,1441.83,1399.37,1445.07,1395.11,"879570000"
"37",2009-02-25,1425.43,1428.76,1453.66,1404.54,"853990000"
"38",2009-02-26,1391.47,1436.85,1444.83,1391.47,"820320000"
"39",2009-02-27,1377.84,1376.56,1401.97,1372.42,"967620000"
"40",2009-03-02,1322.85,1356.13,1372,1322.13,"833160000"
"41",2009-03-03,1321.01,1341.42,1346.88,1312.98,"939200000"
"42",2009-03-04,1353.74,1340.38,1370.29,1333.88,"835260000"
"43",2009-03-05,1299.59,1332.38,1342.86,1298.33,"823340000"
"44",2009-03-06,1293.85,1310.59,1320.51,1268.54,"876180000"
"45",2009-03-09,1268.64,1284.84,1316.15,1265.52,"700220000"
"46",2009-03-10,1358.28,1288.95,1358.28,1288.95,"847810000"
"47",2009-03-11,1371.64,1364.8,1385.29,1352.6,"742710000"
"48",2009-03-12,1426.1,1367.78,1427.55,1355.05,"826960000"
"49",2009-03-13,1431.5,1427.03,1433.98,1408.26,"712790000"
"50",2009-03-16,1404.02,1445.27,1445.27,1402.48,"700550000"
"51",2009-03-17,1462.11,1409.67,1462.11,1405.32,"707640000"
"52",2009-03-18,1491.22,1454.44,1507.4,1448.67,"897800000"
"53",2009-03-19,1483.48,1509.06,1509.06,1475.49,"758050000"
"54",2009-03-20,1457.27,1488.15,1501.78,1448.78,"1.03e+09"
"55",2009-03-23,1555.77,1491.26,1555.77,1482.15,"758810000"
"56",2009-03-24,1516.52,1535.68,1546.21,1515.63,"626350000"
"57",2009-03-25,1528.95,1527.59,1554.25,1487.94,"787640000"
"58",2009-03-26,1587,1549.4,1587,1545.21,"867630000"
"59",2009-03-27,1545.2,1564.12,1569.21,1543.43,"642820000"
"60",2009-03-30,1501.8,1516.79,1517.06,1484.98,"667830000"
"61",2009-03-31,1528.59,1518.7,1554.47,1518.01,"712610000"
"62",2009-04-01,1551.6,1504.87,1553.03,1498.54,"729150000"
"63",2009-04-02,1602.63,1579.97,1623.34,1576.82,"875360000"
"64",2009-04-03,1621.87,1609.05,1621.87,1593.05,"669250000"
"65",2009-04-06,1606.71,1602.24,1607.6,1580.65,"650350000"
"66",2009-04-07,1561.61,1585.58,1588,1559.46,"580990000"
"67",2009-04-08,1590.66,1576.93,1595.97,1567.22,"577970000"
"68",2009-04-09,1652.54,1618.83,1652.54,1616.25,"701490000"
"69",2009-04-13,1653.31,1641.61,1660.83,1630.54,"580020000"
"70",2009-04-14,1625.72,1637.5,1651.28,1618.04,"728180000"
"71",2009-04-15,1626.8,1613.56,1627.72,1599.11,"657380000"
"72",2009-04-16,1670.44,1645.52,1676.17,1628.08,"737570000"
"73",2009-04-17,1673.07,1665.6,1682.24,1653.84,"800510000"
"74",2009-04-20,1608.21,1641.35,1643.32,1606.86,"913430000"
"75",2009-04-21,1643.85,1599.03,1643.85,1598.93,"7.76e+08"
"76",2009-04-22,1646.12,1630.14,1679.82,1624.73,"831060000"
"77",2009-04-23,1652.21,1651.47,1654.85,1625.88,"794590000"
"78",2009-04-24,1694.29,1666.43,1702.87,1657.49,"826520000"
"79",2009-04-27,1679.41,1672.87,1700.53,1670.49,"692310000"
"80",2009-04-28,1673.81,1668.26,1690.06,1661.4,"646940000"
"81",2009-04-29,1711.94,1688.66,1726.69,1687.29,"745070000"
"82",2009-04-30,1717.3,1732.47,1753.61,1710.07,"912410000"
"83",2009-05-01,1719.2,1719.29,1728.1,1703.52,"657130000"
"84",2009-05-04,1763.56,1733.71,1763.56,1729.31,"767630000"
"85",2009-05-05,1754.12,1757.26,1759.42,1735.37,"768640000"
"86",2009-05-06,1759.1,1768.69,1770.29,1730.97,"830060000"
"87",2009-05-07,1716.24,1772.1,1773.13,1702.54,"944720000"
"88",2009-05-08,1739,1733.5,1747.41,1711.01,"914960000"
"89",2009-05-11,1731.24,1713.65,1747.97,1705.87,"730780000"
"90",2009-05-12,1715.92,1742.86,1743.52,1695.87,"740680000"
"91",2009-05-13,1664.19,1696.8,1697.76,1664.19,"711810000"
"92",2009-05-14,1689.21,1672.48,1701.22,1667.94,"668010000"
"93",2009-05-15,1680.14,1687.49,1703.45,1676.56,"662760000"
"94",2009-05-18,1732.36,1696.82,1732.36,1689.55,"613250000"
"95",2009-05-19,1734.54,1727,1750.05,1719.92,"6.23e+08"
"96",2009-05-20,1727.84,1743.6,1767.47,1722.32,"682130000"
"97",2009-05-21,1695.25,1709.83,1719.58,1677.77,"700340000"
"98",2009-05-22,1692.01,1702.06,1711.98,1682.24,"484250000"
"99",2009-05-26,1750.43,1677.72,1751.47,1677.54,"662770000"
"100",2009-05-27,1731.08,1745.56,1768.22,1728.96,"663340000"
"101",2009-05-28,1751.79,1744.23,1754.95,1714.48,"683580000"
"102",2009-05-29,1774.33,1756.26,1774.33,1742.99,"946600000"
"103",2009-06-01,1828.68,1796.09,1833.18,1792.8,"947400000"
"104",2009-06-02,1836.8,1821.22,1846.65,1815.83,"728010000"
"105",2009-06-03,1825.92,1825.6,1828.09,1806.51,"675450000"
"106",2009-06-04,1850.02,1829.84,1850.04,1825.62,"743620000"
"107",2009-06-05,1849.42,1864.02,1865.95,1834.63,"662100000"
"108",2009-06-08,1842.4,1836.87,1857.8,1818.59,"576180000"
"109",2009-06-09,1860.13,1850.48,1869.52,1846.26,"606880000"
"110",2009-06-10,1853.08,1872.01,1872.7,1827.61,"6.73e+08"
"111",2009-06-11,1862.37,1854.75,1879.92,1854.75,"677680000"
"112",2009-06-12,1858.8,1852.43,1858.8,1833.39,"556530000"
"113",2009-06-15,1816.38,1837.94,1838.33,1803.07,"639240000"
"114",2009-06-16,1796.18,1825.2,1831.18,1795.55,"637430000"
"115",2009-06-17,1808.06,1799.22,1824.2,1785.34,"713740000"
"116",2009-06-18,1807.72,1809.04,1816.6,1795.74,"583060000"
"117",2009-06-19,1827.47,1824.99,1837.58,1817.07,"1.13e+09"
"118",2009-06-22,1766.19,1809.53,1810.58,1765.85,"687360000"
