"","Nifty 50 (NSEI)_history.csv Date","Nifty 50 (NSEI)_history.csv Price","Nifty 50 (NSEI)_history.csv Open","Nifty 50 (NSEI)_history.csv High","Nifty 50 (NSEI)_history.csv Low","Nifty 50 (NSEI)_history.csv Volume"
"1",2009-01-01,3033.45,2963.3,3039.25,2963.3,"226680000"
"2",2009-01-02,3046.75,3034.6,3079.85,3021.8,"318670000"
"3",2009-01-05,3121.45,3058.75,3131.95,3056.45,"311930000"
"4",2009-01-06,3112.8,3121.5,3141.8,3056.1,"340450000"
"5",2009-01-07,2920.4,3112.8,3147.2,2888.2,"686890000"
"6",2009-01-09,2873,2919.95,2929.85,2810.25,"591980000"
"7",2009-01-12,2773.1,2868.85,2869.2,2748.55,"382110000"
"8",2009-01-13,2744.95,2775,2802.6,2720.8,"252700000"
"9",2009-01-14,2835.3,2748.4,2853.25,2748.4,"217300000"
"10",2009-01-15,2736.7,2832.3,2832.3,2701.75,"214280000"
"11",2009-01-16,2828.45,2737,2835.65,2724.2,"229500000"
"12",2009-01-19,2846.2,2828.7,2868.2,2819.9,"328340000"
"13",2009-01-20,2796.6,2842.9,2842.9,2758,"233290000"
"14",2009-01-21,2706.15,2777.4,2787.3,2690.2,"220070000"
"15",2009-01-22,2713.8,2714.7,2744.85,2681.4,"229570000"
"16",2009-01-23,2678.55,2705.45,2765.55,2661.65,"211290000"
"17",2009-01-27,2771.35,2686.05,2777.3,2685.25,"218650000"
"18",2009-01-28,2849.5,2771.1,2855.4,2765.6,"274480000"
"19",2009-01-29,2823.95,2849.35,2873.85,2795.35,"330750000"
"20",2009-01-30,2874.8,2824.05,2881,2774.1,"2.95e+08"
"21",2009-02-02,2766.65,2872.35,2873.45,2760.7,"234940000"
"22",2009-02-03,2783.9,2773.5,2831.7,2752.9,"252550000"
"23",2009-02-04,2803.05,2780.7,2842.2,2780.7,"204150000"
"24",2009-02-05,2780.05,2802.75,2816.8,2754.85,"178480000"
"25",2009-02-06,2843.1,2779.35,2852.5,2778.65,"187960000"
"26",2009-02-09,2919.9,2843.05,2926.75,2840.15,"117640000"
"27",2009-02-10,2934.5,2919.7,2957.4,2891.75,"301750000"
"28",2009-02-11,2925.7,2933,2937.5,2877.6,"243270000"
"29",2009-02-12,2893.05,2927.4,2939,2886.55,"214710000"
"30",2009-02-13,2948.35,2896.95,2969.75,2896.85,"195720000"
"31",2009-02-16,2848.5,2948.25,2953.2,2839.1,"244940000"
"32",2009-02-17,2770.5,2853.85,2854.65,2757.3,"191430000"
"33",2009-02-18,2776.15,2755.15,2806.5,2736.65,"214160000"
"34",2009-02-19,2789.35,2776.7,2802.15,2767.6,"174590000"
"35",2009-02-20,2736.45,2789.3,2789.3,2709.3,"154750000"
"36",2009-02-24,2733.9,2737.25,2746.2,2677.55,"182640000"
"37",2009-02-25,2762.5,2733.45,2789.35,2733.45,"176810000"
"38",2009-02-26,2785.65,2762.2,2797.8,2731.9,"250170000"
"39",2009-02-27,2763.65,2785.7,2787.2,2708.45,"231160000"
"40",2009-03-02,2674.6,2764.6,2764.6,2659.55,"194230000"
"41",2009-03-03,2622.4,2672.15,2688.5,2611.55,"217640000"
"42",2009-03-04,2645.2,2611.95,2655.7,2611.95,"202950000"
"43",2009-03-05,2576.7,2645.9,2663.9,2564.1,"244860000"
"44",2009-03-06,2620.15,2576.75,2628.1,2539.45,"242510000"
"45",2009-03-09,2573.15,2620.1,2621.25,2555.6,"166410000"
"46",2009-03-12,2617.45,2574.5,2646.1,2574.5,"213790000"
"47",2009-03-13,2719.25,2616.6,2726.15,2616.6,"263890000"
"48",2009-03-16,2777.25,2716.05,2781.95,2701.95,"263130000"
"49",2009-03-17,2757.45,2776.35,2805.6,2738.7,"288780000"
"50",2009-03-18,2794.7,2757.65,2836.05,2752.25,"261790000"
"51",2009-03-19,2807.15,2797.05,2822.25,2771.35,"223410000"
"52",2009-03-20,2807.05,2807.35,2816.1,2773.65,"186840000"
"53",2009-03-23,2939.9,2807.25,2949.75,2807.25,"250480000"
"54",2009-03-24,2938.7,2923.8,3017.4,2914.5,"383080000"
"55",2009-03-25,2984.35,2938.8,2996.5,2923.3,"383650000"
"56",2009-03-26,3082.25,2982.25,3103.35,2982.25,"416180000"
"57",2009-03-27,3108.65,3079.4,3123.35,3055.9,"323360000"
"58",2009-03-30,2978.15,3108.75,3110.2,2962.4,"275780000"
"59",2009-03-31,3020.95,2981.7,3054.3,2966.4,"341400000"
"60",2009-04-01,3060.35,3023.85,3069.3,2965.7,"319350000"
"61",2009-04-02,3211.05,3061.05,3228.75,3061.05,"370840000"
"62",2009-04-06,3256.6,3211.35,3303.9,3211.35,"357070000"
"63",2009-04-08,3342.95,3255.35,3357.05,3149.25,"409030000"
"64",2009-04-09,3342.05,3346,3401.15,3307.05,"414640000"
