"","Nikkei 225 (N225)_history.csv Date","Nikkei 225 (N225)_history.csv Price","Nikkei 225 (N225)_history.csv Open","Nikkei 225 (N225)_history.csv High","Nikkei 225 (N225)_history.csv Low","Nikkei 225 (N225)_history.csv Volume"
"1",2009-01-05,9043.12,8991.21,9127.38,8987.36,
"2",2009-01-06,9080.84,9130.01,9171.03,9029.94,
"3",2009-01-07,9239.24,9133.8,9325.35,9106.05,
"4",2009-01-08,8876.42,9143.21,9148.83,8876.42,
"5",2009-01-09,8836.8,8932.71,8956.85,8773.2,
"6",2009-01-13,8413.91,8732.63,8732.93,8405.5,
"7",2009-01-14,8438.45,8425.75,8516.07,8359.16,
"8",2009-01-15,8023.31,8309.38,8309.38,7997.73,
"9",2009-01-16,8230.15,8125.2,8283.91,8067.47,
"10",2009-01-19,8256.85,8318.26,8351.68,8221.84,
"11",2009-01-20,8065.79,8187.14,8190.42,7962.46,
"12",2009-01-21,7901.64,7949.96,8009.22,7829.3,
"13",2009-01-22,8051.74,7988.3,8051.74,7809.89,
"14",2009-01-23,7745.25,7965.41,7965.41,7745.25,
"15",2009-01-26,7682.14,7714.26,7807.16,7671.04,
"16",2009-01-27,8061.07,7782.9,8115.15,7782.07,
"17",2009-01-28,8106.29,8052.25,8171.63,7936.59,
"18",2009-01-29,8251.24,8201.16,8305.38,8138.99,
"19",2009-01-30,7994.05,8142.88,8142.88,7922.39,
"20",2009-02-02,7873.98,7908.51,7955.75,7795.27,
"21",2009-02-03,7825.51,7862.95,8084.41,7800.8,
"22",2009-02-04,8038.94,7897.24,8084.97,7863.65,
"23",2009-02-05,7949.65,7985.53,8093.96,7901.04,
"24",2009-02-06,8076.62,8054.27,8169.04,8033.24,
"25",2009-02-09,7969.03,8178.07,8257.71,7969.03,
"26",2009-02-10,7945.94,8066.94,8124.79,7917.27,
"27",2009-02-12,7705.36,7842.53,7862.52,7685.68,
"28",2009-02-13,7779.4,7789.35,7887.74,7730.27,
"29",2009-02-16,7750.17,7732.68,7804.24,7694.73,
"30",2009-02-17,7645.51,7690.13,7710.43,7615.94,
"31",2009-02-18,7534.44,7539.96,7565.79,7479.18,
"32",2009-02-19,7557.65,7604.22,7642.69,7537.56,
"33",2009-02-20,7416.38,7544.07,7554.7,7382.33,
"34",2009-02-23,7376.16,7314.3,7417.18,7209.43,
"35",2009-02-24,7268.56,7266.68,7270.9,7155.16,
"36",2009-02-25,7461.22,7368.44,7471.03,7330.44,
"37",2009-02-26,7457.93,7470.6,7599.81,7433.06,
"38",2009-02-27,7568.42,7463.42,7589.77,7414.4,
"39",2009-03-02,7280.15,7454.28,7454.28,7234.96,
"40",2009-03-03,7229.72,7177.79,7288.14,7088.47,
"41",2009-03-04,7290.96,7146.71,7320.65,7104.63,
"42",2009-03-05,7433.49,7336.02,7532.87,7336.02,
"43",2009-03-06,7173.1,7328.29,7328.29,7167.07,
"44",2009-03-09,7086.03,7191.13,7241.02,7028.49,
"45",2009-03-10,7054.98,7059.77,7100.77,7021.28,
"46",2009-03-11,7376.12,7165.39,7393.81,7161.85,
"47",2009-03-12,7198.25,7320.45,7345.02,7198.25,
"48",2009-03-13,7569.28,7301.12,7571.45,7300.87,
"49",2009-03-16,7704.15,7630.2,7754.75,7630.2,
"50",2009-03-17,7949.13,7767.34,7967.03,7723.94,
"51",2009-03-18,7972.17,8006.86,8054.35,7895.28,
"52",2009-03-19,7945.96,8017.93,8034.09,7902.49,
"53",2009-03-23,8215.53,7943.14,8229.13,7922.55,
"54",2009-03-24,8488.3,8334.68,8504.41,8297.27,
"55",2009-03-25,8479.99,8499.69,8553.01,8392.56,
"56",2009-03-26,8636.33,8430.22,8640.28,8383.99,
"57",2009-03-27,8626.97,8711.72,8843.18,8626.97,
"58",2009-03-30,8236.08,8621.85,8651.06,8236.08,
"59",2009-03-31,8109.53,8199.43,8383.74,8088.45,
"60",2009-04-01,8351.91,8173.36,8351.91,8084.62,
"61",2009-04-02,8719.78,8453.73,8741.67,8449.87,
"62",2009-04-03,8749.84,8814.1,8884.63,8697.17,
"63",2009-04-06,8857.93,8856.84,8992.06,8812.36,
"64",2009-04-07,8832.85,8838.66,8884.45,8778.92,
"65",2009-04-08,8595.01,8746.73,8765.64,8556.75,
"66",2009-04-09,8916.06,8665.16,8920.86,8664.26,
"67",2009-04-10,8964.11,9041.23,9068.8,8856.69,
"68",2009-04-13,8924.43,8930.35,9024.45,8888.1,
"69",2009-04-14,8842.68,8955.9,8961.73,8749.92,
"70",2009-04-15,8742.96,8777.68,8800.52,8681.03,
"71",2009-04-16,8755.26,8848.43,9030,8720.62,
"72",2009-04-17,8907.58,8854.33,8953.34,8834.63,
"73",2009-04-20,8924.75,8899.59,8933.8,8813.72,
"74",2009-04-21,8711.33,8802.09,8802.09,8612.76,
"75",2009-04-22,8727.3,8777.53,8802.9,8683.27,
"76",2009-04-23,8847.01,8776.94,8860.55,8647.8,
"77",2009-04-24,8707.99,8832.1,8852.83,8694.92,
"78",2009-04-27,8726.34,8783.34,8840.53,8648.51,
"79",2009-04-28,8493.77,8678.28,8808.64,8493.77,
"80",2009-04-30,8828.26,8615.45,8844.77,8615.45,
"81",2009-05-01,8977.37,8848.84,9017.32,8827.13,
"82",2009-05-07,9385.7,9102.35,9385.7,9100.11,
"83",2009-05-08,9432.83,9351.4,9464.43,9349.57,
"84",2009-05-11,9451.98,9460.72,9503.91,9342.75,
"85",2009-05-12,9298.61,9358.25,9389.61,9298.61,
"86",2009-05-13,9340.49,9305.79,9379.47,9278.89,
"87",2009-05-14,9093.73,9212.3,9223.77,9052.41,
"88",2009-05-15,9265.02,9150.21,9272.08,9140.9,
"89",2009-05-18,9038.69,9167.05,9167.82,8997.74,
"90",2009-05-19,9290.29,9172.56,9326.75,9166.97,
"91",2009-05-20,9344.64,9372.72,9399.4,9311.61,
"92",2009-05-21,9264.15,9280.35,9286.35,9189.92,
"93",2009-05-22,9225.81,9156.14,9267.82,9126.69,
"94",2009-05-25,9347,9245.95,9402.76,9245.95,
"95",2009-05-26,9310.81,9364.22,9379.78,9231.93,
"96",2009-05-27,9438.77,9426.62,9491.13,9411.54,
"97",2009-05-28,9451.39,9353.33,9492.66,9353.33,
"98",2009-05-29,9522.5,9478.21,9522.5,9426.52,
"99",2009-06-01,9677.75,9517.49,9691.73,9491.26,
"100",2009-06-02,9704.31,9774.55,9793.47,9704.31,
"101",2009-06-03,9741.67,9723.82,9774.55,9718.7,
"102",2009-06-04,9668.96,9690.93,9743.46,9654.45,
"103",2009-06-05,9768.01,9752.51,9774.98,9719.14,
"104",2009-06-08,9865.63,9829.28,9914.07,9816.17,
"105",2009-06-09,9786.82,9824.17,9855.89,9755.81,
"106",2009-06-10,9991.49,9833.64,9991.49,9813.77,
"107",2009-06-11,9981.33,9992.98,10022.23,9958.98,
"108",2009-06-12,10135.82,10088.21,10170.82,10050.96,
"109",2009-06-15,10039.67,10126.55,10126.55,10029.59,
"110",2009-06-16,9752.88,9914.4,9941.5,9752.88,
"111",2009-06-17,9840.85,9705.73,9845.52,9705.73,
"112",2009-06-18,9703.72,9778.35,9778.35,9649.83,
"113",2009-06-19,9786.26,9757.85,9822.83,9703.87,
"114",2009-06-22,9826.27,9788.07,9887.13,9763.37,
"115",2009-06-23,9549.61,9695.76,9712.09,9511.45,
"116",2009-06-24,9590.32,9596.78,9624.41,9534.24,
"117",2009-06-25,9796.08,9628.18,9871.14,9619.02,
"118",2009-06-26,9877.39,9852.92,9893,9793.95,
"119",2009-06-29,9783.47,9866.28,9943.83,9748.73,
"120",2009-06-30,9958.44,9896.56,10000.3,9894.95,
"121",2009-07-01,9939.93,9889.34,10086.18,9874,
"122",2009-07-02,9876.15,9993.77,9993.77,9869.54,
"123",2009-07-03,9816.07,9751.69,9816.07,9691.16,
"124",2009-07-06,9680.87,9738.49,9771.76,9650.75,
"125",2009-07-07,9647.79,9713.62,9734.43,9619.68,
"126",2009-07-08,9420.75,9548.81,9557.39,9407.98,
"127",2009-07-09,9291.06,9342.33,9384.24,9291.06,
"128",2009-07-10,9287.28,9338.76,9370.15,9265.24,
"129",2009-07-13,9050.33,9242.13,9343.86,9050.33,
"130",2009-07-14,9261.81,9173.14,9284.38,9166.63,
"131",2009-07-15,9269.25,9307.45,9333.64,9250.73,
"132",2009-07-16,9344.16,9393.98,9489.67,9317.11,
"133",2009-07-17,9395.32,9413.86,9420.61,9360.59,
"134",2009-07-21,9652.02,9512.52,9652.02,9508.92,
"135",2009-07-22,9723.16,9642.79,9750.63,9608.77,
"136",2009-07-23,9792.94,9712.1,9861.29,9703.84,
"137",2009-07-24,9944.55,9909.4,9950.04,9863.87,
"138",2009-07-27,10088.66,10020.87,10179.59,10015.11,
"139",2009-07-28,10087.26,10116.89,10116.89,10049.63,
"140",2009-07-29,10113.24,10035.91,10161.95,10035.91,
