"","OMX Copenhagen 20 (OMXC20)_history.csv Date","OMX Copenhagen 20 (OMXC20)_history.csv Price","OMX Copenhagen 20 (OMXC20)_history.csv Open","OMX Copenhagen 20 (OMXC20)_history.csv High","OMX Copenhagen 20 (OMXC20)_history.csv Low","OMX Copenhagen 20 (OMXC20)_history.csv Volume"
"1",2009-01-02,260.13,247.72,260.13,247.72,
"2",2009-01-05,275.38,260.13,275.38,260.13,
"3",2009-01-06,280.45,275.38,281.36,269.39,
"4",2009-01-07,271.07,280.45,280.48,271.07,
"5",2009-01-08,272.14,271.07,273.83,266.08,
"6",2009-01-09,271.86,272.14,276.6,271.85,
"7",2009-01-12,270.46,271.86,273.22,269.44,
"8",2009-01-13,266.63,270.46,270.46,264.14,
"9",2009-01-14,252.17,266.63,268.79,252.12,
"10",2009-01-15,255,252.17,261.1,250.22,
"11",2009-01-16,259.31,255,262.21,255,
"12",2009-01-19,254.53,259.31,263.66,253.71,
"13",2009-01-20,250.34,254.53,258.02,249.58,
"14",2009-01-21,251.92,250.34,253.83,245.7,
"15",2009-01-22,251.81,251.92,258.1,250.57,
"16",2009-01-23,247.51,251.81,251.81,245.57,
"17",2009-01-26,256.01,247.51,256.47,247.51,
"18",2009-01-27,253.38,256.01,258.5,252.16,
"19",2009-01-28,259.16,253.38,260.14,253.38,
"20",2009-01-29,256.23,259.16,260.56,253.5,
"21",2009-01-30,261.79,256.23,261.79,255.07,
"22",2009-02-02,257.04,261.5,261.5,256.19,
"23",2009-02-03,260.76,257.43,261.72,255.13,
"24",2009-02-04,268.31,261.16,268.73,260.05,
"25",2009-02-05,264.1,266.93,270.24,260.68,
"26",2009-02-06,270.7,264.79,272.66,263.99,
"27",2009-02-09,271.82,270.7,272.35,267.74,
"28",2009-02-10,268.05,271.42,271.96,267.71,
"29",2009-02-11,263.97,267.36,269.43,263.15,
"30",2009-02-12,264.9,263.97,265.15,260.84,
"31",2009-02-13,269.87,265.39,270.74,265.14,
"32",2009-02-16,268.08,269.58,269.81,266.92,
"33",2009-02-17,261.98,267.69,267.69,261.64,
"34",2009-02-18,258.3,262.08,264.8,257.52,
"35",2009-02-19,258.98,258.79,261.76,258.04,
"36",2009-02-20,252.97,258.39,258.39,251.51,
"37",2009-02-23,254.88,254.88,258.2,253.46,
"38",2009-02-24,248.66,254.38,254.48,246.94,
"39",2009-02-25,243.34,249.65,253.69,243.08,
"40",2009-02-26,249.22,243.93,250.35,243.93,
"41",2009-02-27,241.48,248.92,248.92,238.23,
"42",2009-03-02,233.64,240.69,240.69,233.28,
"43",2009-03-03,225.75,233.94,234.85,225.67,
"44",2009-03-04,228.63,226.14,228.67,223.66,
"45",2009-03-05,218.76,229.02,231.72,218.34,
"46",2009-03-06,213.11,219.05,219.05,212.65,
"47",2009-03-09,214.37,213.7,216.21,210.32,
"48",2009-03-10,221.6,213.88,221.95,213.64,
"49",2009-03-11,225.33,222.09,230.97,222,
"50",2009-03-12,224.23,225.33,225.36,220.65,
"51",2009-03-13,224.15,225.21,230.63,224.11,
"52",2009-03-16,227.25,224.83,229.39,223.86,
"53",2009-03-17,229.17,227.35,230.13,225.62,
"54",2009-03-18,227.7,229.76,234.48,226.26,
"55",2009-03-19,228.71,228.09,232.57,226.22,
"56",2009-03-20,226.94,228.71,230.75,226.04,
"57",2009-03-23,229.54,227.53,231.09,226.38,
"58",2009-03-24,229.34,230.03,234.67,228.02,
"59",2009-03-25,230.19,229.05,230.24,225.88,
"60",2009-03-26,235.7,230.1,235.74,230.09,
"61",2009-03-27,232.5,235.5,237.7,232.16,
"62",2009-03-30,227.89,232.11,232.11,227.37,
"63",2009-03-31,228.36,228.09,231.9,224.59,
"64",2009-04-01,237.71,228.36,237.73,227.25,
"65",2009-04-02,245.61,238.3,245.61,238.3,
"66",2009-04-03,238.66,245.51,245.59,236.45,
"67",2009-04-06,243.51,238.66,245.26,238.66,
"68",2009-04-07,238.05,243.51,243.59,236.64,
"69",2009-04-08,235.59,237.56,238.01,232.25,
"70",2009-04-14,242.23,236.48,243.44,236.38,
"71",2009-04-15,240.07,241.64,242.13,238.95,
"72",2009-04-16,252.66,240.07,253.77,240.07,
"73",2009-04-17,264.48,252.56,265.15,252.46,
"74",2009-04-20,256.38,265.07,266.55,256,
"75",2009-04-21,254.65,256.09,257.7,251.45,
"76",2009-04-22,261.8,255.04,261.85,255.04,
"77",2009-04-23,264.83,261.31,265.53,259.11,
"78",2009-04-24,268.85,264.93,270.03,262.58,
"79",2009-04-27,265.69,267.87,268.07,263.3,
"80",2009-04-28,263.36,265.4,265.4,260.33,
"81",2009-04-29,268.45,263.66,268.81,263.42,
"82",2009-04-30,274.79,269.53,278.07,269.43,
"83",2009-05-01,276.66,274.4,276.75,272.69,
"84",2009-05-04,288.76,277.25,288.77,277.25,
"85",2009-05-05,289.65,289.06,297.19,288.28,
"86",2009-05-06,296.43,289.36,297.33,288.89,
"87",2009-05-07,294.81,297.02,302.59,294.63,
"88",2009-05-11,295.41,295.4,301.28,291.22,
"89",2009-05-12,293.25,295.11,300.27,290.92,
"90",2009-05-13,287.04,293.74,295.6,285.33,
"91",2009-05-14,287.08,286.84,287.71,280.94,
"92",2009-05-15,293.53,287.86,293.79,287.86,
"93",2009-05-18,299.73,293.04,299.79,290.19,
"94",2009-05-19,304.82,300.42,308.12,300.32,
"95",2009-05-20,308.27,304.92,308.71,303.38,
"96",2009-05-25,304.33,307.38,307.58,301.86,
"97",2009-05-26,299.01,303.84,303.84,293.14,
"98",2009-05-27,298.14,299.3,302.09,297.18,
"99",2009-05-28,292.34,297.84,297.84,289.71,
"100",2009-05-29,290.83,292.63,297.19,285.03,
"101",2009-06-02,296.95,291.52,300.1,291.42,
"102",2009-06-03,292.58,296.85,298.14,290.45,
"103",2009-06-04,294.13,292.48,294.99,291.46,
"104",2009-06-08,289.46,293.45,296.39,288.01,
"105",2009-06-09,294.34,289.56,295.14,289.11,
"106",2009-06-10,300.65,294.74,302.29,294.64,
"107",2009-06-11,303.72,300.65,304.55,300.45,
"108",2009-06-12,303.67,303.62,307.19,302.73,
"109",2009-06-15,300.61,303.57,304.49,300.21,
"110",2009-06-16,299.02,300.32,301.45,297.02,
"111",2009-06-17,290.37,298.73,298.82,290.07,
"112",2009-06-18,291.88,290.37,294.88,286.67,
"113",2009-06-19,293.16,292.08,294.29,290.11,
"114",2009-06-22,284.38,293.45,293.45,283.45,
"115",2009-06-23,281.12,283.99,283.99,279.29,
"116",2009-06-24,289.05,280.83,289.06,280.83,
"117",2009-06-25,284.84,289.05,290.1,283.57,
"118",2009-06-26,280.58,285.42,287.61,279.61,
"119",2009-06-29,290.02,280.68,290.05,280.45,
