Date;Price;Open;High;Low;Vol.;Change %
Jan 02, 2009;693.78;662.33;695.72;662.33;82.14M;4.75%
Jan 05, 2009;693.76;693.78;704.23;690.62;52.07M;-0.00%
Jan 07, 2009;701.41;693.76;704.49;693.76;157.10M;1.10%
Jan 08, 2009;695.95;701.41;701.41;684.58;140.72M;-0.78%
Jan 09, 2009;685.83;695.95;695.95;683.41;126.05M;-1.45%
Jan 12, 2009;667.97;685.83;685.83;666.47;112.06M;-2.60%
Jan 13, 2009;656.62;667.97;667.97;649.05;160.42M;-1.70%
Jan 14, 2009;622.59;656.62;662.14;619.70;204.71M;-5.18%
Jan 15, 2009;620.32;622.59;633.88;612.15;191.45M;-0.36%
Jan 16, 2009;628.69;620.32;636.75;620.32;137.79M;1.35%
Jan 19, 2009;621.80;628.69;638.57;614.33;151.38M;-1.10%
Jan 20, 2009;597.76;621.80;627.38;595.19;198.24M;-3.87%
Jan 21, 2009;615.11;597.76;620.14;591.62;288.03M;2.90%
Jan 22, 2009;608.73;615.11;627.88;606.39;189.45M;-1.04%
Jan 23, 2009;604.12;608.73;610.37;591.65;173.79M;-0.76%
Jan 26, 2009;623.25;604.12;625.02;600.38;169.91M;3.17%
Jan 27, 2009;624.05;623.25;624.56;610.81;179.33M;0.13%
Jan 28, 2009;639.29;624.05;643.23;624.05;193.61M;2.44%
Jan 29, 2009;616.10;639.29;639.29;614.54;165.53M;-3.63%
Jan 30, 2009;617.38;616.10;627.37;613.39;179.43M;0.21%
Feb 02, 2009;602.08;617.50;617.50;595.62;152.12M;-2.48%
Feb 03, 2009;622.74;602.08;623.64;597.70;193.61M;3.43%
Feb 04, 2009;644.71;622.49;649.28;620.67;243.03M;3.53%
Feb 05, 2009;643.20;642.71;644.00;627.68;207.51M;-0.23%
Feb 06, 2009;670.54;642.70;673.65;642.45;239.75M;4.25%
Feb 09, 2009;688.42;670.28;690.51;663.79;229.06M;2.67%
Feb 10, 2009;676.48;686.54;687.13;672.78;200.04M;-1.73%
Feb 11, 2009;676.35;675.35;684.23;665.34;167.02M;-0.02%
Feb 12, 2009;672.86;675.60;676.06;657.99;198.88M;-0.52%
Feb 13, 2009;677.70;673.49;685.48;673.36;189.02M;0.72%
Feb 16, 2009;681.61;676.82;686.66;671.87;124.51M;0.58%
Feb 17, 2009;647.84;680.36;680.73;645.36;196.85M;-4.95%
Feb 18, 2009;653.24;648.59;655.74;636.07;215.76M;0.83%
Feb 19, 2009;662.45;653.50;663.79;646.11;182.28M;1.41%
Feb 20, 2009;636.14;661.07;661.19;635.93;194.20M;-3.97%
Feb 23, 2009;619.13;619.13;646.82;617.80;-;-2.67%
Feb 24, 2009;617.95;616.62;629.11;608.57;204.32M;-0.19%
Feb 25, 2009;617.40;619.58;633.70;615.88;160.50M;-0.09%
Feb 26, 2009;643.94;618.78;646.40;618.53;177.95M;4.30%
Feb 27, 2009;640.39;642.93;643.06;629.70;185.34M;-0.55%
Mar 02, 2009;619.27;638.38;638.63;615.37;149.35M;-3.30%
Mar 03, 2009;604.31;618.77;623.51;602.66;166.11M;-2.42%
Mar 04, 2009;630.23;604.81;630.23;604.68;194.67M;4.29%
Mar 05, 2009;608.98;629.73;629.98;605.40;180.62M;-3.37%
Mar 06, 2009;607.45;608.98;617.34;602.68;184.28M;-0.25%
Mar 09, 2009;615.55;606.57;615.77;593.28;180.16M;1.33%
Mar 10, 2009;650.61;613.94;651.39;609.17;208.83M;5.70%
Mar 11, 2009;666.58;649.86;671.13;642.64;262.87M;2.45%
Mar 12, 2009;667.65;665.84;669.81;649.31;201.97M;0.16%
Mar 13, 2009;659.31;669.02;685.33;652.58;216.59M;-1.25%
Mar 16, 2009;675.89;660.52;675.89;660.16;167.52M;2.51%
Mar 17, 2009;664.05;675.28;675.47;661.76;180.08M;-1.75%
Mar 18, 2009;662.76;664.90;675.57;655.66;187.97M;-0.19%
Mar 19, 2009;679.58;663.61;689.96;658.99;283.97M;2.54%
Mar 20, 2009;661.59;660.45;675.07;657.18;315.04M;-2.65%
Mar 23, 2009;667.98;661.47;670.50;652.43;225.06M;0.97%
Mar 24, 2009;654.12;667.13;678.40;652.19;234.17M;-2.07%
Mar 25, 2009;665.76;654.00;672.04;646.16;202.06M;1.78%
Mar 26, 2009;667.03;665.76;667.03;655.83;175.65M;0.19%
Mar 27, 2009;655.59;666.30;668.93;653.18;171.14M;-1.72%
Mar 30, 2009;633.09;653.88;654.00;629.69;149.09M;-3.43%
Mar 31, 2009;653.05;633.82;653.45;633.82;196.95M;3.15%
Apr 01, 2009;679.51;652.19;679.73;641.02;243.62M;4.05%
Apr 02, 2009;713.80;679.88;716.58;678.58;261.86M;5.05%
Apr 03, 2009;711.16;712.95;726.98;700.82;261.93M;-0.37%
Apr 06, 2009;709.57;710.67;727.87;704.12;197.11M;-0.22%
Apr 07, 2009;702.18;710.54;714.03;695.70;163.27M;-1.04%
Apr 08, 2009;707.32;701.45;709.16;689.78;175.73M;0.73%
Apr 09, 2009;717.66;707.80;718.13;707.68;67.14M;1.46%
Apr 14, 2009;744.16;717.29;751.74;717.17;222.95M;3.69%
Apr 15, 2009;729.63;742.58;743.19;725.98;162.18M;-1.95%
Apr 16, 2009;745.55;729.63;748.61;726.82;184.89M;2.18%
Apr 17, 2009;767.75;747.13;771.44;747.01;234.58M;2.98%
Apr 20, 2009;731.10;767.38;770.99;727.71;242.65M;-4.77%
Apr 21, 2009;741.44;730.85;744.13;715.27;251.97M;1.41%
Apr 22, 2009;768.11;742.17;770.45;739.56;285.31M;3.60%
Apr 23, 2009;772.79;766.89;774.95;751.55;253.06M;0.61%
Apr 24, 2009;779.16;771.21;781.84;756.65;213.54M;0.82%
Apr 27, 2009;782.65;778.79;784.42;762.88;178.63M;0.45%
Apr 28, 2009;751.28;781.92;781.92;745.35;236.01M;-4.01%
Apr 29, 2009;768.80;751.65;771.02;751.40;203.57M;2.33%
Apr 30, 2009;763.89;764.54;779.40;763.89;182.64M;-0.64%
May 04, 2009;779.50;761.09;781.09;760.84;185.72M;2.04%
May 05, 2009;783.03;779.74;785.11;771.00;213.89M;0.45%
May 06, 2009;799.42;783.03;801.33;779.39;202.94M;2.09%
May 07, 2009;792.47;801.00;816.35;788.95;250.10M;-0.87%
May 08, 2009;802.03;792.10;813.53;792.10;214.81M;1.21%
May 11, 2009;783.39;802.15;804.18;774.68;175.72M;-2.32%
May 12, 2009;769.34;783.51;794.52;769.34;177.01M;-1.79%
May 13, 2009;748.10;769.34;775.78;744.08;211.20M;-2.76%
May 14, 2009;757.66;748.34;758.46;734.12;181.04M;1.28%
May 15, 2009;764.77;758.15;766.42;749.88;149.04M;0.94%
May 18, 2009;779.89;764.04;780.72;751.05;150.26M;1.98%
May 19, 2009;789.19;780.62;799.08;780.13;184.15M;1.19%
May 20, 2009;783.72;788.70;789.48;778.71;83.41M;-0.69%
May 22, 2009;769.40;781.65;781.89;758.82;116.41M;-1.83%
May 25, 2009;770.24;769.16;774.33;758.19;59.76M;0.11%
May 26, 2009;773.70;770.60;775.74;752.81;165.37M;0.45%
May 27, 2009;773.68;774.19;782.10;769.17;163.64M;-0.00%
May 28, 2009;771.82;772.47;773.45;762.61;143.93M;-0.24%
May 29, 2009;776.50;772.92;783.71;771.54;172.15M;0.61%
Jun 01, 2009;801.57;777.35;802.92;777.34;132.54M;3.23%
Jun 02, 2009;795.25;801.08;801.08;788.06;150.40M;-0.79%
Jun 03, 2009;770.61;795.25;797.27;765.12;201.75M;-3.10%
Jun 04, 2009;768.57;770.61;777.78;761.03;184.99M;-0.26%
Jun 05, 2009;770.48;769.67;782.59;769.54;136.46M;0.25%
Jun 08, 2009;770.32;771.09;771.77;755.53;145.79M;-0.02%
Jun 09, 2009;769.67;770.44;774.18;760.43;165.16M;-0.08%
Jun 10, 2009;787.11;769.55;793.22;769.55;202.01M;2.27%
Jun 11, 2009;805.85;786.87;808.43;786.06;188.41M;2.38%
Jun 12, 2009;799.65;805.36;810.03;797.58;143.68M;-0.77%
Jun 15, 2009;784.49;799.65;799.89;782.92;130.44M;-1.90%
Jun 16, 2009;789.22;784.49;795.96;779.02;145.31M;0.60%
Jun 17, 2009;773.99;788.73;788.73;768.20;247.75M;-1.93%
Jun 18, 2009;778.09;773.99;780.40;767.83;149.33M;0.53%
Jun 22, 2009;754.52;778.09;780.41;752.30;153.27M;-3.03%
Jun 23, 2009;753.94;754.03;761.82;749.07;151.38M;-0.08%
Jun 24, 2009;783.48;754.67;783.48;754.54;133.51M;3.92%
Jun 25, 2009;779.12;783.11;784.64;769.52;110.37M;-0.56%
Jun 26, 2009;786.82;779.60;792.07;779.36;106.04M;0.99%
Jun 29, 2009;804.33;785.85;806.44;784.96;94.43M;2.23%
Jun 30, 2009;795.80;804.81;805.64;793.05;133.84M;-1.06%
Jul 01, 2009;813.70;795.92;814.73;795.80;121.00M;2.25%
Jul 02, 2009;792.45;812.86;812.98;791.03;116.11M;-2.61%
Jul 03, 2009;790.45;792.09;796.91;788.15;59.54M;-0.25%
Jul 06, 2009;783.34;790.21;790.45;774.82;76.72M;-0.90%
Jul 07, 2009;784.56;783.94;793.40;782.15;81.21M;0.16%
Jul 08, 2009;777.48;783.84;786.07;777.00;98.72M;-0.90%
Jul 09, 2009;777.98;778.56;787.84;774.74;81.33M;0.06%
