"","OMX Stockholm 30 (OMXS30)_history.csv Date","OMX Stockholm 30 (OMXS30)_history.csv Price","OMX Stockholm 30 (OMXS30)_history.csv Open","OMX Stockholm 30 (OMXS30)_history.csv High","OMX Stockholm 30 (OMXS30)_history.csv Low","OMX Stockholm 30 (OMXS30)_history.csv Volume"
"1",2009-01-02,693.78,662.33,695.72,662.33,"82140000"
"2",2009-01-05,693.76,693.78,704.23,690.62,"52070000"
"3",2009-01-07,701.41,693.76,704.49,693.76,"157100000"
"4",2009-01-08,695.95,701.41,701.41,684.58,"140720000"
"5",2009-01-09,685.83,695.95,695.95,683.41,"126050000"
"6",2009-01-12,667.97,685.83,685.83,666.47,"112060000"
"7",2009-01-13,656.62,667.97,667.97,649.05,"160420000"
"8",2009-01-14,622.59,656.62,662.14,619.7,"204710000"
"9",2009-01-15,620.32,622.59,633.88,612.15,"191450000"
"10",2009-01-16,628.69,620.32,636.75,620.32,"137790000"
"11",2009-01-19,621.8,628.69,638.57,614.33,"151380000"
"12",2009-01-20,597.76,621.8,627.38,595.19,"198240000"
"13",2009-01-21,615.11,597.76,620.14,591.62,"288030000"
"14",2009-01-22,608.73,615.11,627.88,606.39,"189450000"
"15",2009-01-23,604.12,608.73,610.37,591.65,"173790000"
"16",2009-01-26,623.25,604.12,625.02,600.38,"169910000"
"17",2009-01-27,624.05,623.25,624.56,610.81,"179330000"
"18",2009-01-28,639.29,624.05,643.23,624.05,"193610000"
"19",2009-01-29,616.1,639.29,639.29,614.54,"165530000"
"20",2009-01-30,617.38,616.1,627.37,613.39,"179430000"
"21",2009-02-02,602.08,617.5,617.5,595.62,"152120000"
"22",2009-02-03,622.74,602.08,623.64,597.7,"193610000"
"23",2009-02-04,644.71,622.49,649.28,620.67,"243030000"
"24",2009-02-05,643.2,642.71,644,627.68,"207510000"
"25",2009-02-06,670.54,642.7,673.65,642.45,"239750000"
"26",2009-02-09,688.42,670.28,690.51,663.79,"229060000"
"27",2009-02-10,676.48,686.54,687.13,672.78,"200040000"
"28",2009-02-11,676.35,675.35,684.23,665.34,"167020000"
"29",2009-02-12,672.86,675.6,676.06,657.99,"198880000"
"30",2009-02-13,677.7,673.49,685.48,673.36,"189020000"
"31",2009-02-16,681.61,676.82,686.66,671.87,"124510000"
"32",2009-02-17,647.84,680.36,680.73,645.36,"196850000"
"33",2009-02-18,653.24,648.59,655.74,636.07,"215760000"
"34",2009-02-19,662.45,653.5,663.79,646.11,"182280000"
"35",2009-02-20,636.14,661.07,661.19,635.93,"194200000"
"36",2009-02-23,619.13,619.13,646.82,617.8,"-"
"37",2009-02-24,617.95,616.62,629.11,608.57,"204320000"
"38",2009-02-25,617.4,619.58,633.7,615.88,"160500000"
"39",2009-02-26,643.94,618.78,646.4,618.53,"177950000"
"40",2009-02-27,640.39,642.93,643.06,629.7,"185340000"
"41",2009-03-02,619.27,638.38,638.63,615.37,"149350000"
"42",2009-03-03,604.31,618.77,623.51,602.66,"166110000"
"43",2009-03-04,630.23,604.81,630.23,604.68,"194670000"
"44",2009-03-05,608.98,629.73,629.98,605.4,"180620000"
"45",2009-03-06,607.45,608.98,617.34,602.68,"184280000"
"46",2009-03-09,615.55,606.57,615.77,593.28,"180160000"
"47",2009-03-10,650.61,613.94,651.39,609.17,"208830000"
"48",2009-03-11,666.58,649.86,671.13,642.64,"262870000"
"49",2009-03-12,667.65,665.84,669.81,649.31,"201970000"
"50",2009-03-13,659.31,669.02,685.33,652.58,"216590000"
"51",2009-03-16,675.89,660.52,675.89,660.16,"167520000"
"52",2009-03-17,664.05,675.28,675.47,661.76,"180080000"
"53",2009-03-18,662.76,664.9,675.57,655.66,"187970000"
"54",2009-03-19,679.58,663.61,689.96,658.99,"283970000"
"55",2009-03-20,661.59,660.45,675.07,657.18,"315040000"
"56",2009-03-23,667.98,661.47,670.5,652.43,"225060000"
"57",2009-03-24,654.12,667.13,678.4,652.19,"234170000"
"58",2009-03-25,665.76,654,672.04,646.16,"202060000"
"59",2009-03-26,667.03,665.76,667.03,655.83,"175650000"
"60",2009-03-27,655.59,666.3,668.93,653.18,"171140000"
"61",2009-03-30,633.09,653.88,654,629.69,"149090000"
"62",2009-03-31,653.05,633.82,653.45,633.82,"196950000"
"63",2009-04-01,679.51,652.19,679.73,641.02,"243620000"
"64",2009-04-02,713.8,679.88,716.58,678.58,"261860000"
"65",2009-04-03,711.16,712.95,726.98,700.82,"261930000"
"66",2009-04-06,709.57,710.67,727.87,704.12,"197110000"
"67",2009-04-07,702.18,710.54,714.03,695.7,"163270000"
"68",2009-04-08,707.32,701.45,709.16,689.78,"175730000"
"69",2009-04-09,717.66,707.8,718.13,707.68,"67140000"
"70",2009-04-14,744.16,717.29,751.74,717.17,"222950000"
"71",2009-04-15,729.63,742.58,743.19,725.98,"162180000"
"72",2009-04-16,745.55,729.63,748.61,726.82,"184890000"
"73",2009-04-17,767.75,747.13,771.44,747.01,"234580000"
"74",2009-04-20,731.1,767.38,770.99,727.71,"242650000"
