"","PSI 20 (PSI20)_history.csv Date","PSI 20 (PSI20)_history.csv Price","PSI 20 (PSI20)_history.csv Open","PSI 20 (PSI20)_history.csv High","PSI 20 (PSI20)_history.csv Low","PSI 20 (PSI20)_history.csv Volume"
"1",2010-05-25,6632.32,6606.32,6678.08,6566.04,"67630000"
"2",2010-05-26,6844.11,6753.13,6897.23,6738.25,"115830000"
"3",2010-05-27,7088.77,6876.34,7095.95,6860.04,"88880000"
"4",2010-05-28,7068.08,7118.52,7151.21,7032.59,"69760000"
"5",2010-05-31,7072.01,7035.68,7093.34,7035.68,"22220000"
"6",2010-06-01,7101.05,7047.63,7116.47,6972.59,"62190000"
"7",2010-06-02,7055.02,7142.98,7168.33,7008.84,"77390000"
"8",2010-06-03,7131.02,7137.94,7174.81,7112.84,"47310000"
"9",2010-06-04,6974.43,7140.95,7172.16,6968,"65790000"
"10",2010-06-07,6947.15,6894.6,7020.13,6827.86,"53340000"
"11",2010-06-08,6868.59,6996.49,7002.82,6816.15,"80200000"
"12",2010-06-09,6905.11,6906.98,6932.08,6834.42,"56270000"
"13",2010-06-10,7088.79,6856.65,7088.79,6841.69,"66810000"
"14",2010-06-11,7145.1,7088.66,7185.89,7070.27,"79590000"
"15",2010-06-14,7192.28,7193.42,7199.94,7123.13,"41110000"
"16",2010-06-15,7204.13,7105.38,7230.43,7100.39,"47980000"
"17",2010-06-16,7252.88,7251.61,7263.76,7210.6,"55380000"
"18",2010-06-17,7232.49,7251.13,7300.69,7210.57,"40090000"
"19",2010-06-18,7411.32,7248.72,7411.32,7248.72,"79450000"
"20",2010-06-21,7487.74,7471.31,7503.7,7455.19,"62550000"
"21",2010-06-22,7459.04,7431.66,7488.51,7383.18,"42500000"
"22",2010-06-23,7390.9,7409.51,7477.93,7348.93,"57170000"
"23",2010-06-24,7223.92,7420.39,7420.39,7186.51,"64060000"
"24",2010-06-25,7219.1,7231.98,7276.64,7162.42,"44490000"
"25",2010-06-28,7214.37,7230.06,7259.98,7162.08,"37950000"
"26",2010-06-29,7021.53,7136.46,7144.29,7007.22,"154290000"
"27",2010-06-30,7065.65,7106.63,7202.42,6983.28,"91640000"
"28",2010-07-01,7019.28,6988.6,7074.99,6964.16,"70900000"
"29",2010-07-02,7075.73,7063.94,7137.67,7020.88,"38260000"
"30",2010-07-05,7106.22,7130.81,7141.81,7080.26,"28470000"
"31",2010-07-06,7259.48,7125.59,7265.22,7125.59,"49640000"
"32",2010-07-07,7376.27,7201.64,7393.2,7193.84,"82440000"
"33",2010-07-08,7442.64,7412.63,7462.47,7386.41,"87430000"
"34",2010-07-09,7317.93,7466.05,7480.23,7304.16,"76820000"
"35",2010-07-12,7305.09,7292.87,7321.71,7254.68,"51640000"
"36",2010-07-13,7312.59,7296.16,7354.4,7264.34,"49240000"
"37",2010-07-14,7262.18,7355.05,7365.46,7235.33,"51260000"
"38",2010-07-15,7266.64,7228.05,7326.36,7220.44,"57160000"
"39",2010-07-16,7137.11,7297.66,7300.01,7127.43,"42460000"
"40",2010-07-19,7111.7,7064.11,7182.01,7023.32,"41560000"
"41",2010-07-20,7146.41,7160.93,7200.81,7077.39,"39700000"
"42",2010-07-21,7127.29,7199.7,7204.74,7112.82,"34960000"
"43",2010-07-22,7289.09,7097.4,7289.09,7095.7,"54790000"
"44",2010-07-23,7252.7,7266.7,7308.12,7224.94,"39550000"
"45",2010-07-26,7291.84,7333.8,7333.8,7258.06,"48960000"
"46",2010-07-27,7381.56,7310.27,7405.21,7309.93,"94580000"
"47",2010-07-28,7455.77,7409.69,7510.77,7408.93,"95440000"
"48",2010-07-29,7407.56,7429.79,7462.54,7398.3,"86260000"
"49",2010-07-30,7371.79,7418.99,7435.74,7338.29,"50250000"
"50",2010-08-02,7512.6,7406.7,7512.6,7392.41,"38140000"
"51",2010-08-03,7531.06,7499.78,7556.28,7484.77,"54940000"
"52",2010-08-04,7569.03,7518.76,7577.2,7510.87,"45500000"
"53",2010-08-05,7544.55,7574.56,7614.19,7529.88,"51170000"
"54",2010-08-06,7415.36,7554.44,7580.97,7412.14,"46550000"
"55",2010-08-09,7509.04,7488.2,7516.99,7478.5,"27670000"
"56",2010-08-10,7464.33,7502.05,7504.77,7437.43,"26740000"
"57",2010-08-11,7297.59,7427.22,7430.66,7288.05,"47190000"
"58",2010-08-12,7299.3,7303.2,7355.42,7245.29,"49360000"
"59",2010-08-13,7300.08,7343.53,7355.26,7257.17,"39980000"
"60",2010-08-16,7325.5,7298.78,7331.13,7262.59,"37200000"
"61",2010-08-17,7458.43,7344.32,7458.43,7333.22,"40230000"
"62",2010-08-18,7426.93,7416.03,7445.38,7386.12,"27870000"
"63",2010-08-19,7366.95,7443.47,7494.26,7366.95,"51470000"
"64",2010-08-20,7370.53,7382.78,7405.13,7339.23,"54100000"
"65",2010-08-23,7375.72,7378.68,7411.05,7355.95,"30710000"
"66",2010-08-24,7321.51,7342.57,7352.27,7297.03,"47370000"
"67",2010-08-25,7256.69,7310.92,7372.55,7226.17,"66830000"
"68",2010-08-26,7321.09,7307.56,7332.16,7279.3,"48060000"
"69",2010-08-27,7366.15,7313.48,7366.73,7291.99,"57720000"
"70",2010-08-30,7388.98,7391.89,7408,7367.79,"22600000"
"71",2010-08-31,7394.15,7311.94,7394.15,7300.22,"49750000"
"72",2010-09-01,7461.56,7403.23,7467.73,7358.6,"59800000"
"73",2010-09-02,7425.49,7457.59,7501.71,7418.14,"53220000"
"74",2010-09-03,7405.74,7430.85,7466.7,7402.95,"35850000"
"75",2010-09-06,7461.97,7433.71,7463.52,7433.54,"25630000"
"76",2010-09-07,7420.74,7456.1,7464.08,7397.95,"40950000"
