"","RTSI (IRTS)_history.csv Date","RTSI (IRTS)_history.csv Price","RTSI (IRTS)_history.csv Open","RTSI (IRTS)_history.csv High","RTSI (IRTS)_history.csv Low","RTSI (IRTS)_history.csv Volume"
"1",2009-01-11,626.85,631.99,641.87,626.47,
"2",2009-01-12,629.49,626.85,629.96,620.89,
"3",2009-01-13,621,628.2,628.2,610.77,
"4",2009-01-14,591.34,621,625,591.34,
"5",2009-01-15,569.12,587.61,587.61,564.28,
"6",2009-01-16,566.77,569.18,572.93,565.46,
"7",2009-01-19,531.66,566.26,566.26,531.66,
"8",2009-01-20,514.29,531.66,531.66,509.27,
"9",2009-01-21,530.09,514.1,530.09,506.64,
"10",2009-01-22,515.51,530.09,535.9,515.26,
"11",2009-01-23,498.2,515.42,515.5,492.59,
"12",2009-01-26,539.38,498.2,539.65,498.2,
"13",2009-01-27,547.04,539.38,554.83,539.11,
"14",2009-01-28,546.39,547.04,548.65,539.85,
"15",2009-01-29,530.7,546.39,546.49,529.33,
"16",2009-01-30,535.04,530.7,535.85,525.82,
"17",2009-02-02,508.25,535.04,535.04,505.64,
"18",2009-02-03,512.34,508.15,517.25,508.15,
"19",2009-02-04,514.89,512.22,519.45,512.22,
"20",2009-02-05,513.12,514.9,522.23,513.12,
"21",2009-02-06,520.91,513.12,521.24,513.12,
"22",2009-02-09,569.14,520.91,569.14,520.91,
"23",2009-02-10,602.86,569.47,602.9,565.93,
"24",2009-02-11,620.58,602.63,620.7,586.83,
"25",2009-02-12,611.45,620.33,627.66,611.44,
"26",2009-02-13,624.21,611.45,629.94,611.45,
"27",2009-02-16,609.31,624.3,629.94,607.49,
"28",2009-02-17,552.03,609.31,609.31,551.7,
"29",2009-02-18,524.26,552.03,552.03,511.44,
"30",2009-02-19,549.21,524.26,549.21,524.26,
"31",2009-02-20,517.22,549.21,549.21,515.67,
"32",2009-02-24,524.69,517.08,524.69,512.83,
"33",2009-02-25,538.11,524.71,538.11,524.71,
"34",2009-02-26,547.55,538.11,547.8,537.94,
"35",2009-02-27,544.58,547.36,555.97,544.58,
"36",2009-03-02,539.37,544.58,544.58,537,
"37",2009-03-03,540.74,539.37,541.23,533.52,
"38",2009-03-04,562.87,540.74,562.87,540.74,
"39",2009-03-05,559.09,562.87,568.93,556.69,
"40",2009-03-06,576.39,559.09,576.39,558.52,
"41",2009-03-10,634.92,576.39,635.23,576.39,
"42",2009-03-11,627.6,634.92,635.04,626.84,
"43",2009-03-12,618.93,627.6,627.6,607.07,
"44",2009-03-13,652.53,618.93,658.27,618.93,
"45",2009-03-16,647.55,652.35,652.35,638.84,
"46",2009-03-17,665.58,649.18,667.38,649.18,
"47",2009-03-18,650.62,665.58,677.62,648.77,
"48",2009-03-19,694.69,650.64,699.41,650.64,
"49",2009-03-20,696.93,694.69,706.53,693.46,
"50",2009-03-23,737.19,696.93,737.19,696.93,
"51",2009-03-24,721.64,737.86,750.02,721.42,
"52",2009-03-25,740.94,722.44,741.04,712.53,
"53",2009-03-26,752.63,740.97,754.84,740.97,
"54",2009-03-27,721.16,752.63,760.15,720.01,
"55",2009-03-30,682.91,721.08,721.08,682.45,
"56",2009-03-31,689.63,683.01,698.17,682.67,
"57",2009-04-01,685.51,689.63,691.11,674.81,
"58",2009-04-02,733.93,685.85,733.93,685.85,
"59",2009-04-03,746.03,733.93,750.85,733.93,
"60",2009-04-06,748.62,746.77,779.14,746.77,
"61",2009-04-07,740.47,748.62,758.03,733.6,
"62",2009-04-08,760.58,740.43,760.72,730.27,
"63",2009-04-09,810.9,761.21,810.9,761.21,
"64",2009-04-10,817.41,811.09,817.96,805.44,
"65",2009-04-13,814.67,817.23,820,814.67,
"66",2009-04-14,807.61,814.75,834.65,807.61,
"67",2009-04-15,805.85,807.46,814.91,802.72,
"68",2009-04-16,819.57,807.31,822.09,807.31,
"69",2009-04-17,834.59,819.57,835.17,819.57,
"70",2009-04-20,800.22,834.58,834.58,800.22,
"71",2009-04-21,775.24,796.01,796.01,772.14,
"72",2009-04-22,785.13,775.43,794,775.43,
"73",2009-04-23,820.7,785.13,822.34,785.13,
"74",2009-04-24,831.41,820.7,831.41,819.29,
"75",2009-04-27,803.17,831.37,831.37,802.5,
"76",2009-04-28,784.01,803.17,803.17,780.32,
"77",2009-04-29,814.78,784.01,814.78,784.01,
"78",2009-04-30,832.87,814.94,846.55,814.94,
"79",2009-05-04,855.67,833.22,855.67,833.22,
"80",2009-05-05,871.58,856.1,873.81,856.1,
"81",2009-05-06,897.1,871.58,897.12,865.47,
"82",2009-05-07,942.31,897.6,942.48,897.6,
"83",2009-05-08,938.27,942.31,942.31,932.8,
"84",2009-05-12,979.82,938.21,982.75,936.85,
"85",2009-05-13,947.53,979.83,1002.34,947.53,
"86",2009-05-14,932.11,947.56,947.56,926.83,
"87",2009-05-15,936.27,932.66,950.19,929.13,
"88",2009-05-18,939.65,936.27,939.65,917.54,
"89",2009-05-19,968.88,939.92,981.63,939.92,
"90",2009-05-20,1023.98,971.33,1023.98,971.33,
"91",2009-05-21,1001.36,1023.98,1025.67,1000.54,
"92",2009-05-22,1013.37,1001.36,1021.63,1001.36,
"93",2009-05-25,1017.92,1014.19,1025.51,1012.93,
"94",2009-05-26,990.26,1017.95,1018.06,984.6,
"95",2009-05-27,1030.79,990.75,1030.79,990.75,
"96",2009-05-28,1053.73,1030.52,1053.73,1020.37,
"97",2009-05-29,1087.59,1053.97,1090.27,1053.97,
"98",2009-06-01,1167.42,1088.51,1167.42,1088.51,
"99",2009-06-02,1180.56,1167.42,1202.64,1162.12,
"100",2009-06-03,1127.57,1180.56,1192.66,1127.57,
"101",2009-06-04,1108.73,1125.45,1139.62,1099.53,
"102",2009-06-05,1149.95,1108.73,1161.83,1108.73,
"103",2009-06-08,1096.68,1149.95,1149.95,1096.58,
"104",2009-06-09,1105.3,1096.77,1118.47,1096.77,
"105",2009-06-10,1121.79,1106.51,1134.58,1106.51,
"106",2009-06-11,1127.23,1121.87,1135.71,1113.28,
"107",2009-06-15,1077.17,1127.23,1127.23,1077.17,
"108",2009-06-16,1082.19,1077.17,1085.37,1063.43,
"109",2009-06-17,1038.41,1082.19,1082.19,1037.4,
"110",2009-06-18,997.68,1038.41,1041.68,991.15,
"111",2009-06-19,1011.38,998.25,1013.01,998.25,
"112",2009-06-22,961.04,1011.41,1011.41,961.04,
"113",2009-06-23,932.74,957.12,957.12,896.48,
"114",2009-06-24,959.18,932.74,959.26,932.74,
"115",2009-06-25,947.52,959.21,967.59,944.95,
"116",2009-06-26,955.45,947.34,967.36,947.34,
"117",2009-06-29,951.46,955.26,955.74,937.61,
"118",2009-06-30,987.02,951.47,987.02,951.47,
"119",2009-07-01,977.94,967.44,977.99,962.22,
"120",2009-07-02,960.46,978.04,979.82,960.46,
"121",2009-07-03,950.24,960.62,962.92,945.77,
"122",2009-07-06,921.44,950.29,950.29,921.43,
"123",2009-07-07,924.11,921.44,929.52,917.69,
"124",2009-07-08,889.77,922.67,922.67,885.82,
"125",2009-07-09,884.94,889.77,892.12,884.94,
"126",2009-07-10,835.23,884.94,884.94,834.14,
"127",2009-07-13,835.61,835.01,842.57,818.87,
"128",2009-07-14,866.55,836.61,869.96,836.61,
"129",2009-07-15,887.85,866.42,887.85,866.42,
"130",2009-07-16,903.23,887.9,903.23,887.9,
"131",2009-07-17,925,903.24,928.42,902.8,
"132",2009-07-20,972.31,925,974.2,925,
"133",2009-07-21,987.69,972.31,992.15,965.38,
"134",2009-07-22,963.06,987.69,988.03,962.39,
