Date	Price	Open	High	Low	Vol.	Change %
Jan 11, 2009	626.85	631.99	641.87	626.47	-	-0.80%
Jan 12, 2009	629.49	626.85	629.96	620.89	-	0.42%
Jan 13, 2009	621.00	628.20	628.20	610.77	-	-1.35%
Jan 14, 2009	591.34	621.00	625.00	591.34	-	-4.78%
Jan 15, 2009	569.12	587.61	587.61	564.28	-	-3.76%
Jan 16, 2009	566.77	569.18	572.93	565.46	-	-0.41%
Jan 19, 2009	531.66	566.26	566.26	531.66	-	-6.19%
Jan 20, 2009	514.29	531.66	531.66	509.27	-	-3.27%
Jan 21, 2009	530.09	514.10	530.09	506.64	-	3.07%
Jan 22, 2009	515.51	530.09	535.90	515.26	-	-2.75%
Jan 23, 2009	498.20	515.42	515.50	492.59	-	-3.36%
Jan 26, 2009	539.38	498.20	539.65	498.20	-	8.27%
Jan 27, 2009	547.04	539.38	554.83	539.11	-	1.42%
Jan 28, 2009	546.39	547.04	548.65	539.85	-	-0.12%
Jan 29, 2009	530.70	546.39	546.49	529.33	-	-2.87%
Jan 30, 2009	535.04	530.70	535.85	525.82	-	0.82%
Feb 02, 2009	508.25	535.04	535.04	505.64	-	-5.01%
Feb 03, 2009	512.34	508.15	517.25	508.15	-	0.80%
Feb 04, 2009	514.89	512.22	519.45	512.22	-	0.50%
Feb 05, 2009	513.12	514.90	522.23	513.12	-	-0.34%
Feb 06, 2009	520.91	513.12	521.24	513.12	-	1.52%
Feb 09, 2009	569.14	520.91	569.14	520.91	-	9.26%
Feb 10, 2009	602.86	569.47	602.90	565.93	-	5.92%
Feb 11, 2009	620.58	602.63	620.70	586.83	-	2.94%
Feb 12, 2009	611.45	620.33	627.66	611.44	-	-1.47%
Feb 13, 2009	624.21	611.45	629.94	611.45	-	2.09%
Feb 16, 2009	609.31	624.30	629.94	607.49	-	-2.39%
Feb 17, 2009	552.03	609.31	609.31	551.70	-	-9.40%
Feb 18, 2009	524.26	552.03	552.03	511.44	-	-5.03%
Feb 19, 2009	549.21	524.26	549.21	524.26	-	4.76%
Feb 20, 2009	517.22	549.21	549.21	515.67	-	-5.82%
Feb 24, 2009	524.69	517.08	524.69	512.83	-	1.44%
Feb 25, 2009	538.11	524.71	538.11	524.71	-	2.56%
Feb 26, 2009	547.55	538.11	547.80	537.94	-	1.75%
Feb 27, 2009	544.58	547.36	555.97	544.58	-	-0.54%
Mar 02, 2009	539.37	544.58	544.58	537.00	-	-0.96%
Mar 03, 2009	540.74	539.37	541.23	533.52	-	0.25%
Mar 04, 2009	562.87	540.74	562.87	540.74	-	4.09%
Mar 05, 2009	559.09	562.87	568.93	556.69	-	-0.67%
Mar 06, 2009	576.39	559.09	576.39	558.52	-	3.09%
Mar 10, 2009	634.92	576.39	635.23	576.39	-	10.15%
Mar 11, 2009	627.60	634.92	635.04	626.84	-	-1.15%
Mar 12, 2009	618.93	627.60	627.60	607.07	-	-1.38%
Mar 13, 2009	652.53	618.93	658.27	618.93	-	5.43%
Mar 16, 2009	647.55	652.35	652.35	638.84	-	-0.76%
Mar 17, 2009	665.58	649.18	667.38	649.18	-	2.78%
Mar 18, 2009	650.62	665.58	677.62	648.77	-	-2.25%
Mar 19, 2009	694.69	650.64	699.41	650.64	-	6.77%
Mar 20, 2009	696.93	694.69	706.53	693.46	-	0.32%
Mar 23, 2009	737.19	696.93	737.19	696.93	-	5.78%
Mar 24, 2009	721.64	737.86	750.02	721.42	-	-2.11%
Mar 25, 2009	740.94	722.44	741.04	712.53	-	2.67%
Mar 26, 2009	752.63	740.97	754.84	740.97	-	1.58%
Mar 27, 2009	721.16	752.63	760.15	720.01	-	-4.18%
Mar 30, 2009	682.91	721.08	721.08	682.45	-	-5.30%
Mar 31, 2009	689.63	683.01	698.17	682.67	-	0.98%
Apr 01, 2009	685.51	689.63	691.11	674.81	-	-0.60%
Apr 02, 2009	733.93	685.85	733.93	685.85	-	7.06%
Apr 03, 2009	746.03	733.93	750.85	733.93	-	1.65%
Apr 06, 2009	748.62	746.77	779.14	746.77	-	0.35%
Apr 07, 2009	740.47	748.62	758.03	733.60	-	-1.09%
Apr 08, 2009	760.58	740.43	760.72	730.27	-	2.72%
Apr 09, 2009	810.90	761.21	810.90	761.21	-	6.62%
Apr 10, 2009	817.41	811.09	817.96	805.44	-	0.80%
Apr 13, 2009	814.67	817.23	820.00	814.67	-	-0.34%
Apr 14, 2009	807.61	814.75	834.65	807.61	-	-0.87%
Apr 15, 2009	805.85	807.46	814.91	802.72	-	-0.22%
Apr 16, 2009	819.57	807.31	822.09	807.31	-	1.70%
Apr 17, 2009	834.59	819.57	835.17	819.57	-	1.83%
Apr 20, 2009	800.22	834.58	834.58	800.22	-	-4.12%
Apr 21, 2009	775.24	796.01	796.01	772.14	-	-3.12%
Apr 22, 2009	785.13	775.43	794.00	775.43	-	1.28%
Apr 23, 2009	820.70	785.13	822.34	785.13	-	4.53%
Apr 24, 2009	831.41	820.70	831.41	819.29	-	1.30%
Apr 27, 2009	803.17	831.37	831.37	802.50	-	-3.40%
Apr 28, 2009	784.01	803.17	803.17	780.32	-	-2.39%
Apr 29, 2009	814.78	784.01	814.78	784.01	-	3.92%
Apr 30, 2009	832.87	814.94	846.55	814.94	-	2.22%
May 04, 2009	855.67	833.22	855.67	833.22	-	2.74%
May 05, 2009	871.58	856.10	873.81	856.10	-	1.86%
May 06, 2009	897.10	871.58	897.12	865.47	-	2.93%
May 07, 2009	942.31	897.60	942.48	897.60	-	5.04%
May 08, 2009	938.27	942.31	942.31	932.80	-	-0.43%
May 12, 2009	979.82	938.21	982.75	936.85	-	4.43%
May 13, 2009	947.53	979.83	1,002.34	947.53	-	-3.30%
May 14, 2009	932.11	947.56	947.56	926.83	-	-1.63%
May 15, 2009	936.27	932.66	950.19	929.13	-	0.45%
May 18, 2009	939.65	936.27	939.65	917.54	-	0.36%
May 19, 2009	968.88	939.92	981.63	939.92	-	3.11%
May 20, 2009	1,023.98	971.33	1,023.98	971.33	-	5.69%
May 21, 2009	1,001.36	1,023.98	1,025.67	1,000.54	-	-2.21%
May 22, 2009	1,013.37	1,001.36	1,021.63	1,001.36	-	1.20%
May 25, 2009	1,017.92	1,014.19	1,025.51	1,012.93	-	0.45%
May 26, 2009	990.26	1,017.95	1,018.06	984.60	-	-2.72%
May 27, 2009	1,030.79	990.75	1,030.79	990.75	-	4.09%
May 28, 2009	1,053.73	1,030.52	1,053.73	1,020.37	-	2.23%
May 29, 2009	1,087.59	1,053.97	1,090.27	1,053.97	-	3.21%
Jun 01, 2009	1,167.42	1,088.51	1,167.42	1,088.51	-	7.34%
Jun 02, 2009	1,180.56	1,167.42	1,202.64	1,162.12	-	1.13%
Jun 03, 2009	1,127.57	1,180.56	1,192.66	1,127.57	-	-4.49%
Jun 04, 2009	1,108.73	1,125.45	1,139.62	1,099.53	-	-1.67%
Jun 05, 2009	1,149.95	1,108.73	1,161.83	1,108.73	-	3.72%
Jun 08, 2009	1,096.68	1,149.95	1,149.95	1,096.58	-	-4.63%
Jun 09, 2009	1,105.30	1,096.77	1,118.47	1,096.77	-	0.79%
Jun 10, 2009	1,121.79	1,106.51	1,134.58	1,106.51	-	1.49%
Jun 11, 2009	1,127.23	1,121.87	1,135.71	1,113.28	-	0.48%
Jun 15, 2009	1,077.17	1,127.23	1,127.23	1,077.17	-	-4.44%
Jun 16, 2009	1,082.19	1,077.17	1,085.37	1,063.43	-	0.47%
Jun 17, 2009	1,038.41	1,082.19	1,082.19	1,037.40	-	-4.05%
Jun 18, 2009	997.68	1,038.41	1,041.68	991.15	-	-3.92%
Jun 19, 2009	1,011.38	998.25	1,013.01	998.25	-	1.37%
Jun 22, 2009	961.04	1,011.41	1,011.41	961.04	-	-4.98%
Jun 23, 2009	932.74	957.12	957.12	896.48	-	-2.94%
Jun 24, 2009	959.18	932.74	959.26	932.74	-	2.83%
Jun 25, 2009	947.52	959.21	967.59	944.95	-	-1.22%
Jun 26, 2009	955.45	947.34	967.36	947.34	-	0.84%
Jun 29, 2009	951.46	955.26	955.74	937.61	-	-0.42%
Jun 30, 2009	987.02	951.47	987.02	951.47	-	3.74%
Jul 01, 2009	977.94	967.44	977.99	962.22	-	-0.92%
Jul 02, 2009	960.46	978.04	979.82	960.46	-	-1.79%
Jul 03, 2009	950.24	960.62	962.92	945.77	-	-1.06%
Jul 06, 2009	921.44	950.29	950.29	921.43	-	-3.03%
Jul 07, 2009	924.11	921.44	929.52	917.69	-	0.29%
Jul 08, 2009	889.77	922.67	922.67	885.82	-	-3.72%
Jul 09, 2009	884.94	889.77	892.12	884.94	-	-0.54%
Jul 10, 2009	835.23	884.94	884.94	834.14	-	-5.62%
Jul 13, 2009	835.61	835.01	842.57	818.87	-	0.05%
Jul 14, 2009	866.55	836.61	869.96	836.61	-	3.70%
Jul 15, 2009	887.85	866.42	887.85	866.42	-	2.46%
Jul 16, 2009	903.23	887.90	903.23	887.90	-	1.73%
Jul 17, 2009	925.00	903.24	928.42	902.80	-	2.41%
Jul 20, 2009	972.31	925.00	974.20	925.00	-	5.11%
Jul 21, 2009	987.69	972.31	992.15	965.38	-	1.58%
Jul 22, 2009	963.06	987.69	988.03	962.39	-	-2.49%
Jul 23, 2009	975.96	963.58	977.58	963.58	-	1.34%
Jul 24, 2009	1,012.62	976.40	1,012.62	976.40	-	3.76%
Jul 27, 2009	1,037.61	1,012.77	1,043.34	1,012.77	-	2.47%
Jul 28, 2009	1,001.80	1,037.61	1,040.02	1,000.55	-	-3.45%
Jul 29, 2009	973.78	1,001.20	1,001.20	971.45	-	-2.80%
Jul 30, 2009	1,001.30	973.45	1,001.30	973.45	-	2.83%
Jul 31, 2009	1,017.47	1,002.11	1,021.75	1,002.11	-	1.61%
Aug 03, 2009	1,067.98	1,017.80	1,070.49	1,017.80	-	4.96%
Aug 04, 2009	1,074.49	1,067.98	1,074.58	1,065.70	-	0.61%
Aug 05, 2009	1,094.26	1,074.49	1,103.96	1,074.49	-	1.84%
Aug 06, 2009	1,083.79	1,093.86	1,098.57	1,080.50	-	-0.96%
Aug 07, 2009	1,080.08	1,083.79	1,083.79	1,047.64	-	-0.34%
Aug 10, 2009	1,065.14	1,080.08	1,080.08	1,064.39	-	-1.38%
Aug 11, 2009	1,033.72	1,065.21	1,073.36	1,033.32	-	-2.95%
Aug 12, 2009	1,025.12	1,033.72	1,033.72	996.30	-	-0.83%
Aug 13, 2009	1,054.57	1,025.03	1,068.42	1,025.03	-	2.87%
Aug 14, 2009	1,059.92	1,054.57	1,066.03	1,054.57	-	0.51%
Aug 17, 2009	1,005.77	1,058.08	1,058.14	1,004.75	-	-5.11%
Aug 18, 2009	1,001.52	1,005.77	1,020.95	1,001.50	-	-0.42%
Aug 19, 2009	993.57	1,002.22	1,002.57	992.46	-	-0.79%
Aug 20, 2009	1,018.50	987.41	1,021.36	987.41	-	2.51%
Aug 21, 2009	1,050.44	1,018.94	1,050.44	1,017.52	-	3.14%
Aug 24, 2009	1,094.00	1,050.71	1,096.25	1,050.71	-	4.15%
Aug 25, 2009	1,103.02	1,094.00	1,104.94	1,076.81	-	0.82%
Aug 26, 2009	1,072.05	1,103.02	1,103.02	1,072.05	-	-2.81%
Aug 27, 2009	1,070.49	1,072.05	1,078.18	1,068.85	-	-0.15%
Aug 28, 2009	1,089.46	1,070.49	1,092.66	1,070.49	-	1.77%
Aug 31, 2009	1,066.53	1,089.46	1,089.46	1,064.73	-	-2.10%
Sep 01, 2009	1,073.62	1,066.53	1,081.96	1,066.53	-	0.66%
Sep 02, 2009	1,053.17	1,073.62	1,073.62	1,052.98	-	-1.90%
Sep 03, 2009	1,074.05	1,053.17	1,076.47	1,053.17	-	1.98%
Sep 04, 2009	1,063.57	1,074.05	1,089.90	1,062.24	-	-0.98%
Sep 07, 2009	1,093.04	1,063.57	1,093.61	1,063.57	-	2.77%
Sep 08, 2009	1,135.94	1,093.04	1,135.94	1,093.04	-	3.92%
Sep 09, 2009	1,159.80	1,135.94	1,160.06	1,135.94	-	2.10%
Sep 10, 2009	1,163.76	1,159.80	1,175.24	1,159.32	-	0.34%
Sep 11, 2009	1,196.55	1,163.76	1,197.96	1,163.76	-	2.82%
Sep 14, 2009	1,194.21	1,196.55	1,199.24	1,173.01	-	-0.20%
Sep 15, 2009	1,224.33	1,194.21	1,226.48	1,193.82	-	2.52%
Sep 16, 2009	1,246.81	1,224.33	1,257.73	1,224.33	-	1.84%
Sep 17, 2009	1,231.41	1,246.91	1,262.02	1,229.81	-	-1.24%
Sep 18, 2009	1,245.56	1,231.41	1,247.24	1,223.38	-	1.15%
Sep 21, 2009	1,210.57	1,245.56	1,246.62	1,208.20	-	-2.81%
Sep 22, 2009	1,249.14	1,210.57	1,250.14	1,210.57	-	3.19%
Sep 23, 2009	1,254.31	1,249.14	1,269.90	1,249.14	-	0.41%
Sep 24, 2009	1,242.23	1,254.31	1,260.99	1,239.93	-	-0.96%
Sep 25, 2009	1,225.29	1,242.23	1,244.25	1,225.29	-	-1.36%
Sep 28, 2009	1,248.73	1,225.29	1,248.73	1,221.94	-	1.91%
Sep 29, 2009	1,260.56	1,248.73	1,265.93	1,248.73	-	0.95%
Sep 30, 2009	1,254.52	1,260.56	1,268.91	1,254.52	-	-0.48%
Oct 01, 2009	1,266.85	1,254.52	1,269.59	1,254.52	-	0.98%
Oct 02, 2009	1,224.80	1,266.85	1,266.85	1,210.95	-	-3.32%
Oct 05, 2009	1,227.19	1,224.80	1,230.54	1,224.80	-	0.20%
Oct 06, 2009	1,270.63	1,227.19	1,270.69	1,227.19	-	3.54%
Oct 07, 2009	1,287.37	1,270.63	1,297.80	1,270.63	-	1.32%
Oct 08, 2009	1,334.94	1,287.37	1,334.94	1,287.37	-	3.70%
Oct 09, 2009	1,372.11	1,334.94	1,373.47	1,334.94	-	2.78%
Oct 12, 2009	1,428.06	1,372.11	1,428.06	1,372.11	-	4.08%
Oct 13, 2009	1,400.02	1,428.06	1,436.06	1,399.54	-	-1.96%
Oct 14, 2009	1,441.24	1,400.02	1,451.18	1,400.02	-	2.94%
Oct 15, 2009	1,434.35	1,441.37	1,456.27	1,429.61	-	-0.48%
Oct 16, 2009	1,408.68	1,434.35	1,446.95	1,406.25	-	-1.79%
Oct 19, 2009	1,433.37	1,408.68	1,433.37	1,408.68	-	1.75%
Oct 20, 2009	1,446.14	1,433.37	1,457.22	1,433.37	-	0.89%
