"","S&P 500 (SPX)_history.csv Date","S&P 500 (SPX)_history.csv Price","S&P 500 (SPX)_history.csv Open","S&P 500 (SPX)_history.csv High","S&P 500 (SPX)_history.csv Low","S&P 500 (SPX)_history.csv Volume"
"1",2009-01-02,931.8,902.99,934.73,899.35,"-"
"2",2009-01-05,927.45,929.17,936.63,919.53,"-"
"3",2009-01-06,934.7,931.17,943.85,927.28,"-"
"4",2009-01-07,906.65,927.45,927.45,902.37,"-"
"5",2009-01-08,909.73,905.73,910,896.81,"-"
"6",2009-01-09,890.35,909.91,911.93,888.31,"-"
"7",2009-01-12,870.26,890.4,890.4,864.32,"-"
"8",2009-01-13,871.79,869.79,877.02,862.02,"-"
"9",2009-01-14,842.62,867.28,867.28,836.93,"-"
"10",2009-01-15,843.74,841.99,851.59,817.04,"-"
"11",2009-01-16,850.12,844.45,858.13,830.66,"-"
"12",2009-01-20,805.22,849.64,849.64,804.47,"-"
"13",2009-01-21,840.24,806.77,841.72,804.3,"-"
"14",2009-01-22,827.5,839.74,839.74,811.29,"-"
"15",2009-01-23,831.95,822.16,838.61,806.07,"-"
"16",2009-01-26,836.57,832.5,852.53,827.69,"-"
"17",2009-01-27,845.71,837.3,850.45,835.4,"-"
"18",2009-01-28,874.09,845.73,877.86,845.73,"-"
"19",2009-01-29,845.14,868.89,868.89,844.15,"-"
"20",2009-01-30,825.88,845.69,851.66,821.67,"-"
"21",2009-02-02,825.44,823.09,830.78,812.87,"-"
"22",2009-02-03,838.51,825.69,842.6,821.98,"-"
"23",2009-02-04,832.23,837.77,851.85,829.18,"-"
"24",2009-02-05,845.85,831.75,850.55,819.91,"-"
"25",2009-02-06,868.6,846.09,870.75,845.42,"-"
"26",2009-02-09,869.89,868.24,875.01,861.65,"-"
"27",2009-02-10,827.16,866.87,868.05,822.99,"-"
"28",2009-02-11,833.74,827.41,838.22,822.3,"-"
"29",2009-02-12,835.19,829.91,835.48,808.06,"-"
"30",2009-02-13,826.84,833.95,839.43,825.21,"-"
"31",2009-02-17,789.17,818.61,818.61,789.17,"-"
"32",2009-02-18,788.42,791.06,796.17,780.43,"-"
"33",2009-02-19,778.94,787.91,797.58,777.03,"-"
"34",2009-02-20,770.05,775.87,778.69,754.25,"-"
"35",2009-02-23,743.33,773.25,777.85,742.37,"-"
"36",2009-02-24,773.14,744.69,775.49,744.69,"-"
"37",2009-02-25,764.9,770.64,780.12,752.89,"-"
"38",2009-02-26,752.83,765.76,779.42,751.75,"-"
"39",2009-02-27,735.09,749.93,751.27,734.52,"-"
"40",2009-03-02,700.82,729.57,729.57,699.7,"-"
"41",2009-03-03,696.33,704.44,711.67,692.3,"-"
"42",2009-03-04,712.87,698.6,724.12,698.6,"-"
"43",2009-03-05,682.55,708.27,708.27,677.93,"-"
"44",2009-03-06,683.38,684.04,699.09,666.79,"-"
"45",2009-03-09,676.53,680.76,695.27,672.88,"-"
"46",2009-03-10,719.6,679.28,719.6,679.28,"-"
"47",2009-03-11,721.36,719.59,731.92,713.85,"-"
"48",2009-03-12,750.74,720.89,752.63,714.76,"-"
"49",2009-03-13,756.55,751.97,758.29,742.46,"-"
"50",2009-03-16,753.89,758.84,774.53,753.37,"-"
"51",2009-03-17,778.12,753.88,778.12,749.93,"-"
"52",2009-03-18,794.35,776.01,803.04,765.64,"-"
"53",2009-03-19,784.04,797.92,803.24,781.82,"-"
"54",2009-03-20,768.54,784.58,788.91,766.2,"-"
"55",2009-03-23,822.92,772.31,823.37,772.31,"-"
"56",2009-03-24,806.12,820.6,823.65,805.48,"-"
"57",2009-03-25,813.88,806.81,826.78,791.37,"-"
"58",2009-03-26,832.86,814.06,832.98,814.06,"-"
"59",2009-03-27,815.94,828.68,828.68,813.43,"-"
"60",2009-03-30,787.53,809.07,809.07,779.81,"-"
"61",2009-03-31,797.87,790.88,810.48,790.88,"-"
"62",2009-04-01,811.08,793.59,813.62,783.32,"-"
"63",2009-04-02,834.38,814.53,845.61,814.53,"-"
"64",2009-04-03,842.5,835.13,842.5,826.7,"-"
"65",2009-04-06,835.48,839.75,839.75,822.79,"-"
"66",2009-04-07,815.55,834.12,834.12,814.53,"-"
"67",2009-04-08,825.16,816.76,828.42,814.84,"-"
"68",2009-04-09,856.56,829.29,856.91,829.29,"-"
"69",2009-04-13,858.73,855.33,864.31,845.35,"-"
"70",2009-04-14,841.5,856.88,856.88,840.25,"-"
"71",2009-04-15,852.06,839.44,852.93,835.58,"-"
"72",2009-04-16,865.3,854.54,870.35,847.04,"-"
"73",2009-04-17,869.6,865.18,875.63,860.87,"-"
"74",2009-04-20,832.39,868.27,868.27,832.39,"-"
"75",2009-04-21,850.08,831.25,850.09,826.83,"-"
"76",2009-04-22,843.55,847.26,861.78,840.57,"-"
"77",2009-04-23,851.92,844.62,852.87,835.45,"-"
"78",2009-04-24,866.23,853.91,871.8,853.91,"-"
"79",2009-04-27,857.51,862.82,868.83,854.65,"-"
"80",2009-04-28,855.16,854.48,864.48,847.12,"-"
"81",2009-04-29,873.64,856.85,882.06,856.85,"-"
"82",2009-04-30,872.81,876.59,888.7,868.51,"-"
"83",2009-05-01,877.52,872.74,880.48,866.1,"-"
"84",2009-05-04,907.24,879.21,907.85,879.21,"-"
"85",2009-05-05,903.8,906.1,907.7,897.34,"-"
"86",2009-05-06,919.53,903.95,920.28,903.95,"-"
"87",2009-05-07,907.39,919.58,929.58,901.36,"-"
"88",2009-05-08,929.23,909.03,930.17,909.03,"-"
"89",2009-05-11,909.24,922.99,922.99,908.68,"-"
"90",2009-05-12,908.35,910.52,915.57,896.46,"-"
"91",2009-05-13,883.92,905.4,905.4,882.8,"-"
"92",2009-05-14,893.07,884.24,898.36,882.52,"-"
"93",2009-05-15,882.88,892.76,896.97,878.94,"-"
"94",2009-05-18,909.71,886.07,910,886.07,"-"
"95",2009-05-19,908.13,909.67,916.39,905.22,"-"
"96",2009-05-20,903.47,908.62,924.6,901.37,"-"
"97",2009-05-21,888.33,900.42,900.42,879.61,"-"
"98",2009-05-22,887,888.68,896.65,883.75,"-"
"99",2009-05-26,910.33,887,911.76,881.46,"-"
"100",2009-05-27,893.06,909.95,913.84,891.87,"-"
"101",2009-05-28,906.83,892.96,909.45,887.6,"-"
"102",2009-05-29,919.14,907.02,920.02,903.56,"-"
"103",2009-06-01,942.87,923.26,947.77,923.26,"-"
"104",2009-06-02,944.74,942.87,949.38,938.46,"-"
"105",2009-06-03,931.76,942.51,942.51,923.85,"-"
"106",2009-06-04,942.46,932.49,942.47,929.32,"-"
"107",2009-06-05,940.09,945.67,951.69,934.13,"-"
"108",2009-06-08,939.14,938.12,946.33,926.44,"-"
"109",2009-06-09,942.43,940.35,946.92,936.15,"-"
"110",2009-06-10,939.15,942.73,949.77,927.97,"-"
"111",2009-06-11,944.89,939.04,956.23,939.04,"-"
"112",2009-06-12,946.21,943.44,946.3,935.66,"-"
"113",2009-06-15,923.72,942.45,942.45,919.65,"-"
"114",2009-06-16,911.97,925.6,928,911.6,"-"
"115",2009-06-17,910.71,911.89,918.44,903.78,"-"
"116",2009-06-18,918.37,910.86,921.93,907.94,"-"
"117",2009-06-19,921.23,919.96,927.09,915.8,"-"
"118",2009-06-22,893.04,918.13,918.13,893.04,"-"
"119",2009-06-23,895.1,893.46,898.69,888.86,"-"
"120",2009-06-24,900.94,896.31,910.85,896.31,"-"
"121",2009-06-25,920.26,899.45,921.42,896.27,"-"
"122",2009-06-26,918.9,918.84,922,913.03,"-"
"123",2009-06-29,927.23,919.86,927.99,916.18,"-"
"124",2009-06-30,919.32,927.15,930.01,912.86,"-"
"125",2009-07-01,923.33,920.82,931.92,920.82,"-"
"126",2009-07-02,896.42,921.24,921.24,896.42,"-"
"127",2009-07-06,898.72,894.27,898.72,886.36,"-"
"128",2009-07-07,881.03,898.6,898.6,879.93,"-"
"129",2009-07-08,879.56,881.9,886.8,869.32,"-"
"130",2009-07-09,882.68,881.28,887.86,878.45,"-"
"131",2009-07-10,879.13,880.03,883.57,872.81,"-"
"132",2009-07-13,901.05,879.57,901.05,875.32,"-"
"133",2009-07-14,905.84,900.77,905.84,896.5,"-"
"134",2009-07-15,932.68,910.15,933.95,910.15,"-"
"135",2009-07-16,940.74,930.17,943.96,927.45,"-"
"136",2009-07-17,940.38,940.56,941.89,934.65,"-"
"137",2009-07-20,951.13,942.07,951.62,940.99,"-"
"138",2009-07-21,954.58,951.97,956.53,943.22,"-"
"139",2009-07-22,954.07,953.4,959.83,947.75,"-"
"140",2009-07-23,976.29,954.07,979.42,953.27,"-"
"141",2009-07-24,979.26,972.16,979.79,965.95,"-"
"142",2009-07-27,982.18,978.63,982.49,972.29,"-"
"143",2009-07-28,979.62,981.48,982.35,969.35,"-"
"144",2009-07-29,975.15,977.66,977.76,968.65,"-"
"145",2009-07-30,986.75,976.01,996.68,976.01,"-"
"146",2009-07-31,987.48,986.8,993.18,982.85,"-"
"147",2009-08-03,1002.63,990.22,1003.61,990.22,"-"
"148",2009-08-04,1005.65,1001.41,1007.12,996.68,"-"
"149",2009-08-05,1002.72,1005.41,1006.64,994.31,"-"
"150",2009-08-06,997.08,1004.06,1008,992.49,"-"
"151",2009-08-07,1010.48,999.83,1018,999.83,"-"
"152",2009-08-10,1007.1,1008.89,1010.12,1000.99,"-"
"153",2009-08-11,994.35,1005.77,1005.77,992.4,"-"
"154",2009-08-12,1005.81,994,1012.78,993.36,"-"
"155",2009-08-13,1012.73,1005.86,1013.14,1000.82,"-"
"156",2009-08-14,1004.09,1012.23,1012.6,994.6,"-"
"157",2009-08-17,979.73,998.18,998.18,978.51,"-"
"158",2009-08-18,989.67,980.62,991.2,980.62,"-"
"159",2009-08-19,996.46,986.88,999.61,980.62,"-"
"160",2009-08-20,1007.37,996.41,1008.92,996.39,"-"
"161",2009-08-21,1026.13,1009.06,1027.59,1009.06,"-"
"162",2009-08-24,1025.57,1026.59,1035.82,1022.48,"-"
"163",2009-08-25,1028,1026.63,1037.75,1026.21,"-"
"164",2009-08-26,1028.12,1027.35,1032.47,1021.57,"-"
"165",2009-08-27,1030.98,1027.81,1033.33,1016.2,"-"
"166",2009-08-28,1028.93,1031.62,1039.47,1023.13,"-"
"167",2009-08-31,1020.62,1025.21,1025.21,1014.62,"-"
"168",2009-09-01,998.04,1019.52,1028.45,996.28,"-"
"169",2009-09-02,994.75,996.07,1000.34,991.97,"-"
"170",2009-09-03,1003.24,996.12,1003.43,992.25,"-"
"171",2009-09-04,1016.4,1003.84,1016.48,1001.65,"-"
"172",2009-09-08,1025.39,1018.67,1026.07,1018.67,"-"
"173",2009-09-09,1033.37,1025.36,1036.34,1023.97,"-"
"174",2009-09-10,1044.14,1032.99,1044.14,1028.04,"-"
"175",2009-09-11,1042.73,1043.92,1048.18,1038.4,"-"
"176",2009-09-14,1049.34,1040.15,1049.74,1035,"-"
"177",2009-09-15,1052.63,1049.03,1056.04,1043.42,"-"
"178",2009-09-16,1068.76,1053.99,1068.76,1052.87,"-"
"179",2009-09-17,1065.49,1067.87,1074.77,1061.2,"-"
"180",2009-09-18,1068.3,1066.6,1071.52,1064.27,"-"
"181",2009-09-21,1064.66,1067.14,1067.28,1057.46,"-"
"182",2009-09-22,1071.66,1066.35,1073.81,1066.35,"-"
"183",2009-09-23,1060.87,1072.69,1080.15,1060.39,"-"
"184",2009-09-24,1050.78,1062.56,1066.29,1045.85,"-"
"185",2009-09-25,1044.38,1049.48,1053.47,1041.17,"-"
"186",2009-09-28,1062.98,1045.38,1065.13,1045.38,"-"
"187",2009-09-29,1060.61,1063.69,1069.62,1057.83,"-"
"188",2009-09-30,1057.08,1061.02,1063.4,1046.47,"-"
"189",2009-10-01,1029.85,1054.91,1054.91,1029.45,"-"
"190",2009-10-02,1025.21,1029.71,1030.6,1019.95,"-"
"191",2009-10-05,1040.46,1026.87,1042.58,1025.92,"-"
"192",2009-10-06,1054.72,1042.02,1060.55,1042.02,"-"
"193",2009-10-07,1057.58,1053.65,1058.02,1050.1,"-"
"194",2009-10-08,1065.48,1060.03,1070.67,1060.03,"-"
"195",2009-10-09,1071.49,1065.28,1071.51,1063,"-"
"196",2009-10-12,1076.19,1071.63,1079.46,1071.63,"-"
"197",2009-10-13,1073.19,1074.96,1075.3,1066.71,"-"
"198",2009-10-14,1092.02,1078.68,1093.17,1078.68,"-"
"199",2009-10-15,1096.56,1090.36,1096.56,1086.41,"-"
"200",2009-10-16,1087.68,1094.67,1094.67,1081.53,"-"
"201",2009-10-19,1097.91,1088.22,1100.17,1086.48,"-"
"202",2009-10-20,1091.06,1098.64,1098.64,1086.16,"-"
"203",2009-10-21,1081.4,1090.36,1101.36,1080.77,"-"
"204",2009-10-22,1092.91,1080.96,1095.21,1074.31,"-"
"205",2009-10-23,1079.6,1095.62,1095.83,1075.49,"-"
"206",2009-10-26,1066.95,1080.36,1091.75,1065.23,"-"
"207",2009-10-27,1063.41,1067.54,1072.48,1060.62,"-"
"208",2009-10-28,1042.63,1061.51,1063.26,1042.19,"-"
"209",2009-10-29,1066.11,1043.69,1066.83,1043.69,"-"
"210",2009-10-30,1036.19,1065.41,1065.41,1033.38,"-"
"211",2009-11-02,1042.88,1036.18,1052.18,1029.38,"-"
"212",2009-11-03,1045.41,1040.92,1046.36,1033.94,"-"
"213",2009-11-04,1046.5,1047.14,1061,1045.15,"-"
"214",2009-11-05,1066.63,1047.3,1066.65,1047.3,"-"
"215",2009-11-06,1069.3,1064.95,1071.48,1059.32,"-"
"216",2009-11-09,1093.08,1072.31,1093.19,1072.31,"-"
"217",2009-11-10,1093.01,1091.86,1096.42,1087.4,"-"
"218",2009-11-11,1098.51,1096.04,1105.37,1093.81,"-"
"219",2009-11-12,1087.24,1098.31,1101.97,1084.9,"-"
"220",2009-11-13,1093.48,1087.59,1097.79,1085.33,"-"
"221",2009-11-16,1109.3,1094.13,1113.69,1094.13,"-"
"222",2009-11-17,1110.32,1109.22,1110.52,1102.19,"-"
"223",2009-11-18,1109.8,1109.44,1111.1,1102.7,"-"
"224",2009-11-19,1094.9,1106.44,1106.44,1088.4,"-"
