"","S&P ASX 200 (AXJO)_history.csv Date","S&P ASX 200 (AXJO)_history.csv Price","S&P ASX 200 (AXJO)_history.csv Open","S&P ASX 200 (AXJO)_history.csv High","S&P ASX 200 (AXJO)_history.csv Low","S&P ASX 200 (AXJO)_history.csv Volume"
"1",2009-01-02,3713.8,3723.9,3767.5,3674.8,"333730000"
"2",2009-01-05,3687,3742.5,3768.4,3669.8,"681310000"
"3",2009-01-06,3742.7,3692,3762.2,3692,"691800000"
"4",2009-01-07,3779.7,3769.7,3817.9,3767.7,"1.02e+09"
"5",2009-01-08,3694.3,3746.2,3746.7,3662.6,"639530000"
"6",2009-01-09,3735.7,3706.8,3741,3696,"577920000"
"7",2009-01-12,3683.3,3722,3722,3655.8,"530130000"
"8",2009-01-13,3654.6,3665.5,3665.5,3610.7,"582240000"
"9",2009-01-14,3687,3664.7,3690.8,3641.1,"623240000"
"10",2009-01-15,3529.5,3648,3649.5,3515.1,"672370000"
"11",2009-01-16,3550.9,3550,3576.7,3541.6,"545850000"
"12",2009-01-19,3589.3,3556,3602,3556,"425340000"
"13",2009-01-20,3476.6,3563.5,3563.5,3441,"594550000"
"14",2009-01-21,3442.8,3459.5,3459.9,3409.7,"661240000"
"15",2009-01-22,3486.8,3457.2,3492.2,3445.7,"601190000"
"16",2009-01-23,3342.7,3470.9,3471.2,3342.7,"828910000"
"17",2009-01-27,3444,3376,3445.8,3374,"659310000"
"18",2009-01-28,3495.5,3451.7,3505.9,3417.1,"724880000"
"19",2009-01-29,3526.2,3525.2,3564.1,3506.6,"788740000"
"20",2009-01-30,3540.7,3513.5,3548.4,3471.6,"813100000"
"21",2009-02-02,3497.4,3519.4,3523.2,3480.5,"596950000"
"22",2009-02-03,3508.7,3505.8,3578.7,3503.3,"962470000"
"23",2009-02-04,3437.9,3503.2,3514.2,3428,"923400000"
"24",2009-02-05,3428.6,3460.3,3460.9,3414.5,"857620000"
"25",2009-02-06,3469.9,3441,3493.2,3441,"755560000"
"26",2009-02-09,3508.6,3498.4,3528.4,3495.8,"745400000"
"27",2009-02-10,3488.7,3515.9,3523.8,3462.9,"668300000"
"28",2009-02-11,3474.4,3458.4,3474.4,3409.6,"607620000"
"29",2009-02-12,3514.3,3475.8,3553.7,3474.4,"815250000"
"30",2009-02-13,3559.1,3508,3559.5,3507.1,"737760000"
"31",2009-02-16,3516.9,3548.8,3548.8,3499.7,"561970000"
"32",2009-02-17,3464.3,3507.8,3538.5,3447.5,"959850000"
"33",2009-02-18,3413.2,3435.3,3437.6,3368.1,"1.03e+09"
"34",2009-02-19,3448.9,3409.7,3473.7,3390.2,"922470000"
"35",2009-02-20,3402.4,3449.6,3450.6,3381,"731330000"
"36",2009-02-23,3351.2,3386.9,3386.9,3312.6,"803770000"
"37",2009-02-24,3331.6,3332.6,3337,3296.2,"784430000"
"38",2009-02-25,3327.5,3355.4,3382.9,3315.3,"984720000"
"39",2009-02-26,3345.5,3329.5,3366.7,3320.7,"919220000"
"40",2009-02-27,3344.5,3344.3,3364.2,3312.4,"1.36e+09"
"41",2009-03-02,3250.1,3329.4,3330.4,3233.9,"8.66e+08"
"42",2009-03-03,3219.2,3250.6,3250.6,3153.5,"992970000"
"43",2009-03-04,3166.4,3208.2,3211.2,3142.5,"874020000"
"44",2009-03-05,3188.5,3200.8,3218.3,3178.1,"1.03e+09"
"45",2009-03-06,3145.5,3169.6,3170.8,3124.3,"858340000"
"46",2009-03-09,3154.5,3165.5,3177.3,3135.5,"650350000"
"47",2009-03-10,3184.5,3148.5,3184.5,3120.8,"860570000"
"48",2009-03-11,3244.4,3217,3265.4,3216.4,"1.08e+09"
"49",2009-03-12,3235.5,3254.4,3272.7,3225,"787090000"
"50",2009-03-13,3345.2,3255.1,3353.5,3254.3,"1.21e+09"
"51",2009-03-16,3348.4,3345.8,3376.4,3339.9,"1.46e+09"
