Date;Price;Open;High;Low;Vol.;Change %
Jan 02, 2009;9,234.11;8,951.85;9,235.18;8,918.11;150.69M;2.74%
Jan 05, 2009;9,285.51;9,233.04;9,372.92;9,115.96;242.54M;0.56%
Jan 06, 2009;9,472.09;9,409.77;9,505.72;9,285.51;263.95M;2.01%
Jan 07, 2009;9,121.32;9,362.87;9,472.09;9,100.24;222.08M;-3.70%
Jan 08, 2009;9,221.58;9,075.47;9,224.07;9,016.69;204.08M;1.10%
Jan 09, 2009;9,085.18;9,237.83;9,267.51;9,053.16;199.52M;-1.48%
Jan 12, 2009;8,793.33;8,952.50;9,085.18;8,751.58;210.80M;-3.21%
Jan 13, 2009;8,961.55;8,826.35;8,986.15;8,793.33;203.53M;1.91%
Jan 14, 2009;8,688.36;8,863.80;8,961.55;8,608.63;285.19M;-3.05%
Jan 15, 2009;8,879.61;8,730.77;8,879.61;8,470.97;333.60M;2.20%
Jan 16, 2009;8,920.40;9,082.14;9,036.44;8,734.42;210.11M;0.46%
Jan 19, 2009;8,841.48;8,864.35;8,920.40;8,807.73;95.88M;-0.88%
Jan 20, 2009;8,504.93;8,867.88;8,869.30;8,486.32;271.03M;-3.81%
Jan 21, 2009;8,757.89;8,574.51;8,763.52;8,392.12;245.97M;2.97%
Jan 22, 2009;8,486.56;8,619.17;8,757.89;8,472.52;210.89M;-3.10%
Jan 23, 2009;8,627.97;8,428.53;8,687.80;8,387.56;272.41M;1.67%
Jan 26, 2009;8,656.51;8,700.12;8,821.92;8,539.44;196.54M;0.33%
Jan 27, 2009;8,759.63;8,692.07;8,762.70;8,621.35;183.25M;1.19%
Jan 28, 2009;8,906.23;8,900.46;8,966.72;8,759.63;271.16M;1.67%
Jan 29, 2009;8,762.76;8,815.51;8,906.23;8,740.78;231.91M;-1.61%
Jan 30, 2009;8,694.90;8,901.45;8,892.20;8,579.89;264.80M;-0.77%
Feb 02, 2009;8,624.83;8,602.98;8,694.90;8,533.63;186.57M;-0.81%
Feb 03, 2009;8,628.63;8,643.93;8,663.02;8,540.47;206.61M;0.04%
Feb 04, 2009;8,693.09;8,700.04;8,814.02;8,628.63;282.62M;0.75%
Feb 05, 2009;8,860.98;8,708.05;8,860.98;8,607.45;243.66M;1.93%
Feb 06, 2009;9,008.02;8,827.09;9,102.00;8,824.68;245.33M;1.66%
Feb 09, 2009;9,047.28;9,055.76;9,151.58;8,997.44;194.10M;0.44%
Feb 10, 2009;8,817.89;9,084.31;9,114.48;8,771.75;232.53M;-2.54%
Feb 11, 2009;8,737.89;8,840.34;8,919.21;8,731.15;282.02M;-0.91%
Feb 12, 2009;8,778.78;8,698.25;8,785.09;8,590.49;242.73M;0.47%
Feb 13, 2009;8,678.10;8,797.02;8,792.30;8,669.15;177.56M;-1.15%
Feb 17, 2009;8,378.70;8,630.28;8,678.10;8,351.94;230.62M;-3.45%
Feb 18, 2009;8,175.95;8,419.48;8,413.02;8,138.98;273.96M;-2.42%
Feb 19, 2009;8,185.35;8,234.12;8,296.33;8,117.41;263.96M;0.11%
Feb 20, 2009;7,949.99;8,103.23;8,185.35;7,874.90;261.80M;-2.88%
Feb 23, 2009;7,647.67;8,014.40;8,032.08;7,640.84;257.61M;-3.80%
Feb 24, 2009;7,859.33;7,674.07;7,859.33;7,566.32;349.88M;2.77%
Feb 25, 2009;7,932.30;7,885.96;8,033.14;7,753.85;255.04M;0.93%
Feb 26, 2009;8,186.82;8,052.21;8,195.93;7,932.30;306.89M;3.21%
Feb 27, 2009;8,123.02;8,061.54;8,188.72;8,005.09;268.43M;-0.78%
Mar 02, 2009;7,687.51;7,997.63;8,123.02;7,589.66;259.17M;-5.36%
Mar 03, 2009;7,631.62;7,752.92;7,797.67;7,501.12;259.56M;-0.73%
Mar 04, 2009;7,814.75;7,857.54;7,866.03;7,631.62;292.50M;2.40%
Mar 05, 2009;7,629.17;7,734.31;7,814.75;7,589.84;263.63M;-2.37%
Mar 06, 2009;7,591.47;7,686.76;7,764.84;7,479.96;241.50M;-0.49%
Mar 09, 2009;7,566.94;7,527.44;7,695.32;7,515.01;196.93M;-0.32%
Mar 10, 2009;7,880.41;7,699.87;7,886.82;7,566.94;323.57M;4.14%
Mar 11, 2009;8,011.02;7,922.38;8,056.79;7,858.41;284.73M;1.66%
Mar 12, 2009;8,282.27;8,027.32;8,332.53;7,975.01;273.30M;3.39%
Mar 13, 2009;8,303.39;8,359.44;8,351.85;8,183.79;218.64M;0.26%
Mar 16, 2009;8,386.71;8,289.86;8,550.77;8,278.93;234.87M;1.00%
Mar 17, 2009;8,559.60;8,434.16;8,559.60;8,304.57;234.23M;2.06%
