"","S&P TSX Composite (GSPTSE)_history.csv Date","S&P TSX Composite (GSPTSE)_history.csv Price","S&P TSX Composite (GSPTSE)_history.csv Open","S&P TSX Composite (GSPTSE)_history.csv High","S&P TSX Composite (GSPTSE)_history.csv Low","S&P TSX Composite (GSPTSE)_history.csv Volume"
"1",2009-01-02,9234.11,8951.85,9235.18,8918.11,"150690000"
"2",2009-01-05,9285.51,9233.04,9372.92,9115.96,"242540000"
"3",2009-01-06,9472.09,9409.77,9505.72,9285.51,"263950000"
"4",2009-01-07,9121.32,9362.87,9472.09,9100.24,"222080000"
"5",2009-01-08,9221.58,9075.47,9224.07,9016.69,"204080000"
"6",2009-01-09,9085.18,9237.83,9267.51,9053.16,"199520000"
"7",2009-01-12,8793.33,8952.5,9085.18,8751.58,"210800000"
"8",2009-01-13,8961.55,8826.35,8986.15,8793.33,"203530000"
"9",2009-01-14,8688.36,8863.8,8961.55,8608.63,"285190000"
"10",2009-01-15,8879.61,8730.77,8879.61,8470.97,"333600000"
"11",2009-01-16,8920.4,9082.14,9036.44,8734.42,"210110000"
"12",2009-01-19,8841.48,8864.35,8920.4,8807.73,"95880000"
"13",2009-01-20,8504.93,8867.88,8869.3,8486.32,"271030000"
"14",2009-01-21,8757.89,8574.51,8763.52,8392.12,"245970000"
"15",2009-01-22,8486.56,8619.17,8757.89,8472.52,"210890000"
"16",2009-01-23,8627.97,8428.53,8687.8,8387.56,"272410000"
"17",2009-01-26,8656.51,8700.12,8821.92,8539.44,"196540000"
"18",2009-01-27,8759.63,8692.07,8762.7,8621.35,"183250000"
"19",2009-01-28,8906.23,8900.46,8966.72,8759.63,"271160000"
"20",2009-01-29,8762.76,8815.51,8906.23,8740.78,"231910000"
"21",2009-01-30,8694.9,8901.45,8892.2,8579.89,"264800000"
"22",2009-02-02,8624.83,8602.98,8694.9,8533.63,"186570000"
"23",2009-02-03,8628.63,8643.93,8663.02,8540.47,"206610000"
"24",2009-02-04,8693.09,8700.04,8814.02,8628.63,"282620000"
