Date;Price;Open;High;Low;Vol.;Change %
Jan 02, 2009;5,533.60;5,528.70;5,582.10;5,513.90;-;-0.02%
Jan 05, 2009;5,756.09;5,734.13;5,772.73;5,696.36;65.57M;4.02%
Jan 06, 2009;5,799.31;5,778.76;5,881.47;5,731.32;67.00M;0.75%
Jan 07, 2009;5,761.69;5,778.02;5,806.00;5,731.70;58.31M;-0.65%
Jan 08, 2009;5,751.07;5,697.53;5,764.42;5,679.12;55.76M;-0.18%
Jan 09, 2009;5,697.24;5,753.55;5,753.66;5,648.01;66.50M;-0.94%
Jan 12, 2009;5,591.79;5,657.10;5,666.82;5,588.18;68.47M;-1.85%
Jan 13, 2009;5,534.33;5,568.36;5,568.36;5,452.02;74.76M;-1.03%
Jan 14, 2009;5,378.81;5,584.02;5,586.24;5,329.37;82.62M;-2.81%
Jan 15, 2009;5,382.44;5,416.10;5,448.01;5,330.10;84.06M;0.07%
Jan 16, 2009;5,435.54;5,497.42;5,511.16;5,429.28;82.12M;0.99%
Jan 19, 2009;5,381.37;5,496.68;5,517.35;5,318.73;74.11M;-1.00%
Jan 20, 2009;5,321.00;5,413.28;5,430.39;5,313.99;82.60M;-1.12%
Jan 21, 2009;5,304.17;5,291.66;5,376.52;5,248.87;103.84M;-0.32%
Jan 22, 2009;5,329.44;5,402.73;5,459.59;5,307.50;95.61M;0.48%
Jan 23, 2009;5,306.91;5,326.56;5,351.90;5,194.61;114.94M;-0.42%
Jan 26, 2009;5,417.07;5,299.64;5,457.00;5,299.12;82.75M;2.08%
Jan 27, 2009;5,348.91;5,440.83;5,442.38;5,291.15;64.61M;-1.26%
Jan 28, 2009;5,417.93;5,352.27;5,454.25;5,338.59;116.73M;1.29%
Jan 29, 2009;5,272.90;5,364.62;5,369.44;5,241.82;102.82M;-2.68%
Jan 30, 2009;5,290.05;5,283.65;5,326.30;5,205.91;95.82M;0.33%
Feb 02, 2009;5,166.96;5,251.01;5,259.15;5,140.38;72.11M;-2.33%
Feb 03, 2009;5,217.61;5,201.26;5,246.38;5,142.26;81.75M;0.98%
Feb 04, 2009;5,225.46;5,191.08;5,227.69;5,142.15;96.77M;0.15%
Feb 05, 2009;5,106.85;5,126.43;5,141.14;5,005.24;114.63M;-2.27%
Feb 06, 2009;5,123.09;5,147.37;5,152.85;5,052.65;116.69M;0.32%
Feb 09, 2009;5,158.50;5,101.29;5,177.33;5,076.31;79.19M;0.69%
Feb 10, 2009;5,144.69;5,146.33;5,235.18;5,107.46;111.04M;-0.27%
Feb 11, 2009;5,123.77;5,083.89;5,167.80;5,054.84;102.08M;-0.41%
Feb 12, 2009;5,106.67;5,097.96;5,137.74;5,062.32;91.66M;-0.33%
Feb 13, 2009;5,126.84;5,153.16;5,202.53;5,090.71;87.19M;0.39%
Feb 16, 2009;5,077.62;5,097.50;5,114.54;5,076.74;36.49M;-0.96%
Feb 17, 2009;4,941.31;5,003.18;5,029.00;4,936.98;78.40M;-2.68%
Feb 18, 2009;4,955.47;4,959.21;4,997.19;4,911.04;73.68M;0.29%
Feb 19, 2009;4,990.52;5,001.84;5,048.68;4,965.27;99.44M;0.71%
Feb 20, 2009;4,851.21;4,920.74;4,946.63;4,808.44;158.03M;-2.79%
Feb 23, 2009;4,797.12;4,898.60;4,939.35;4,788.44;88.77M;-1.11%
Feb 24, 2009;4,723.02;4,750.92;4,776.74;4,668.83;117.94M;-1.54%
Feb 25, 2009;4,702.50;4,774.51;4,791.90;4,660.87;96.53M;-0.43%
Feb 26, 2009;4,770.78;4,784.02;4,802.18;4,721.81;105.44M;1.45%
Feb 27, 2009;4,690.67;4,674.98;4,690.67;4,608.82;99.74M;-1.68%
Mar 02, 2009;4,438.27;4,576.77;4,576.77;4,438.27;93.24M;-5.38%
Mar 03, 2009;4,358.00;4,472.25;4,519.76;4,357.00;93.63M;-1.81%
Mar 04, 2009;4,463.67;4,402.15;4,470.39;4,349.62;96.66M;2.42%
Mar 05, 2009;4,390.18;4,434.89;4,503.63;4,390.18;93.10M;-1.65%
Mar 06, 2009;4,311.61;4,380.23;4,419.14;4,311.61;99.31M;-1.79%
Mar 09, 2009;4,307.67;4,319.67;4,345.05;4,234.96;97.88M;-0.09%
Mar 10, 2009;4,512.55;4,296.57;4,531.75;4,296.47;103.65M;4.76%
Mar 11, 2009;4,576.97;4,507.60;4,626.61;4,486.99;99.72M;1.43%
Mar 12, 2009;4,645.78;4,556.86;4,694.09;4,482.26;96.99M;1.50%
Mar 13, 2009;4,726.74;4,713.06;4,774.72;4,683.73;84.57M;1.74%
Mar 16, 2009;4,816.43;4,788.44;4,823.37;4,750.28;83.25M;1.90%
Mar 17, 2009;4,813.78;4,766.89;4,826.36;4,741.60;90.25M;-0.06%
Mar 18, 2009;4,783.32;4,839.88;4,871.39;4,729.76;103.67M;-0.63%
Mar 19, 2009;4,794.63;4,826.66;4,901.66;4,765.40;154.10M;0.24%
Mar 20, 2009;4,787.17;4,727.23;4,842.24;4,721.08;207.42M;-0.16%
Mar 23, 2009;4,931.07;4,863.28;4,931.07;4,829.59;88.65M;3.01%
Mar 24, 2009;4,923.66;4,986.43;4,995.46;4,886.74;84.77M;-0.15%
Mar 25, 2009;4,970.38;4,918.56;5,006.92;4,901.81;72.02M;0.95%
Mar 26, 2009;4,966.74;4,977.89;5,001.83;4,897.65;69.10M;-0.07%
Mar 27, 2009;4,872.33;4,965.47;4,982.07;4,866.66;72.12M;-1.90%
Mar 30, 2009;4,745.76;4,798.14;4,838.40;4,713.96;63.50M;-2.60%
Mar 31, 2009;4,927.43;4,811.79;4,928.75;4,810.66;68.97M;3.83%
Apr 01, 2009;5,014.90;4,933.75;5,014.90;4,837.02;77.24M;1.78%
Apr 02, 2009;5,178.53;5,107.01;5,180.53;5,098.09;103.86M;3.26%
Apr 03, 2009;5,042.99;5,147.91;5,151.26;4,996.05;88.98M;-2.62%
