"","SMI (SSMI)_history.csv Date","SMI (SSMI)_history.csv Price","SMI (SSMI)_history.csv Open","SMI (SSMI)_history.csv High","SMI (SSMI)_history.csv Low","SMI (SSMI)_history.csv Volume"
"1",2009-01-02,5533.6,5528.7,5582.1,5513.9,
"2",2009-01-05,5756.09,5734.13,5772.73,5696.36,"65570000"
"3",2009-01-06,5799.31,5778.76,5881.47,5731.32,"6.7e+07"
"4",2009-01-07,5761.69,5778.02,5806,5731.7,"58310000"
"5",2009-01-08,5751.07,5697.53,5764.42,5679.12,"55760000"
"6",2009-01-09,5697.24,5753.55,5753.66,5648.01,"66500000"
"7",2009-01-12,5591.79,5657.1,5666.82,5588.18,"68470000"
"8",2009-01-13,5534.33,5568.36,5568.36,5452.02,"74760000"
"9",2009-01-14,5378.81,5584.02,5586.24,5329.37,"82620000"
"10",2009-01-15,5382.44,5416.1,5448.01,5330.1,"84060000"
"11",2009-01-16,5435.54,5497.42,5511.16,5429.28,"82120000"
"12",2009-01-19,5381.37,5496.68,5517.35,5318.73,"74110000"
"13",2009-01-20,5321,5413.28,5430.39,5313.99,"82600000"
"14",2009-01-21,5304.17,5291.66,5376.52,5248.87,"103840000"
"15",2009-01-22,5329.44,5402.73,5459.59,5307.5,"95610000"
"16",2009-01-23,5306.91,5326.56,5351.9,5194.61,"114940000"
"17",2009-01-26,5417.07,5299.64,5457,5299.12,"82750000"
"18",2009-01-27,5348.91,5440.83,5442.38,5291.15,"64610000"
"19",2009-01-28,5417.93,5352.27,5454.25,5338.59,"116730000"
"20",2009-01-29,5272.9,5364.62,5369.44,5241.82,"102820000"
"21",2009-01-30,5290.05,5283.65,5326.3,5205.91,"95820000"
"22",2009-02-02,5166.96,5251.01,5259.15,5140.38,"72110000"
"23",2009-02-03,5217.61,5201.26,5246.38,5142.26,"81750000"
"24",2009-02-04,5225.46,5191.08,5227.69,5142.15,"96770000"
"25",2009-02-05,5106.85,5126.43,5141.14,5005.24,"114630000"
"26",2009-02-06,5123.09,5147.37,5152.85,5052.65,"116690000"
"27",2009-02-09,5158.5,5101.29,5177.33,5076.31,"79190000"
"28",2009-02-10,5144.69,5146.33,5235.18,5107.46,"111040000"
"29",2009-02-11,5123.77,5083.89,5167.8,5054.84,"102080000"
"30",2009-02-12,5106.67,5097.96,5137.74,5062.32,"91660000"
"31",2009-02-13,5126.84,5153.16,5202.53,5090.71,"87190000"
"32",2009-02-16,5077.62,5097.5,5114.54,5076.74,"36490000"
"33",2009-02-17,4941.31,5003.18,5029,4936.98,"78400000"
"34",2009-02-18,4955.47,4959.21,4997.19,4911.04,"73680000"
"35",2009-02-19,4990.52,5001.84,5048.68,4965.27,"99440000"
"36",2009-02-20,4851.21,4920.74,4946.63,4808.44,"158030000"
"37",2009-02-23,4797.12,4898.6,4939.35,4788.44,"88770000"
"38",2009-02-24,4723.02,4750.92,4776.74,4668.83,"117940000"
"39",2009-02-25,4702.5,4774.51,4791.9,4660.87,"96530000"
"40",2009-02-26,4770.78,4784.02,4802.18,4721.81,"105440000"
"41",2009-02-27,4690.67,4674.98,4690.67,4608.82,"99740000"
"42",2009-03-02,4438.27,4576.77,4576.77,4438.27,"93240000"
"43",2009-03-03,4358,4472.25,4519.76,4357,"93630000"
"44",2009-03-04,4463.67,4402.15,4470.39,4349.62,"96660000"
"45",2009-03-05,4390.18,4434.89,4503.63,4390.18,"93100000"
"46",2009-03-06,4311.61,4380.23,4419.14,4311.61,"99310000"
"47",2009-03-09,4307.67,4319.67,4345.05,4234.96,"97880000"
"48",2009-03-10,4512.55,4296.57,4531.75,4296.47,"103650000"
"49",2009-03-11,4576.97,4507.6,4626.61,4486.99,"99720000"
"50",2009-03-12,4645.78,4556.86,4694.09,4482.26,"96990000"
"51",2009-03-13,4726.74,4713.06,4774.72,4683.73,"84570000"
"52",2009-03-16,4816.43,4788.44,4823.37,4750.28,"83250000"
"53",2009-03-17,4813.78,4766.89,4826.36,4741.6,"90250000"
"54",2009-03-18,4783.32,4839.88,4871.39,4729.76,"103670000"
"55",2009-03-19,4794.63,4826.66,4901.66,4765.4,"154100000"
"56",2009-03-20,4787.17,4727.23,4842.24,4721.08,"207420000"
"57",2009-03-23,4931.07,4863.28,4931.07,4829.59,"88650000"
"58",2009-03-24,4923.66,4986.43,4995.46,4886.74,"84770000"
"59",2009-03-25,4970.38,4918.56,5006.92,4901.81,"72020000"
"60",2009-03-26,4966.74,4977.89,5001.83,4897.65,"69100000"
"61",2009-03-27,4872.33,4965.47,4982.07,4866.66,"72120000"
"62",2009-03-30,4745.76,4798.14,4838.4,4713.96,"63500000"
"63",2009-03-31,4927.43,4811.79,4928.75,4810.66,"68970000"
"64",2009-04-01,5014.9,4933.75,5014.9,4837.02,"77240000"
