Date;Price;Open;High;Low;Vol.;Change %
Jan 05, 2009;1,880.72;1,849.02;1,880.72;1,844.09;67.14K;3.29%
Jan 06, 2009;1,937.14;1,878.83;1,938.69;1,871.97;99.07K;3.00%
Jan 07, 2009;1,924.01;1,938.97;1,948.23;1,920.52;92.36K;-0.68%
Jan 08, 2009;1,878.18;1,890.24;1,894.17;1,862.26;80.37K;-2.38%
Jan 09, 2009;1,904.86;1,875.16;1,909.35;1,875.16;71.23K;1.42%
Jan 12, 2009;1,900.35;1,897.70;1,924.44;1,886.83;83.65K;-0.24%
Jan 13, 2009;1,863.37;1,880.87;1,888.31;1,861.81;73.84K;-1.95%
Jan 14, 2009;1,928.87;1,862.31;1,929.28;1,862.31;87.92K;3.52%
Jan 15, 2009;1,920.21;1,912.77;1,937.73;1,902.54;115.98K;-0.45%
Jan 16, 2009;1,954.44;1,928.92;1,984.73;1,928.92;132.97K;1.78%
Jan 19, 2009;1,986.67;1,971.00;2,018.51;1,966.19;109.40K;1.65%
Jan 20, 2009;1,994.11;1,981.15;1,994.81;1,956.10;74.57K;0.37%
Jan 21, 2009;1,985.02;1,965.94;2,007.91;1,960.53;87.29K;-0.46%
Jan 22, 2009;2,004.95;1,996.09;2,009.85;1,980.44;88.28K;1.00%
Jan 23, 2009;1,990.66;2,001.17;2,008.79;1,986.35;85.97K;-0.71%
Feb 02, 2009;2,011.68;2,008.13;2,012.74;1,987.13;84.77K;1.06%
Feb 03, 2009;2,060.81;2,011.77;2,060.93;2,005.02;134.41K;2.44%
Feb 04, 2009;2,107.75;2,068.09;2,108.26;2,067.79;151.79K;2.28%
Feb 05, 2009;2,098.02;2,106.84;2,149.48;2,082.60;165.35K;-0.46%
Feb 06, 2009;2,181.24;2,102.08;2,185.09;2,102.08;160.86K;3.97%
Feb 09, 2009;2,224.71;2,211.32;2,238.89;2,196.71;192.31K;1.99%
Feb 10, 2009;2,265.16;2,218.49;2,266.40;2,197.01;172.59K;1.82%
Feb 11, 2009;2,260.82;2,230.49;2,305.70;2,218.30;209.33K;-0.19%
Feb 12, 2009;2,248.09;2,265.79;2,274.20;2,191.89;173.98K;-0.56%
Feb 13, 2009;2,320.79;2,249.18;2,323.12;2,236.18;199.72K;3.23%
Feb 16, 2009;2,389.39;2,338.76;2,389.88;2,328.18;211.43K;2.96%
Feb 17, 2009;2,319.44;2,387.35;2,402.81;2,316.93;198.12K;-2.93%
Feb 18, 2009;2,209.86;2,271.26;2,295.74;2,206.06;162.46K;-4.72%
Feb 19, 2009;2,227.12;2,224.49;2,247.62;2,190.47;129.84K;0.78%
Feb 20, 2009;2,261.48;2,234.36;2,262.33;2,206.21;128.94K;1.54%
Feb 23, 2009;2,305.78;2,249.29;2,313.59;2,219.71;160.29K;1.96%
Feb 24, 2009;2,200.65;2,273.76;2,295.59;2,193.27;183.85K;-4.56%
Feb 25, 2009;2,206.57;2,222.51;2,234.02;2,142.60;152.38K;0.27%
Feb 26, 2009;2,121.25;2,201.67;2,237.55;2,102.35;148.64K;-3.87%
Feb 27, 2009;2,082.85;2,100.06;2,123.24;2,064.92;122.91K;-1.81%
Mar 02, 2009;2,093.45;2,066.23;2,102.11;2,052.99;87.46K;0.51%
Mar 03, 2009;2,071.43;2,047.21;2,088.63;2,037.02;97.78K;-1.05%
Mar 04, 2009;2,198.11;2,076.62;2,201.73;2,076.62;154.81K;6.12%
Mar 05, 2009;2,221.08;2,220.15;2,241.76;2,173.49;182.44K;1.04%
Mar 06, 2009;2,193.01;2,180.79;2,221.04;2,171.67;123.86K;-1.26%
Mar 09, 2009;2,118.75;2,205.75;2,232.67;2,116.45;124.30K;-3.39%
Mar 10, 2009;2,158.57;2,097.14;2,159.27;2,088.16;83.94K;1.88%
Mar 11, 2009;2,139.03;2,199.98;2,203.53;2,133.14;103.72K;-0.91%
Mar 12, 2009;2,133.88;2,127.73;2,136.80;2,086.02;87.21K;-0.24%
Mar 13, 2009;2,128.85;2,148.42;2,166.02;2,124.98;83.51K;-0.24%
Mar 16, 2009;2,153.29;2,122.41;2,158.90;2,108.61;73.38K;1.15%
Mar 17, 2009;2,218.33;2,156.77;2,225.19;2,151.78;130.81K;3.02%
Mar 18, 2009;2,223.72;2,227.98;2,255.01;2,221.59;147.00K;0.24%
