"","Shanghai Composite (SSEC)_history.csv Date","Shanghai Composite (SSEC)_history.csv Price","Shanghai Composite (SSEC)_history.csv Open","Shanghai Composite (SSEC)_history.csv High","Shanghai Composite (SSEC)_history.csv Low","Shanghai Composite (SSEC)_history.csv Volume"
"1",2009-01-05,1880.72,1849.02,1880.72,1844.09,"67140"
"2",2009-01-06,1937.14,1878.83,1938.69,1871.97,"99070"
"3",2009-01-07,1924.01,1938.97,1948.23,1920.52,"92360"
"4",2009-01-08,1878.18,1890.24,1894.17,1862.26,"80370"
"5",2009-01-09,1904.86,1875.16,1909.35,1875.16,"71230"
"6",2009-01-12,1900.35,1897.7,1924.44,1886.83,"83650"
"7",2009-01-13,1863.37,1880.87,1888.31,1861.81,"73840"
"8",2009-01-14,1928.87,1862.31,1929.28,1862.31,"87920"
"9",2009-01-15,1920.21,1912.77,1937.73,1902.54,"115980"
"10",2009-01-16,1954.44,1928.92,1984.73,1928.92,"132970"
"11",2009-01-19,1986.67,1971,2018.51,1966.19,"109400"
"12",2009-01-20,1994.11,1981.15,1994.81,1956.1,"74570"
"13",2009-01-21,1985.02,1965.94,2007.91,1960.53,"87290"
"14",2009-01-22,2004.95,1996.09,2009.85,1980.44,"88280"
"15",2009-01-23,1990.66,2001.17,2008.79,1986.35,"85970"
"16",2009-02-02,2011.68,2008.13,2012.74,1987.13,"84770"
"17",2009-02-03,2060.81,2011.77,2060.93,2005.02,"134410"
"18",2009-02-04,2107.75,2068.09,2108.26,2067.79,"151790"
"19",2009-02-05,2098.02,2106.84,2149.48,2082.6,"165350"
"20",2009-02-06,2181.24,2102.08,2185.09,2102.08,"160860"
"21",2009-02-09,2224.71,2211.32,2238.89,2196.71,"192310"
"22",2009-02-10,2265.16,2218.49,2266.4,2197.01,"172590"
"23",2009-02-11,2260.82,2230.49,2305.7,2218.3,"209330"
"24",2009-02-12,2248.09,2265.79,2274.2,2191.89,"173980"
"25",2009-02-13,2320.79,2249.18,2323.12,2236.18,"199720"
"26",2009-02-16,2389.39,2338.76,2389.88,2328.18,"211430"
"27",2009-02-17,2319.44,2387.35,2402.81,2316.93,"198120"
"28",2009-02-18,2209.86,2271.26,2295.74,2206.06,"162460"
"29",2009-02-19,2227.12,2224.49,2247.62,2190.47,"129840"
"30",2009-02-20,2261.48,2234.36,2262.33,2206.21,"128940"
"31",2009-02-23,2305.78,2249.29,2313.59,2219.71,"160290"
"32",2009-02-24,2200.65,2273.76,2295.59,2193.27,"183850"
"33",2009-02-25,2206.57,2222.51,2234.02,2142.6,"152380"
"34",2009-02-26,2121.25,2201.67,2237.55,2102.35,"148640"
"35",2009-02-27,2082.85,2100.06,2123.24,2064.92,"122910"
"36",2009-03-02,2093.45,2066.23,2102.11,2052.99,"87460"
"37",2009-03-03,2071.43,2047.21,2088.63,2037.02,"97780"
"38",2009-03-04,2198.11,2076.62,2201.73,2076.62,"154810"
"39",2009-03-05,2221.08,2220.15,2241.76,2173.49,"182440"
"40",2009-03-06,2193.01,2180.79,2221.04,2171.67,"123860"
"41",2009-03-09,2118.75,2205.75,2232.67,2116.45,"124300"
"42",2009-03-10,2158.57,2097.14,2159.27,2088.16,"83940"
"43",2009-03-11,2139.03,2199.98,2203.53,2133.14,"103720"
"44",2009-03-12,2133.88,2127.73,2136.8,2086.02,"87210"
"45",2009-03-13,2128.85,2148.42,2166.02,2124.98,"83510"
"46",2009-03-16,2153.29,2122.41,2158.9,2108.61,"73380"
"47",2009-03-17,2218.33,2156.77,2225.19,2151.78,"130810"
"48",2009-03-18,2223.72,2227.98,2255.01,2221.59,"147000"
"49",2009-03-19,2265.76,2227.34,2268.14,2220.16,"145820"
"50",2009-03-20,2281.09,2272.44,2294.12,2250.41,"150520"
"51",2009-03-23,2325.48,2286.25,2329.18,2276.81,"160060"
"52",2009-03-24,2338.42,2359.68,2369.45,2327.43,"162730"
"53",2009-03-25,2291.55,2333.16,2355.69,2291.36,"144840"
"54",2009-03-26,2361.7,2296.05,2362.05,2274.89,"158560"
"55",2009-03-27,2374.44,2380.63,2392.77,2361.09,"186530"
"56",2009-03-30,2358.04,2377.96,2380.19,2348.53,"139880"
"57",2009-03-31,2373.21,2313.88,2375.71,2299.16,"142700"
"58",2009-04-01,2408.02,2380.98,2422.62,2380.98,"179860"
"59",2009-04-02,2425.29,2417.22,2450,2417.11,"188390"
"60",2009-04-03,2419.78,2446.12,2456.81,2406.5,"170250"
"61",2009-04-07,2439.18,2422.1,2449.54,2407.51,"124210"
"62",2009-04-08,2347.39,2429.88,2435.39,2346.54,"146810"
"63",2009-04-09,2379.88,2345.01,2380.93,2331.88,"113240"
"64",2009-04-10,2444.23,2400.01,2444.98,2392.8,"157490"
"65",2009-04-13,2513.7,2468.08,2522.45,2464.06,"191350"
"66",2009-04-14,2527.18,2512.01,2532.09,2495.34,"165180"
"67",2009-04-15,2536.06,2514.59,2542.54,2485.93,"181090"
"68",2009-04-16,2534.13,2542.34,2549.31,2497.12,"186160"
"69",2009-04-17,2503.93,2524.63,2539.35,2481.9,"161590"
"70",2009-04-20,2557.46,2500.17,2559.04,2497.32,"147900"
"71",2009-04-21,2535.83,2523.26,2552.6,2499.6,"164620"
"72",2009-04-22,2461.35,2548.11,2579.22,2449.89,"193980"
"73",2009-04-23,2463.95,2440.68,2474.15,2422.79,"126120"
"74",2009-04-24,2448.59,2477.16,2481.53,2445.66,"113800"
"75",2009-04-27,2405.35,2443.44,2452.93,2393.16,"113010"
"76",2009-04-28,2401.44,2382.88,2411.44,2372.34,"94820"
"77",2009-04-29,2468.19,2401.66,2477.72,2395.48,"126530"
"78",2009-04-30,2477.57,2477.93,2491.07,2461.36,"131150"
"79",2009-05-04,2559.91,2486.68,2560.54,2486.22,"153370"
"80",2009-05-05,2567.34,2577.43,2590.78,2552.39,"158420"
"81",2009-05-06,2592.52,2563.56,2596.93,2552.63,"160710"
"82",2009-05-07,2597.45,2612.12,2622.11,2566.12,"181810"
"83",2009-05-08,2625.64,2586.76,2634.06,2574.57,"161920"
"84",2009-05-11,2579.75,2646.29,2663.95,2579.75,"178250"
"85",2009-05-12,2618.17,2562.36,2619.69,2558.96,"123010"
"86",2009-05-13,2663.77,2629.03,2670.21,2608.32,"145840"
"87",2009-05-14,2639.89,2631.45,2651.49,2610.22,"124760"
"88",2009-05-15,2645.26,2646.89,2661.37,2623.36,"110890"
"89",2009-05-18,2652.78,2632.57,2656.84,2589.61,"119050"
"90",2009-05-19,2676.68,2679.4,2688.11,2660.56,"147470"
"91",2009-05-20,2651.41,2680.55,2686.34,2651.01,"138250"
"92",2009-05-21,2610.62,2639.14,2663.23,2598.87,"138930"
"93",2009-05-22,2597.6,2595.99,2617.75,2578.59,"99150"
"94",2009-05-25,2610.01,2555.34,2618.36,2538.62,"112000"
"95",2009-05-26,2588.57,2615.01,2618.8,2585.91,"114520"
"96",2009-05-27,2632.93,2601.24,2635.31,2592.79,"103170"
"97",2009-06-01,2721.28,2668.4,2726.72,2668.4,"147960"
"98",2009-06-02,2724.3,2739.44,2750.88,2713.47,"156360"
"99",2009-06-03,2778.59,2722.27,2778.68,2717.86,"155680"
"100",2009-06-04,2767.24,2753.25,2778.24,2728.2,"170880"
"101",2009-06-05,2753.89,2783.86,2791.65,2750.38,"146650"
"102",2009-06-08,2768.34,2753.34,2795.15,2729.03,"133230"
"103",2009-06-09,2787.89,2766.51,2788.37,2721.85,"132600"
"104",2009-06-10,2816.25,2796.9,2820.57,2790,"145270"
"105",2009-06-11,2797.32,2812.28,2828.74,2787.45,"134120"
"106",2009-06-12,2743.76,2793.97,2812.68,2722.22,"127700"
"107",2009-06-15,2789.55,2743.03,2790.98,2727.74,"106230"
"108",2009-06-16,2776.02,2762.74,2797.48,2753.69,"103380"
"109",2009-06-17,2810.12,2771.52,2813.61,2744.22,"110780"
"110",2009-06-18,2853.9,2812.99,2855.41,2810.85,"138840"
"111",2009-06-19,2880.49,2861.18,2886.5,2847.36,"153020"
"112",2009-06-22,2896.3,2900.57,2923.24,2884.13,"146970"
"113",2009-06-23,2892.7,2853.49,2941.05,2841.9,"144470"
"114",2009-06-24,2922.3,2889.05,2923.47,2880.28,"140570"
"115",2009-06-25,2925.05,2926.62,2946.9,2909.09,"119610"
"116",2009-06-26,2928.21,2930.5,2937.61,2910.34,"109560"
"117",2009-06-29,2975.31,2930.31,2976.92,2918.39,"128540"
"118",2009-06-30,2959.36,2990.12,2997.27,2953.36,"125810"
"119",2009-07-01,3008.15,2950.17,3009.71,2947.69,"138250"
"120",2009-07-02,3060.25,3015.08,3062.56,3015.08,"161960"
"121",2009-07-03,3088.37,3035.81,3088.86,3029.55,"159470"
"122",2009-07-06,3124.67,3091.48,3128.31,3090.1,"183240"
"123",2009-07-07,3089.45,3118.27,3130.07,3077.48,"178780"
"124",2009-07-08,3080.77,3057.46,3097.96,3011.21,"155490"
"125",2009-07-09,3123.03,3073.52,3123.51,3064.21,"167290"
"126",2009-07-10,3113.93,3124.79,3140.04,3099.99,"161160"
"127",2009-07-13,3080.56,3098.96,3112.88,3076.3,"156610"
"128",2009-07-14,3145.16,3088.58,3147.59,3088.58,"161690"
"129",2009-07-15,3188.55,3156.62,3188.91,3156.62,"195910"
"130",2009-07-16,3183.74,3209.78,3221.07,3175.96,"191230"
"131",2009-07-17,3189.74,3181.06,3197.23,3158.57,"164690"
"132",2009-07-20,3266.92,3203.89,3269.18,3192.9,"198870"
"133",2009-07-21,3213.21,3275.67,3279.59,3207.5,"197570"
"134",2009-07-22,3296.61,3207.99,3301.43,3207.26,"168210"
"135",2009-07-23,3328.49,3301.1,3331.06,3289.22,"166400"
"136",2009-07-24,3372.6,3343.76,3398.05,3306.91,"189740"
"137",2009-07-27,3435.21,3377.72,3435.93,3376.29,"197620"
"138",2009-07-28,3438.37,3434.32,3439.92,3392.43,"204250"
"139",2009-07-29,3266.43,3419.99,3454.02,3174.21,"275800"
"140",2009-07-30,3321.56,3281.2,3336.64,3215.75,"198010"
"141",2009-07-31,3412.06,3354.68,3414.14,3333.72,"193710"
"142",2009-08-03,3462.59,3429.69,3465.17,3398.45,"200810"
"143",2009-08-04,3471.44,3477.11,3478.01,3404.82,"211490"
"144",2009-08-05,3428.5,3467.05,3468.1,3385.42,"202500"
"145",2009-08-06,3356.33,3401.48,3419.74,3309.61,"174830"
"146",2009-08-07,3260.69,3352.66,3374.46,3244.1,"153160"
"147",2009-08-10,3249.76,3287.76,3307.89,3201.06,"126680"
"148",2009-08-11,3264.73,3261.41,3273.02,3222.71,"103750"
"149",2009-08-12,3112.72,3255.99,3255.99,3104.57,"134450"
"150",2009-08-13,3140.56,3112.57,3150.36,3060.12,"116930"
"151",2009-08-14,3046.97,3138.15,3146.01,3039.3,"125820"
"152",2009-08-17,2870.63,2994.87,3020.26,2867.39,"125060"
"153",2009-08-18,2910.88,2845.34,2920.64,2827.11,"106250"
"154",2009-08-19,2785.58,2916.09,2929.06,2761.39,"114470"
"155",2009-08-20,2911.58,2798.37,2914.64,2798.37,"110040"
"156",2009-08-21,2960.77,2905.05,2969.52,2883.27,"126790"
"157",2009-08-24,2993.43,2982.19,3004.9,2944.92,"122880"
"158",2009-08-25,2915.8,2980.1,2980.1,2823.64,"145240"
"159",2009-08-26,2967.59,2889.74,2995.8,2872.26,"130430"
"160",2009-08-27,2946.39,2947.83,2988.03,2909.89,"136750"
"161",2009-08-28,2860.69,2938.42,2949.43,2843.11,"123050"
"162",2009-08-31,2667.74,2817.63,2817.63,2663,"118250"
"163",2009-09-01,2683.72,2649.17,2727.08,2639.76,"98040"
"164",2009-09-02,2714.97,2681.33,2729.71,2669.22,"83940"
"165",2009-09-03,2845.02,2722.3,2854.16,2715.62,"129890"
"166",2009-09-04,2861.61,2841.17,2875.98,2827.58,"128890"
"167",2009-09-07,2881.12,2877.62,2919.35,2860,"131180"
"168",2009-09-08,2930.47,2865.7,2931.23,2831.85,"127930"
"169",2009-09-09,2946.26,2944.17,2962.29,2900.11,"130750"
"170",2009-09-10,2924.88,2934.96,2958.95,2911.21,"105900"
"171",2009-09-11,2989.79,2917.19,2999.33,2915.9,"123250"
"172",2009-09-14,3026.74,2990.93,3033.08,2984.84,"143710"
"173",2009-09-15,3033.73,3029.1,3050.43,2999.43,"144470"
"174",2009-09-16,2999.71,3027.51,3028.56,2960.59,"147420"
"175",2009-09-17,3060.26,3015.59,3064.23,3015.59,"160740"
"176",2009-09-18,2962.67,3063.31,3068.03,2940.83,"168080"
"177",2009-09-21,2967.01,2937.93,2968.7,2871.65,"136230"
"178",2009-09-22,2897.55,2956.13,2982.89,2896.94,"124080"
"179",2009-09-23,2842.72,2897.81,2924.2,2825.86,"107630"
"180",2009-09-24,2853.55,2824.58,2886.26,2783.11,"102540"
"181",2009-09-25,2838.84,2836.7,2864.07,2812.92,"75170"
"182",2009-09-28,2763.53,2844.37,2857.95,2752.77,"71880"
"183",2009-09-29,2754.54,2763.76,2779.69,2712.3,"73570"
"184",2009-09-30,2779.43,2772.57,2803.86,2763.71,"64830"
"185",2009-10-09,2911.72,2840.13,2912.55,2834.62,"85550"
"186",2009-10-12,2894.48,2927.02,2932.08,2893.57,"88190"
"187",2009-10-13,2936.19,2889.79,2937.82,2886.96,"80000"
"188",2009-10-14,2970.53,2945.67,3010.61,2943.74,"129630"
"189",2009-10-15,2979.79,2994.89,3014.26,2967.11,"98620"
"190",2009-10-16,2976.63,2992.74,3008.18,2931.92,"92220"
"191",2009-10-19,3038.27,2974.64,3039.61,2962.31,"120620"
"192",2009-10-20,3084.45,3062.55,3084.94,3053.64,"143650"
"193",2009-10-21,3070.59,3080.52,3105.51,3062.56,"135480"
"194",2009-10-22,3051.41,3068.68,3080.66,3045.03,"103030"
"195",2009-10-23,3107.85,3057.39,3123.46,3057.39,"138600"
"196",2009-10-26,3109.57,3114.29,3123.36,3083.18,"114830"
"197",2009-10-27,3021.46,3086.09,3086.09,3020.49,"120890"
"198",2009-10-28,3031.33,3014.18,3038.06,2974.26,"100970"
"199",2009-10-29,2960.47,2975.2,2993.43,2952.01,"110280"
"200",2009-10-30,2995.85,3007.25,3027.13,2983.93,"104790"
"201",2009-11-02,3076.65,2933.82,3077.91,2923.53,"137290"
"202",2009-11-03,3114.23,3085.74,3121.2,3078.94,"150550"
"203",2009-11-04,3128.54,3119.31,3141.45,3096.35,"145370"
"204",2009-11-05,3155.05,3133.51,3158.72,3122.52,"145470"
"205",2009-11-06,3164.04,3176.14,3183.57,3156.99,"163490"
"206",2009-11-09,3175.59,3162.15,3176.66,3141.77,"139190"
"207",2009-11-10,3178.61,3203.17,3211.11,3176.26,"142450"
"208",2009-11-11,3175.19,3176.31,3186.59,3149.07,"126820"
