Date;Price;Open;High;Low;Vol.;Change %
Jan 01, 2009;667.39;658.31;672.32;658.31;-;1.91%
Jan 04, 2009;674.24;678.18;685.79;674.24;-;1.03%
Jan 05, 2009;679.95;674.60;680.29;670.64;-;0.85%
Jan 06, 2009;702.90;683.03;703.25;683.03;-;3.38%
Jan 07, 2009;694.58;697.83;705.95;690.94;-;-1.18%
Jan 08, 2009;677.14;682.06;684.13;674.19;-;-2.51%
Jan 11, 2009;691.83;673.36;691.83;670.59;-;2.17%
Jan 12, 2009;683.88;689.92;699.79;678.85;-;-1.15%
Jan 13, 2009;681.37;678.08;682.70;673.50;-;-0.37%
Jan 14, 2009;660.26;686.96;688.62;660.26;-;-3.10%
Jan 15, 2009;666.42;655.63;666.42;652.63;-;0.93%
Jan 18, 2009;678.46;678.82;686.37;678.26;-;1.81%
Jan 19, 2009;669.41;679.46;680.72;667.26;-;-1.33%
Jan 20, 2009;669.78;664.76;673.34;662.72;-;0.06%
Jan 21, 2009;649.67;655.41;659.09;645.57;-;-3.00%
Jan 22, 2009;637.23;661.19;661.54;634.09;-;-1.91%
Jan 25, 2009;641.19;635.54;643.27;630.52;-;0.62%
Jan 26, 2009;653.72;637.83;654.18;635.06;-;1.95%
Jan 27, 2009;650.03;658.17;660.64;649.73;-;-0.56%
Jan 28, 2009;670.19;656.74;670.19;656.74;-;3.10%
Jan 29, 2009;660.63;672.64;672.86;660.63;-;-1.43%
Feb 01, 2009;658.87;648.14;659.70;646.76;-;-0.27%
Feb 02, 2009;652.56;654.60;659.48;649.98;-;-0.96%
Feb 03, 2009;663.53;657.79;663.53;654.79;-;1.68%
Feb 04, 2009;678.29;665.81;680.41;664.89;-;2.22%
Feb 05, 2009;682.46;671.68;684.73;669.72;-;0.61%
Feb 08, 2009;705.32;701.30;707.04;699.55;-;3.35%
Feb 09, 2009;708.48;702.33;708.48;697.73;-;0.45%
Feb 11, 2009;689.94;691.03;695.07;687.59;-;-2.62%
Feb 12, 2009;687.64;689.26;690.40;680.76;-;-0.33%
Feb 15, 2009;686.33;688.71;690.63;682.08;-;-0.19%
Feb 16, 2009;692.41;681.27;692.41;679.68;-;0.89%
Feb 17, 2009;679.13;686.02;688.15;677.82;-;-1.92%
Feb 18, 2009;691.33;677.88;691.33;672.53;-;1.80%
Feb 19, 2009;688.60;687.13;695.15;686.14;-;-0.39%
Feb 22, 2009;662.68;675.39;675.56;662.03;-;-3.76%
Feb 23, 2009;663.43;669.61;671.61;651.82;-;0.11%
Feb 24, 2009;654.49;648.05;657.51;646.03;-;-1.35%
Feb 25, 2009;658.69;663.46;664.65;655.06;-;0.64%
Feb 26, 2009;665.99;652.99;665.99;650.53;-;1.11%
Mar 01, 2009;639.49;645.51;646.45;639.49;-;-3.98%
Mar 02, 2009;637.50;636.19;639.64;628.72;-;-0.31%
Mar 03, 2009;640.75;630.72;643.35;629.33;-;0.51%
Mar 04, 2009;655.29;646.09;655.29;643.78;-;2.27%
Mar 05, 2009;638.47;651.43;652.58;636.92;-;-2.57%
Mar 08, 2009;638.34;634.24;640.12;632.30;-;-0.02%
Mar 09, 2009;638.03;637.66;638.51;631.36;-;-0.05%
Mar 11, 2009;652.27;656.99;657.89;647.68;-;2.23%
Mar 12, 2009;649.92;648.45;650.93;645.25;-;-0.36%
Mar 15, 2009;671.07;662.69;671.07;662.05;-;3.25%
Mar 16, 2009;672.95;669.24;681.97;667.92;-;0.28%
Mar 17, 2009;674.27;675.75;677.61;670.40;-;0.20%
Mar 18, 2009;672.91;682.46;684.61;671.09;-;-0.20%
Mar 19, 2009;675.18;675.53;685.63;672.96;-;0.34%
Mar 22, 2009;681.46;668.68;681.46;666.93;-;0.93%
Mar 23, 2009;694.48;689.41;696.83;689.41;-;1.91%
Mar 24, 2009;696.41;701.85;703.77;694.68;-;0.28%
Mar 25, 2009;717.77;698.50;717.77;697.30;-;3.07%
Mar 26, 2009;744.35;737.80;744.96;730.73;-;3.70%
Mar 29, 2009;747.92;746.28;749.43;737.09;-;0.48%
Mar 30, 2009;721.52;738.89;739.66;721.52;-;-3.53%
Mar 31, 2009;728.35;730.26;736.21;728.28;-;0.95%
Apr 01, 2009;727.02;726.16;736.38;723.81;-;-0.18%
Apr 02, 2009;765.77;741.46;765.77;740.00;-;5.33%
Apr 05, 2009;774.88;768.85;781.12;768.03;-;1.19%
Apr 06, 2009;756.02;774.92;777.11;753.96;-;-2.43%
Apr 07, 2009;756.37;763.14;766.12;746.45;-;0.05%
Apr 12, 2009;783.12;783.31;786.40;779.69;-;3.54%
Apr 13, 2009;780.75;777.74;781.62;775.43;-;-0.30%
Apr 16, 2009;793.43;782.00;794.79;776.91;-;1.62%
Apr 19, 2009;782.38;795.13;800.58;781.02;-;-1.39%
Apr 20, 2009;764.33;781.11;781.53;759.96;-;-2.31%
Apr 21, 2009;751.63;761.55;770.91;750.08;-;-1.66%
Apr 22, 2009;762.14;757.76;764.32;752.87;-;1.40%
Apr 23, 2009;781.04;774.21;781.04;766.05;-;2.48%
Apr 26, 2009;798.90;795.44;799.78;790.28;-;2.29%
Apr 27, 2009;794.81;788.58;794.81;783.28;-;-0.51%
Apr 30, 2009;812.32;809.28;819.46;807.06;-;2.20%
May 03, 2009;816.39;811.86;819.05;809.24;-;0.50%
May 04, 2009;823.73;824.39;825.61;819.40;-;0.90%
May 05, 2009;826.17;832.76;832.76;822.07;-;0.30%
May 06, 2009;837.18;818.66;838.36;817.01;-;1.33%
May 07, 2009;837.36;834.62;845.24;826.75;-;0.02%
May 10, 2009;849.56;843.09;850.09;841.46;-;1.46%
May 11, 2009;829.53;844.39;846.08;828.63;-;-2.36%
May 12, 2009;838.58;829.92;838.72;825.55;-;1.09%
May 13, 2009;825.02;841.85;842.01;821.60;-;-1.62%
May 14, 2009;826.21;821.75;829.71;818.19;-;0.14%
May 17, 2009;825.25;822.71;827.64;821.14;-;-0.12%
May 18, 2009;836.18;821.81;838.69;819.56;-;1.32%
May 19, 2009;857.13;844.58;861.33;844.42;-;2.51%
May 20, 2009;869.67;857.74;870.15;857.31;-;1.46%
May 21, 2009;860.45;864.41;867.08;857.90;-;-1.06%
May 24, 2009;856.03;858.05;858.73;850.33;-;-0.51%
May 25, 2009;859.07;860.31;864.32;854.72;-;0.36%
May 26, 2009;846.29;858.79;859.33;845.75;-;-1.49%
May 27, 2009;866.15;871.95;872.32;865.08;-;2.35%
May 31, 2009;881.75;872.71;884.21;872.21;-;1.80%
Jun 01, 2009;897.19;889.85;897.39;889.29;-;1.75%
Jun 02, 2009;896.60;893.76;903.89;891.49;-;-0.07%
Jun 03, 2009;883.80;901.56;904.10;881.11;-;-1.43%
Jun 04, 2009;882.30;883.01;888.56;877.51;-;-0.17%
Jun 07, 2009;885.90;888.76;891.45;883.43;-;0.41%
Jun 08, 2009;881.95;882.98;883.51;876.55;-;-0.45%
Jun 09, 2009;896.03;885.04;896.03;882.64;-;1.60%
Jun 10, 2009;885.80;903.56;907.60;885.33;-;-1.14%
Jun 11, 2009;880.27;883.63;888.29;874.78;-;-0.62%
Jun 14, 2009;880.84;882.78;883.81;873.36;-;0.06%
Jun 15, 2009;851.49;873.70;873.85;851.49;-;-3.33%
Jun 16, 2009;857.45;846.67;858.92;838.91;-;0.70%
Jun 17, 2009;836.46;851.49;852.66;836.46;-;-2.45%
Jun 18, 2009;832.74;835.63;840.62;828.09;-;-0.44%
Jun 21, 2009;850.78;834.70;850.78;832.49;-;2.17%
Jun 22, 2009;840.60;851.63;853.27;839.91;-;-1.20%
Jun 23, 2009;839.67;828.59;842.94;826.61;-;-0.11%
Jun 24, 2009;857.53;841.84;857.53;836.65;-;2.13%
Jun 25, 2009;840.97;859.29;859.80;840.77;-;-1.93%
Jun 28, 2009;857.35;852.59;858.88;852.59;-;1.95%
Jun 29, 2009;868.43;850.61;870.93;850.12;-;1.29%
Jun 30, 2009;862.43;871.92;875.46;861.42;-;-0.69%
Jul 01, 2009;871.54;862.09;874.61;861.42;-;1.06%
Jul 02, 2009;862.27;871.09;871.42;860.43;-;-1.06%
Jul 05, 2009;850.69;856.32;856.68;847.92;-;-1.34%
Jul 06, 2009;842.30;845.37;845.62;836.10;-;-0.99%
Jul 07, 2009;846.17;847.32;852.58;842.42;-;0.46%
Jul 08, 2009;846.82;835.27;846.82;834.13;-;0.08%
