"","TA 35 (TA35)_history.csv Date","TA 35 (TA35)_history.csv Price","TA 35 (TA35)_history.csv Open","TA 35 (TA35)_history.csv High","TA 35 (TA35)_history.csv Low","TA 35 (TA35)_history.csv Volume"
"1",2009-01-01,667.39,658.31,672.32,658.31,
"2",2009-01-04,674.24,678.18,685.79,674.24,
"3",2009-01-05,679.95,674.6,680.29,670.64,
"4",2009-01-06,702.9,683.03,703.25,683.03,
"5",2009-01-07,694.58,697.83,705.95,690.94,
"6",2009-01-08,677.14,682.06,684.13,674.19,
"7",2009-01-11,691.83,673.36,691.83,670.59,
"8",2009-01-12,683.88,689.92,699.79,678.85,
"9",2009-01-13,681.37,678.08,682.7,673.5,
"10",2009-01-14,660.26,686.96,688.62,660.26,
"11",2009-01-15,666.42,655.63,666.42,652.63,
"12",2009-01-18,678.46,678.82,686.37,678.26,
"13",2009-01-19,669.41,679.46,680.72,667.26,
"14",2009-01-20,669.78,664.76,673.34,662.72,
"15",2009-01-21,649.67,655.41,659.09,645.57,
"16",2009-01-22,637.23,661.19,661.54,634.09,
"17",2009-01-25,641.19,635.54,643.27,630.52,
"18",2009-01-26,653.72,637.83,654.18,635.06,
"19",2009-01-27,650.03,658.17,660.64,649.73,
"20",2009-01-28,670.19,656.74,670.19,656.74,
"21",2009-01-29,660.63,672.64,672.86,660.63,
"22",2009-02-01,658.87,648.14,659.7,646.76,
"23",2009-02-02,652.56,654.6,659.48,649.98,
"24",2009-02-03,663.53,657.79,663.53,654.79,
"25",2009-02-04,678.29,665.81,680.41,664.89,
"26",2009-02-05,682.46,671.68,684.73,669.72,
"27",2009-02-08,705.32,701.3,707.04,699.55,
"28",2009-02-09,708.48,702.33,708.48,697.73,
"29",2009-02-11,689.94,691.03,695.07,687.59,
"30",2009-02-12,687.64,689.26,690.4,680.76,
"31",2009-02-15,686.33,688.71,690.63,682.08,
"32",2009-02-16,692.41,681.27,692.41,679.68,
"33",2009-02-17,679.13,686.02,688.15,677.82,
"34",2009-02-18,691.33,677.88,691.33,672.53,
"35",2009-02-19,688.6,687.13,695.15,686.14,
"36",2009-02-22,662.68,675.39,675.56,662.03,
"37",2009-02-23,663.43,669.61,671.61,651.82,
"38",2009-02-24,654.49,648.05,657.51,646.03,
"39",2009-02-25,658.69,663.46,664.65,655.06,
"40",2009-02-26,665.99,652.99,665.99,650.53,
"41",2009-03-01,639.49,645.51,646.45,639.49,
"42",2009-03-02,637.5,636.19,639.64,628.72,
"43",2009-03-03,640.75,630.72,643.35,629.33,
"44",2009-03-04,655.29,646.09,655.29,643.78,
"45",2009-03-05,638.47,651.43,652.58,636.92,
"46",2009-03-08,638.34,634.24,640.12,632.3,
"47",2009-03-09,638.03,637.66,638.51,631.36,
"48",2009-03-11,652.27,656.99,657.89,647.68,
"49",2009-03-12,649.92,648.45,650.93,645.25,
"50",2009-03-15,671.07,662.69,671.07,662.05,
"51",2009-03-16,672.95,669.24,681.97,667.92,
"52",2009-03-17,674.27,675.75,677.61,670.4,
"53",2009-03-18,672.91,682.46,684.61,671.09,
"54",2009-03-19,675.18,675.53,685.63,672.96,
"55",2009-03-22,681.46,668.68,681.46,666.93,
"56",2009-03-23,694.48,689.41,696.83,689.41,
"57",2009-03-24,696.41,701.85,703.77,694.68,
"58",2009-03-25,717.77,698.5,717.77,697.3,
"59",2009-03-26,744.35,737.8,744.96,730.73,
"60",2009-03-29,747.92,746.28,749.43,737.09,
"61",2009-03-30,721.52,738.89,739.66,721.52,
"62",2009-03-31,728.35,730.26,736.21,728.28,
"63",2009-04-01,727.02,726.16,736.38,723.81,
"64",2009-04-02,765.77,741.46,765.77,740,
"65",2009-04-05,774.88,768.85,781.12,768.03,
"66",2009-04-06,756.02,774.92,777.11,753.96,
"67",2009-04-07,756.37,763.14,766.12,746.45,
"68",2009-04-12,783.12,783.31,786.4,779.69,
