Date;Price;Open;High;Low;Vol.;Change %
Jan 03, 2009;5,023.22;4,802.99;5,034.10;4,800.18;328.69M;4.59%
Jan 04, 2009;5,048.31;5,023.22;5,081.89;4,988.65;254.12M;0.50%
Jan 05, 2009;5,180.35;5,048.31;5,214.31;5,035.16;425.55M;2.62%
Jan 06, 2009;5,289.73;5,180.35;5,291.28;5,175.67;391.99M;2.11%
Jan 07, 2009;5,322.22;5,289.73;5,344.31;5,248.82;340.94M;0.61%
Jan 10, 2009;5,160.65;5,322.22;5,322.22;5,049.89;303.10M;-3.04%
Jan 11, 2009;5,165.61;5,160.65;5,216.81;5,140.73;271.85M;0.10%
Jan 12, 2009;5,152.54;5,165.61;5,184.67;5,091.32;255.29M;-0.25%
Jan 13, 2009;5,079.70;5,152.54;5,152.54;5,027.18;234.57M;-1.41%
Jan 14, 2009;4,935.33;5,079.70;5,079.70;4,929.27;191.64M;-2.84%
Jan 17, 2009;4,700.31;4,935.33;4,935.33;4,604.59;180.75M;-4.76%
Jan 18, 2009;4,649.67;4,700.31;4,715.39;4,614.82;178.09M;-1.08%
Jan 19, 2009;4,656.48;4,649.67;4,668.49;4,613.95;141.58M;0.15%
Jan 20, 2009;4,544.29;4,656.48;4,656.48;4,351.66;209.74M;-2.41%
Jan 21, 2009;4,556.80;4,544.29;4,600.75;4,426.43;271.15M;0.28%
Jan 24, 2009;4,786.83;4,556.80;4,786.89;4,556.67;315.84M;5.05%
Jan 25, 2009;4,810.04;4,786.83;4,812.87;4,696.85;297.86M;0.48%
Jan 26, 2009;4,772.81;4,810.04;4,834.75;4,754.73;256.09M;-0.77%
Jan 27, 2009;4,796.90;4,772.81;4,872.86;4,769.66;282.64M;0.50%
Jan 28, 2009;4,789.49;4,796.90;4,803.88;4,764.84;196.16M;-0.15%
Jan 31, 2009;4,808.90;4,789.49;4,866.50;4,783.17;250.82M;0.41%
Feb 01, 2009;4,765.92;4,808.90;4,836.53;4,749.34;205.61M;-0.89%
