"","Tadawul All Share (TASI)_history.csv Date","Tadawul All Share (TASI)_history.csv Price","Tadawul All Share (TASI)_history.csv Open","Tadawul All Share (TASI)_history.csv High","Tadawul All Share (TASI)_history.csv Low","Tadawul All Share (TASI)_history.csv Volume"
"1",2009-01-03,5023.22,4802.99,5034.1,4800.18,"328690000"
"2",2009-01-04,5048.31,5023.22,5081.89,4988.65,"254120000"
"3",2009-01-05,5180.35,5048.31,5214.31,5035.16,"425550000"
"4",2009-01-06,5289.73,5180.35,5291.28,5175.67,"391990000"
"5",2009-01-07,5322.22,5289.73,5344.31,5248.82,"340940000"
"6",2009-01-10,5160.65,5322.22,5322.22,5049.89,"303100000"
"7",2009-01-11,5165.61,5160.65,5216.81,5140.73,"271850000"
"8",2009-01-12,5152.54,5165.61,5184.67,5091.32,"255290000"
"9",2009-01-13,5079.7,5152.54,5152.54,5027.18,"234570000"
"10",2009-01-14,4935.33,5079.7,5079.7,4929.27,"191640000"
"11",2009-01-17,4700.31,4935.33,4935.33,4604.59,"180750000"
"12",2009-01-18,4649.67,4700.31,4715.39,4614.82,"178090000"
"13",2009-01-19,4656.48,4649.67,4668.49,4613.95,"141580000"
"14",2009-01-20,4544.29,4656.48,4656.48,4351.66,"209740000"
"15",2009-01-21,4556.8,4544.29,4600.75,4426.43,"271150000"
"16",2009-01-24,4786.83,4556.8,4786.89,4556.67,"315840000"
"17",2009-01-25,4810.04,4786.83,4812.87,4696.85,"297860000"
"18",2009-01-26,4772.81,4810.04,4834.75,4754.73,"256090000"
"19",2009-01-27,4796.9,4772.81,4872.86,4769.66,"282640000"
"20",2009-01-28,4789.49,4796.9,4803.88,4764.84,"196160000"
"21",2009-01-31,4808.9,4789.49,4866.5,4783.17,"250820000"
"22",2009-02-01,4765.92,4808.9,4836.53,4749.34,"205610000"
"23",2009-02-02,4730.51,4765.92,4776.78,4702.44,"189580000"
"24",2009-02-03,4790.01,4730.51,4793.84,4722.38,"250340000"
"25",2009-02-04,4794.56,4790.01,4836.84,4767.36,"285610000"
"26",2009-02-07,4928.65,4794.56,4929.27,4793.06,"318830000"
"27",2009-02-08,4909.83,4928.65,4955.78,4884.62,"347740000"
"28",2009-02-09,4934.63,4909.83,4934.67,4877.55,"234290000"
"29",2009-02-10,4901.52,4934.63,4975.4,4899.73,"334380000"
"30",2009-02-11,4847.62,4901.52,4901.52,4788.84,"206320000"
"31",2009-02-14,4944.18,4847.62,4944.18,4847.62,"241880000"
"32",2009-02-15,4896.35,4944.18,4971.04,4888.93,"288820000"
"33",2009-02-16,4894.2,4896.35,4916.09,4875.52,"212520000"
"34",2009-02-17,4688.89,4894.2,4896.32,4675.64,"243390000"
"35",2009-02-18,4773.78,4688.89,4773.92,4633.73,"210010000"
"36",2009-02-21,4675.66,4773.78,4773.78,4640.51,"163540000"
"37",2009-02-22,4713.75,4675.66,4713.77,4662.9,"172570000"
"38",2009-02-23,4751.45,4713.75,4783.12,4706.55,"225730000"
"39",2009-02-24,4531.52,4751.45,4751.45,4472.97,"214390000"
"40",2009-02-25,4542.11,4531.52,4621.86,4517.64,"159540000"
"41",2009-02-28,4384.59,4542.11,4542.11,4327.48,"174470000"
"42",2009-03-01,4414.56,4384.59,4450.72,4384.13,"159560000"
"43",2009-03-02,4331.74,4414.56,4439.8,4322.37,"140400000"
"44",2009-03-03,4318.51,4331.74,4331.74,4199.27,"167220000"
"45",2009-03-04,4348.26,4318.51,4360.83,4313.68,"158510000"
"46",2009-03-07,4316.91,4348.26,4355.89,4272.81,"145700000"
"47",2009-03-08,4210.68,4316.91,4317.28,4186.88,"135980000"
"48",2009-03-09,4130.01,4210.68,4217.71,4068.08,"155940000"
"49",2009-03-10,4143.23,4130.01,4149.24,4078.83,"158230000"
"50",2009-03-11,4130.15,4143.23,4219.37,4116.58,"180690000"
"51",2009-03-14,4269.91,4130.15,4273.95,4127.6,"221950000"
"52",2009-03-15,4281.26,4269.91,4291.65,4249.3,"148020000"
"53",2009-03-16,4364.89,4281.26,4371.44,4273.19,"172650000"
"54",2009-03-17,4339.55,4364.89,4364.89,4303.63,"143350000"
"55",2009-03-18,4400.21,4339.55,4422.08,4339.33,"168880000"
